House of Representatives - 2001 Election: Australian Capital Territory																									
Distribution of Preferences 																									
By Polling Place																									
																									
																									
Fraser																									
					DUNN			O'CALLAGHAN			KEMP			MCMULLAN			WIMBORNE			VASSILOPOULOS			O'SULLIVAN		
	FOURTH			19	41.30		8	17.39			Excluded		15	32.61		4	8.70								46
		TOTAL		481	26.65		146	8.09					1036	57.40		142	7.87								1805
	FIFTH			18	12.68		73	51.41					51	35.92			Excluded								142
		TOTAL		499	27.65		219	12.13					1087	60.22											1805
	SIXTH			49	22.37			Excluded					170	77.63											219
		TOTAL		548	30.36								1257	69.64											1805
													Elected												
																									
Ngunnawal                                                      																									
	FIRST			992	35.85		120	4.34		55	1.99		1244	44.96		239	8.64		30	1.08		87	3.14		2767
	SECOND			2	6.67		11	36.67		2	6.67		10	33.33		1	3.33			Excluded		4	13.33		30
		TOTAL		994	35.92		131	4.73		57	2.06		1254	45.32		240	8.67					91	3.29		2767
	THIRD			41	45.05		8	8.79		7	7.69		16	17.58		19	20.88						Excluded		91
		TOTAL		1035	37.41		139	5.02		64	2.31		1270	45.90		259	9.36								2767
	FOURTH			22	34.38		9	14.06			Excluded		29	45.31		4	6.25								64
		TOTAL		1057	38.20		148	5.35					1299	46.95		263	9.50								2767
	FIFTH			58	22.05		103	39.16					102	38.78			Excluded								263
		TOTAL		1115	40.30		251	9.07					1401	50.63											2767
	SIXTH			76	30.28			Excluded					175	69.72											251
		TOTAL		1191	43.04								1576	56.96											2767
													Elected												
																									
Ngunnawal South                                                																									
	FIRST			395	37.51		40	3.80		28	2.66		444	42.17		107	10.16		12	1.14		27	2.56		1053
	SECOND			1	8.33		5	41.67		1	8.33		1	8.33		3	25.00			Excluded		1	8.33		12
		TOTAL		396	37.61		45	4.27		29	2.75		445	42.26		110	10.45					28	2.66		1053
	THIRD			10	35.71		5	17.86		1	3.57		4	14.29		8	28.57						Excluded		28
		TOTAL		406	38.56		50	4.75		30	2.85		449	42.64		118	11.21								1053
	FOURTH			13	43.33		4	13.33			Excluded		10	33.33		3	10.00								30
		TOTAL		419	39.79		54	5.13					459	43.59		121	11.49								1053
	FIFTH			28	23.14		50	41.32					43	35.54			Excluded								121
		TOTAL		447	42.45		104	9.88					502	47.67											1053
	SIXTH			26	25.00			Excluded					78	75.00											104
		TOTAL		473	44.92								580	55.08											1053
													Elected												
																									
Nicholls                                                       																									
	FIRST			1082	40.48		61	2.28		49	1.83		1177	44.03		219	8.19		31	1.16		54	2.02		2673
	SECOND			3	9.68		8	25.81		1	3.23		5	16.13		9	29.03			Excluded		5	16.13		31
		TOTAL		1085	40.59		69	2.58		50	1.87		1182	44.22		228	8.53					59	2.21		2673
	THIRD			24	40.68		4	6.78		9	15.25		12	20.34		10	16.95						Excluded		59
		TOTAL		1109	41.49		73	2.73		59	2.21		1194	44.67		238	8.90								2673
	FOURTH			24	40.68		12	20.34			Excluded		15	25.42		8	13.56								59
		TOTAL		1133	42.39		85	3.18					1209	45.23		246	9.20								2673
	FIFTH			58	23.58		100	40.65					88	35.77			Excluded								246
		TOTAL		1191	44.56		185	6.92					1297	48.52											2673
	SIXTH			52	28.11			Excluded					133	71.89											185
		TOTAL		1243	46.50								1430	53.50											2673
													Elected												
																									
Page                                                           																									
	FIRST			469	29.37		91	5.70		39	2.44		772	48.34		144	9.02		17	1.06		65	4.07		1597
	SECOND			1	5.88		9	52.94		1	5.88		3	17.65		3	17.65			Excluded		0	0.00		17
		TOTAL		470	29.43		100	6.26		40	2.50		775	48.53		147	9.20					65	4.07		1597
	THIRD			32	49.23		3	4.62		5	7.69		13	20.00		12	18.46						Excluded		65
		TOTAL		502	31.43		103	6.45		45	2.82		788	49.34		159	9.96								1597
	FOURTH			28	62.22		5	11.11			Excluded		6	13.33		6	13.33								45
		TOTAL		530	33.19		108	6.76					794	49.72		165	10.33								1597
	FIFTH			27	16.36		80	48.48					58	35.15			Excluded								165
		TOTAL		557	34.88		188	11.77					852	53.35											1597
	SIXTH			38	20.21			Excluded					150	79.79											188
		TOTAL		595	37.26								1002	62.74											1597
													Elected												
																									
Palmerston                                                     																									
	FIRST			1131	36.61		113	3.66		62	2.01		1450	46.94		234	7.58		37	1.20		62	2.01		3089
	SECOND			6	16.22		13	35.14		2	5.41		8	21.62		4	10.81			Excluded		4	10.81		37
		TOTAL		1137	36.81		126	4.08		64	2.07		1458	47.20		238	7.70					66	2.14		3089
	THIRD			31	46.97		6	9.09		6	9.09		7	10.61		16	24.24						Excluded		66
		TOTAL		1168	37.81		132	4.27		70	2.27		1465	47.43		254	8.22								3089
	FOURTH			29	41.43		11	15.71			Excluded		18	25.71		12	17.14								70
		TOTAL		1197	38.75		143	4.63					1483	48.01		266	8.61								3089
	FIFTH			66	24.81		111	41.73					89	33.46			Excluded								266
		TOTAL		1263	40.89		254	8.22					1572	50.89											3089
	SIXTH			76	29.92			Excluded					178	70.08											254
		TOTAL		1339	43.35								1750	56.65											3089
													Elected												
																									
Reid                                                           																									
	FIRST			206	30.56		70	10.39		5	0.74		345	51.19		37	5.49		4	0.59		7	1.04		674
	SECOND			0	0.00		2	50.00		0	0.00		1	25.00		1	25.00			Excluded		0	0.00		4
		TOTAL		206	30.56		72	10.68		5	0.74		346	51.34		38	5.64					7	1.04		674
	THIRD			3	42.86		2	28.57		1	14.29		0	0.00		1	14.29						Excluded		7
		TOTAL		209	31.01		74	10.98		6	0.89		346	51.34		39	5.79								674
	FOURTH			2	33.33		2	33.33			Excluded		0	0.00		2	33.33								6
		TOTAL		211	31.31		76	11.28					346	51.34		41	6.08								674
	FIFTH			3	7.32		23	56.10					15	36.59			Excluded								41
		TOTAL		214	31.75		99	14.69					361	53.56											674
	SIXTH			21	21.21			Excluded					78	78.79											99
		TOTAL		235	34.87								439	65.13											674
													Elected												
																									
Scullin                                                        																									
	FIRST			609	29.85		155	7.60		61	2.99		973	47.70		164	8.04		22	1.08		56	2.75		2040
	SECOND			1	4.55		8	36.36		0	0.00		7	31.82		5	22.73			Excluded		1	4.55		22
		TOTAL		610	29.90		163	7.99		61	2.99		980	48.04		169	8.28					57	2.79		2040
	THIRD			29	50.88		3	5.26		5	8.77		10	17.54		10	17.54						Excluded		57
		TOTAL		639	31.32		166	8.14		66	3.24		990	48.53		179	8.77								2040
	FOURTH			29	43.94		12	18.18			Excluded		20	30.30		5	7.58								66
		TOTAL		668	32.75		178	8.73					1010	49.51		184	9.02								2040
	FIFTH			35	19.02		78	42.39					71	38.59			Excluded								184
		TOTAL		703	34.46		256	12.55					1081	52.99											2040
	SIXTH			61	23.83			Excluded					195	76.17											256
		TOTAL		764	37.45								1276	62.55											2040
													Elected												
																									
Turner                                                         																									
	FIRST			304	16.74		344	18.94		21	1.16		913	50.28		154	8.48		55	3.03		25	1.38		1816
	SECOND			2	3.64		40	72.73		0	0.00		8	14.55		4	7.27			Excluded		1	1.82		55
		TOTAL		306	16.85		384	21.15		21	1.16		921	50.72		158	8.70					26	1.43		1816
	THIRD			9	34.62		3	11.54		5	19.23		6	23.08		3	11.54						Excluded		26
		TOTAL		315	17.35		387	21.31		26	1.43		927	51.05		161	8.87								1816
	FOURTH			12	46.15		3	11.54			Excluded		11	42.31		0	0.00								26
		TOTAL		327	18.01		390	21.48					938	51.65		161	8.87								1816
	FIFTH			24	14.91		90	55.90					47	29.19			Excluded								161
		TOTAL		351	19.33		480	26.43					985	54.24											1816
	SIXTH			40	8.33			Excluded					440	91.67											480
		TOTAL		391	21.53								1425	78.47											1816
													Elected												
																									
Watson                                                         																									
	FIRST			730	25.87		328	11.62		80	2.83		1372	48.62		202	7.16		60	2.13		50	1.77		2822
	SECOND			5	8.33		38	63.33		2	3.33		10	16.67		3	5.00			Excluded		2	3.33		60
		TOTAL		735	26.05		366	12.97		82	2.91		1382	48.97		205	7.26					52	1.84		2822
	THIRD			20	38.46		2	3.85		7	13.46		9	17.31		14	26.92						Excluded		52
		TOTAL		755	26.75		368	13.04		89	3.15		1391	49.29		219	7.76								2822
	FOURTH			39	43.82		22	24.72			Excluded		16	17.98		12	13.48								89
		TOTAL		794	28.14		390	13.82					1407	49.86		231	8.19								2822
	FIFTH			28	12.12		124	53.68					79	34.20			Excluded								231
		TOTAL		822	29.13		514	18.21					1486	52.66											2822
	SIXTH			88	17.12			Excluded					426	82.88											514
		TOTAL		910	32.25								1912	67.75											2822
													Elected												
																									
Weetangera                                                     																									
	FIRST			893	35.79		143	5.73		34	1.36		1128	45.21		216	8.66		33	1.32		48	1.92		2495
	SECOND			7	21.21		8	24.24		2	6.06		9	27.27		5	15.15			Excluded		2	6.06		33
		TOTAL		900	36.07		151	6.05		36	1.44		1137	45.57		221	8.86					50	2.00		2495
	THIRD			23	46.00		5	10.00		1	2.00		8	16.00		13	26.00						Excluded		50
		TOTAL		923	36.99		156	6.25		37	1.48		1145	45.89		234	9.38								2495
	FOURTH			16	43.24		11	29.73			Excluded		7	18.92		3	8.11								37
		TOTAL		939	37.64		167	6.69					1152	46.17		237	9.50								2495
	FIFTH			33	13.92		131	55.27					73	30.80			Excluded								237
		TOTAL		972	38.96		298	11.94					1225	49.10											2495
	SIXTH			74	24.83			Excluded					224	75.17											298
		TOTAL		1046	41.92								1449	58.08											2495
													Elected												
																									
Wreck Bay                                                      																									
	FIRST			3	4.00		6	8.00		0	0.00		66	88.00		0	0.00		0	0.00		0	0.00		75
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		3	4.00		6	8.00		0	0.00		66	88.00		0	0.00					0	0.00		75
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded		0
		TOTAL		3	4.00		6	8.00		0	0.00		66	88.00		0	0.00								75
	FOURTH			0	0.00		0	0.00			Excluded		0	0.00		0	0.00								0
		TOTAL		3	4.00		6	8.00					66	88.00		0	0.00								75
	FIFTH			0	0.00		0	0.00					0	0.00			Excluded								0
		TOTAL		3	4.00		6	8.00					66	88.00											75
	SIXTH			0	0.00			Excluded					6	100.00											6
		TOTAL		3	4.00								72	96.00											75
													Elected												
																									
Special Hospital Team 1                                        																									
	FIRST			168	54.37		7	2.27		5	1.62		114	36.89		11	3.56		0	0.00		4	1.29		309
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		168	54.37		7	2.27		5	1.62		114	36.89		11	3.56					4	1.29		309
	THIRD			1	25.00		0	0.00		3	75.00		0	0.00		0	0.00						Excluded		4
		TOTAL		169	54.69		7	2.27		8	2.59		114	36.89		11	3.56								309
	FOURTH			4	50.00		1	12.50			Excluded		2	25.00		1	12.50								8
		TOTAL		173	55.99		8	2.59					116	37.54		12	3.88								309
	FIFTH			4	33.33		4	33.33					4	33.33			Excluded								12
		TOTAL		177	57.28		12	3.88					120	38.83											309
	SIXTH			5	41.67			Excluded					7	58.33											12
		TOTAL		182	58.90								127	41.10											309
													Elected												
																									
Special Hospital Team 2                                        																									
	FIRST			80	41.03		4	2.05		3	1.54		96	49.23		6	3.08		1	0.51		5	2.56		195
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1
		TOTAL		80	41.03		4	2.05		3	1.54		96	49.23		7	3.59					5	2.56		195
	THIRD			1	20.00		0	0.00		0	0.00		0	0.00		4	80.00						Excluded		5
		TOTAL		81	41.54		4	2.05		3	1.54		96	49.23		11	5.64								195
	FOURTH			0	0.00		0	0.00			Excluded		3	100.00		0	0.00								3
		TOTAL		81	41.54		4	2.05					99	50.77		11	5.64								195
	FIFTH			3	27.27		2	18.18					6	54.55			Excluded								11
		TOTAL		84	43.08		6	3.08					105	53.85											195
	SIXTH			4	66.67			Excluded					2	33.33											6
		TOTAL		88	45.13								107	54.87											195
													Elected												
																									
Prison Mobile Team 1                                           																									
	FIRST			3	21.43		1	7.14		0	0.00		7	50.00		1	7.14		0	0.00		2	14.29		14
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		3	21.43		1	7.14		0	0.00		7	50.00		1	7.14					2	14.29		14
	THIRD			0	0.00		1	50.00		0	0.00		0	0.00		1	50.00						Excluded		2
		TOTAL		3	21.43		2	14.29		0	0.00		7	50.00		2	14.29								14
	FOURTH			0	0.00		0	0.00			Excluded		0	0.00		0	0.00								0
		TOTAL		3	21.43		2	14.29					7	50.00		2	14.29								14
	FIFTH			0	0.00		1	50.00					1	50.00			Excluded								2
		TOTAL		3	21.43		3	21.43					8	57.14											14
	SIXTH			1	33.33			Excluded					2	66.67											3
		TOTAL		4	28.57								10	71.43											14
													Elected												
																									
ABSENT																									
	FIRST			697	29.60		261	11.08		58	2.46		1021	43.35		228	9.68		28	1.19		62	2.63		2355
	SECOND			4	14.29		7	25.00		3	10.71		7	25.00		7	25.00			Excluded		0	0.00		28
		TOTAL		701	29.77		268	11.38		61	2.59		1028	43.65		235	9.98					62	2.63		2355
	THIRD			20	32.26		5	8.06		5	8.06		6	9.68		26	41.94						Excluded		62
		TOTAL		721	30.62		273	11.59		66	2.80		1034	43.91		261	11.08								2355
	FOURTH			28	42.42		11	16.67			Excluded		18	27.27		9	13.64								66
		TOTAL		749	31.80		284	12.06					1052	44.67		270	11.46								2355
	FIFTH			57	21.11		117	43.33					96	35.56			Excluded								270
		TOTAL		806	34.23		401	17.03					1148	48.75											2355
	SIXTH			105	26.18			Excluded					296	73.82											401
		TOTAL		911	38.68								1444	61.32											2355
													Elected												
																									
POSTAL																									
	FIRST			1189	36.22		192	5.85		101	3.08		1507	45.90		207	6.31		27	0.82		60	1.83		3283
	SECOND			4	14.81		6	22.22		2	7.41		5	18.52		6	22.22			Excluded		4	14.81		27
		TOTAL		1193	36.34		198	6.03		103	3.14		1512	46.06		213	6.49					64	1.95		3283
	THIRD			30	46.88		5	7.81		4	6.25		13	20.31		12	18.75						Excluded		64
		TOTAL		1223	37.25		203	6.18		107	3.26		1525	46.45		225	6.85								3283
	FOURTH			56	52.34		7	6.54			Excluded		27	25.23		17	15.89								107
		TOTAL		1279	38.96		210	6.40					1552	47.27		242	7.37								3283
	FIFTH			46	19.01		105	43.39					91	37.60			Excluded								242
		TOTAL		1325	40.36		315	9.59					1643	50.05											3283
	SIXTH			72	22.86			Excluded					243	77.14											315
		TOTAL		1397	42.55								1886	57.45											3283
													Elected												
																									
PRE POLL																									
	FIRST			4766	31.85		1253	8.37		341	2.28		7010	46.85		1248	8.34		113	0.76		232	1.55		14963
	SECOND			6	5.31		43	38.05		7	6.19		25	22.12		20	17.70			Excluded		12	10.62		113
		TOTAL		4772	31.89		1296	8.66		348	2.33		7035	47.02		1268	8.47					244	1.63		14963
	THIRD			118	48.36		22	9.02		22	9.02		40	16.39		42	17.21						Excluded		244
		TOTAL		4890	32.68		1318	8.81		370	2.47		7075	47.28		1310	8.75								14963
	FOURTH			163	44.05		69	18.65			Excluded		95	25.68		43	11.62								370
		TOTAL		5053	33.77		1387	9.27					7170	47.92		1353	9.04								14963
	FIFTH			205	15.15		634	46.86					514	37.99			Excluded								1353
		TOTAL		5258	35.14		2021	13.51					7684	51.35											14963
	SIXTH			435	21.52			Excluded					1586	78.48											2021
		TOTAL		5693	38.05								9270	61.95											14963
													Elected												
																									
PROVISIONAL																									
	FIRST			176	26.04		56	8.28		19	2.81		332	49.11		63	9.32		17	2.51		13	1.92		676
	SECOND			0	0.00		6	35.29		1	5.88		3	17.65		3	17.65			Excluded		4	23.53		17
		TOTAL		176	26.04		62	9.17		20	2.96		335	49.56		66	9.76					17	2.51		676
	THIRD			3	17.65		2	11.76		2	11.76		4	23.53		6	35.29						Excluded		17
		TOTAL		179	26.48		64	9.47		22	3.25		339	50.15		72	10.65								676
	FOURTH			8	36.36		5	22.73			Excluded		6	27.27		3	13.64								22
		TOTAL		187	27.66		69	10.21					345	51.04		75	11.09								676
	FIFTH			10	13.33		40	53.33					25	33.33			Excluded								75
		TOTAL		197	29.14		109	16.12					370	54.73											676
	SIXTH			22	20.18			Excluded					87	79.82											109
		TOTAL		219	32.40								457	67.60											676
													Elected												
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
