Senate - 1993 Election: Queensland																																														
First Preference Votes by Group																																														
By Polling Place																																														


Bowman (75360)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
 																																														


Dickson (76618)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Albany Creek (Dickson)		                     	62	2.68	 	166	7.18	 	1022	44.2	 	25	1.08	 	2	0.09	 	60	2.6	 	740	32.01	 	0	0	 	3	0.13	 	0	0	 	231	9.99	 	1	0.04	 	2312	98.59	 	33	1.41	 	2345	3.17
Arana Hills ( Dickson)		                     	22	1.25	 	109	6.19	 	595	33.81	 	6	0.34	 	2	0.11	 	60	3.41	 	757	43.01	 	0	0	 	4	0.23	 	6	0.34	 	197	11.19	 	2	0.11	 	1760	98.49	 	27	1.51	 	1787	2.42
Bray Park		                                  	121	2.64	 	312	6.81	 	1347	29.39	 	41	0.89	 	2	0.04	 	99	2.16	 	2193	47.85	 	2	0.04	 	8	0.17	 	15	0.33	 	437	9.54	 	6	0.13	 	4583	98.62	 	64	1.38	 	4647	6.29
Brisbane City (Dickson)		                    	6	3.23	 	10	5.38	 	58	31.18	 	0	0	 	0	0	 	14	7.53	 	78	41.94	 	0	0	 	0	0	 	1	0.54	 	19	10.22	 	0	0	 	186	98.94	 	2	1.06	 	188	0.25
Burpengary		                                 	186	4.04	 	359	7.8	 	1443	31.34	 	54	1.17	 	3	0.07	 	170	3.69	 	2029	44.07	 	4	0.09	 	10	0.22	 	1	0.02	 	337	7.32	 	8	0.17	 	4604	98.82	 	55	1.18	 	4659	6.3
Closeburn		                                  	3	0.62	 	99	20.41	 	195	40.21	 	4	0.82	 	0	0	 	15	3.09	 	123	25.36	 	0	0	 	1	0.21	 	2	0.41	 	43	8.87	 	0	0	 	485	98.58	 	7	1.42	 	492	0.67
Coominya		                                   	97	15.02	 	197	30.5	 	62	9.6	 	3	0.46	 	0	0	 	8	1.24	 	235	36.38	 	0	0	 	0	0	 	1	0.15	 	43	6.66	 	0	0	 	646	97.88	 	14	2.12	 	660	0.89
Dayboro		                                    	27	2.15	 	333	26.58	 	404	32.24	 	3	0.24	 	0	0	 	40	3.19	 	339	27.06	 	1	0.08	 	2	0.16	 	0	0	 	104	8.3	 	0	0	 	1253	98.04	 	25	1.96	 	1278	1.73
Esk		                                        	64	6.87	 	256	27.5	 	187	20.09	 	5	0.54	 	0	0	 	52	5.59	 	303	32.55	 	0	0	 	1	0.11	 	0	0	 	63	6.77	 	0	0	 	931	98.41	 	15	1.59	 	946	1.28
Everton Hills ( Dickson)		                   	6	3.06	 	18	9.18	 	84	42.86	 	3	1.53	 	0	0	 	4	2.04	 	68	34.69	 	0	0	 	1	0.51	 	1	0.51	 	11	5.61	 	0	0	 	196	98.99	 	2	1.01	 	198	0.27
Fernvale		                                   	65	6.75	 	173	17.96	 	226	23.47	 	10	1.04	 	1	0.1	 	41	4.26	 	351	36.45	 	1	0.1	 	0	0	 	3	0.31	 	91	9.45	 	1	0.1	 	963	98.97	 	10	1.03	 	973	1.32
Ferny Grove		                                	15	0.61	 	195	7.98	 	931	38.08	 	16	0.65	 	3	0.12	 	51	2.09	 	982	40.16	 	2	0.08	 	3	0.12	 	1	0.04	 	243	9.94	 	3	0.12	 	2445	98.83	 	29	1.17	 	2474	3.35
Ferny Hills		                                	47	1.42	 	235	7.12	 	1069	32.38	 	25	0.76	 	9	0.27	 	106	3.21	 	1440	43.62	 	2	0.06	 	4	0.12	 	8	0.24	 	354	10.72	 	2	0.06	 	3301	98.45	 	52	1.55	 	3353	4.53
Ferny Hills North		                          	23	0.81	 	230	8.05	 	931	32.6	 	21	0.74	 	1	0.04	 	81	2.84	 	1227	42.96	 	0	0	 	8	0.28	 	7	0.25	 	322	11.27	 	5	0.18	 	2856	99.13	 	25	0.87	 	2881	3.9
Glamorgan Vale		                             	21	7.39	 	76	26.76	 	56	19.72	 	2	0.7	 	0	0	 	6	2.11	 	89	31.34	 	0	0	 	5	1.76	 	3	1.06	 	25	8.8	 	1	0.35	 	284	97.93	 	6	2.07	 	290	0.39
Haigslea		                                   	10	3.88	 	120	46.51	 	36	13.95	 	1	0.39	 	0	0	 	4	1.55	 	74	28.68	 	0	0	 	0	0	 	1	0.39	 	12	4.65	 	0	0	 	258	98.1	 	5	1.9	 	263	0.36
Kallangur		                                  	180	3.05	 	439	7.44	 	1518	25.74	 	72	1.22	 	4	0.07	 	196	3.32	 	2965	50.27	 	3	0.05	 	7	0.12	 	9	0.15	 	499	8.46	 	6	0.1	 	5898	98.35	 	99	1.65	 	5997	8.11
Kallangur West		                             	31	3.29	 	88	9.35	 	269	28.59	 	6	0.64	 	0	0	 	18	1.91	 	456	48.46	 	0	0	 	2	0.21	 	3	0.32	 	68	7.23	 	0	0	 	941	98.53	 	14	1.47	 	955	1.29
Keperra ( Dickson)		                         	3	0.43	 	31	4.41	 	282	40.11	 	10	1.42	 	0	0	 	12	1.71	 	307	43.67	 	0	0	 	1	0.14	 	1	0.14	 	56	7.97	 	0	0	 	703	99.29	 	5	0.71	 	708	0.96
Kurwongbah		                                 	64	3.22	 	152	7.66	 	584	29.42	 	13	0.65	 	3	0.15	 	56	2.82	 	929	46.8	 	0	0	 	1	0.05	 	6	0.3	 	177	8.92	 	0	0	 	1985	98.9	 	22	1.1	 	2007	2.71
Lawnton		                                    	93	2.92	 	251	7.88	 	851	26.7	 	20	0.63	 	2	0.06	 	68	2.13	 	1550	48.64	 	3	0.09	 	6	0.19	 	7	0.22	 	331	10.39	 	5	0.16	 	3187	98.49	 	49	1.51	 	3236	4.38
Lowood		                                     	111	8.27	 	274	20.4	 	317	23.6	 	4	0.3	 	1	0.07	 	32	2.38	 	519	38.64	 	0	0	 	6	0.45	 	3	0.22	 	75	5.58	 	1	0.07	 	1343	97.6	 	33	2.4	 	1376	1.86
Marburg		                                    	26	4.93	 	151	28.65	 	108	20.49	 	5	0.95	 	0	0	 	12	2.28	 	188	35.67	 	0	0	 	0	0	 	0	0	 	37	7.02	 	0	0	 	527	99.43	 	3	0.57	 	530	0.72
Minden		                                     	36	9.35	 	79	20.52	 	98	25.45	 	4	1.04	 	0	0	 	9	2.34	 	129	33.51	 	0	0	 	1	0.26	 	0	0	 	29	7.53	 	0	0	 	385	99.23	 	3	0.77	 	388	0.52
Morayfield (Dickson)		                       	97	3.89	 	203	8.13	 	802	32.13	 	27	1.08	 	1	0.04	 	88	3.53	 	1066	42.71	 	0	0	 	12	0.48	 	1	0.04	 	198	7.93	 	1	0.04	 	2496	98.77	 	31	1.23	 	2527	3.42
Morayfield East		                            	66	7.33	 	81	8.99	 	264	29.3	 	7	0.78	 	0	0	 	11	1.22	 	380	42.18	 	0	0	 	2	0.22	 	0	0	 	89	9.88	 	1	0.11	 	901	98.79	 	11	1.21	 	912	1.23
Mount Nebo		                                 	4	1.35	 	24	8.11	 	85	28.72	 	0	0	 	0	0	 	47	15.88	 	107	36.15	 	0	0	 	2	0.68	 	4	1.35	 	23	7.77	 	0	0	 	296	98.34	 	5	1.66	 	301	0.41
Mount Tarampa		                              	27	11.49	 	57	24.26	 	49	20.85	 	0	0	 	0	0	 	5	2.13	 	76	32.34	 	0	0	 	3	1.28	 	1	0.43	 	17	7.23	 	0	0	 	235	98.33	 	4	1.67	 	239	0.32
Murrumba Downs		                             	28	2.83	 	112	11.34	 	298	30.16	 	5	0.51	 	0	0	 	18	1.82	 	464	46.96	 	0	0	 	2	0.2	 	0	0	 	60	6.07	 	1	0.1	 	988	98.6	 	14	1.4	 	1002	1.36
Narangba		                                   	92	4.19	 	254	11.57	 	816	37.18	 	21	0.96	 	4	0.18	 	52	2.37	 	783	35.67	 	1	0.05	 	4	0.18	 	1	0.05	 	166	7.56	 	1	0.05	 	2195	98.03	 	44	1.97	 	2239	3.03
Petrie		                                     	78	2.86	 	209	7.68	 	863	31.69	 	18	0.66	 	1	0.04	 	119	4.37	 	1128	41.42	 	2	0.07	 	6	0.22	 	4	0.15	 	292	10.72	 	3	0.11	 	2723	98.48	 	42	1.52	 	2765	3.74
Pine Mountain		                              	12	4.41	 	57	20.96	 	72	26.47	 	5	1.84	 	0	0	 	8	2.94	 	84	30.88	 	0	0	 	1	0.37	 	0	0	 	32	11.76	 	1	0.37	 	272	99.27	 	2	0.73	 	274	0.37
Rosewood (Dickson)		                         	47	3.43	 	255	18.61	 	378	27.59	 	14	1.02	 	0	0	 	26	1.9	 	536	39.12	 	1	0.07	 	4	0.29	 	2	0.15	 	106	7.74	 	1	0.07	 	1370	98.07	 	27	1.93	 	1397	1.89
Samford		                                    	22	0.88	 	380	15.24	 	1079	43.26	 	17	0.68	 	0	0	 	152	6.09	 	642	25.74	 	0	0	 	3	0.12	 	8	0.32	 	190	7.62	 	1	0.04	 	2494	98.66	 	34	1.34	 	2528	3.42
Strathpine		                                 	54	2.39	 	177	7.84	 	640	28.34	 	17	0.75	 	0	0	 	38	1.68	 	1135	50.27	 	0	0	 	1	0.04	 	4	0.18	 	188	8.33	 	4	0.18	 	2258	98	 	46	2	 	2304	3.12
Strathpine East		                            	33	2.1	 	125	7.96	 	448	28.52	 	19	1.21	 	2	0.13	 	31	1.97	 	785	49.97	 	1	0.06	 	4	0.25	 	4	0.25	 	119	7.57	 	0	0	 	1571	98	 	32	2	 	1603	2.17
Strathpine West		                            	60	2.89	 	135	6.5	 	591	28.44	 	7	0.34	 	1	0.05	 	46	2.21	 	1032	49.66	 	1	0.05	 	3	0.14	 	2	0.1	 	198	9.53	 	2	0.1	 	2078	98.72	 	27	1.28	 	2105	2.85
Tarampa		                                    	27	7.03	 	92	23.96	 	107	27.86	 	0	0	 	0	0	 	5	1.3	 	119	30.99	 	0	0	 	0	0	 	0	0	 	33	8.59	 	1	0.26	 	384	98.71	 	5	1.29	 	389	0.53
Walloon		                                    	45	3.63	 	115	9.27	 	319	25.73	 	6	0.48	 	3	0.24	 	42	3.39	 	598	48.23	 	2	0.16	 	3	0.24	 	2	0.16	 	103	8.31	 	2	0.16	 	1240	99.04	 	12	0.96	 	1252	1.69
Special Hospitals		                          	0	0	 	22	20.75	 	32	30.19	 	0	0	 	0	0	 	1	0.94	 	47	44.34	 	0	0	 	0	0	 	0	0	 	4	3.77	 	0	0	 	106	95.5	 	5	4.5	 	111	0.15
Total Ordinary		                             	2011	3.16	 	6651	10.45	 	19516	30.67	 	516	0.81	 	45	0.07	 	1903	2.99	 	27053	42.51	 	26	0.04	 	124	0.19	 	112	0.18	 	5622	8.83	 	60	0.09	 	63639	98.54	 	940	1.46	 	64579	87.34
ABSENT		                                     	144	2.7	 	435	8.14	 	1698	31.79	 	63	1.18	 	14	0.26	 	296	5.54	 	2181	40.84	 	3	0.06	 	17	0.32	 	19	0.36	 	462	8.65	 	9	0.17	 	5341	99.04	 	52	0.96	 	5393	7.29
POSTAL		                                     	35	1.79	 	184	9.39	 	692	35.31	 	27	1.38	 	3	0.15	 	44	2.24	 	786	40.1	 	2	0.1	 	5	0.26	 	1	0.05	 	178	9.08	 	3	0.15	 	1960	99.19	 	16	0.81	 	1976	2.67
PRE_POLL		                                   	33	1.89	 	147	8.42	 	682	39.06	 	25	1.43	 	1	0.06	 	64	3.67	 	639	36.6	 	2	0.11	 	3	0.17	 	4	0.23	 	145	8.3	 	1	0.06	 	1746	98.92	 	19	1.08	 	1765	2.39
PROVISIONAL		                                	10	4.48	 	13	5.83	 	56	25.11	 	1	0.45	 	0	0	 	16	7.17	 	107	47.98	 	0	0	 	2	0.9	 	1	0.45	 	17	7.62	 	0	0	 	223	99.55	 	1	0.45	 	224	0.3
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	2233	3.06	 	7430	10.19	 	22644	31.06	 	632	0.87	 	63	0.09	 	2323	3.19	 	30766	42.2	 	33	0.05	 	151	0.21	 	137	0.19	 	6424	8.81	 	73	0.1	 	72909	98.61	 	1028	1.39	 	73937	96.5
 																																														


Fadden (72786)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alberton		                                   	10	2.63	 	67	17.63	 	134	35.26	 	3	0.79	 	1	0.26	 	7	1.84	 	138	36.32	 	1	0.26	 	2	0.53	 	2	0.53	 	15	3.95	 	0	0	 	380	97.94	 	8	2.06	 	388	0.55
Brisbane City (Fadden)		                     	2	1.4	 	8	5.59	 	58	40.56	 	1	0.7	 	0	0	 	10	6.99	 	46	32.17	 	0	0	 	2	1.4	 	1	0.7	 	14	9.79	 	1	0.7	 	143	96.62	 	5	3.38	 	148	0.21
Canowindra		                                 	5	0.89	 	66	11.72	 	254	45.12	 	5	0.89	 	0	0	 	21	3.73	 	185	32.86	 	0	0	 	1	0.18	 	3	0.53	 	23	4.09	 	0	0	 	563	98.43	 	9	1.57	 	572	0.82
Capalaba School (Fadden)		                   	7	0.92	 	42	5.55	 	349	46.1	 	5	0.66	 	0	0	 	34	4.49	 	253	33.42	 	0	0	 	1	0.13	 	1	0.13	 	64	8.45	 	1	0.13	 	757	99.47	 	4	0.53	 	761	1.09
Carbrook		                                   	18	2.06	 	65	7.45	 	371	42.55	 	6	0.69	 	0	0	 	49	5.62	 	279	32	 	0	0	 	5	0.57	 	2	0.23	 	76	8.72	 	1	0.11	 	872	97.43	 	23	2.57	 	895	1.28
Chatswood Hills		                            	21	0.99	 	118	5.58	 	888	41.99	 	15	0.71	 	1	0.05	 	79	3.74	 	828	39.15	 	1	0.05	 	3	0.14	 	0	0	 	161	7.61	 	0	0	 	2115	98.19	 	39	1.81	 	2154	3.08
Coombabah (Fadden)		                         	17	1.23	 	90	6.52	 	592	42.87	 	13	0.94	 	0	0	 	48	3.48	 	532	38.52	 	0	0	 	2	0.14	 	2	0.14	 	84	6.08	 	1	0.07	 	1381	98.29	 	24	1.71	 	1405	2.01
Coomera (Fadden)		                           	15	2.35	 	75	11.77	 	286	44.9	 	5	0.78	 	1	0.16	 	25	3.92	 	201	31.55	 	0	0	 	1	0.16	 	1	0.16	 	27	4.24	 	0	0	 	637	97.7	 	15	2.3	 	652	0.93
Dupre St		                                   	2	0.51	 	33	8.4	 	138	35.11	 	5	1.27	 	1	0.25	 	4	1.02	 	176	44.78	 	0	0	 	3	0.76	 	0	0	 	31	7.89	 	0	0	 	393	98.25	 	7	1.75	 	400	0.57
Eagleby		                                    	129	3.98	 	133	4.1	 	858	26.44	 	26	0.8	 	3	0.09	 	119	3.67	 	1727	53.22	 	5	0.15	 	10	0.31	 	6	0.18	 	228	7.03	 	1	0.03	 	3245	97.92	 	69	2.08	 	3314	4.73
Eight Mile Plains (Fadden)		                 	61	2.41	 	107	4.22	 	1032	40.71	 	24	0.95	 	5	0.2	 	91	3.59	 	998	39.37	 	1	0.04	 	8	0.32	 	2	0.08	 	203	8.01	 	3	0.12	 	2535	97.69	 	60	2.31	 	2595	3.71
Greenmeadows (Fadden)		                      	5	0.57	 	46	5.23	 	398	45.28	 	7	0.8	 	2	0.23	 	17	1.93	 	334	38	 	0	0	 	0	0	 	3	0.34	 	66	7.51	 	1	0.11	 	879	99.21	 	7	0.79	 	886	1.27
Helensvale		                                 	52	1.42	 	265	7.23	 	1810	49.4	 	12	0.33	 	1	0.03	 	87	2.37	 	1254	34.22	 	0	0	 	3	0.08	 	3	0.08	 	176	4.8	 	1	0.03	 	3664	97.92	 	78	2.08	 	3742	5.35
Hope Island		                                	5	0.65	 	72	9.36	 	434	56.44	 	3	0.39	 	0	0	 	21	2.73	 	203	26.4	 	0	0	 	0	0	 	1	0.13	 	30	3.9	 	0	0	 	769	97.71	 	18	2.29	 	787	1.12
Jacobs Well		                                	4	1.67	 	50	20.83	 	89	37.08	 	2	0.83	 	0	0	 	5	2.08	 	75	31.25	 	0	0	 	0	0	 	0	0	 	15	6.25	 	0	0	 	240	96.77	 	8	3.23	 	248	0.35
Kimberley Park		                             	25	1.78	 	66	4.71	 	610	43.51	 	25	1.78	 	0	0	 	51	3.64	 	501	35.73	 	0	0	 	3	0.21	 	3	0.21	 	114	8.13	 	4	0.29	 	1402	98.73	 	18	1.27	 	1420	2.03
Mansfield		                                  	41	1.1	 	236	6.33	 	1583	42.46	 	55	1.48	 	3	0.08	 	121	3.25	 	1383	37.1	 	3	0.08	 	7	0.19	 	4	0.11	 	289	7.75	 	3	0.08	 	3728	98	 	76	2	 	3804	5.43
Mt Cotton		                                  	17	2.76	 	57	9.27	 	276	44.88	 	1	0.16	 	0	0	 	26	4.23	 	190	30.89	 	0	0	 	0	0	 	1	0.16	 	47	7.64	 	0	0	 	615	98.72	 	8	1.28	 	623	0.89
Mt Gravatt East (Fadden)		                   	26	1.28	 	96	4.72	 	731	35.96	 	22	1.08	 	1	0.05	 	59	2.9	 	924	45.45	 	0	0	 	5	0.25	 	1	0.05	 	167	8.21	 	1	0.05	 	2033	97.74	 	47	2.26	 	2080	2.97
Mt Gravatt South		                           	31	1.28	 	123	5.08	 	972	40.13	 	19	0.78	 	0	0	 	96	3.96	 	945	39.02	 	1	0.04	 	4	0.17	 	2	0.08	 	228	9.41	 	1	0.04	 	2422	98.02	 	49	1.98	 	2471	3.53
Mt Petrie		                                  	7	0.87	 	62	7.72	 	420	52.3	 	5	0.62	 	1	0.12	 	26	3.24	 	222	27.65	 	0	0	 	3	0.37	 	0	0	 	56	6.97	 	1	0.12	 	803	97.69	 	19	2.31	 	822	1.17
Paradise Lakes		                             	25	2.43	 	73	7.11	 	402	39.14	 	9	0.88	 	2	0.19	 	20	1.95	 	425	41.38	 	0	0	 	1	0.1	 	0	0	 	70	6.82	 	0	0	 	1027	97.53	 	26	2.47	 	1053	1.5
Paradise Point (Fadden)		                    	13	1.12	 	103	8.91	 	704	60.9	 	2	0.17	 	2	0.17	 	13	1.12	 	264	22.84	 	0	0	 	1	0.09	 	2	0.17	 	52	4.5	 	0	0	 	1156	98.47	 	18	1.53	 	1174	1.68
Redland Bay		                                	45	1.68	 	234	8.72	 	1108	41.27	 	15	0.56	 	4	0.15	 	88	3.28	 	907	33.78	 	1	0.04	 	2	0.07	 	2	0.07	 	275	10.24	 	4	0.15	 	2685	97.53	 	68	2.47	 	2753	3.93
Rochedale		                                  	25	1.71	 	109	7.48	 	730	50.07	 	21	1.44	 	1	0.07	 	39	2.67	 	433	29.7	 	0	0	 	1	0.07	 	4	0.27	 	92	6.31	 	3	0.21	 	1458	97.98	 	30	2.02	 	1488	2.13
Rochedale South		                            	49	1.65	 	152	5.13	 	1161	39.16	 	20	0.67	 	2	0.07	 	103	3.47	 	1205	40.64	 	0	0	 	11	0.37	 	5	0.17	 	257	8.67	 	0	0	 	2965	98.18	 	55	1.82	 	3020	4.31
Runaway Bay (Fadden)		                       	11	2.2	 	40	8	 	192	38.4	 	3	0.6	 	2	0.4	 	8	1.6	 	213	42.6	 	0	0	 	0	0	 	2	0.4	 	29	5.8	 	0	0	 	500	97.85	 	11	2.15	 	511	0.73
Shailer Park (Fadden)		                      	72	1.77	 	157	3.86	 	1803	44.3	 	19	0.47	 	3	0.07	 	87	2.14	 	1592	39.12	 	3	0.07	 	6	0.15	 	8	0.2	 	319	7.84	 	1	0.02	 	4070	98.05	 	81	1.95	 	4151	5.93
Slacks Creek (Fadden)		                      	38	1.03	 	146	3.96	 	1619	43.9	 	19	0.52	 	4	0.11	 	129	3.5	 	1347	36.52	 	1	0.03	 	8	0.22	 	6	0.16	 	370	10.03	 	1	0.03	 	3688	98.61	 	52	1.39	 	3740	5.34
Springwood Central		                         	22	0.86	 	123	4.81	 	1171	45.81	 	19	0.74	 	2	0.08	 	95	3.72	 	910	35.6	 	0	0	 	0	0	 	3	0.12	 	209	8.18	 	2	0.08	 	2556	98.65	 	35	1.35	 	2591	3.7
Springwood Road		                            	48	1.16	 	197	4.76	 	1781	43.02	 	24	0.58	 	2	0.05	 	154	3.72	 	1541	37.22	 	1	0.02	 	6	0.14	 	6	0.14	 	379	9.15	 	1	0.02	 	4140	98.31	 	71	1.69	 	4211	6.02
Upper Mt Gravatt (Fadden)		                  	39	0.98	 	200	5.05	 	1614	40.75	 	24	0.61	 	4	0.1	 	117	2.95	 	1601	40.42	 	2	0.05	 	14	0.35	 	8	0.2	 	334	8.43	 	4	0.1	 	3961	96.82	 	130	3.18	 	4091	5.84
Woongoolba		                                 	11	1.67	 	155	23.59	 	245	37.29	 	0	0	 	0	0	 	10	1.52	 	208	31.66	 	0	0	 	1	0.15	 	1	0.15	 	25	3.81	 	1	0.15	 	657	96.9	 	21	3.1	 	678	0.97
Special Hospitals		                          	3	1.08	 	21	7.53	 	166	59.5	 	2	0.72	 	1	0.36	 	1	0.36	 	70	25.09	 	1	0.36	 	0	0	 	0	0	 	14	5.02	 	0	0	 	279	90.88	 	28	9.12	 	307	0.44
Total Ordinary		                             	901	1.53	 	3587	6.11	 	24979	42.54	 	436	0.74	 	49	0.08	 	1860	3.17	 	22110	37.65	 	21	0.04	 	114	0.19	 	85	0.14	 	4539	7.73	 	37	0.06	 	58718	97.97	 	1217	2.03	 	59935	85.62
ABSENT		                                     	91	1.67	 	354	6.49	 	2074	38.05	 	50	0.92	 	5	0.09	 	283	5.19	 	2125	38.98	 	5	0.09	 	14	0.26	 	15	0.28	 	428	7.85	 	7	0.13	 	5451	98.59	 	78	1.41	 	5529	7.9
POSTAL		                                     	27	1.38	 	126	6.43	 	931	47.5	 	29	1.48	 	0	0	 	45	2.3	 	658	33.57	 	2	0.1	 	3	0.15	 	2	0.1	 	135	6.89	 	2	0.1	 	1960	98.39	 	32	1.61	 	1992	2.85
PRE_POLL		                                   	21	0.93	 	126	5.55	 	1156	50.93	 	20	0.88	 	3	0.13	 	69	3.04	 	727	32.03	 	0	0	 	5	0.22	 	2	0.09	 	140	6.17	 	1	0.04	 	2270	99.04	 	22	0.96	 	2292	3.27
PROVISIONAL		                                	4	1.6	 	17	6.8	 	95	38	 	0	0	 	1	0.4	 	9	3.6	 	109	43.6	 	2	0.8	 	2	0.8	 	0	0	 	11	4.4	 	0	0	 	250	97.28	 	7	2.72	 	257	0.37
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	1044	1.52	 	4210	6.13	 	29235	42.59	 	535	0.78	 	58	0.08	 	2266	3.3	 	25729	37.48	 	30	0.04	 	138	0.2	 	104	0.15	 	5253	7.65	 	47	0.07	 	68649	98.06	 	1356	1.94	 	70005	96.18
 																																														


Fairfax (77223)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bli Bli		                                    	59	2.99	 	340	17.24	 	684	34.69	 	12	0.61	 	1	0.05	 	68	3.45	 	599	30.38	 	0	0	 	8	0.41	 	11	0.56	 	190	9.63	 	0	0	 	1972	98.35	 	33	1.65	 	2005	2.73
Boreen Point		                               	8	2.92	 	42	15.33	 	80	29.2	 	0	0	 	0	0	 	7	2.55	 	107	39.05	 	1	0.36	 	3	1.09	 	2	0.73	 	23	8.39	 	1	0.36	 	274	99.64	 	1	0.36	 	275	0.37
Brisbane City (Fairfax)		                    	1	1.02	 	4	4.08	 	35	35.71	 	0	0	 	0	0	 	14	14.29	 	33	33.67	 	0	0	 	0	0	 	0	0	 	11	11.22	 	0	0	 	98	98	 	2	2	 	100	0.14
Buddina (Fairfax)		                          	6	1.97	 	33	10.82	 	137	44.92	 	1	0.33	 	0	0	 	16	5.25	 	88	28.85	 	0	0	 	1	0.33	 	3	0.98	 	20	6.56	 	0	0	 	305	99.03	 	3	0.97	 	308	0.42
Buderim		                                    	96	1.89	 	775	15.27	 	2544	50.13	 	39	0.77	 	1	0.02	 	150	2.96	 	1128	22.23	 	1	0.02	 	4	0.08	 	29	0.57	 	305	6.01	 	3	0.06	 	5075	98.33	 	86	1.67	 	5161	7.03
Buderim Garden Village		                     	9	0.81	 	166	14.95	 	586	52.79	 	10	0.9	 	1	0.09	 	15	1.35	 	248	22.34	 	0	0	 	0	0	 	1	0.09	 	74	6.67	 	0	0	 	1110	98.4	 	18	1.6	 	1128	1.54
Burnside		                                   	52	3.08	 	364	21.53	 	515	30.46	 	31	1.83	 	0	0	 	48	2.84	 	516	30.51	 	1	0.06	 	3	0.18	 	5	0.3	 	155	9.17	 	1	0.06	 	1691	98.37	 	28	1.63	 	1719	2.34
Coolum		                                     	72	1.95	 	287	7.78	 	1163	31.53	 	3	0.08	 	2	0.05	 	182	4.93	 	1583	42.91	 	1	0.03	 	10	0.27	 	32	0.87	 	354	9.6	 	0	0	 	3689	97.77	 	84	2.23	 	3773	5.14
Cooran		                                     	11	2.43	 	71	15.67	 	110	24.28	 	1	0.22	 	0	0	 	20	4.42	 	199	43.93	 	1	0.22	 	3	0.66	 	1	0.22	 	36	7.95	 	0	0	 	453	99.78	 	1	0.22	 	454	0.62
Cooroy		                                     	72	3.21	 	422	18.81	 	821	36.6	 	21	0.94	 	1	0.04	 	59	2.63	 	609	27.15	 	0	0	 	11	0.49	 	2	0.09	 	223	9.94	 	2	0.09	 	2243	97.86	 	49	2.14	 	2292	3.12
Cotton Tree		                                	18	1.01	 	256	14.39	 	644	36.2	 	8	0.45	 	3	0.17	 	43	2.42	 	641	36.03	 	0	0	 	17	0.96	 	12	0.67	 	135	7.59	 	2	0.11	 	1779	97.59	 	44	2.41	 	1823	2.48
Didillibah		                                 	27	4.45	 	117	19.28	 	213	35.09	 	0	0	 	0	0	 	28	4.61	 	166	27.35	 	1	0.16	 	0	0	 	5	0.82	 	49	8.07	 	1	0.16	 	607	99.02	 	6	0.98	 	613	0.83
Eudlo		                                      	15	2.72	 	90	16.3	 	167	30.25	 	2	0.36	 	1	0.18	 	59	10.69	 	162	29.35	 	1	0.18	 	1	0.18	 	3	0.54	 	51	9.24	 	0	0	 	552	98.4	 	9	1.6	 	561	0.76
Eumundi		                                    	47	2.65	 	290	16.37	 	686	38.71	 	10	0.56	 	0	0	 	101	5.7	 	482	27.2	 	1	0.06	 	4	0.23	 	17	0.96	 	134	7.56	 	0	0	 	1772	98.23	 	32	1.77	 	1804	2.46
