Senate - 1993 Election: New South Wales																																																																												
First Preference Votes by Group																																																																												
By Polling Place																																																																												


Banks (79242)																																																																												

	   		Group Total GA			Group Total NLP			Group Total CEG			Group Total RPA			Group Total - Unendorsed Group E			Group Total CAP			Group Total ASP			Group Ttotal - Unendorsed Group H			Group Total LNP			Group Ttotal - Unendorsed Group J			Group Total DEM			Group Total ALP			Group Ttotal - Unendorsed Group M			Group Total GRN			Group Total CTA			Group Total AFI			Group Ttotal - Unendorsed Group Q			Group Total GRY			Group Ttotal - Unendorsed Group S			Group Ttotal - Unendorsed Group T			Group Ttotal - Unendorsed Group U			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Millthorpe		                                 	6	1.03	 	5	0.86	 	0	0	 	1	0.17	 	2	0.34	 	2	0.34	 	9	1.55	 	0	0	 	295	50.69	 	0	0	 	19	3.26	 	224	38.49	 	1	0.17	 	5	0.86	 	6	1.03	 	2	0.34	 	1	0.17	 	2	0.34	 	0	0	 	0	0	 	0	0	 	2	0.34	 	582	98.15	 	11	1.85	 	593	0.8
Mitchell Campus		                            	4	2.33	 	1	0.58	 	0	0	 	1	0.58	 	0	0	 	0	0	 	2	1.16	 	0	0	 	55	31.98	 	0	0	 	28	16.28	 	70	40.7	 	0	0	 	10	5.81	 	1	0.58	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	172	100	 	0	0	 	172	0.23
Molong		                                     	13	0.92	 	4	0.28	 	1	0.07	 	2	0.14	 	2	0.14	 	3	0.21	 	52	3.7	 	0	0	 	666	47.37	 	2	0.14	 	34	2.42	 	532	37.84	 	2	0.14	 	10	0.71	 	66	4.69	 	6	0.43	 	0	0	 	5	0.36	 	1	0.07	 	0	0	 	1	0.07	 	4	0.28	 	1406	97.3	 	39	2.7	 	1445	1.95
Morts Estate		                               	7	1.7	 	0	0	 	2	0.49	 	0	0	 	1	0.24	 	0	0	 	15	3.65	 	0	0	 	49	11.92	 	2	0.49	 	14	3.41	 	313	76.16	 	0	0	 	5	1.22	 	0	0	 	3	0.73	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	411	99.04	 	4	0.96	 	415	0.56
Mullion Creek		                              	3	1.44	 	1	0.48	 	0	0	 	0	0	 	1	0.48	 	0	0	 	8	3.83	 	0	0	 	117	55.98	 	0	0	 	12	5.74	 	56	26.79	 	0	0	 	1	0.48	 	5	2.39	 	2	0.96	 	0	0	 	0	0	 	2	0.96	 	0	0	 	0	0	 	1	0.48	 	209	98.58	 	3	1.42	 	212	0.29
Mumbil		                                     	0	0	 	0	0	 	0	0	 	0	0	 	1	0.6	 	1	0.6	 	6	3.57	 	0	0	 	60	35.71	 	1	0.6	 	12	7.14	 	83	49.4	 	0	0	 	1	0.6	 	2	1.19	 	0	0	 	0	0	 	1	0.6	 	0	0	 	0	0	 	0	0	 	0	0	 	168	96.55	 	6	3.45	 	174	0.24
Nashdale		                                   	4	1.24	 	1	0.31	 	0	0	 	1	0.31	 	1	0.31	 	0	0	 	15	4.66	 	0	0	 	214	66.46	 	2	0.62	 	13	4.04	 	50	15.53	 	0	0	 	10	3.11	 	4	1.24	 	2	0.62	 	0	0	 	3	0.93	 	0	0	 	0	0	 	0	0	 	2	0.62	 	322	99.08	 	3	0.92	 	325	0.44
Neurea		                                     	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	5	5.05	 	0	0	 	80	80.81	 	0	0	 	5	5.05	 	8	8.08	 	0	0	 	0	0	 	1	1.01	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	99	100	 	0	0	 	99	0.13
Neville		                                    	2	1.71	 	2	1.71	 	0	0	 	0	0	 	0	0	 	0	0	 	7	5.98	 	0	0	 	72	61.54	 	0	0	 	3	2.56	 	27	23.08	 	0	0	 	0	0	 	0	0	 	3	2.56	 	0	0	 	1	0.85	 	0	0	 	0	0	 	0	0	 	0	0	 	117	100	 	0	0	 	117	0.16
Newbridge		                                  	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	7	5.6	 	0	0	 	66	52.8	 	0	0	 	5	4	 	45	36	 	0	0	 	2	1.6	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	125	97.66	 	3	2.34	 	128	0.17
O'Connell		                                  	1	0.5	 	1	0.5	 	0	0	 	1	0.5	 	0	0	 	0	0	 	3	1.51	 	1	0.5	 	115	57.79	 	1	0.5	 	21	10.55	 	39	19.6	 	0	0	 	6	3.02	 	6	3.02	 	1	0.5	 	0	0	 	0	0	 	2	1.01	 	0	0	 	0	0	 	1	0.5	 	199	99.5	 	1	0.5	 	200	0.27
Oakey Park		                                 	3	0.83	 	1	0.28	 	0	0	 	0	0	 	0	0	 	0	0	 	9	2.5	 	0	0	 	52	14.44	 	1	0.28	 	20	5.56	 	259	71.94	 	0	0	 	4	1.11	 	7	1.94	 	2	0.56	 	0	0	 	2	0.56	 	0	0	 	0	0	 	0	0	 	0	0	 	360	97.83	 	8	2.17	 	368	0.5
Oberon		                                     	18	0.99	 	4	0.22	 	0	0	 	4	0.22	 	4	0.22	 	3	0.16	 	96	5.27	 	1	0.05	 	848	46.54	 	1	0.05	 	74	4.06	 	705	38.69	 	0	0	 	14	0.77	 	32	1.76	 	13	0.71	 	1	0.05	 	2	0.11	 	0	0	 	0	0	 	1	0.05	 	1	0.05	 	1822	96.81	 	60	3.19	 	1882	2.54
Orange		                                     	20	0.97	 	7	0.34	 	2	0.1	 	3	0.15	 	3	0.15	 	2	0.1	 	27	1.31	 	2	0.1	 	1009	49.12	 	2	0.1	 	100	4.87	 	771	37.54	 	2	0.1	 	50	2.43	 	36	1.75	 	9	0.44	 	0	0	 	6	0.29	 	0	0	 	1	0.05	 	1	0.05	 	1	0.05	 	2054	97.07	 	62	2.93	 	2116	2.86
Orange East		                                	10	1.1	 	2	0.22	 	3	0.33	 	0	0	 	1	0.11	 	0	0	 	24	2.65	 	1	0.11	 	338	37.31	 	1	0.11	 	30	3.31	 	441	48.68	 	0	0	 	27	2.98	 	15	1.66	 	6	0.66	 	0	0	 	4	0.44	 	0	0	 	0	0	 	0	0	 	3	0.33	 	906	96.69	 	31	3.31	 	937	1.27
Orange Hospital		                            	4	1.19	 	0	0	 	0	0	 	1	0.3	 	0	0	 	0	0	 	9	2.68	 	0	0	 	135	40.18	 	0	0	 	20	5.95	 	145	43.15	 	0	0	 	6	1.79	 	8	2.38	 	6	1.79	 	1	0.3	 	1	0.3	 	0	0	 	0	0	 	0	0	 	0	0	 	336	98.25	 	6	1.75	 	342	0.46
Orange North		                               	20	1.73	 	4	0.35	 	3	0.26	 	1	0.09	 	2	0.17	 	0	0	 	25	2.16	 	1	0.09	 	511	44.24	 	1	0.09	 	61	5.28	 	449	38.87	 	1	0.09	 	34	2.94	 	26	2.25	 	10	0.87	 	0	0	 	2	0.17	 	0	0	 	0	0	 	1	0.09	 	3	0.26	 	1155	96.41	 	43	3.59	 	1198	1.62
Orange South		                               	21	1.25	 	2	0.12	 	0	0	 	1	0.06	 	4	0.24	 	2	0.12	 	35	2.09	 	1	0.06	 	833	49.73	 	0	0	 	61	3.64	 	615	36.72	 	3	0.18	 	38	2.27	 	40	2.39	 	11	0.66	 	0	0	 	4	0.24	 	1	0.06	 	0	0	 	0	0	 	3	0.18	 	1675	97.84	 	37	2.16	 	1712	2.31
Orange West		                                	30	0.89	 	8	0.24	 	0	0	 	7	0.21	 	7	0.21	 	0	0	 	68	2.02	 	1	0.03	 	1822	54.24	 	4	0.12	 	153	4.55	 	1087	32.36	 	1	0.03	 	57	1.7	 	92	2.74	 	12	0.36	 	0	0	 	3	0.09	 	2	0.06	 	1	0.03	 	1	0.03	 	3	0.09	 	3359	97.96	 	70	2.04	 	3429	4.63
Peel		                                       	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	3	2.91	 	0	0	 	62	60.19	 	0	0	 	9	8.74	 	27	26.21	 	0	0	 	1	0.97	 	1	0.97	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	103	97.17	 	3	2.83	 	106	0.14
Perthville		                                 	6	1.57	 	1	0.26	 	0	0	 	2	0.52	 	0	0	 	0	0	 	15	3.94	 	0	0	 	193	50.66	 	1	0.26	 	24	6.3	 	114	29.92	 	0	0	 	11	2.89	 	11	2.89	 	3	0.79	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	381	98.45	 	6	1.55	 	387	0.52
Portland		                                   	12	0.91	 	2	0.15	 	1	0.08	 	0	0	 	1	0.08	 	0	0	 	22	1.66	 	0	0	 	213	16.1	 	3	0.23	 	37	2.8	 	1008	76.19	 	1	0.08	 	6	0.45	 	9	0.68	 	4	0.3	 	0	0	 	1	0.08	 	0	0	 	0	0	 	0	0	 	3	0.23	 	1323	97.21	 	38	2.79	 	1361	1.84
Raglan		                                     	7	1.05	 	1	0.15	 	0	0	 	0	0	 	1	0.15	 	0	0	 	31	4.65	 	1	0.15	 	238	35.74	 	2	0.3	 	52	7.81	 	299	44.89	 	0	0	 	14	2.1	 	13	1.95	 	6	0.9	 	0	0	 	1	0.15	 	0	0	 	0	0	 	0	0	 	0	0	 	666	98.52	 	10	1.48	 	676	0.91
Rockley		                                    	3	1.14	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	14	5.3	 	0	0	 	151	57.2	 	0	0	 	10	3.79	 	80	30.3	 	0	0	 	4	1.52	 	1	0.38	 	1	0.38	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	264	98.88	 	3	1.12	 	267	0.36
Rydal		                                      	3	2.44	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	4	3.25	 	0	0	 	57	46.34	 	1	0.81	 	7	5.69	 	46	37.4	 	1	0.81	 	1	0.81	 	2	1.63	 	1	0.81	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	123	100	 	0	0	 	123	0.17
Rylstone		                                   	11	1.39	 	1	0.13	 	1	0.13	 	0	0	 	1	0.13	 	0	0	 	34	4.31	 	1	0.13	 	330	41.83	 	0	0	 	25	3.17	 	345	43.73	 	0	0	 	14	1.77	 	13	1.65	 	8	1.01	 	0	0	 	3	0.38	 	0	0	 	0	0	 	0	0	 	2	0.25	 	789	96.93	 	25	3.07	 	814	1.1
Sofala		                                     	3	3.26	 	1	1.09	 	0	0	 	0	0	 	0	0	 	0	0	 	10	10.87	 	0	0	 	31	33.7	 	0	0	 	5	5.43	 	36	39.13	 	1	1.09	 	2	2.17	 	0	0	 	2	2.17	 	0	0	 	0	0	 	1	1.09	 	0	0	 	0	0	 	0	0	 	92	93.88	 	6	6.12	 	98	0.13
Spring Hill		                                	1	0.47	 	0	0	 	0	0	 	0	0	 	2	0.94	 	0	0	 	6	2.82	 	0	0	 	122	57.28	 	0	0	 	3	1.41	 	72	33.8	 	0	0	 	4	1.88	 	1	0.47	 	2	0.94	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	213	98.61	 	3	1.39	 	216	0.29
Spring Terrace		                             	1	0.63	 	0	0	 	1	0.63	 	0	0	 	1	0.63	 	0	0	 	4	2.53	 	0	0	 	98	62.03	 	0	0	 	11	6.96	 	35	22.15	 	0	0	 	3	1.9	 	2	1.27	 	1	0.63	 	0	0	 	1	0.63	 	0	0	 	0	0	 	0	0	 	0	0	 	158	98.75	 	2	1.25	 	160	0.22
Stuart Town		                                	6	2.86	 	1	0.48	 	0	0	 	0	0	 	1	0.48	 	1	0.48	 	3	1.43	 	0	0	 	79	37.62	 	0	0	 	12	5.71	 	99	47.14	 	0	0	 	2	0.95	 	4	1.9	 	1	0.48	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.48	 	210	97.67	 	5	2.33	 	215	0.29
Summer Hill Creek		                          	3	2.24	 	0	0	 	0	0	 	0	0	 	2	1.49	 	1	0.75	 	9	6.72	 	0	0	 	75	55.97	 	1	0.75	 	5	3.73	 	32	23.88	 	0	0	 	4	2.99	 	1	0.75	 	1	0.75	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	134	95.71	 	6	4.29	 	140	0.19
Sunny Corner		                               	1	1.15	 	1	1.15	 	0	0	 	0	0	 	1	1.15	 	0	0	 	12	13.79	 	0	0	 	23	26.44	 	0	0	 	11	12.64	 	37	42.53	 	0	0	 	0	0	 	1	1.15	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	87	96.67	 	3	3.33	 	90	0.12
Sydney (Calare)		                            	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	3.13	 	0	0	 	30	46.88	 	0	0	 	5	7.81	 	23	35.94	 	0	0	 	3	4.69	 	1	1.56	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	64	100	 	0	0	 	64	0.09
Tarana		                                     	1	1.01	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	4	4.04	 	0	0	 	49	49.49	 	0	0	 	2	2.02	 	40	40.4	 	0	0	 	0	0	 	2	2.02	 	1	1.01	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	99	99	 	1	1	 	100	0.14
The Lagoon		                                 	0	0	 	1	0.88	 	0	0	 	0	0	 	0	0	 	0	0	 	5	4.39	 	0	0	 	75	65.79	 	1	0.88	 	6	5.26	 	22	19.3	 	0	0	 	0	0	 	1	0.88	 	0	0	 	0	0	 	0	0	 	2	1.75	 	0	0	 	0	0	 	1	0.88	 	114	97.44	 	3	2.56	 	117	0.16
Trunkey Creek		                              	2	1.38	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	7	4.83	 	0	0	 	99	68.28	 	0	0	 	5	3.45	 	29	20	 	0	0	 	0	0	 	2	1.38	 	1	0.69	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	145	98.64	 	2	1.36	 	147	0.2
Tweed Mills		                                	5	0.8	 	0	0	 	0	0	 	3	0.48	 	0	0	 	0	0	 	8	1.28	 	0	0	 	101	16.16	 	2	0.32	 	19	3.04	 	473	75.68	 	0	0	 	0	0	 	8	1.28	 	4	0.64	 	0	0	 	0	0	 	1	0.16	 	0	0	 	0	0	 	1	0.16	 	625	98.27	 	11	1.73	 	636	0.86
Vale Of Clwydd		                             	3	0.58	 	1	0.19	 	0	0	 	0	0	 	2	0.39	 	1	0.19	 	12	2.31	 	0	0	 	95	18.3	 	1	0.19	 	18	3.47	 	378	72.83	 	0	0	 	2	0.39	 	5	0.96	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.19	 	519	97.19	 	15	2.81	 	534	0.72
Wallerawang		                                	21	1.68	 	3	0.24	 	1	0.08	 	0	0	 	1	0.08	 	0	0	 	28	2.24	 	1	0.08	 	269	21.52	 	2	0.16	 	42	3.36	 	851	68.08	 	1	0.08	 	2	0.16	 	19	1.52	 	9	0.72	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1250	96.38	 	47	3.62	 	1297	1.75
Wattle Flat		                                	4	3.1	 	1	0.78	 	0	0	 	0	0	 	1	0.78	 	0	0	 	3	2.33	 	0	0	 	47	36.43	 	0	0	 	12	9.3	 	58	44.96	 	0	0	 	2	1.55	 	0	0	 	1	0.78	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	129	98.47	 	2	1.53	 	131	0.18
Yeoval		                                     	8	1.68	 	1	0.21	 	0	0	 	0	0	 	0	0	 	0	0	 	10	2.1	 	0	0	 	289	60.71	 	0	0	 	7	1.47	 	149	31.3	 	0	0	 	1	0.21	 	9	1.89	 	2	0.42	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	476	97.74	 	11	2.26	 	487	0.66
Special Hospitals		                          	5	1.06	 	1	0.21	 	1	0.21	 	1	0.21	 	0	0	 	0	0	 	0	0	 	1	0.21	 	232	49.26	 	0	0	 	9	1.91	 	209	44.37	 	0	0	 	1	0.21	 	9	1.91	 	2	0.42	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	471	97.11	 	14	2.89	 	485	0.66
Total Ordinary		                             	781	1.24	 	142	0.23	 	43	0.07	 	68	0.11	 	140	0.22	 	61	0.1	 	1737	2.76	 	38	0.06	 	25160	40.05	 	68	0.11	 	2814	4.48	 	28896	45.99	 	25	0.04	 	1091	1.74	 	1012	1.61	 	369	0.59	 	11	0.02	 	136	0.22	 	97	0.15	 	7	0.01	 	13	0.02	 	116	0.18	 	62825	97.44	 	1649	2.56	 	64474	87.11
ABSENT		                                     	53	1.08	 	21	0.43	 	5	0.1	 	8	0.16	 	9	0.18	 	7	0.14	 	163	3.33	 	1	0.02	 	2056	41.98	 	3	0.06	 	253	5.17	 	1995	40.73	 	0	0	 	136	2.78	 	118	2.41	 	42	0.86	 	0	0	 	11	0.22	 	6	0.12	 	1	0.02	 	3	0.06	 	7	0.14	 	4898	98.79	 	60	1.21	 	4958	6.7
POSTAL		                                     	24	0.96	 	0	0	 	4	0.16	 	1	0.04	 	8	0.32	 	3	0.12	 	63	2.52	 	0	0	 	1011	40.41	 	7	0.28	 	107	4.28	 	1141	45.6	 	0	0	 	32	1.28	 	37	1.48	 	33	1.32	 	0	0	 	23	0.92	 	2	0.08	 	0	0	 	0	0	 	6	0.24	 	2502	98.78	 	31	1.22	 	2533	3.42
PRE_POLL		                                   	11	0.89	 	5	0.41	 	1	0.08	 	7	0.57	 	6	0.49	 	2	0.16	 	18	1.46	 	1	0.08	 	636	51.71	 	2	0.16	 	70	5.69	 	402	32.68	 	1	0.08	 	34	2.76	 	20	1.63	 	8	0.65	 	1	0.08	 	4	0.33	 	0	0	 	0	0	 	0	0	 	1	0.08	 	1230	99.6	 	5	0.4	 	1235	1.67
PROVISIONAL		                                	19	2.4	 	3	0.38	 	0	0	 	1	0.13	 	2	0.25	 	0	0	 	32	4.04	 	0	0	 	241	30.39	 	0	0	 	31	3.91	 	431	54.35	 	2	0.25	 	21	2.65	 	4	0.5	 	3	0.38	 	1	0.13	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.25	 	793	98.88	 	9	1.12	 	802	1.08
ADJUSTMENT		                                 	-3		       	2		       	1		       	1		       	1		       	0		       	2		       	-1		       	-19		       	0		       	3		       	1		       	0		       	1		       	1		       	0		       	-1		       	1		       	0		       	0		       	2		       	-1		       	-9		       	25		       	16	
Division Summary		                           	885	1.23	 	173	0.24	 	54	0.07	 	86	0.12	 	166	0.23	 	73	0.1	 	2015	2.79	 	39	0.05	 	29085	40.26	 	80	0.11	 	3278	4.54	 	32866	45.5	 	28	0.04	 	1315	1.82	 	1192	1.65	 	455	0.63	 	12	0.02	 	175	0.24	 	105	0.15	 	8	0.01	 	18	0.02	 	131	0.18	 	72239	97.6	 	1779	2.4	 	74018	97.52


Charlton (77970)																																																																												

	   		Group Total GA			Group Total NLP			Group Total CEG			Group Total RPA			Group Total - Unendorsed Group E			Group Total CAP			Group Total ASP			Group Ttotal - Unendorsed Group H			Group Total LNP			Group Ttotal - Unendorsed Group J			Group Total DEM			Group Total ALP			Group Ttotal - Unendorsed Group M			Group Total GRN			Group Total CTA			Group Total AFI			Group Ttotal - Unendorsed Group Q			Group Total GRY			Group Ttotal - Unendorsed Group S			Group Ttotal - Unendorsed Group T			Group Ttotal - Unendorsed Group U			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Arcadia Vale		                               	12	1.53	 	0	0	 	2	0.26	 	2	0.26	 	0	0	 	0	0	 	31	3.95	 	3	0.38	 	179	22.83	 	1	0.13	 	49	6.25	 	478	60.97	 	1	0.13	 	10	1.28	 	7	0.89	 	4	0.51	 	1	0.13	 	3	0.38	 	0	0	 	0	0	 	0	0	 	1	0.13	 	784	98.25	 	14	1.75	 	798	1.05
Argenton		                                   	20	2.3	 	3	0.35	 	4	0.46	 	0	0	 	1	0.12	 	2	0.23	 	20	2.3	 	0	0	 	123	14.15	 	1	0.12	 	54	6.21	 	606	69.74	 	0	0	 	15	1.73	 	11	1.27	 	4	0.46	 	1	0.12	 	2	0.23	 	0	0	 	0	0	 	2	0.23	 	0	0	 	869	96.56	 	31	3.44	 	900	1.18
Awaba		                                      	2	0.74	 	1	0.37	 	0	0	 	0	0	 	1	0.37	 	8	2.95	 	7	2.58	 	0	0	 	50	18.45	 	1	0.37	 	16	5.9	 	178	65.68	 	0	0	 	3	1.11	 	2	0.74	 	0	0	 	0	0	 	2	0.74	 	0	0	 	0	0	 	0	0	 	0	0	 	271	99.63	 	1	0.37	 	272	0.36
Barnsley		                                   	12	1.09	 	1	0.09	 	1	0.09	 	0	0	 	3	0.27	 	2	0.18	 	50	4.56	 	0	0	 	174	15.86	 	1	0.09	 	65	5.93	 	729	66.45	 	1	0.09	 	28	2.55	 	22	2.01	 	6	0.55	 	0	0	 	1	0.09	 	0	0	 	0	0	 	0	0	 	1	0.09	 	1097	97.95	 	23	2.05	 	1120	1.47
Blackalls		                                  	14	0.9	 	3	0.19	 	2	0.13	 	1	0.06	 	1	0.06	 	2	0.13	 	53	3.42	 	0	0	 	252	16.27	 	0	0	 	103	6.65	 	1066	68.82	 	1	0.06	 	22	1.42	 	22	1.42	 	6	0.39	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.06	 	1549	97.61	 	38	2.39	 	1587	2.08
Bolton Point		                               	6	0.94	 	0	0	 	0	0	 	2	0.31	 	0	0	 	1	0.16	 	8	1.25	 	0	0	 	182	28.39	 	1	0.16	 	40	6.24	 	366	57.1	 	1	0.16	 	17	2.65	 	10	1.56	 	1	0.16	 	0	0	 	3	0.47	 	2	0.31	 	0	0	 	0	0	 	1	0.16	 	641	98.62	 	9	1.38	 	650	0.85
Bonnells Bay		                               	19	1.52	 	2	0.16	 	0	0	 	1	0.08	 	6	0.48	 	2	0.16	 	35	2.8	 	1	0.08	 	378	30.19	 	1	0.08	 	74	5.91	 	685	54.71	 	1	0.08	 	19	1.52	 	14	1.12	 	5	0.4	 	0	0	 	5	0.4	 	0	0	 	0	0	 	0	0	 	4	0.32	 	1252	98.2	 	23	1.8	 	1275	1.67
Boolaroo		                                   	19	2.13	 	3	0.34	 	0	0	 	0	0	 	2	0.22	 	1	0.11	 	36	4.03	 	0	0	 	155	17.34	 	1	0.11	 	43	4.81	 	589	65.88	 	1	0.11	 	9	1.01	 	26	2.91	 	4	0.45	 	1	0.11	 	3	0.34	 	0	0	 	0	0	 	1	0.11	 	0	0	 	894	96.03	 	37	3.97	 	931	1.22
Booragul		                                   	20	1.73	 	1	0.09	 	2	0.17	 	1	0.09	 	3	0.26	 	1	0.09	 	20	1.73	 	0	0	 	197	17.01	 	0	0	 	67	5.79	 	801	69.17	 	0	0	 	18	1.55	 	17	1.47	 	5	0.43	 	0	0	 	3	0.26	 	0	0	 	0	0	 	1	0.09	 	1	0.09	 	1158	98.3	 	20	1.7	 	1178	1.55
Booragul Homes		                             	3	2.07	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	51	35.17	 	0	0	 	3	2.07	 	85	58.62	 	0	0	 	0	0	 	1	0.69	 	0	0	 	0	0	 	1	0.69	 	0	0	 	0	0	 	1	0.69	 	0	0	 	145	97.97	 	3	2.03	 	148	0.19
Brightwaters		                               	11	1.31	 	0	0	 	1	0.12	 	1	0.12	 	5	0.6	 	0	0	 	24	2.87	 	0	0	 	284	33.93	 	2	0.24	 	61	7.29	 	418	49.94	 	0	0	 	8	0.96	 	12	1.43	 	5	0.6	 	0	0	 	2	0.24	 	0	0	 	0	0	 	1	0.12	 	2	0.24	 	837	98.82	 	10	1.18	 	847	1.11
Cardiff		                                    	31	1.33	 	3	0.13	 	2	0.09	 	4	0.17	 	2	0.09	 	1	0.04	 	58	2.49	 	2	0.09	 	582	25.01	 	3	0.13	 	142	6.1	 	1372	58.96	 	0	0	 	82	3.52	 	33	1.42	 	4	0.17	 	0	0	 	1	0.04	 	0	0	 	0	0	 	4	0.17	 	1	0.04	 	2327	97.81	 	52	2.19	 	2379	3.12
Cardiff East		                               	13	1.28	 	3	0.3	 	0	0	 	2	0.2	 	1	0.1	 	0	0	 	13	1.28	 	0	0	 	196	19.35	 	2	0.2	 	47	4.64	 	686	67.72	 	2	0.2	 	17	1.68	 	16	1.58	 	8	0.79	 	1	0.1	 	4	0.39	 	0	0	 	0	0	 	2	0.2	 	0	0	 	1013	97.4	 	27	2.6	 	1040	1.37
Cardiff Heights		                            	19	1.07	 	4	0.22	 	1	0.06	 	3	0.17	 	3	0.17	 	0	0	 	30	1.69	 	1	0.06	 	711	39.99	 	1	0.06	 	136	7.65	 	769	43.25	 	0	0	 	56	3.15	 	33	1.86	 	6	0.34	 	0	0	 	2	0.11	 	0	0	 	0	0	 	0	0	 	3	0.17	 	1778	98.02	 	36	1.98	 	1814	2.38
Cardiff North		                              	16	1.13	 	2	0.14	 	0	0	 	1	0.07	 	1	0.07	 	0	0	 	25	1.77	 	0	0	 	388	27.46	 	2	0.14	 	99	7.01	 	818	57.89	 	0	0	 	31	2.19	 	22	1.56	 	4	0.28	 	0	0	 	4	0.28	 	0	0	 	0	0	 	0	0	 	0	0	 	1413	97.85	 	31	2.15	 	1444	1.9
Cardiff South		                              	28	1.71	 	3	0.18	 	1	0.06	 	2	0.12	 	3	0.18	 	3	0.18	 	42	2.56	 	4	0.24	 	327	19.96	 	1	0.06	 	88	5.37	 	1054	64.35	 	1	0.06	 	32	1.95	 	39	2.38	 	7	0.43	 	0	0	 	2	0.12	 	0	0	 	0	0	 	0	0	 	1	0.06	 	1638	97.62	 	40	2.38	 	1678	2.2
Carey Bay		                                  	6	0.67	 	2	0.22	 	1	0.11	 	0	0	 	0	0	 	0	0	 	12	1.35	 	1	0.11	 	424	47.53	 	0	0	 	54	6.05	 	358	40.13	 	1	0.11	 	17	1.91	 	12	1.35	 	1	0.11	 	0	0	 	2	0.22	 	0	0	 	0	0	 	1	0.11	 	0	0	 	892	97.27	 	25	2.73	 	917	1.2
Coal Point		                                 	5	0.67	 	1	0.13	 	1	0.13	 	1	0.13	 	1	0.13	 	0	0	 	3	0.4	 	1	0.13	 	342	45.78	 	0	0	 	58	7.76	 	294	39.36	 	0	0	 	28	3.75	 	5	0.67	 	1	0.13	 	0	0	 	4	0.54	 	0	0	 	0	0	 	0	0	 	2	0.27	 	747	98.68	 	10	1.32	 	757	0.99
Cooranbong		                                 	13	1.93	 	4	0.59	 	0	0	 	2	0.3	 	1	0.15	 	1	0.15	 	13	1.93	 	0	0	 	240	35.61	 	1	0.15	 	55	8.16	 	314	46.59	 	1	0.15	 	8	1.19	 	9	1.34	 	8	1.19	 	0	0	 	3	0.45	 	0	0	 	0	0	 	0	0	 	1	0.15	 	674	96.42	 	25	3.58	 	699	0.92
Dora Creek		                                 	10	1.04	 	2	0.21	 	0	0	 	0	0	 	3	0.31	 	0	0	 	26	2.69	 	0	0	 	300	31.06	 	1	0.1	 	77	7.97	 	518	53.62	 	0	0	 	14	1.45	 	9	0.93	 	3	0.31	 	0	0	 	3	0.31	 	0	0	 	0	0	 	0	0	 	0	0	 	966	97.77	 	22	2.23	 	988	1.3
