Senate - 1993 Election																
First Preference Votes By Candidate																
By Vote Type by Division																


New South Wales																

Banks (79242)																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
		"PAYNE, Marise Ann"	LP	59	0.09	3	0.06	1	0.13	4	0.11	2	0.09	0	69	0.09
		Group Total	LNP	34026	53	2565	49.49	354	45.1	1904	54.48	1303	61.49	-2	40150	52.98
J		TICKET VOTES		45	0.07	10	0.19	1	0.13	4	0.11	0	0	0	60	0.08
		"SANTA CLAUS, O"		27	0.04	1	0.02	0	0	0	0	1	0.05	0	29	0.04
		"ROLO, Lord"		4	0.01	0	0	0	0	2	0.06	0	0	0	6	0.01
		Group Total		76	0.12	11	0.21	1	0.13	6	0.17	1	0.05	0	95	0.13
K		TICKET VOTES	DEM	3617	5.63	270	5.21	44	5.61	195	5.58	131	6.18	0	4257	5.62
		"SOWADA, Karin"	DEM	795	1.24	77	1.49	4	0.51	43	1.23	14	0.66	-1	932	1.23
		"GRIFFITHS, Ray Ian"	DEM	9	0.01	0	0	0	0	2	0.06	0	0	0	11	0.01
		"CHESTERFIELD-EVANS, Arthur"	DEM	35	0.05	3	0.06	0	0	1	0.03	1	0.05	0	40	0.05
		Group Total	DEM	4456	6.94	350	6.75	48	6.11	241	6.9	146	6.89	-1	5240	6.92
L		TICKET VOTES	ALP	18554	28.9	1557	30.04	282	35.92	957	27.38	466	21.99	0	21816	28.79
	#	"RICHARDSON, Graham Frederick"	ALP	841	1.31	76	1.47	18	2.29	52	1.49	24	1.13	-2	1009	1.33
	#	"FAULKNER, John"	ALP	30	0.05	2	0.04	2	0.25	0	0	1	0.05	-1	34	0.04
	#	"SIBRAA, Kerry"	ALP	31	0.05	2	0.04	0	0	1	0.03	1	0.05	1	36	0.05
		"ARMSTRONG, Mary-Anne"	ALP	77	0.12	11	0.21	2	0.25	8	0.23	3	0.14	1	102	0.13
		Group Total	ALP	19533	30.42	1648	31.8	304	38.73	1018	29.13	495	23.36	-1	22997	30.35
M		TICKET VOTES		11	0.02	2	0.04	1	0.13	1	0.03	1	0.05	0	16	0.02
		"STEVENS, David Richard"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"HARRISON, Yvonne"		0	0	0	0	0	0	1	0.03	0	0	0	1	0
		Group Total		11	0.02	2	0.04	1	0.13	2	0.06	1	0.05	0	17	0.02
N		TICKET VOTES	GRN	1547	2.41	188	3.63	28	3.57	109	3.12	28	1.32	0	1900	2.51
		"BRIGHAM, Steve"	GRN	448	0.7	60	1.16	3	0.38	22	0.63	6	0.28	0	539	0.71
		"WALLACE, Joy"	GRN	14	0.02	1	0.02	0	0	1	0.03	0	0	0	16	0.02
		"COHEN, Ian"	GRN	27	0.04	2	0.04	0	0	0	0	1	0.05	-1	29	0.04
		"STEAD, Cecily"	GRN	16	0.02	2	0.04	1	0.13	0	0	1	0.05	0	20	0.03
		Group Total	GRN	2052	3.2	253	4.88	32	4.08	132	3.78	36	1.7	-1	2504	3.3
O		TICKET VOTES	CTA	492	0.77	46	0.89	6	0.76	15	0.43	23	1.09	0	582	0.77
		"COLEMAN, Bruce"	CTA	136	0.21	12	0.23	0	0	8	0.23	2	0.09	0	158	0.21
		"McLENNAN, Graham Clarke"	CTA	3	0	0	0	0	0	0	0	0	0	0	3	0
		"GRIGG, Shirley J"	CTA	0	0	0	0	0	0	0	0	0	0	0	0	0
		"RYAN, Glen"	CTA	2	0	0	0	0	0	0	0	0	0	0	2	0
		Group Total	CTA	633	0.99	58	1.12	6	0.76	23	0.66	25	1.18	0	745	0.98
P		TICKET VOTES	AFI	371	0.58	42	0.81	10	1.27	18	0.52	25	1.18	0	466	0.61
		"KITSON, David A L"	AFI	89	0.14	5	0.1	0	0	5	0.14	2	0.09	0	101	0.13
		"WEATHERLAKE, Ian A"	AFI	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	AFI	461	0.72	47	0.91	10	1.27	23	0.66	27	1.27	0	568	0.75
Q		TICKET VOTES		10	0.02	0	0	0	0	0	0	0	0	0	10	0.01
		"LAVERY, Rosemarie"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"JOHN, Robert"		1	0	0	0	0	0	0	0	0	0	0	1	0
		"LAVERY, Priscilla"		1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total		12	0.02	0	0	0	0	0	0	0	0	0	12	0.02
R		TICKET VOTES	GRY	323	0.5	17	0.33	0	0	14	0.4	16	0.76	0	370	0.49
		"ROYLANCE, Frances"	GRY	33	0.05	0	0	0	0	1	0.03	1	0.05	-1	34	0.04
		"GROUNDS, Gay"	GRY	4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		Group Total	GRY	360	0.56	17	0.33	0	0	15	0.43	17	0.8	-1	408	0.54
S		TICKET VOTES		138	0.21	1	0.02	1	0.13	2	0.06	1	0.05	0	143	0.19
		"BASS, Walter"		117	0.18	3	0.06	1	0.13	0	0	2	0.09	-1	122	0.16
		"HALES, Paul"		1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total		256	0.4	4	0.08	2	0.25	2	0.06	3	0.14	-1	266	0.35
T		TICKET VOTES		4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		"VESCIO, Michael"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"WHEATLEY, Pamela Eileen"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
U		TICKET VOTES		21	0.03	2	0.04	0	0	0	0	0	0	0	23	0.03
		"SCHOLLBACH, Robert"		1	0	0	0	0	0	1	0.03	0	0	0	2	0
		"STIRLING, Karen"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		22	0.03	2	0.04	0	0	1	0.03	0	0	0	25	0.03
UNGROUPED																
		"GAJIN, Milorad"	IND	79	0.12	1	0.02	0	0	3	0.09	0	0	0	83	0.11
		"ANDERSON, Michael J"	IND	9	0.01	1	0.02	0	0	1	0.03	0	0	0	11	0.01
		"DE BRY, Katherine V"	IND	6	0.01	2	0.04	0	0	0	0	0	0	0	8	0.01
		"POULSEN, Ron"		2	0	1	0.02	0	0	0	0	0	0	0	3	0
		"ELLIS, Bryan T"	IND	3	0	0	0	0	0	0	0	0	0	0	3	0
		"MILTON, Malcolm Joshua"	IND	1	0	0	0	0	0	0	0	0	0	0	1	0
		"DECKER, Dianne"	IND	1	0	1	0.02	0	0	0	0	0	0	0	2	0
		"BELETICH, Argy"	IND	16	0.02	1	0.02	0	0	1	0.03	0	0	0	18	0.02
		Ungrouped Total		117	0.18	7	0.14	0	0	5	0.14	0	0	0	129	0.17
			FORMAL	64202	97.79	5183	99.01	785	98.99	3495	99.06	2119	98.88	-7	75777	97.97
			INFORMAL	1449	2.21	52	0.99	8	1.01	33	0.94	24	1.12	7	1573	2.03
			TOTAL	65651	84.88	5235	6.77	793	1.03	3528	4.56	2143	2.77	0	77350	95.43



Page (78020)																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	GA	602	0.92	38	1.12	11	1.6	32	1.41	18	0.73	0	701	0.95
		"BECKMANN, Jane"	GA	118	0.18	13	0.38	5	0.73	6	0.26	6	0.24	-1	147	0.2
		"BRIAN, Bernie"	GA	4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		Group Total	GA	724	1.11	51	1.51	16	2.33	38	1.68	24	0.97	-1	852	1.15
B		TICKET VOTES	NLP	171	0.26	13	0.38	6	0.87	4	0.18	3	0.12	0	197	0.27
		"KERR, Doreen"	NLP	19	0.03	1	0.03	0	0	0	0	1	0.04	0	21	0.03
		"SMITH, Mike"	NLP	1	0	0	0	0	0	0	0	0	0	0	1	0
		"JUDD, Ines"	NLP	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	NLP	192	0.29	14	0.41	6	0.87	4	0.18	4	0.16	0	220	0.3
C		TICKET VOTES	CEG	45	0.07	2	0.06	0	0	0	0	1	0.04	0	48	0.06
		"HAY, Leone"	CEG	4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		"BUTLER, Robert"	CEG	1	0	0	0	0	0	0	0	0	0	0	1	0
		"WOOD, Gloria"	CEG	4	0.01	1	0.03	0	0	0	0	0	0	0	5	0.01
		Group Total	CEG	54	0.08	3	0.09	0	0	0	0	1	0.04	0	58	0.08
D		TICKET VOTES	RPA	63	0.1	3	0.09	0	0	1	0.04	2	0.08	0	69	0.09
		"CONSANDINE, Peter"	RPA	8	0.01	1	0.03	0	0	0	0	1	0.04	0	10	0.01
		"KLEIN, Gennie"	RPA	1	0	0	0	0	0	0	0	0	0	-1	0	0
		Group Total	RPA	72	0.11	4	0.12	0	0	1	0.04	3	0.12	-1	79	0.11
E		TICKET VOTES		48	0.07	5	0.15	1	0.15	0	0	2	0.08	0	56	0.08
		"TEALE, Leonard"		34	0.05	2	0.06	1	0.15	1	0.04	3	0.12	0	41	0.06
		"WARD, Colin"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		82	0.13	7	0.21	2	0.29	1	0.04	5	0.2	0	97	0.13
F		TICKET VOTES	CAP	196	0.3	13	0.38	2	0.29	10	0.44	16	0.65	0	237	0.32
		"UEBERGANG, K John"	CAP	30	0.05	3	0.09	0	0	0	0	2	0.08	0	35	0.05
		"HAWKINS, Doug"	CAP	3	0	0	0	0	0	0	0	1	0.04	0	4	0.01
		Group Total	CAP	229	0.35	16	0.47	2	0.29	10	0.44	19	0.77	0	276	0.37
G		TICKET VOTES	ASP	1085	1.67	58	1.71	15	2.18	31	1.37	47	1.9	0	1236	1.67
		"ASCHER, Michael"	ASP	65	0.1	6	0.18	0	0	6	0.26	4	0.16	0	81	0.11
		"ORR, Ted"	ASP	3	0	0	0	0	0	0	0	0	0	0	3	0
		"WILKIE, Jeff"	ASP	1	0	1	0.03	1	0.15	0	0	1	0.04	0	4	0.01
		"O'CONNELL, Suzanne"	ASP	0	0	0	0	0	0	0	0	0	0	0	0	0
		"BOURKE, Robyn Lee"	ASP	2	0	0	0	0	0	0	0	0	0	0	2	0
		Group Total	ASP	1156	1.77	65	1.92	16	2.33	37	1.63	52	2.1	0	1326	1.79
H		TICKET VOTES		39	0.06	1	0.03	0	0	0	0	2	0.08	0	42	0.06
		"POULOS, Patricia"		1	0	0	0	0	0	0	0	0	0	0	1	0
		"ARCHER, Peter B"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"HOLLEY, John"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		40	0.06	1	0.03	0	0	0	0	2	0.08	0	43	0.06
I		TICKET VOTES	LNP	29342	45.05	1312	38.72	218	31.69	1026	45.26	1183	47.78	0	33081	44.73
	#	"BAUME, Michael"	LP	266	0.41	22	0.65	3	0.44	16	0.71	28	1.13	0	335	0.45
	#	"TIERNEY, John"	LP	21	0.03	0	0	0	0	1	0.04	0	0	0	22	0.03
	#	"MACDONALD, Sandy"	NP	29	0.04	2	0.06	2	0.29	3	0.13	6	0.24	0	42	0.06
		"PAYNE, Marise Ann"	LP	9	0.01	2	0.06	0	0	0	0	0	0	0	11	0.01
		Group Total	LNP	29667	45.55	1338	39.49	223	32.41	1046	46.14	1217	49.15	0	33491	45.29
J		TICKET VOTES		49	0.08	3	0.09	0	0	4	0.18	1	0.04	0	57	0.08
		"SANTA CLAUS, O"		8	0.01	2	0.06	0	0	0	0	1	0.04	0	11	0.01
		"ROLO, Lord"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		57	0.09	5	0.15	0	0	4	0.18	2	0.08	0	68	0.09
K		TICKET VOTES	DEM	2759	4.24	179	5.28	40	5.81	111	4.9	131	5.29	0	3220	4.35
		"SOWADA, Karin"	DEM	384	0.59	21	0.62	5	0.73	17	0.75	17	0.69	1	445	0.6
		"GRIFFITHS, Ray Ian"	DEM	11	0.02	0	0	0	0	0	0	1	0.04	0	12	0.02
		"CHESTERFIELD-EVANS, Arthur"	DEM	5	0.01	1	0.03	0	0	0	0	1	0.04	0	7	0.01
		Group Total	DEM	3159	4.85	201	5.93	45	6.54	128	5.65	150	6.06	1	3684	4.98
L		TICKET VOTES	ALP	25836	39.67	1363	40.23	316	45.93	790	34.85	827	33.4	1	29133	39.39
	#	"RICHARDSON, Graham Frederick"	ALP	439	0.67	40	1.18	7	1.02	19	0.84	20	0.81	-1	524	0.71
	#	"FAULKNER, John"	ALP	17	0.03	3	0.09	0	0	1	0.04	1	0.04	0	22	0.03
	#	"SIBRAA, Kerry"	ALP	21	0.03	0	0	0	0	3	0.13	4	0.16	0	28	0.04
		"ARMSTRONG, Mary-Anne"	ALP	37	0.06	4	0.12	0	0	2	0.09	1	0.04	0	44	0.06
		Group Total	ALP	26350	40.45	1410	41.62	323	46.95	815	35.95	853	34.45	0	29751	40.23
M		TICKET VOTES		19	0.03	1	0.03	0	0	0	0	0	0	0	20	0.03
		"STEVENS, David Richard"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"HARRISON, Yvonne"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		19	0.03	1	0.03	0	0	0	0	0	0	0	20	0.03
N		TICKET VOTES	GRN	1390	2.13	143	4.22	29	4.22	80	3.53	47	1.9	0	1689	2.28
		"BRIGHAM, Steve"	GRN	292	0.45	20	0.59	1	0.15	18	0.79	13	0.53	-4	340	0.46
		"WALLACE, Joy"	GRN	32	0.05	2	0.06	1	0.15	0	0	0	0	0	35	0.05
		"COHEN, Ian"	GRN	56	0.09	9	0.27	1	0.15	2	0.09	3	0.12	4	75	0.1
		"STEAD, Cecily"	GRN	3	0	1	0.03	0	0	0	0	0	0	0	4	0.01
		Group Total	GRN	1773	2.72	175	5.17	32	4.65	100	4.41	63	2.54	0	2143	2.9
O		TICKET VOTES	CTA	882	1.35	46	1.36	10	1.45	31	1.37	43	1.74	0	1012	1.37
		"COLEMAN, Bruce"	CTA	126	0.19	5	0.15	3	0.44	4	0.18	8	0.32	0	146	0.2
		"McLENNAN, Graham Clarke"	CTA	1	0	0	0	0	0	0	0	0	0	0	1	0
		"GRIGG, Shirley J"	CTA	0	0	0	0	0	0	0	0	0	0	0	0	0
		"RYAN, Glen"	CTA	1	0	1	0.03	0	0	1	0.04	0	0	0	3	0
		Group Total	CTA	1010	1.55	52	1.53	13	1.89	36	1.59	51	2.06	0	1162	1.57
P		TICKET VOTES	AFI	295	0.45	27	0.8	10	1.45	24	1.06	15	0.61	0	371	0.5
		"KITSON, David A L"	AFI	16	0.02	2	0.06	0	0	2	0.09	2	0.08	0	22	0.03
		"WEATHERLAKE, Ian A"	AFI	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	AFI	311	0.48	29	0.86	10	1.45	26	1.15	17	0.69	0	393	0.53
Q		TICKET VOTES		4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		"LAVERY, Rosemarie"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"JOHN, Robert"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"LAVERY, Priscilla"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
R		TICKET VOTES	GRY	108	0.17	8	0.24	0	0	13	0.57	5	0.2	0	134	0.18
		"ROYLANCE, Frances"	GRY	9	0.01	0	0	0	0	1	0.04	2	0.08	0	12	0.02
		"GROUNDS, Gay"	GRY	2	0	0	0	0	0	0	0	0	0	0	2	0
		Group Total	GRY	119	0.18	8	0.24	0	0	14	0.62	7	0.28	0	148	0.2
S		TICKET VOTES		43	0.07	0	0	0	0	2	0.09	2	0.08	0	47	0.06
		"BASS, Walter"		10	0.02	2	0.06	0	0	0	0	0	0	0	12	0.02
		"HALES, Paul"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		53	0.08	2	0.06	0	0	2	0.09	2	0.08	0	59	0.08
T		TICKET VOTES		7	0.01	2	0.06	0	0	0	0	0	0	0	9	0.01
		"VESCIO, Michael"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"WHEATLEY, Pamela Eileen"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		7	0.01	2	0.06	0	0	0	0	0	0	0	9	0.01
U		TICKET VOTES		15	0.02	2	0.06	0	0	1	0.04	1	0.04	0	19	0.03
		"SCHOLLBACH, Robert"		1	0	0	0	0	0	0	0	0	0	0	1	0
		"STIRLING, Karen"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		16	0.02	2	0.06	0	0	1	0.04	1	0.04	0	20	0.03
UNGROUPED																
		"GAJIN, Milorad"	IND	12	0.02	1	0.03	0	0	1	0.04	0	0	0	14	0.02
		"ANDERSON, Michael J"	IND	12	0.02	0	0	0	0	0	0	0	0	1	13	0.02
		"DE BRY, Katherine V"	IND	1	0	0	0	0	0	0	0	0	0	0	1	0
		"POULSEN, Ron"		1	0	0	0	0	0	0	0	1	0.04	0	2	0
		"ELLIS, Bryan T"	IND	4	0.01	0	0	0	0	2	0.09	0	0	-1	5	0.01
		"MILTON, Malcolm Joshua"	IND	3	0	0	0	0	0	0	0	0	0	0	3	0
		"DECKER, Dianne"	IND	5	0.01	0	0	0	0	0	0	2	0.08	0	7	0.01
		"BELETICH, Argy"	IND	3	0	1	0.03	0	0	1	0.04	0	0	0	5	0.01
		Ungrouped Total		41	0.06	2	0.06	0	0	4	0.18	3	0.12	0	50	0.07
			FORMAL	65135	98.04	3388	98.98	688	98.29	2267	98.44	2476	98.84	-1	73953	98.12
			INFORMAL	1303	1.96	35	1.02	12	1.71	36	1.56	29	1.16	1	1416	1.88
			TOTAL	66438	88.15	3423	4.54	700	0.93	2303	3.06	2505	3.32	0	75369	96.6



Parkes (80526)																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	GA	529	0.82	42	0.84	6	0.95	19	0.69	3	0.13	0	599	0.8
		"BECKMANN, Jane"	GA	118	0.18	5	0.1	6	0.95	6	0.22	3	0.13	-1	137	0.18
		"BRIAN, Bernie"	GA	4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		Group Total	GA	651	1.01	47	0.94	12	1.89	25	0.91	6	0.25	-1	740	0.98
B		TICKET VOTES	NLP	227	0.35	11	0.22	4	0.63	13	0.47	0	0	0	255	0.34
		"KERR, Doreen"	NLP	9	0.01	1	0.02	0	0	1	0.04	0	0	0	11	0.01
		"SMITH, Mike"	NLP	1	0	0	0	0	0	0	0	0	0	0	1	0
		"JUDD, Ines"	NLP	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	NLP	238	0.37	12	0.24	4	0.63	14	0.51	0	0	0	268	0.36
C		TICKET VOTES	CEG	72	0.11	4	0.08	0	0	5	0.18	2	0.08	0	83	0.11
		"HAY, Leone"	CEG	6	0.01	0	0	0	0	1	0.04	0	0	0	7	0.01
		"BUTLER, Robert"	CEG	1	0	0	0	0	0	0	0	0	0	0	1	0
		"WOOD, Gloria"	CEG	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	CEG	80	0.12	4	0.08	0	0	6	0.22	2	0.08	0	92	0.12
D		TICKET VOTES	RPA	67	0.1	3	0.06	1	0.16	4	0.15	3	0.13	0	78	0.1
		"CONSANDINE, Peter"	RPA	6	0.01	1	0.02	0	0	0	0	0	0	0	7	0.01
		"KLEIN, Gennie"	RPA	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	RPA	74	0.11	4	0.08	1	0.16	4	0.15	3	0.13	0	86	0.11
E		TICKET VOTES		48	0.07	3	0.06	1	0.16	1	0.04	2	0.08	0	55	0.07
		"TEALE, Leonard"		19	0.03	3	0.06	0	0	1	0.04	4	0.17	0	27	0.04
		"WARD, Colin"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		67	0.1	6	0.12	1	0.16	2	0.07	6	0.25	0	82	0.11
F		TICKET VOTES	CAP	93	0.14	4	0.08	2	0.32	4	0.15	2	0.08	0	105	0.14
		"UEBERGANG, K John"	CAP	11	0.02	0	0	0	0	0	0	0	0	0	11	0.01
		"HAWKINS, Doug"	CAP	0	0	0	0	0	0	1	0.04	0	0	0	1	0
		Group Total	CAP	104	0.16	4	0.08	2	0.32	5	0.18	2	0.08	0	117	0.16
G		TICKET VOTES	ASP	3035	4.7	190	3.8	43	6.78	86	3.13	57	2.42	0	3411	4.53
		"ASCHER, Michael"	ASP	148	0.23	11	0.22	0	0	4	0.15	16	0.68	0	179	0.24
		"ORR, Ted"	ASP	3	0	1	0.02	1	0.16	0	0	1	0.04	0	6	0.01
		"WILKIE, Jeff"	ASP	6	0.01	0	0	0	0	0	0	0	0	0	6	0.01
		"O'CONNELL, Suzanne"	ASP	4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		"BOURKE, Robyn Lee"	ASP	61	0.09	3	0.06	0	0	1	0.04	3	0.13	0	68	0.09
		Group Total	ASP	3257	5.04	205	4.1	44	6.94	91	3.31	77	3.27	0	3674	4.88
H		TICKET VOTES		50	0.08	2	0.04	1	0.16	0	0	2	0.08	0	55	0.07
		"POULOS, Patricia"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"ARCHER, Peter B"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"HOLLEY, John"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		50	0.08	2	0.04	1	0.16	0	0	2	0.08	0	55	0.07
I		TICKET VOTES	LNP	26204	40.57	2577	51.5	210	33.12	1064	38.68	1319	55.96	0	31374	41.64
	#	"BAUME, Michael"	LP	363	0.56	35	0.7	2	0.32	17	0.62	49	2.08	-3	463	0.61
	#	"TIERNEY, John"	LP	10	0.02	0	0	0	0	1	0.04	2	0.08	0	13	0.02
	#	"MACDONALD, Sandy"	NP	46	0.07	6	0.12	0	0	1	0.04	10	0.42	0	63	0.08
		"PAYNE, Marise Ann"	LP	27	0.04	1	0.02	0	0	1	0.04	3	0.13	0	32	0.04
		Group Total	LNP	26650	41.26	2619	52.34	212	33.44	1084	39.4	1383	58.68	-3	31945	42.4
J		TICKET VOTES		68	0.11	2	0.04	1	0.16	3	0.11	3	0.13	0	77	0.1
		"SANTA CLAUS, O"		5	0.01	1	0.02	0	0	1	0.04	0	0	0	7	0.01
		"ROLO, Lord"		2	0	0	0	0	0	0	0	0	0	0	2	0
		Group Total		75	0.12	3	0.06	1	0.16	4	0.15	3	0.13	0	86	0.11
K		TICKET VOTES	DEM	1901	2.94	172	3.44	24	3.79	117	4.25	54	2.29	0	2268	3.01
		"SOWADA, Karin"	DEM	200	0.31	20	0.4	0	0	4	0.15	5	0.21	0	229	0.3
		"GRIFFITHS, Ray Ian"	DEM	10	0.02	0	0	0	0	1	0.04	0	0	0	11	0.01
		"CHESTERFIELD-EVANS, Arthur"	DEM	3	0	1	0.02	0	0	1	0.04	1	0.04	0	6	0.01
		Group Total	DEM	2114	3.27	193	3.86	24	3.79	123	4.47	60	2.55	0	2514	3.34
L		TICKET VOTES	ALP	28211	43.67	1608	32.13	303	47.79	1251	45.47	677	28.72	2	32052	42.54
	#	"RICHARDSON, Graham Frederick"	ALP	298	0.46	28	0.56	3	0.47	17	0.62	19	0.81	3	368	0.49
	#	"FAULKNER, John"	ALP	12	0.02	2	0.04	0	0	1	0.04	0	0	0	15	0.02
	#	"SIBRAA, Kerry"	ALP	9	0.01	0	0	1	0.16	0	0	0	0	-1	9	0.01
		"ARMSTRONG, Mary-Anne"	ALP	37	0.06	7	0.14	0	0	4	0.15	5	0.21	0	53	0.07
		Group Total	ALP	28567	44.22	1645	32.87	307	48.42	1273	46.27	701	29.74	4	32497	43.13
M		TICKET VOTES		17	0.03	1	0.02	1	0.16	2	0.07	0	0	0	21	0.03
		"STEVENS, David Richard"		1	0	0	0	0	0	0	0	0	0	0	1	0
		"HARRISON, Yvonne"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		18	0.03	1	0.02	1	0.16	2	0.07	0	0	0	22	0.03
N		TICKET VOTES	GRN	435	0.67	90	1.8	5	0.79	34	1.24	11	0.47	0	575	0.76
		"BRIGHAM, Steve"	GRN	57	0.09	5	0.1	0	0	2	0.07	0	0	0	64	0.08
		"WALLACE, Joy"	GRN	4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		"COHEN, Ian"	GRN	1	0	0	0	0	0	0	0	0	0	0	1	0
		"STEAD, Cecily"	GRN	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	GRN	498	0.77	95	1.9	5	0.79	36	1.31	11	0.47	0	645	0.86
O		TICKET VOTES	CTA	1051	1.63	74	1.48	13	2.05	43	1.56	40	1.7	0	1221	1.62
		"COLEMAN, Bruce"	CTA	157	0.24	16	0.32	1	0.16	7	0.25	9	0.38	0	190	0.25
		"McLENNAN, Graham Clarke"	CTA	3	0	0	0	0	0	0	0	0	0	0	3	0
		"GRIGG, Shirley J"	CTA	1	0	0	0	0	0	0	0	0	0	0	1	0
		"RYAN, Glen"	CTA	7	0.01	2	0.04	0	0	0	0	0	0	0	9	0.01
		Group Total	CTA	1219	1.89	92	1.84	14	2.21	50	1.82	49	2.08	0	1424	1.89
P		TICKET VOTES	AFI	335	0.52	38	0.76	4	0.63	21	0.76	26	1.1	0	424	0.56
		"KITSON, David A L"	AFI	9	0.01	1	0.02	0	0	2	0.07	0	0	0	12	0.02
		"WEATHERLAKE, Ian A"	AFI	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	AFI	344	0.53	39	0.78	4	0.63	23	0.84	26	1.1	0	436	0.58
Q		TICKET VOTES		8	0.01	0	0	0	0	0	0	0	0	0	8	0.01
		"LAVERY, Rosemarie"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"JOHN, Robert"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"LAVERY, Priscilla"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		8	0.01	0	0	0	0	0	0	0	0	0	8	0.01
R		TICKET VOTES	GRY	130	0.2	8	0.16	0	0	6	0.22	15	0.64	0	159	0.21
		"ROYLANCE, Frances"	GRY	11	0.02	0	0	0	0	0	0	0	0	0	11	0.01
		"GROUNDS, Gay"	GRY	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	GRY	142	0.22	8	0.16	0	0	6	0.22	15	0.64	0	171	0.23
S		TICKET VOTES		3	0	0	0	1	0.16	0	0	0	0	0	4	0.01
		"BASS, Walter"		1	0	1	0.02	0	0	0	0	0	0	0	2	0
		"HALES, Paul"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		4	0.01	1	0.02	1	0.16	0	0	0	0	0	6	0.01
T		TICKET VOTES		6	0.01	0	0	0	0	0	0	0	0	0	6	0.01
		"VESCIO, Michael"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"WHEATLEY, Pamela Eileen"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		6	0.01	0	0	0	0	0	0	0	0	0	6	0.01
U		TICKET VOTES		30	0.05	0	0	0	0	0	0	1	0.04	0	31	0.04
		"SCHOLLBACH, Robert"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"STIRLING, Karen"		1	0	0	0	0	0	0	0	1	0.04	0	2	0
		Group Total		31	0.05	0	0	0	0	0	0	2	0.08	0	33	0.04
UNGROUPED																
		"GAJIN, Milorad"	IND	10	0.02	0	0	0	0	0	0	1	0.04	0	11	0.01
		"ANDERSON, Michael J"	IND	23	0.04	3	0.06	0	0	1	0.04	0	0	0	27	0.04
		"DE BRY, Katherine V"	IND	0	0	0	0	0	0	0	0	0	0	0	0	0
		"POULSEN, Ron"		1	0	0	0	0	0	0	0	0	0	0	1	0
