Senate - 1993 Election																
First Preference Votes by Candidate																
By Vote Type by State																


New South Wales																
Enrolment 3814932																
				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
		"CORNISH, Jonathan"	DEM	179	0.01	22	0.02	0	0.00	5	0.01	9	0.01	1	216	0.01
		"WOODROW, Gayle"	DEM	697	0.04	80	0.07	4	0.07	41	0.07	36	0.06	-1	857	0.05
		"WALTERS, Tony"	DEM	302	0.02	17	0.01	1	0.02	13	0.02	6	0.01	0	339	0.02
		Group Total	DEM	114026	7.15	8702	7.17	348	6.26	3914	6.23	3397	5.20	18	130405	7.05
UNGROUPED																
		"DIMITRIOU, Steve"	IND	866	0.05	101	0.08	2	0.04	30	0.05	44	0.07	0	1043	0.06
		"KOEHLER, John"	CEG	474	0.03	18	0.01	1	0.02	18	0.03	27	0.04	0	538	0.03
		"GARVEY, Barry"	IND	123	0.01	12	0.01	1	0.02	6	0.01	8	0.01	0	150	0.01
		"SHERLOCK, Joe"	IND	195	0.01	19	0.02	1	0.02	10	0.02	11	0.02	0	236	0.01
		"BEILBY, Christopher Hart"		89	0.01	11	0.01	2	0.04	0	0.00	2	0.00	1	105	0.01
		"WARNER, Julie"	CEG	192	0.01	29	0.02	1	0.02	15	0.02	18	0.03	-1	254	0.01
		Ungrouped Total		1939	0.12	190	0.16	8	0.14	79	0.13	110	0.17	0	2326	0.13
			FORMAL	1595515	97.84	121435	98.78	5561	97.60	62828	98.85	65267	98.68	55	1850661	97.96
			INFORMAL	35185	2.16	1501	1.22	137	2.40	733	1.15	871	1.32	64	38491	2.04
			TOTAL	1630700	86.32	122936	6.51	5698	0.30	63561	3.36	66138	3.50	119	1889152	95.81



Western Australia																
Enrolment 1038968																
				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	CTA	7622	0.89	653	0.91	36	0.73	188	0.73	150	0.78	19	8668	0.89
		"ROGERS, Don"	CTA	2456	0.29	237	0.33	16	0.32	58	0.22	60	0.31	-14	2813	0.29
		"ROGERS, Beryl"	CTA	72	0.01	8	0.01	2	0.04	3	0.01	1	0.01	1	87	0.01
		Group Total	CTA	10150	1.19	898	1.25	54	1.09	249	0.96	211	1.10	6	11568	1.19
B		TICKET VOTES	NLP	2247	0.26	240	0.33	16	0.32	64	0.25	53	0.28	9	2629	0.27
		"KING, Michael"	NLP	605	0.07	73	0.10	4	0.08	15	0.06	5	0.03	0	702	0.07
		"JACKSON, Phillip"	NLP	40	0.00	2	0.00	1	0.02	0	0.00	2	0.01	0	45	0.00
		"FITZHARDINGE, Jody"	NLP	112	0.01	11	0.02	0	0.00	1	0.00	2	0.01	0	126	0.01
		"COPPIN, Peter"	NLP	54	0.01	17	0.02	0	0.00	1	0.00	3	0.02	-8	67	0.01
		Group Total	NLP	3058	0.36	343	0.48	21	0.42	81	0.31	65	0.34	1	3569	0.37
C		TICKET VOTES	GWA	35609	4.17	4408	6.15	354	7.16	1238	4.78	595	3.10	24	42228	4.33
	#	"MARGETTS, Dee"	GWA	9476	1.11	985	1.37	50	1.01	307	1.18	166	0.86	-1	10983	1.13
		"WILLIAMS, Chris"	GWA	456	0.05	56	0.08	1	0.02	20	0.08	12	0.06	1	546	0.06
		Group Total	GWA	45541	5.33	5449	7.60	405	8.19	1565	6.04	773	4.02	24	53757	5.51
D		TICKET VOTES	RPA	1026	0.12	94	0.13	12	0.24	47	0.18	30	0.16	0	1209	0.12
		"LANGLEY, David"	RPA	230	0.03	15	0.02	2	0.04	19	0.07	12	0.06	1	279	0.03
		"STRATTON, Rodney"	RPA	26	0.00	3	0.00	0	0.00	2	0.01	1	0.01	-1	31	0.00
		Group Total	RPA	1282	0.15	112	0.16	14	0.28	68	0.26	43	0.22	0	1519	0.16
E		TICKET VOTES	ALP	320693	37.56	24381	34.01	2270	45.91	8428	32.51	6236	32.46	24	362032	37.10
	#	"COOK, Peter"	ALP	8181	0.96	770	1.07	68	1.38	328	1.27	290	1.51	4	9641	0.99
	#	"EVANS, Christopher"	ALP	526	0.06	64	0.09	13	0.26	21	0.08	24	0.12	-5	643	0.07
		"BISHOP, Mark"	ALP	286	0.03	48	0.07	4	0.08	12	0.05	12	0.06	-1	361	0.04
		"ROBERTS, Neil"	ALP	482	0.06	53	0.07	4	0.08	12	0.05	17	0.09	2	570	0.06
		Group Total	ALP	330168	38.67	25316	35.32	2359	47.71	8801	33.95	6579	34.25	24	373247	38.25
F		TICKET VOTES	LP	404003	47.31	33671	46.97	1793	36.27	13263	51.17	9781	50.92	32	462543	47.40
	#	"KNOWLES, Sue"	LP	6090	0.71	575	0.80	30	0.61	283	1.09	316	1.65	-4	7290	0.75
	#	"CAMPBELL, Ian"	LP	910	0.11	114	0.16	12	0.24	44	0.17	73	0.38	0	1153	0.12
	#	"ELLISON, Chris"	LP	213	0.02	27	0.04	1	0.02	9	0.03	12	0.06	0	262	0.03
		"BROCKWELL, Maurice"	LP	303	0.04	35	0.05	3	0.06	12	0.05	15	0.08	-1	367	0.04
		"SIRNA, Enzo"	LP	117	0.01	15	0.02	0	0.00	4	0.02	5	0.03	1	142	0.01
		"McCAUSLAND, John Allan"	LP	308	0.04	38	0.05	0	0.00	9	0.03	19	0.10	0	374	0.04
		Group Total	LP	411944	48.24	34475	48.09	1839	37.20	13624	52.56	10221	53.21	28	472131	48.39
G		TICKET VOTES	CEG	588	0.07	41	0.06	6	0.12	26	0.10	26	0.14	5	692	0.07
		"SEALE, John Digby"	CEG	132	0.02	17	0.02	1	0.02	3	0.01	10	0.05	-3	160	0.02
		"MOLLOY, Laurence John"	CEG	22	0.00	1	0.00	0	0.00	0	0.00	1	0.01	0	24	0.00
		Group Total	CEG	742	0.09	59	0.08	7	0.14	29	0.11	37	0.19	2	876	0.09
H		TICKET VOTES	DEM	27445	3.21	2391	3.34	149	3.01	822	3.17	532	2.77	7	31346	3.21
		"JENKINS, Jean"	DEM	7197	0.84	559	0.78	21	0.42	227	0.88	125	0.65	-8	8121	0.83
		"HODGSON, Helen"	DEM	333	0.04	25	0.03	3	0.06	10	0.04	10	0.05	1	382	0.04
		Group Total	DEM	34975	4.10	2975	4.15	173	3.50	1059	4.09	667	3.47	0	39849	4.08
I		TICKET VOTES	NP	12826	1.50	1715	2.39	59	1.19	340	1.31	486	2.53	11	15437	1.58
		"JARDINE, Michael"	NP	1193	0.14	147	0.21	1	0.02	41	0.16	50	0.26	-2	1430	0.15
		"CLUNE, Paul"	NP	77	0.01	4	0.01	0	0.00	2	0.01	2	0.01	0	85	0.01
		"LEE, David"	NP	102	0.01	10	0.01	0	0.00	2	0.01	8	0.04	1	123	0.01
		Group Total	NP	14198	1.66	1876	2.62	60	1.21	385	1.49	546	2.84	10	17075	1.75
J		TICKET VOTES		585	0.07	71	0.10	7	0.14	19	0.07	16	0.08	23	721	0.07
		"NESCI, Frank"		195	0.02	14	0.02	1	0.02	3	0.01	2	0.01	0	215	0.02
		"NESCI, Paul John"		17	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	17	0.00
		Group Total		797	0.09	85	0.12	8	0.16	22	0.08	18	0.09	23	953	0.10
UNGROUPED																
		"FINNEY, Rick"	IND	453	0.05	44	0.06	1	0.02	24	0.09	22	0.11	5	549	0.06
		"VAUGHAN, Salli"	GRY	211	0.02	17	0.02	0	0.00	7	0.03	14	0.07	-4	245	0.03
		"RICHARDSON, Roland"	CAP	181	0.02	16	0.02	1	0.02	5	0.02	6	0.03	-1	208	0.02
		"TUCAK, John Damian"	IND	194	0.02	19	0.03	2	0.04	3	0.01	7	0.04	1	226	0.02
		Ungrouped Total		1039	0.12	96	0.13	4	0.08	39	0.15	49	0.26	1	1228	0.13
			FORMAL	853894	97.75	71684	98.66	4944	97.13	25922	99.19	19209	99.05	119	975772	97.89
			INFORMAL	19614	2.25	971	1.34	146	2.87	213	0.81	185	0.95	-146	20983	2.11
			TOTAL	873508	87.64	72655	7.29	5090	0.51	26135	2.62	19394	1.95	-27	996755	95.94



South Australia																
Enrolment 1014400																
				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	RPA	2847	0.34	182	0.33	25	0.82	79	0.33	39	0.15	3	3175	0.34
		"NASRULLAH, Bilal"	RPA	842	0.10	64	0.12	5	0.16	21	0.09	17	0.06	-13	936	0.10
		"HILL, Peter"	RPA	62	0.01	5	0.01	5	0.16	2	0.01	10	0.04	-4	80	0.01
		Group Total	RPA	3751	0.45	251	0.46	35	1.15	102	0.42	66	0.25	-14	4191	0.44
B		TICKET VOTES	GSA	9568	1.14	1216	2.21	61	2.01	590	2.44	295	1.11	2	11732	1.24
		"FRICKER, Ally"	GSA	3016	0.36	308	0.56	12	0.39	159	0.66	102	0.38	-1	3596	0.38
		"WEISSMANN, Gerhard"	GSA	121	0.01	8	0.01	0	0.00	6	0.02	4	0.02	0	139	0.01
		Group Total	GSA	12705	1.52	1532	2.78	73	2.40	755	3.13	401	1.51	1	15467	1.64
C		TICKET VOTES	NP	3345	0.40	226	0.41	25	0.82	166	0.69	194	0.73	0	3956	0.42
		"McCALLUM, Nola"	NP	410	0.05	35	0.06	1	0.03	20	0.08	32	0.12	-2	496	0.05
		"BRADSHAW, Michael"	NP	38	0.00	6	0.01	0	0.00	2	0.01	2	0.01	-2	46	0.00
		Group Total	NP	3793	0.45	267	0.48	26	0.86	188	0.78	228	0.86	-4	4498	0.48
D		TICKET VOTES	CTA	7395	0.88	497	0.90	21	0.69	206	0.85	235	0.88	0	8354	0.88
		"RODWAY, David"	CTA	1969	0.24	157	0.28	6	0.20	50	0.21	77	0.29	3	2262	0.24
		"SQUIRRELL, David"	CTA	126	0.02	14	0.03	1	0.03	3	0.01	6	0.02	-4	146	0.02
		Group Total	CTA	9490	1.13	668	1.21	28	0.92	259	1.07	318	1.20	-1	10762	1.14
E		TICKET VOTES	ALP	309268	36.94	20023	36.33	1265	41.61	8378	34.68	8463	31.85	4	347401	36.72
	#	"BOLKUS, Nick"	ALP	8578	1.02	709	1.29	30	0.99	312	1.29	389	1.46	-17	10001	1.06
	#	"FOREMAN, Dominic"	ALP	208	0.02	24	0.04	1	0.03	10	0.04	14	0.05	-1	256	0.03
		"MAGUIRE, Graham"	ALP	518	0.06	37	0.07	3	0.10	11	0.05	34	0.13	2	605	0.06
		"McDONALD, Rosalie Ann"	ALP	1000	0.12	101	0.18	4	0.13	57	0.24	64	0.24	2	1228	0.13
		Group Total	ALP	319572	38.17	20894	37.91	1303	42.86	8768	36.30	8964	33.73	-10	359491	38.00
F		TICKET VOTES		2199	0.26	152	0.28	10	0.33	74	0.31	42	0.16	4	2481	0.26
		"LIEW, Dr Alex"		144	0.02	11	0.02	0	0.00	4	0.02	7	0.03	-4	162	0.02
		"SCHIRRIPA, Douglas"		66	0.01	2	0.00	0	0.00	2	0.01	2	0.01	1	73	0.01
		Group Total		2409	0.29	165	0.30	10	0.33	80	0.33	51	0.19	1	2716	0.29
G		TICKET VOTES	DEM	69679	8.32	4931	8.95	240	7.89	1674	6.93	1564	5.89	2	78090	8.25
	#	"LEES, Meg"	DEM	12596	1.50	916	1.66	34	1.12	292	1.21	286	1.08	-4	14120	1.49
		"SWIFT, Stephen"	DEM	221	0.03	18	0.03	1	0.03	8	0.03	8	0.03	-8	248	0.03
		"STOTT DESPOJA, Natasha"	DEM	515	0.06	51	0.09	0	0.00	29	0.12	32	0.12	0	627	0.07
		"TICKLE, Patricia"	DEM	204	0.02	20	0.04	0	0.00	4	0.02	11	0.04	1	240	0.03
		Group Total	DEM	83215	9.94	5936	10.77	275	9.05	2007	8.31	1901	7.15	-9	93325	9.87
H		TICKET VOTES	NLP	4556	0.54	463	0.84	28	0.92	117	0.48	88	0.33	2	5254	0.56
		"WELLS, Dr Geoff"	NLP	1371	0.16	95	0.17	5	0.16	26	0.11	26	0.10	-3	1520	0.16
		"MARTIN, Anne"	NLP	91	0.01	15	0.03	0	0.00	5	0.02	8	0.03	1	120	0.01
		"MORRIS, Dulcie"	NLP	36	0.00	5	0.01	0	0.00	1	0.00	0	0.00	0	42	0.00
		Group Total	NLP	6054	0.72	578	1.05	33	1.09	149	0.62	122	0.46	0	6936	0.73
I		TICKET VOTES	EFF	4962	0.59	279	0.51	13	0.43	107	0.44	108	0.41	0	5469	0.58
		"DWYER, David"	EFF	422	0.05	25	0.05	2	0.07	20	0.08	10	0.04	0	479	0.05
		"GIDDINGS, Douglas"	EFF	28	0.00	2	0.00	0	0.00	0	0.00	1	0.00	3	34	0.00
		"GIDDINGS, Vanessa"	EFF	46	0.01	4	0.01	0	0.00	0	0.00	2	0.01	-3	49	0.01
		Group Total	EFF	5458	0.65	310	0.56	15	0.49	127	0.53	121	0.46	0	6031	0.64
J		TICKET VOTES	GRY	5171	0.62	262	0.48	10	0.33	168	0.70	436	1.64	3	6050	0.64
		"HOLDER, Jack"	GRY	638	0.08	39	0.07	3	0.10	18	0.07	47	0.18	-1	744	0.08
		"PRESTON, Betty"	GRY	79	0.01	4	0.01	0	0.00	1	0.00	11	0.04	0	95	0.01
		"BOTTAM, Glen"	GRY	31	0.00	1	0.00	0	0.00	1	0.00	2	0.01	-2	33	0.00
		Group Total	GRY	5919	0.71	306	0.56	13	0.43	188	0.78	496	1.87	0	6922	0.73
K		TICKET VOTES	AFI	2633	0.31	268	0.49	17	0.56	98	0.41	135	0.51	2	3153	0.33
		"MOORE, Evonne"	AFI	323	0.04	37	0.07	4	0.13	15	0.06	22	0.08	-2	399	0.04
		"SMITH, Joe"	AFI	39	0.00	3	0.01	2	0.07	1	0.00	2	0.01	-2	45	0.00
		Group Total	AFI	2995	0.36	308	0.56	23	0.76	114	0.47	159	0.60	-2	3597	0.38
L		TICKET VOTES	LP	372394	44.48	23251	42.18	1190	39.14	11015	45.60	13069	49.18	3	420922	44.50
	#	"VANSTONE, Amanda"	LP	7874	0.94	530	0.96	12	0.39	334	1.38	526	1.98	-13	9263	0.98
	#	"MINCHIN, Nick"	LP	514	0.06	38	0.07	1	0.03	25	0.10	52	0.20	-3	627	0.07
	#	"FERGUSON, Alan"	LP	465	0.06	51	0.09	3	0.10	32	0.13	61	0.23	-4	608	0.06
		"GUPTA, Satish"	LP	185	0.02	18	0.03	0	0.00	3	0.01	14	0.05	2	222	0.02
		Group Total	LP	381432	45.56	23888	43.34	1206	39.67	11409	47.23	13722	51.64	-15	431642	45.63
UNGROUPED																
		"RICE, Mark"	IND	273	0.03	14	0.03	0	0.00	7	0.03	18	0.07	1	313	0.03
		"BROOM, Bernard William"	IND	27	0.00	1	0.00	0	0.00	1	0.00	3	0.01	-1	31	0.00
		"SMITH, E.C. (Ean)"	IND	43	0.01	2	0.00	0	0.00	2	0.01	4	0.02	2	53	0.01
		Ungrouped Total		343	0.04	17	0.03	0	0.00	10	0.04	25	0.09	2	397	0.04
			FORMAL	837136	97.59	55120	98.34	3040	97.53	24156	98.59	26574	98.89	-51	945975	97.69
			INFORMAL	20715	2.41	932	1.66	77	2.47	346	1.41	299	1.11	21	22390	2.31
			TOTAL	857851	88.59	56052	5.79	3117	0.32	24502	2.53	26873	2.78	-30	968365	95.46



Tasmania																
Enrolment 327919																
				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	HAR	16762	6.10	857	5.33	33	4.67	343	4.22	533	5.78	3	18531	6.00
	#	"HARRADINE, Brian"	HAR	12309	4.48	629	3.91	16	2.27	324	3.99	401	4.35	-8	13671	4.43
		Group Total	HAR	29071	10.59	1486	9.24	49	6.94	667	8.21	934	10.12	-5	32202	10.43
B		TICKET VOTES	ALP	98397	35.83	5568	34.63	331	46.88	2443	30.06	2865	31.06	8	109612	35.50
	#	"TATE, Michael"	ALP	13679	4.98	879	5.47	32	4.53	417	5.13	568	6.16	-11	15564	5.04
	#	"COATES, John"	ALP	2517	0.92	135	0.84	6	0.85	85	1.05	142	1.54	1	2886	0.93
	#	"MURPHY, Shayne"	ALP	1089	0.40	69	0.43	3	0.42	22	0.27	47	0.51	-1	1229	0.40
		"AULICH, Terry"	ALP	2275	0.83	121	0.75	3	0.42	63	0.78	123	1.33	0	2585	0.84
		Group Total	ALP	117957	42.95	6772	42.12	375	53.12	3030	37.28	3745	40.60	-3	131876	42.71
C		TICKET VOTES	TST	1616	0.59	102	0.63	5	0.71	37	0.46	37	0.40	0	1797	0.58
		"SPROULE, Alan"	TST	679	0.25	45	0.28	3	0.42	13	0.16	13	0.14	-1	752	0.24
		"McSHANE, Frances"	TST	221	0.08	21	0.13	0	0.00	5	0.06	19	0.21	0	266	0.09
		Group Total	TST	2516	0.92	168	1.04	8	1.13	55	0.68	69	0.75	-1	2815	0.91
D		TICKET VOTES	TG	10482	3.82	929	5.78	37	5.24	582	7.16	306	3.32	0	12336	4.00
		"HENDERSON, Judy"	TG	7259	2.64	572	3.56	10	1.42	349	4.29	225	2.44	1	8416	2.73
		"JONES, Peter"	TG	135	0.05	14	0.09	0	0.00	12	0.15	13	0.14	0	174	0.06
		"FRY, Marion"	TG	118	0.04	19	0.12	0	0.00	7	0.09	17	0.18	0	161	0.05
		Group Total	TG	17994	6.55	1534	9.54	47	6.66	950	11.69	561	6.08	1	21087	6.83
E		TICKET VOTES	CTA	814	0.30	31	0.19	6	0.85	35	0.43	26	0.28	0	912	0.30
		"HOPSON, Philip"	CTA	499	0.18	29	0.18	2	0.28	14	0.17	21	0.23	0	565	0.18
		"HOPSON, Janelle"	CTA	34	0.01	1	0.01	0	0.00	4	0.05	3	0.03	0	42	0.01
		Group Total	CTA	1347	0.49	61	0.38	8	1.13	53	0.65	50	0.54	0	1519	0.49
F		TICKET VOTES	NLP	263	0.10	18	0.11	0	0.00	11	0.14	10	0.11	1	303	0.10
		"BROSZCZYK, Greg"	NLP	110	0.04	8	0.05	0	0.00	3	0.04	2	0.02	0	123	0.04
		"DAVIES, Caroline"	NLP	53	0.02	4	0.02	0	0.00	7	0.09	0	0.00	0	64	0.02
		Group Total	NLP	426	0.16	30	0.19	0	0.00	21	0.26	12	0.13	1	490	0.16
G		TICKET VOTES	DEM	2901	1.06	182	1.13	12	1.70	120	1.48	99	1.07	0	3314	1.07
		"HARMSEN, Patsy"	DEM	1489	0.54	103	0.64	6	0.85	71	0.87	40	0.43	0	1709	0.55
		"STEPHEN, David"	DEM	124	0.05	6	0.04	1	0.14	4	0.05	4	0.04	0	139	0.05
		Group Total	DEM	4514	1.64	291	1.81	19	2.69	195	2.40	143	1.55	0	5162	1.67
H		TICKET VOTES	LP	86139	31.36	4833	30.06	177	25.07	2614	32.16	2973	32.23	1	96737	31.33
	#	"ARCHER, Brian"	LP	10823	3.94	646	4.02	17	2.41	377	4.64	549	5.95	-7	12405	4.02
	#	"GIBSON, Brian"	LP	2034	0.74	148	0.92	2	0.28	87	1.07	102	1.11	1	2374	0.77
		"ABETZ, Eric"	LP	1587	0.58	97	0.60	4	0.57	70	0.86	74	0.80	-1	1831	0.59
		Group Total	LP	100583	36.62	5724	35.60	200	28.33	3148	38.73	3698	40.09	-6	113347	36.71
UNGROUPED																
		"JAMIESON, Ian"	IND	233	0.08	13	0.08	0	0.00	9	0.11	13	0.14	-3	265	0.09
		Ungrouped Total		233	0.08	13	0.08	0	0.00	9	0.11	13	0.14	-3	265	0.09
			FORMAL	274641	97.31	16079	98.40	706	96.58	8128	98.74	9225	98.59	-16	308763	97.44
			INFORMAL	7583	2.69	261	1.60	25	3.42	104	1.26	132	1.41	16	8121	2.56
			TOTAL	282224	89.06	16340	5.16	731	0.23	8232	2.60	9357	2.95	0	316884	96.63



Australian Capital Territory																
Enrolment 192487																
				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	DEM	6700	4.60	191	5.10	85	4.44	1196	4.47	269	4.75	0	8441	4.59
		"MICO, Domenic"	DEM	3009	2.06	75	2.00	37	1.93	474	1.77	82	1.45	0	3677	2.00
		"MAIN, Peter"	DEM	425	0.29	14	0.37	2	0.10	77	0.29	20	0.35	0	538	0.29
		Group Total	DEM	10134	6.95	280	7.48	124	6.48	1747	6.52	371	6.56	0	12656	6.88
B		TICKET VOTES	ALP	64415	44.20	1718	45.91	1039	54.31	11474	42.85	2184	38.60	0	80830	43.97
	#	"McMULLAN, Bob"	ALP	5952	4.08	162	4.33	85	4.44	1100	4.11	267	4.72	0	7566	4.12
		"SHEEHAN, Maureen"	ALP	727	0.50	28	0.75	9	0.47	184	0.69	36	0.64	0	984	0.54
		Group Total	ALP	71094	48.78	1908	50.99	1133	59.23	12758	47.65	2487	43.96	0	89380	48.62
C		TICKET VOTES	ASG	926	0.64	32	0.86	18	0.94	212	0.79	50	0.88	0	1238	0.67
		"MILLER, Helen"	ASG	317	0.22	9	0.24	2	0.10	76	0.28	10	0.18	0	414	0.23
		"ERNST, Ute"	ASG	42	0.03	1	0.03	1	0.05	8	0.03	4	0.07	0	56	0.03
		Group Total	ASG	1285	0.88	42	1.12	21	1.10	296	1.11	64	1.13	0	1708	0.93
D		TICKET VOTES	GRN	4803	3.30	162	4.33	69	3.61	907	3.39	169	2.99	0	6110	3.32
		"TUCKER, Kerrie"	GRN	3864	2.65	95	2.54	42	2.20	708	2.64	110	1.94	0	4819	2.62
		"TURBAYNE, David"	GRN	181	0.12	6	0.16	1	0.05	44	0.16	7	0.12	0	239	0.13
		Group Total	GRN	8848	6.07	263	7.03	112	5.85	1659	6.20	286	5.05	0	11168	6.08
E		TICKET VOTES	LP	45644	31.32	1057	28.25	443	23.16	8927	33.34	2037	36.00	0	58108	31.61
	#	"REID, Margaret"	LP	4591	3.15	97	2.59	34	1.78	860	3.21	268	4.74	0	5850	3.18
		"SPIER, Lucinda"	LP	267	0.18	9	0.24	1	0.05	69	0.26	14	0.25	0	360	0.20
		Group Total	LP	50502	34.65	1163	31.08	478	24.99	9856	36.81	2319	40.99	0	64318	34.99
F		TICKET VOTES	NLP	346	0.24	18	0.48	9	0.47	78	0.29	22	0.39	0	473	0.26
		"SEATON, David"	NLP	150	0.10	5	0.13	1	0.05	22	0.08	9	0.16	0	187	0.10
		"KERRISON, Nanette"	NLP	55	0.04	1	0.03	0	0.00	14	0.05	3	0.05	0	73	0.04
		Group Total	NLP	551	0.38	24	0.64	10	0.52	114	0.43	34	0.60	0	733	0.40
UNGROUPED																
		"BURNS, Arthur"	AFI	296	0.20	7	0.19	3	0.16	51	0.19	36	0.64	0	393	0.21
		"COLLAERY, Bernard"	IND	3028	2.08	55	1.47	32	1.67	294	1.10	61	1.08	0	3470	1.89
		Ungrouped Total		3324	2.28	62	1.66	35	1.83	345	1.29	97	1.71	0	3863	2.10
			FORMAL	145738	98.27	3742	98.66	1913	98.66	26775	98.91	5658	99.02	0	183826	98.40
			INFORMAL	2559	1.73	51	1.34	26	1.34	296	1.09	56	0.98	0	2988	1.60
			TOTAL	148297	79.38	3793	2.03	1939	1.04	27071	14.49	5714	3.06	0	186814	97.05



Northern Territory																
Enrolment 91563																
				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	CLP	24331	34.14	0	0.00	196	24.97	1905	38.31	932	43.80	0	27364	34.57
	#	"TAMBLING, Grant"	CLP	6346	8.91	0	0.00	58	7.39	554	11.14	296	13.91	0	7254	9.17
		"TRUMAN, Bob"	CLP	673	0.94	0	0.00	12	1.53	59	1.19	43	2.02	0	787	0.99
		Group Total	CLP	31350	43.99	0	0.00	266	33.89	2518	50.64	1271	59.73	0	35405	44.73
B		TICKET VOTES	ALP	32156	45.12	0	0.00	431	54.90	1917	38.56	618	29.04	0	35122	44.38
	#	"COLLINS, Bob"	ALP	6971	9.78	0	0.00	79	10.06	472	9.49	217	10.20	0	7739	9.78
		"RING, Patty"	ALP	783	1.10	0	0.00	9	1.15	65	1.31	22	1.03	0	879	1.11
		Group Total	ALP	39910	56.01	0	0.00	519	66.11	2454	49.36	857	40.27	0	43740	55.27
UNGROUPED																
		Ungrouped Total		0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0	0.00
			FORMAL	71260	97.08	0	0.00	785	96.79	4972	97.97	2128	98.25	0	79145	97.16
			INFORMAL	2145	2.92	0	0.00	26	3.21	103	2.03	38	1.75	0	2312	2.84
			TOTAL	73405	90.12	0	0.00	811	1.00	5075	6.23	2166	2.66	0	81457	88.96
