Senate: Election 2001 - National															
First Preference Votes by Candidate															
By Vote Type by State															
				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
		Group Total	DEM	119474	6.68	11233	8.22	1245	6.32	6902	7.05	5088	4.79	143942	6.69
UNGROUPED															
		"ROSBOROUGH, Derek M"	IND	585	0.03	50	0.04	1	0.01	35	0.04	29	0.03	700	0.03
		"HOWSE, David Gordon"	IND	61	0.00	6	0.00	0	0.00	6	0.01	5	0.00	78	0.00
		"JONES, John Dalungdalee"	IND	71	0.00	7	0.01	0	0.00	3	0.00	5	0.00	86	0.00
		"KIRWIN, Oni"	IND	139	0.01	11	0.01	3	0.02	11	0.01	9	0.01	173	0.01
		"SZENTES, George"	IND	150	0.01	9	0.01	1	0.01	11	0.01	9	0.01	180	0.01
		"MELROSE, Anthony John"	IND	78	0.00	8	0.01	0	0.00	9	0.01	10	0.01	105	0.00
		"PHILIPPI, Walter"	IND	59	0.00	6	0.00	1	0.01	2	0.00	4	0.00	72	0.00
		"RILEY, Phillip Werner"	IND	213	0.01	16	0.01	2	0.01	4	0.00	28	0.03	263	0.01
		Ungrouped Total		1356	0.08	113	0.08	8	0.04	81	0.08	99	0.09	1657	0.08
			FORMAL	1789663	96.80	136635	98.28	19691	96.86	97941	98.55	106147	98.33	2150077	97.05
			INFORMAL	59177	3.20	2398	1.72	638	3.14	1437	1.45	1800	1.67	65450	2.95
			TOTAL	1848840	83.45	139033	6.28	20329	0.92	99378	4.49	107947	4.87	2215527	94.81

Western Australia															
Enrolment 1206422															

A		TICKET VOTES		3320	0.36	191	0.21	24	0.27	100	0.23	63	0.20	3698	0.33
		"DALTON, Jim"		617	0.07	60	0.06	12	0.13	21	0.05	12	0.04	722	0.07
		"DALTON, Kate"		60	0.01	6	0.01	3	0.03	3	0.01	3	0.01	75	0.01
		Group Total		3997	0.43	257	0.28	39	0.43	124	0.28	78	0.24	4495	0.41
B		TICKET VOTES		935	0.10	91	0.10	6	0.07	48	0.11	22	0.07	1102	0.10
		"TAYLOR, Geoff"		410	0.04	35	0.04	3	0.03	16	0.04	9	0.03	473	0.04
		"SHEIL, Henry"		51	0.01	2	0.00	1	0.01	2	0.00	0	0.00	56	0.01
		Group Total		1396	0.15	128	0.14	10	0.11	66	0.15	31	0.10	1631	0.15
C		TICKET VOTES	TPS	508	0.05	66	0.07	7	0.08	18	0.04	12	0.04	611	0.06
		"BATESON, Alan"	TPS	44	0.00	5	0.01	0	0.00	4	0.01	2	0.01	55	0.00
		"KENNEDY, Ramon"	TPS	2	0.00	2	0.00	0	0.00	0	0.00	0	0.00	4	0.00
		Group Total	TPS	554	0.06	73	0.08	7	0.08	22	0.05	14	0.04	670	0.06
D		TICKET VOTES	CTA	10209	1.10	957	1.03	87	0.96	317	0.72	257	0.80	11827	1.07
		"MOSELEY, Justin"	CTA	1616	0.17	135	0.15	5	0.06	56	0.13	54	0.17	1866	0.17
		"WATTERSON, Kerry"	CTA	91	0.01	15	0.02	1	0.01	6	0.01	3	0.01	116	0.01
		Group Total	CTA	11916	1.28	1107	1.20	93	1.03	379	0.86	314	0.98	13809	1.25
E		TICKET VOTES	CEC	889	0.10	96	0.10	9	0.10	46	0.10	28	0.09	1068	0.10
		"ROBINSON, Jean"	CEC	124	0.01	11	0.01	2	0.02	4	0.01	7	0.02	148	0.01
		"WATSON, John"	CEC	24	0.00	1	0.00	1	0.01	0	0.00	1	0.00	27	0.00
		Group Total	CEC	1037	0.11	108	0.12	12	0.13	50	0.11	36	0.11	1243	0.11
F		TICKET VOTES	LP	361923	39.00	35217	38.03	2884	31.93	18183	41.49	13982	43.58	432189	39.09
	#	"EGGLESTON, Alan"	LP	4628	0.50	446	0.48	30	0.33	287	0.65	287	0.89	5678	0.51
	#	"JOHNSTON, David"	LP	273	0.03	40	0.04	2	0.02	22	0.05	18	0.06	355	0.03
	#	"LIGHTFOOT, Ross"	LP	981	0.11	109	0.12	5	0.06	62	0.14	77	0.24	1234	0.11
		"CRANE, Winston"	LP	3231	0.35	235	0.25	9	0.10	60	0.14	103	0.32	3638	0.33
		"KEOGH, Kim"	LP	184	0.02	25	0.03	1	0.01	11	0.03	20	0.06	241	0.02
		"HALLETT, Nigel"	LP	208	0.02	30	0.03	1	0.01	11	0.03	12	0.04	262	0.02
		Group Total	LP	371428	40.02	36102	38.99	2932	32.46	18636	42.53	14499	45.19	443597	40.13
G		TICKET VOTES	NP	17816	1.92	1998	2.16	106	1.17	627	1.43	721	2.25	21268	1.92
		"COWAN, Hendy"	NP	3968	0.43	343	0.37	9	0.10	162	0.37	193	0.60	4675	0.42
		"DAY, Margaret"	NP	57	0.01	4	0.00	0	0.00	7	0.02	4	0.01	72	0.01
		Group Total	NP	21841	2.35	2345	2.53	115	1.27	796	1.82	918	2.86	26015	2.35
H		TICKET VOTES	UNI	585	0.06	61	0.07	12	0.13	30	0.07	21	0.07	709	0.06
		"HWANG, Eddie"	UNI	65	0.01	13	0.01	1	0.01	8	0.02	1	0.00	88	0.01
		"CHIN, Nicholas"	UNI	13	0.00	1	0.00	0	0.00	0	0.00	0	0.00	14	0.00
		Group Total	UNI	663	0.07	75	0.08	13	0.14	38	0.09	22	0.07	811	0.07
I		TICKET VOTES	HAN	58074	6.26	6063	6.55	616	6.82	2776	6.33	2223	6.93	69752	6.31
		"CAMPBELL, Graeme"	HAN	6254	0.67	540	0.58	32	0.35	298	0.68	404	1.26	7528	0.68
		"KENWORTHY, Gerry"	HAN	128	0.01	9	0.01	1	0.01	4	0.01	11	0.03	153	0.01
		"DANIELS, Marye"	HAN	77	0.01	9	0.01	1	0.01	8	0.02	7	0.02	102	0.01
		"DAVID, Peter"	HAN	182	0.02	20	0.02	1	0.01	11	0.03	8	0.02	222	0.02
		Group Total	HAN	64715	6.97	6641	7.17	651	7.21	3097	7.07	2653	8.27	77757	7.03
J		TICKET VOTES	LFF	11366	1.22	1170	1.26	113	1.25	703	1.60	390	1.22	13742	1.24
		"DAVENPORT, Liz"	LFF	1494	0.16	146	0.16	5	0.06	82	0.19	63	0.20	1790	0.16
		"HARRIS, Arthur"	LFF	89	0.01	18	0.02	1	0.01	1	0.00	5	0.02	114	0.01
		Group Total	LFF	12949	1.40	1334	1.44	119	1.32	786	1.79	458	1.43	15646	1.42
K		TICKET VOTES		366	0.04	41	0.04	4	0.04	27	0.06	5	0.02	443	0.04
		"NESCI, Frank"		66	0.01	6	0.01	0	0.00	2	0.00	3	0.01	77	0.01
		"SCHNEIDER, Renu"		7	0.00	1	0.00	0	0.00	2	0.00	2	0.01	12	0.00
		Group Total		439	0.05	48	0.05	4	0.04	31	0.07	10	0.03	532	0.05
L		TICKET VOTES	CLA	2821	0.30	281	0.30	48	0.53	104	0.24	66	0.21	3320	0.30
		"BENNETT, Adrian"	CLA	137	0.01	15	0.02	1	0.01	4	0.01	4	0.01	161	0.01
		"BENNETT, June"	CLA	10	0.00	1	0.00	0	0.00	1	0.00	1	0.00	13	0.00
		Group Total	CLA	2968	0.32	297	0.32	49	0.54	109	0.25	71	0.22	3494	0.32
M		TICKET VOTES*		0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		"ISAACS, Clarrie"		213	0.02	38	0.04	1	0.01	5	0.01	3	0.01	260	0.02
		"WATSON, Daniel"		30	0.00	7	0.01	1	0.01	1	0.00	3	0.01	42	0.00
		Group Total		243	0.03	45	0.05	2	0.02	6	0.01	6	0.02	302	0.03
N		TICKET VOTES	PLP	6226	0.67	722	0.78	124	1.37	240	0.55	117	0.36	7429	0.67
		"LUPI, Mary"	PLP	175	0.02	20	0.02	3	0.03	4	0.01	5	0.02	207	0.02
		"WHOOLEY, Helen"	PLP	28	0.00	3	0.00	0	0.00	0	0.00	0	0.00	31	0.00
		Group Total	PLP	6429	0.69	745	0.80	127	1.41	244	0.56	122	0.38	7667	0.69
O		TICKET VOTES	DEM	46885	5.05	5828	6.29	525	5.81	2634	6.01	1303	4.06	57175	5.17
	#	"MURRAY, Andrew"	DEM	5399	0.58	498	0.54	26	0.29	265	0.60	182	0.57	6370	0.58
		"HODGSON, Helen"	DEM	730	0.08	93	0.10	6	0.07	48	0.11	32	0.10	909	0.08
		"MEYER, Damian"	DEM	243	0.03	47	0.05	0	0.00	11	0.03	18	0.06	319	0.03
		Group Total	DEM	53257	5.74	6466	6.98	557	6.17	2958	6.75	1535	4.78	64773	5.86
P		TICKET VOTES	ALP	313671	33.80	28498	30.78	3533	39.12	13285	30.32	9571	29.83	368558	33.34
	#	"BISHOP, Mark"	ALP	6177	0.67	600	0.65	68	0.75	299	0.68	282	0.88	7426	0.67
	#	"WEBBER, Ruth"	ALP	590	0.06	60	0.06	7	0.08	41	0.09	30	0.09	728	0.07
		"CUOMO, Mark"	ALP	329	0.04	37	0.04	3	0.03	17	0.04	13	0.04	399	0.04
		"WAUGH, Gavin Bruce"	ALP	351	0.04	36	0.04	6	0.07	21	0.05	22	0.07	436	0.04
		Group Total	ALP	321118	34.60	29231	31.57	3617	40.05	13663	31.18	9918	30.91	377547	34.15
Q		TICKET VOTES	GWA	43738	4.71	6591	7.12	606	6.71	2387	5.45	1122	3.50	54444	4.92
		"SIEWERT, Rachel"	GWA	7994	0.86	827	0.89	63	0.70	354	0.81	207	0.65	9445	0.85
		"BELL, Lee"	GWA	190	0.02	24	0.03	1	0.01	10	0.02	9	0.03	234	0.02
		"SMITH, Paul"	GWA	127	0.01	25	0.03	3	0.03	7	0.02	6	0.02	168	0.02
		"ZED, Jenna"	GWA	339	0.04	57	0.06	4	0.04	25	0.06	20	0.06	445	0.04
		Group Total	GWA	52388	5.65	7524	8.13	677	7.50	2783	6.35	1364	4.25	64736	5.86
UNGROUPED															
		"LEE, Jennifer"	IND	661	0.07	67	0.07	8	0.09	34	0.08	34	0.11	804	0.07
		Ungrouped Total		661	0.07	67	0.07	8	0.09	34	0.08	34	0.11	804	0.07
			FORMAL	927999	96.11	92593	97.85	9032	95.98	43822	98.57	32083	98.79	1105529	96.42
			INFORMAL	37579	3.89	2039	2.15	378	4.02	636	1.43	393	1.21	41025	3.58
			TOTAL	965578	84.22	94632	8.25	9410	0.82	44458	3.88	32476	2.83	1146554	95.04
*Group M did not lodge a Group Voting Ticket															

South Australia															
Enrolment 1039025															

A		TICKET VOTES	ALP	263545	31.80	18397	29.69	3169	39.16	9452	28.71	9472	26.85	304035	31.44
		"WONG, Penny"	ALP	8776	1.06	697	1.12	88	1.09	397	1.21	373	1.06	10331	1.07
		"KIRK, Linda"	ALP	1276	0.15	136	0.22	21	0.26	60	0.18	62	0.18	1555	0.16
		"SCHACHT, Chris"	ALP	4783	0.58	279	0.45	22	0.27	177	0.54	240	0.68	5501	0.57
		Group Total	ALP	278380	33.59	19509	31.49	3300	40.78	10086	30.64	10147	28.77	321422	33.24
B		TICKET VOTES	GRN	20209	2.44	2230	3.60	354	4.37	982	2.98	558	1.58	24333	2.52
		"FAEHRMANN, Cate"	GRN	7149	0.86	648	1.05	57	0.70	296	0.90	263	0.75	8413	0.87
		"DOUGLAS, Jim"	GRN	531	0.06	55	0.09	2	0.02	25	0.08	26	0.07	639	0.07
		Group Total	GRN	27889	3.37	2933	4.73	413	5.10	1303	3.96	847	2.40	33385	3.45
C		TICKET VOTES	HAN	31758	3.83	2255	3.64	350	4.33	1285	3.90	1413	4.01	37061	3.83
		"RUSSELL-TAYLOR, Neil"	HAN	5666	0.68	316	0.51	24	0.30	203	0.62	421	1.19	6630	0.69
		"GIBSON, Colin"	HAN	296	0.04	17	0.03	10	0.12	10	0.03	31	0.09	364	0.04
		Group Total	HAN	37720	4.55	2588	4.18	384	4.75	1498	4.55	1865	5.29	44055	4.56
D		TICKET VOTES		713	0.09	62	0.10	14	0.17	22	0.07	19	0.05	830	0.09
		"NEWNAM, Kathy"		221	0.03	23	0.04	0	0.00	7	0.02	10	0.03	261	0.03
		"LINES, Lisa"		67	0.01	7	0.01	1	0.01	3	0.01	2	0.01	80	0.01
		Group Total		1001	0.12	92	0.15	15	0.19	32	0.10	31	0.09	1171	0.12
E		TICKET VOTES	LP	362966	43.80	25569	41.27	2779	34.34	14142	42.96	17808	50.48	423264	43.77
		"HILL, Robert"	LP	12457	1.50	809	1.31	54	0.67	473	1.44	834	2.36	14627	1.51
		"FERRIS, Jeannie"	LP	505	0.06	49	0.08	5	0.06	33	0.10	61	0.17	653	0.07
		"CHAPMAN, Grant"	LP	998	0.12	77	0.12	6	0.07	64	0.19	73	0.21	1218	0.13
		"LENSINK, Michelle"	LP	540	0.07	55	0.09	4	0.05	34	0.10	36	0.10	669	0.07
		Group Total	LP	377466	45.55	26559	42.86	2848	35.20	14746	44.79	18812	53.33	440431	45.55
F		TICKET VOTES		427	0.05	24	0.04	4	0.05	17	0.05	15	0.04	487	0.05
		"ALDRIDGE, Mark"		178	0.02	11	0.02	3	0.04	5	0.02	3	0.01	200	0.02
		"ALDRIDGE, Helen"		55	0.01	5	0.01	1	0.01	1	0.00	1	0.00	63	0.01
		Group Total		660	0.08	40	0.06	8	0.10	23	0.07	19	0.05	750	0.08
G		TICKET VOTES		193	0.02	16	0.03	3	0.04	435	1.32	10	0.03	657	0.07
		"HARTE, Kerry"		142	0.02	7	0.01	0	0.00	3	0.01	8	0.02	160	0.02
		"PHILLIPS, Colin"		67	0.01	0	0.00	0	0.00	0	0.00	2	0.01	69	0.01
		Group Total		402	0.05	23	0.04	3	0.04	438	1.33	20	0.06	886	0.09
H		TICKET VOTES	RPA	1279	0.15	115	0.19	17	0.21	79	0.24	70	0.20	1560	0.16
		"CROZIER, Patrick"	RPA	263	0.03	25	0.04	2	0.02	14	0.04	18	0.05	322	0.03
		"EASSON, Robert"	RPA	25	0.00	4	0.01	0	0.00	2	0.01	2	0.01	33	0.00
		Group Total	RPA	1567	0.19	144	0.23	19	0.23	95	0.29	90	0.26	1915	0.20
I		TICKET VOTES	DEM	83533	10.08	8270	13.35	937	11.58	3840	11.66	2589	7.34	99169	10.26
		"STOTT DESPOJA, Natasha"	DEM	18643	2.25	1666	2.69	154	1.90	780	2.37	752	2.13	21995	2.27
		"HEATH, Jeff"	DEM	390	0.05	25	0.04	2	0.02	24	0.07	27	0.08	468	0.05
		"PILLING, Michael"	DEM	125	0.02	15	0.02	1	0.01	9	0.03	6	0.02	156	0.02
		"HASSAN, Haroon"	DEM	157	0.02	16	0.03	2	0.02	16	0.05	10	0.03	201	0.02
		Group Total	DEM	102848	12.41	9992	16.13	1096	13.54	4669	14.18	3384	9.59	121989	12.62
UNGROUPED															
		"FISHLOCK, Kym"	IND	500	0.06	49	0.08	2	0.02	16	0.05	29	0.08	596	0.06
		"BEHN, Ervyn C"	CEC	83	0.01	8	0.01	0	0.00	4	0.01	11	0.03	106	0.01
		"McSHANE, Nicholas"	IND	252	0.03	24	0.04	4	0.05	9	0.03	20	0.06	309	0.03
		Ungrouped Total		835	0.10	81	0.13	6	0.07	29	0.09	60	0.17	1011	0.10
			FORMAL	828768	96.67	61961	98.30	8092	97.40	32919	98.78	35275	99.00	967015	96.94
			INFORMAL	28505	3.33	1071	1.70	216	2.60	407	1.22	357	1.00	30556	3.06
			TOTAL	857273	85.94	63032	6.32	8308	0.83	33326	3.34	35632	3.57	997571	96.01

Tasmania															
Enrolment 331675															

A		TICKET VOTES	TFP	2265	0.85	126	0.83	56	1.80	143	1.22	90	0.71	2680	0.87
		"CRACK, Merilyn"	TFP	693	0.26	38	0.25	22	0.71	26	0.22	33	0.26	812	0.26
		"JACKSON, David"	TFP	185	0.07	15	0.10	5	0.16	8	0.07	16	0.13	229	0.07
		"PRESSER, John"	TFP	145	0.05	7	0.05	1	0.03	10	0.09	11	0.09	174	0.06
		Group Total	TFP	3288	1.24	186	1.23	84	2.70	187	1.60	150	1.18	3895	1.26
B		TICKET VOTES	HPA	258	0.10	17	0.11	9	0.29	13	0.11	3	0.02	300	0.10
		"BRISTOW, James Tate"	HPA	42	0.02	1	0.01	5	0.16	3	0.03	2	0.02	53	0.02
		"PETHERBRIDGE-de TISSERA, Shamara"	HPA	12	0.00	1	0.01	0	0.00	0	0.00	0	0.00	13	0.00
		Group Total	HPA	312	0.12	19	0.13	14	0.45	16	0.14	5	0.04	366	0.12
C		TICKET VOTES	HAN	6836	2.57	384	2.54	92	2.95	302	2.58	354	2.79	7968	2.58
		"BOAG, Bronwyn"	HAN	1471	0.55	74	0.49	8	0.26	52	0.45	95	0.75	1700	0.55
		"STOKES, Peter"	HAN	437	0.16	18	0.12	0	0.00	18	0.15	28	0.22	501	0.16
		Group Total	HAN	8744	3.29	476	3.15	100	3.21	372	3.18	477	3.77	10169	3.29
D		TICKET VOTES		212	0.08	8	0.05	3	0.10	8	0.07	8	0.06	239	0.08
		"BONNER, Stephen"		116	0.04	6	0.04	3	0.10	4	0.03	3	0.02	132	0.04
		"HOWARD, Geoff"		40	0.02	1	0.01	1	0.03	1	0.01	0	0.00	43	0.01
		Group Total		368	0.14	15	0.10	7	0.22	13	0.11	11	0.09	414	0.13
E		TICKET VOTES	GRN	20577	7.73	1558	10.30	301	9.66	1095	9.37	765	6.04	24296	7.87
	#	"BROWN, Bob"	GRN	15917	5.98	1059	7.00	109	3.50	693	5.93	494	3.90	18272	5.92
		Group Total	GRN	36494	13.72	2617	17.29	410	13.16	1788	15.30	1259	9.94	42568	13.79
F		TICKET VOTES	LP	87201	32.77	4763	31.47	737	23.66	4230	36.20	4681	36.96	101612	32.92
	#	"CALVERT, Paul"	LP	7553	2.84	402	2.66	46	1.48	325	2.78	343	2.71	8669	2.81
	#	"WATSON, John"	LP	3737	1.40	180	1.19	14	0.45	152	1.30	195	1.54	4278	1.39
	#	"COLBECK, Richard"	LP	834	0.31	38	0.25	3	0.10	49	0.42	43	0.34	967	0.31
		"PARRY, Stephen"	LP	3859	1.45	155	1.02	13	0.42	104	0.89	63	0.50	4194	1.36
		Group Total	LP	103184	38.78	5538	36.60	813	26.10	4860	41.59	5325	42.04	119720	38.79
G		TICKET VOTES		205	0.08	16	0.11	6	0.19	7	0.06	29	0.23	263	0.09
		"BAINBRIDGE, Alex"		56	0.02	5	0.03	1	0.03	2	0.02	0	0.00	64	0.02
		"CLEARY, Sarah"		49	0.02	4	0.03	3	0.10	4	0.03	2	0.02	62	0.02
		Group Total		310	0.12	25	0.17	10	0.32	13	0.11	31	0.24	389	0.13
H		TICKET VOTES	DEM	9135	3.43	738	4.88	141	4.53	573	4.90	374	2.95	10961	3.55
		"BUTLER, Debbie"	DEM	2583	0.97	174	1.15	28	0.90	136	1.16	105	0.83	3026	0.98
		"TOOHEY, Brendan"	DEM	228	0.09	10	0.07	3	0.10	28	0.24	17	0.13	286	0.09
		Group Total	DEM	11946	4.49	922	6.09	172	5.52	737	6.31	496	3.92	14273	4.62
I		TICKET VOTES	ALP	85155	32.01	4490	29.67	1337	42.92	3101	26.54	4129	32.60	98212	31.82
	#	"MACKAY, Sue"	ALP	6624	2.49	330	2.18	80	2.57	215	1.84	266	2.10	7515	2.43
	#	"SHERRY, Nick"	ALP	6122	2.30	289	1.91	39	1.25	203	1.74	321	2.53	6974	2.26
		"BILYK, Catryna"	ALP	856	0.32	56	0.37	6	0.19	45	0.39	45	0.36	1008	0.33
		Group Total	ALP	98757	37.12	5165	34.13	1462	46.93	3564	30.50	4761	37.59	113709	36.84
J		TICKET VOTES	LFF	1269	0.48	66	0.44	25	0.80	61	0.52	72	0.57	1493	0.48
		"PULLINGER, Peter"	LFF	300	0.11	24	0.16	3	0.10	9	0.08	13	0.10	349	0.11
		"THOMAS, Michael"	LFF	36	0.01	5	0.03	0	0.00	3	0.03	6	0.05	50	0.02
		Group Total	LFF	1605	0.60	95	0.63	28	0.90	73	0.62	91	0.72	1892	0.61
K		TICKET VOTES	RPA	206	0.08	21	0.14	8	0.26	28	0.24	23	0.18	286	0.09
		"CONSANDINE, Peter"	RPA	56	0.02	3	0.02	2	0.06	5	0.04	5	0.04	71	0.02
		"LAWATSCH, Bert"	RPA	8	0.00	1	0.01	0	0.00	1	0.01	1	0.01	11	0.00
		Group Total	RPA	270	0.10	25	0.17	10	0.32	34	0.29	29	0.23	368	0.12
UNGROUPED															
		"LARNER, Rob"	CEC	70	0.03	6	0.04	0	0.00	3	0.03	3	0.02	82	0.03
		"MARMARINOS, John Victor"	IND	68	0.03	6	0.04	2	0.06	4	0.03	5	0.04	85	0.03
		"LANE, Helen"	IND	237	0.09	14	0.09	3	0.10	7	0.06	7	0.06	268	0.09
		"LOCKETT, Eric"	IND	410	0.15	24	0.16	0	0.00	14	0.12	16	0.13	464	0.15
		Ungrouped Total		785	0.30	50	0.33	5	0.16	28	0.24	31	0.24	899	0.29
			FORMAL	266063	96.45	15133	98.30	3115	97.13	11685	98.67	12666	98.48	308662	96.71
			INFORMAL	9785	3.55	262	1.70	92	2.87	158	1.33	196	1.52	10493	3.29
			TOTAL	275848	86.43	15395	4.82	3207	1.00	11843	3.71	12862	4.03	319155	96.23

Australian Capital Territory															
Enrolment 221184															

A		TICKET VOTES	DEM	11256	6.90	375	7.18	106	7.58	2185	7.30	347	5.90	14269	6.94
		"SIEVERS, Wayne"	DEM	4464	2.74	163	3.12	34	2.43	760	2.54	136	2.31	5557	2.70
		"DUNDAS, Roslyn Jane"	DEM	1731	1.06	70	1.34	15	1.07	360	1.20	70	1.19	2246	1.09
		Group Total	DEM	17451	10.70	608	11.64	155	11.09	3305	11.04	553	9.40	22072	10.74
B		TICKET VOTES	CTA	1651	1.01	60	1.15	18	1.29	243	0.81	87	1.48	2059	1.00
		"McCLURE, Ian"	CTA	1104	0.68	24	0.46	3	0.21	166	0.55	23	0.39	1320	0.64
		"JANES, Tim"	CTA	196	0.12	6	0.11	2	0.14	15	0.05	4	0.07	223	0.11
		Group Total	CTA	2951	1.81	90	1.72	23	1.65	424	1.42	114	1.94	3602	1.75
C		TICKET VOTES	GRN	6070	3.72	370	7.08	73	5.22	1267	4.23	118	2.01	7898	3.84
		"CORR, Gary"	GRN	4195	2.57	154	2.95	21	1.50	718	2.40	104	1.77	5192	2.53
		"FAHEY, Felicity"	GRN	1342	0.82	61	1.17	17	1.22	261	0.87	54	0.92	1735	0.84
		Group Total	GRN	11607	7.12	585	11.20	111	7.94	2246	7.50	276	4.69	14825	7.22
D		TICKET VOTES	ALP	56351	34.57	1676	32.09	552	39.48	10301	34.40	1814	30.82	70694	34.41
	#	"LUNDY, Kate"	ALP	11883	7.29	354	6.78	96	6.87	2052	6.85	431	7.32	14816	7.21
		"POKE, Robin"	ALP	644	0.40	26	0.50	4	0.29	116	0.39	31	0.53	821	0.40
		Group Total	ALP	68878	42.25	2056	39.36	652	46.64	12469	41.63	2276	38.67	86331	42.02
E		TICKET VOTES	LP	48663	29.85	1474	28.22	363	25.97	9226	30.81	2057	34.95	61783	30.07
	#	"REID, Margaret"	LP	6175	3.79	182	3.48	35	2.50	1139	3.80	320	5.44	7851	3.82
		"HANLON, Bill"	LP	651	0.40	30	0.57	5	0.36	123	0.41	32	0.54	841	0.41
		Group Total	LP	55489	34.04	1686	32.28	403	28.83	10488	35.02	2409	40.93	70475	34.30
F		TICKET VOTES	HAN	2606	1.60	92	1.76	35	2.50	530	1.77	120	2.04	3383	1.65
		"TARLINTON, Don"	HAN	775	0.48	26	0.50	8	0.57	152	0.51	57	0.97	1018	0.50
		"TARLINTON, Ted"	HAN	67	0.04	0	0.00	0	0.00	10	0.03	7	0.12	84	0.04
		Group Total	HAN	3448	2.12	118	2.26	43	3.08	692	2.31	184	3.13	4485	2.18
UNGROUPED															
		"ARNOLD, James T A"	CEC	83	0.05	2	0.04	1	0.07	13	0.04	5	0.08	104	0.05
		"HELM, Ken"	IND	3112	1.91	78	1.49	10	0.72	312	1.04	68	1.16	3580	1.74
		Ungrouped Total		3195	1.96	80	1.53	11	0.79	325	1.09	73	1.24	3684	1.79
			FORMAL	163019	97.42	5223	97.92	1398	98.38	29949	98.67	5885	98.82	205474	97.66
			INFORMAL	4316	2.58	111	2.08	23	1.62	404	1.33	70	1.18	4924	2.34
			TOTAL	167335	79.53	5334	2.54	1421	0.68	30353	14.43	5955	2.83	210398	95.12

Northern Territory															
Enrolment 111022															

A		TICKET VOTES	CLP	32137	40.54	760	37.25	231	31.73	3745	42.86	1182	51.68	38055	40.89
		"SCULLION, Nigel Gregory"	CLP	1864	2.35	45	2.21	10	1.37	254	2.91	90	3.94	2263	2.43
		"LOPES, John"	CLP	294	0.37	9	0.44	3	0.41	40	0.46	16	0.70	362	0.39
		Group Total	CLP	34295	43.26	814	39.90	244	33.52	4039	46.23	1288	56.32	40680	43.71
B		TICKET VOTES	HAN	2986	3.77	96	4.71	25	3.43	426	4.88	142	6.21	3675	3.95
		"PHILLIPS, Rob"	HAN	472	0.60	15	0.74	3	0.41	76	0.87	27	1.18	593	0.64
		"KING, Jim"	HAN	62	0.08	1	0.05	4	0.55	12	0.14	6	0.26	85	0.09
		Group Total	HAN	3520	4.44	112	5.49	32	4.40	514	5.88	175	7.65	4353	4.68
C		TICKET VOTES	GRN	2432	3.07	84	4.12	30	4.12	266	3.04	50	2.19	2862	3.08
		"ROSS, Melanie"	GRN	844	1.06	36	1.76	3	0.41	96	1.10	24	1.05	1003	1.08
		"McCABE, Charlotte"	GRN	93	0.12	1	0.05	1	0.14	17	0.19	1	0.04	113	0.12
		Group Total	GRN	3369	4.25	121	5.93	34	4.67	379	4.34	75	3.28	3978	4.27
D		TICKET VOTES		323	0.41	15	0.74	5	0.69	49	0.56	8	0.35	400	0.43
		"MILLS, June"		167	0.21	2	0.10	5	0.69	21	0.24	4	0.17	199	0.21
		"MEYERHOFF, Gary"		45	0.06	1	0.05	0	0.00	4	0.05	1	0.04	51	0.05
		Group Total		535	0.67	18	0.88	10	1.37	74	0.85	13	0.57	650	0.70
E		TICKET VOTES	DEM	4548	5.74	124	6.08	34	4.67	561	6.42	128	5.60	5395	5.80
		"CURTIS, David"	DEM	1122	1.42	27	1.32	11	1.51	119	1.36	30	1.31	1309	1.41
		"FAGGION, Joe"	DEM	76	0.10	1	0.05	0	0.00	11	0.13	4	0.17	92	0.10
		Group Total	DEM	5746	7.25	152	7.45	45	6.18	691	7.91	162	7.08	6796	7.30
F		TICKET VOTES	ALP	29336	37.01	743	36.42	340	46.70	2730	31.25	494	21.60	33643	36.15
		"CROSSIN, Trish"	ALP	1957	2.47	72	3.53	22	3.02	258	2.95	65	2.84	2374	2.55
		"HAVNEN, Olga"	ALP	421	0.53	7	0.34	0	0.00	42	0.48	13	0.57	483	0.52
		Group Total	ALP	31714	40.01	822	40.29	362	49.73	3030	34.68	572	25.01	36500	39.22
UNGROUPED															
		"FLYNN, Peter"	CEC	91	0.11	1	0.05	1	0.14	10	0.11	2	0.09	105	0.11
		Ungrouped Total		91	0.11	1	0.05	1	0.14	10	0.11	2	0.09	105	0.11
			FORMAL	79270	97.05	2040	98.03	728	96.30	8737	98.38	2287	99.26	93062	97.24
			INFORMAL	2410	2.95	41	1.97	28	3.70	144	1.62	17	0.74	2640	2.76
			TOTAL	81680	85.35	2081	2.17	756	0.79	8881	9.28	2304	2.41	95702	86.20
