House of Representatives - 2001 Election: Western Australia												
Two Candidate Preferred Preference Flow Result												
By Polling Place by Division												
												
Pearce (77880)												
		Candidate		                  	"MOYLAN, Judi"		               	"COSTELLO, Liam"		             	Total	
		"MILLER, Juanita (GWA)"	56		24	42.86		32	57.14		56	
		Total	191		438	50.40		431	49.60		869	

	Upper Swan											
			1st Prefs		947	70.99		387	29.01		1334	
		"NELSON, Chris (NP)"	12		11	91.67		1	8.33		12	
		"FOX, Jack (DEM)"	69		33	47.83		36	52.17		69	
		"HILL, Vivian (CTA)"	11		9	81.82		2	18.18		11	
		"COLLINS, Ken (HAN)"	101		56	55.45		45	44.55		101	
		"SMITH, Stuart (CEC)"	4		0	0.00		4	100.00		4	
		"MILLER, Juanita (GWA)"	91		27	29.67		64	70.33		91	
		Total	288		1083	66.77		539	33.23		1622	

	Walliston (Pearce)											
			1st Prefs		228	71.70		90	28.30		318	
		"NELSON, Chris (NP)"	3		3	100.00		0	0.00		3	
		"FOX, Jack (DEM)"	23		14	60.87		9	39.13		23	
		"HILL, Vivian (CTA)"	5		5	100.00		0	0.00		5	
		"COLLINS, Ken (HAN)"	30		21	70.00		9	30.00		30	
		"SMITH, Stuart (CEC)"	2		1	50.00		1	50.00		2	
		"MILLER, Juanita (GWA)"	50		15	30.00		35	70.00		50	
		Total	113		287	66.59		144	33.41		431	

	Wandering											
			1st Prefs		111	83.46		22	16.54		133	
		"NELSON, Chris (NP)"	23		22	95.65		1	4.35		23	
		"FOX, Jack (DEM)"	4		3	75.00		1	25.00		4	
		"HILL, Vivian (CTA)"	1		1	100.00		0	0.00		1	
		"COLLINS, Ken (HAN)"	17		12	70.59		5	29.41		17	
		"SMITH, Stuart (CEC)"	1		0	0.00		1	100.00		1	
		"MILLER, Juanita (GWA)"	4		2	50.00		2	50.00		4	
		Total	50		151	82.51		32	17.49		183	

	West Dale											
			1st Prefs		83	95.40		4	4.60		87	
		"NELSON, Chris (NP)"	10		10	100.00		0	0.00		10	
		"FOX, Jack (DEM)"	0		0	0.00		0	0.00		0	
		"HILL, Vivian (CTA)"	0		0	0.00		0	0.00		0	
		"COLLINS, Ken (HAN)"	16		8	50.00		8	50.00		16	
		"SMITH, Stuart (CEC)"	2		1	50.00		1	50.00		2	
		"MILLER, Juanita (GWA)"	0		0	0.00		0	0.00		0	
		Total	28		102	88.70		13	11.30		115	

	Williams											
			1st Prefs		214	85.26		37	14.74		251	
		"NELSON, Chris (NP)"	80		77	96.25		3	3.75		80	
		"FOX, Jack (DEM)"	4		1	25.00		3	75.00		4	
		"HILL, Vivian (CTA)"	2		2	100.00		0	0.00		2	
		"COLLINS, Ken (HAN)"	52		29	55.77		23	44.23		52	
		"SMITH, Stuart (CEC)"	4		1	25.00		3	75.00		4	
		"MILLER, Juanita (GWA)"	19		8	42.11		11	57.89		19	
		Total	161		332	80.58		80	19.42		412	

	Woodridge											
			1st Prefs		170	65.13		91	34.87		261	
		"NELSON, Chris (NP)"	10		8	80.00		2	20.00		10	
		"FOX, Jack (DEM)"	13		7	53.85		6	46.15		13	
		"HILL, Vivian (CTA)"	2		1	50.00		1	50.00		2	
		"COLLINS, Ken (HAN)"	58		22	37.93		36	62.07		58	
		"SMITH, Stuart (CEC)"	2		1	50.00		1	50.00		2	
		"MILLER, Juanita (GWA)"	33		13	39.39		20	60.61		33	
		Total	118		222	58.58		157	41.42		379	

	Wooroloo											
			1st Prefs		159	61.63		99	38.37		258	
		"NELSON, Chris (NP)"	3		3	100.00		0	0.00		3	
		"FOX, Jack (DEM)"	14		6	42.86		8	57.14		14	
		"HILL, Vivian (CTA)"	0		0	0.00		0	0.00		0	
		"COLLINS, Ken (HAN)"	50		27	54.00		23	46.00		50	
		"SMITH, Stuart (CEC)"	2		0	0.00		2	100.00		2	
		"MILLER, Juanita (GWA)"	35		12	34.29		23	65.71		35	
		Total	104		207	57.18		155	42.82		362	

	Wundowie											
			1st Prefs		176	44.22		222	55.78		398	
		"NELSON, Chris (NP)"	19		13	68.42		6	31.58		19	
		"FOX, Jack (DEM)"	13		6	46.15		7	53.85		13	
		"HILL, Vivian (CTA)"	7		5	71.43		2	28.57		7	
		"COLLINS, Ken (HAN)"	56		25	44.64		31	55.36		56	
		"SMITH, Stuart (CEC)"	3		2	66.67		1	33.33		3	
		"MILLER, Juanita (GWA)"	39		19	48.72		20	51.28		39	
		Total	137		246	45.98		289	54.02		535	

	Yanchep											
			1st Prefs		424	54.50		354	45.50		778	
		"NELSON, Chris (NP)"	16		13	81.25		3	18.75		16	
		"FOX, Jack (DEM)"	52		22	42.31		30	57.69		52	
		"HILL, Vivian (CTA)"	9		6	66.67		3	33.33		9	
		"COLLINS, Ken (HAN)"	98		42	42.86		56	57.14		98	
		"SMITH, Stuart (CEC)"	2		1	50.00		1	50.00		2	
		"MILLER, Juanita (GWA)"	90		23	25.56		67	74.44		90	
		Total	267		531	50.81		514	49.19		1045	

	York											
			1st Prefs		694	66.03		357	33.97		1051	
		"NELSON, Chris (NP)"	85		73	85.88		12	14.12		85	
		"FOX, Jack (DEM)"	38		16	42.11		22	57.89		38	
		"HILL, Vivian (CTA)"	19		13	68.42		6	31.58		19	
		"COLLINS, Ken (HAN)"	194		82	42.27		112	57.73		194	
		"SMITH, Stuart (CEC)"	4		1	25.00		3	75.00		4	
		"MILLER, Juanita (GWA)"	89		28	31.46		61	68.54		89	
		Total	429		907	61.28		573	38.72		1480	

	Prison Mobiles											
			1st Prefs		0			0				
		"NELSON, Chris (NP)"	0		0	0.00		0	0.00		0	
		"FOX, Jack (DEM)"	0		0	0.00		0	0.00		0	
		"HILL, Vivian (CTA)"	0		0	0.00		0	0.00		0	
		"COLLINS, Ken (HAN)"	0		0	0.00		0	0.00		0	
		"SMITH, Stuart (CEC)"	0		0	0.00		0	0.00		0	
		"MILLER, Juanita (GWA)"	0		0	0.00		0	0.00		0	
		Total	0		0	0.00		0	0.00		0	

	Special Hospitals											
			1st Prefs		70	53.85		60	46.15		130	
		"NELSON, Chris (NP)"	13		9	69.23		4	30.77		13	
		"FOX, Jack (DEM)"	2		0	0.00		2	100.00		2	
		"HILL, Vivian (CTA)"	2		2	100.00		0	0.00		2	
		"COLLINS, Ken (HAN)"	6		6	100.00		0	0.00		6	
		"SMITH, Stuart (CEC)"	0		0	0.00		0	0.00		0	
		"MILLER, Juanita (GWA)"	3		1	33.33		2	66.67		3	
		Total	26		88	56.41		68	43.59		156	

	Total Ordinary											
			1st Prefs		26348	59.30		18087	40.70		44435	
		"NELSON, Chris (NP)"	1625		1410	86.77		215	13.23		1625	
		"FOX, Jack (DEM)"	2563		1081	42.18		1482	57.82		2563	
		"HILL, Vivian (CTA)"	691		499	72.21		192	27.79		691	
		"COLLINS, Ken (HAN)"	5057		2463	48.70		2594	51.30		5057	
		"SMITH, Stuart (CEC)"	234		107	45.73		127	54.27		234	
		"MILLER, Juanita (GWA)"	4072		1330	32.66		2742	67.34		4072	
		Total	14242		33238	56.65		25439	43.35		58677	

	ABSENT											
			1st Prefs		2879	60.14		1908	39.86		4787	
		"NELSON, Chris (NP)"	265		210	79.25		55	20.75		265	
		"FOX, Jack (DEM)"	398		167	41.96		231	58.04		398	
		"HILL, Vivian (CTA)"	107		66	61.68		41	38.32		107	
		"COLLINS, Ken (HAN)"	629		347	55.17		282	44.83		629	
		"SMITH, Stuart (CEC)"	47		31	65.96		16	34.04		47	
		"MILLER, Juanita (GWA)"	660		206	31.21		454	68.79		660	
		Total	2106		3906	56.67		2987	43.33		6893	

	POSTAL											
			1st Prefs		1088	66.87		539	33.13		1627	
		"NELSON, Chris (NP)"	40		37	92.50		3	7.50		40	
		"FOX, Jack (DEM)"	59		37	62.71		22	37.29		59	
		"HILL, Vivian (CTA)"	32		22	68.75		10	31.25		32	
		"COLLINS, Ken (HAN)"	199		119	59.80		80	40.20		199	
		"SMITH, Stuart (CEC)"	9		3	33.33		6	66.67		9	
		"MILLER, Juanita (GWA)"	118		41	34.75		77	65.25		118	
		Total	457		1347	64.64		737	35.36		2084	

	PRE_POLL											
			1st Prefs		1054	62.04		645	37.96		1699	
		"NELSON, Chris (NP)"	47		35	74.47		12	25.53		47	
		"FOX, Jack (DEM)"	109		47	43.12		62	56.88		109	
		"HILL, Vivian (CTA)"	21		16	76.19		5	23.81		21	
		"COLLINS, Ken (HAN)"	187		94	50.27		93	49.73		187	
		"SMITH, Stuart (CEC)"	9		5	55.56		4	44.44		9	
		"MILLER, Juanita (GWA)"	192		55	28.65		137	71.35		192	
		Total	565		1306	57.69		958	42.31		2264	

	PROVISIONAL											
			1st Prefs		140	52.43		127	47.57		267	
		"NELSON, Chris (NP)"	8		7	87.50		1	12.50		8	
		"FOX, Jack (DEM)"	18		5	27.78		13	72.22		18	
		"HILL, Vivian (CTA)"	7		4	57.14		3	42.86		7	
		"COLLINS, Ken (HAN)"	33		17	51.52		16	48.48		33	
		"SMITH, Stuart (CEC)"	0		0	0.00		0	0.00		0	
		"MILLER, Juanita (GWA)"	30		9	30.00		21	70.00		30	
		Total	96		182	50.14		181	49.86		363	

	Division Summary											
			1st Prefs		31509	59.66		21306	40.34		52815	
		"NELSON, Chris (NP)"	1985		1699	85.59		286	14.41		1985	
		"FOX, Jack (DEM)"	3147		1337	42.48		1810	57.52		3147	
		"HILL, Vivian (CTA)"	858		607	70.75		251	29.25		858	
		"COLLINS, Ken (HAN)"	6105		3040	49.80		3065	50.20		6105	
		"SMITH, Stuart (CEC)"	299		146	48.83		153	51.17		299	
		"MILLER, Juanita (GWA)"	5072		1641	32.35		3431	67.65		5072	
		Total	17466		39979	56.88		30302	43.12		70281	
