House of Representatives - 2001 Election: Western Australia																									
Distribution of Preferences																									
By Polling Place																									
																									
Curtin																									
					BUCKLE			GILMOUR			BISHOP			FOWLER			WALKER			WOOD			MCDONALD		
	FIFTH				Excluded					11	14.67		24	32.00		40	53.33								75
		TOTAL								386	47.77		249	30.82		173	21.41								808
	SIXTH									43	24.86		130	75.14			Excluded								173
		TOTAL								429	53.09		379	46.91											808
										Elected															
																									
Shenton Park West                                              																									
	FIRST			106	7.28		25	1.72		654	44.92		393	26.99		228	15.66		44	3.02		6	0.41		1456
	SECOND			1	16.67		0	0.00		1	16.67		0	0.00		1	16.67		3	50.00			Excluded		6
		TOTAL		107	7.35		25	1.72		655	44.99		393	26.99		229	15.73		47	3.23					1456
	THIRD			4	8.51		0	0.00		17	36.17		4	8.51		22	46.81			Excluded					47
		TOTAL		111	7.62		25	1.72		672	46.15		397	27.27		251	17.24								1456
	FOURTH			3	12.00			Excluded		12	48.00		5	20.00		5	20.00								25
		TOTAL		114	7.83					684	46.98		402	27.61		256	17.58								1456
	FIFTH				Excluded					17	14.91		31	27.19		66	57.89								114
		TOTAL								701	48.15		433	29.74		322	22.12								1456
	SIXTH									70	21.74		252	78.26			Excluded								322
		TOTAL								771	52.95		685	47.05											1456
										Elected															
																									
Sir Charles Gairdner Hospital                                  																									
	FIRST			11	6.79		3	1.85		74	45.68		47	29.01		19	11.73		6	3.70		2	1.23		162
	SECOND			0	0.00		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		2
		TOTAL		11	6.79		4	2.47		75	46.30		47	29.01		19	11.73		6	3.70					162
	THIRD			0	0.00		0	0.00		1	16.67		3	50.00		2	33.33			Excluded					6
		TOTAL		11	6.79		4	2.47		76	46.91		50	30.86		21	12.96								162
	FOURTH			0	0.00			Excluded		4	100.00		0	0.00		0	0.00								4
		TOTAL		11	6.79					80	49.38		50	30.86		21	12.96								162
	FIFTH				Excluded					2	18.18		2	18.18		7	63.64								11
		TOTAL								82	50.62		52	32.10		28	17.28								162
	SIXTH									8	28.57		20	71.43			Excluded								28
		TOTAL								90	55.56		72	44.44											162
										Elected															
																									
Subiaco                                                        																									
	FIRST			206	8.39		49	2.00		1184	48.23		615	25.05		309	12.59		74	3.01		18	0.73		2455
	SECOND			1	5.56		2	11.11		10	55.56		0	0.00		3	16.67		2	11.11			Excluded		18
		TOTAL		207	8.43		51	2.08		1194	48.64		615	25.05		312	12.71		76	3.10					2455
	THIRD			7	9.21		2	2.63		32	42.11		7	9.21		28	36.84			Excluded					76
		TOTAL		214	8.72		53	2.16		1226	49.94		622	25.34		340	13.85								2455
	FOURTH			10	18.87			Excluded		28	52.83		4	7.55		11	20.75								53
		TOTAL		224	9.12					1254	51.08		626	25.50		351	14.30								2455
	FIFTH				Excluded					38	16.96		57	25.45		129	57.59								224
		TOTAL								1292	52.63		683	27.82		480	19.55								2455
	SIXTH									120	25.00		360	75.00			Excluded								480
		TOTAL								1412	57.52		1043	42.48											2455
										Elected															
																									
Subiaco North                                                  																									
	FIRST			40	8.77		11	2.41		208	45.61		128	28.07		57	12.50		7	1.54		5	1.10		456
	SECOND			0	0.00		1	20.00		3	60.00		0	0.00		0	0.00		1	20.00			Excluded		5
		TOTAL		40	8.77		12	2.63		211	46.27		128	28.07		57	12.50		8	1.75					456
	THIRD			2	25.00		0	0.00		4	50.00		0	0.00		2	25.00			Excluded					8
		TOTAL		42	9.21		12	2.63		215	47.15		128	28.07		59	12.94								456
	FOURTH			3	25.00			Excluded		7	58.33		1	8.33		1	8.33								12
		TOTAL		45	9.87					222	48.68		129	28.29		60	13.16								456
	FIFTH				Excluded					7	15.56		15	33.33		23	51.11								45
		TOTAL								229	50.22		144	31.58		83	18.20								456
	SIXTH									20	24.10		63	75.90			Excluded								83
		TOTAL								249	54.61		207	45.39											456
										Elected															
																									
Swanbourne                                                     																									
	FIRST			96	5.80		44	2.66		1024	61.84		293	17.69		154	9.30		31	1.87		14	0.85		1656
	SECOND			1	7.14		1	7.14		6	42.86		0	0.00		1	7.14		5	35.71			Excluded		14
		TOTAL		97	5.86		45	2.72		1030	62.20		293	17.69		155	9.36		36	2.17					1656
	THIRD			4	11.11		5	13.89		11	30.56		0	0.00		16	44.44			Excluded					36
		TOTAL		101	6.10		50	3.02		1041	62.86		293	17.69		171	10.33								1656
	FOURTH			8	16.00			Excluded		25	50.00		6	12.00		11	22.00								50
		TOTAL		109	6.58					1066	64.37		299	18.06		182	10.99								1656
	FIFTH				Excluded					24	22.02		23	21.10		62	56.88								109
		TOTAL								1090	65.82		322	19.44		244	14.73								1656
	SIXTH									74	30.33		170	69.67			Excluded								244
		TOTAL								1164	70.29		492	29.71											1656
										Elected															
																									
Tuart Hill (Curtin)                                            																									
	FIRST			17	8.13		5	2.39		79	37.80		72	34.45		30	14.35		5	2.39		1	0.48		209
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		1
		TOTAL		17	8.13		5	2.39		79	37.80		73	34.93		30	14.35		5	2.39					209
	THIRD			1	20.00		3	60.00		0	0.00		0	0.00		1	20.00			Excluded					5
		TOTAL		18	8.61		8	3.83		79	37.80		73	34.93		31	14.83								209
	FOURTH			5	62.50			Excluded		2	25.00		0	0.00		1	12.50								8
		TOTAL		23	11.00					81	38.76		73	34.93		32	15.31								209
	FIFTH				Excluded					11	47.83		5	21.74		7	30.43								23
		TOTAL								92	44.02		78	37.32		39	18.66								209
	SIXTH									15	38.46		24	61.54			Excluded								39
		TOTAL								107	51.20		102	48.80											209
										Elected															
																									
Wembley Central                                                																									
	FIRST			38	4.85		29	3.70		470	59.95		172	21.94		52	6.63		13	1.66		10	1.28		784
	SECOND			0	0.00		1	10.00		7	70.00		1	10.00		0	0.00		1	10.00			Excluded		10
		TOTAL		38	4.85		30	3.83		477	60.84		173	22.07		52	6.63		14	1.79					784
	THIRD			2	14.29		0	0.00		7	50.00		2	14.29		3	21.43			Excluded					14
		TOTAL		40	5.10		30	3.83		484	61.73		175	22.32		55	7.02								784
	FOURTH			5	16.67			Excluded		17	56.67		6	20.00		2	6.67								30
		TOTAL		45	5.74					501	63.90		181	23.09		57	7.27								784
	FIFTH				Excluded					14	31.11		16	35.56		15	33.33								45
		TOTAL								515	65.69		197	25.13		72	9.18								784
	SIXTH									13	18.06		59	81.94			Excluded								72
		TOTAL								528	67.35		256	32.65											784
										Elected															
																									
Wembley Downs                                                  																									
	FIRST			120	5.18		68	2.94		1365	58.94		504	21.76		166	7.17		44	1.90		49	2.12		2316
	SECOND			2	4.08		1	2.04		41	83.67		2	4.08		1	2.04		2	4.08			Excluded		49
		TOTAL		122	5.27		69	2.98		1406	60.71		506	21.85		167	7.21		46	1.99					2316
	THIRD			2	4.35		2	4.35		21	45.65		2	4.35		19	41.30			Excluded					46
		TOTAL		124	5.35		71	3.07		1427	61.61		508	21.93		186	8.03								2316
	FOURTH			9	12.68			Excluded		45	63.38		7	9.86		10	14.08								71
		TOTAL		133	5.74					1472	63.56		515	22.24		196	8.46								2316
	FIFTH				Excluded					34	25.56		29	21.80		70	52.63								133
		TOTAL								1506	65.03		544	23.49		266	11.49								2316
	SIXTH									74	27.82		192	72.18			Excluded								266
		TOTAL								1580	68.22		736	31.78											2316
										Elected															
																									
Wembley North                                                  																									
	FIRST			149	8.25		70	3.87		794	43.94		608	33.65		152	8.41		18	1.00		16	0.89		1807
	SECOND			3	18.75		1	6.25		7	43.75		2	12.50		1	6.25		2	12.50			Excluded		16
		TOTAL		152	8.41		71	3.93		801	44.33		610	33.76		153	8.47		20	1.11					1807
	THIRD			2	10.00		1	5.00		5	25.00		3	15.00		9	45.00			Excluded					20
		TOTAL		154	8.52		72	3.98		806	44.60		613	33.92		162	8.97								1807
	FOURTH			26	36.11			Excluded		25	34.72		9	12.50		12	16.67								72
		TOTAL		180	9.96					831	45.99		622	34.42		174	9.63								1807
	FIFTH				Excluded					50	27.78		50	27.78		80	44.44								180
		TOTAL								881	48.75		672	37.19		254	14.06								1807
	SIXTH									81	31.89		173	68.11			Excluded								254
		TOTAL								962	53.24		845	46.76											1807
										Elected															
																									
Wembley South                                                  																									
	FIRST			46	7.41		15	2.42		357	57.49		130	20.93		58	9.34		7	1.13		8	1.29		621
	SECOND			0	0.00		2	25.00		3	37.50		1	12.50		0	0.00		2	25.00			Excluded		8
		TOTAL		46	7.41		17	2.74		360	57.97		131	21.10		58	9.34		9	1.45					621
	THIRD			2	22.22		1	11.11		3	33.33		0	0.00		3	33.33			Excluded					9
		TOTAL		48	7.73		18	2.90		363	58.45		131	21.10		61	9.82								621
	FOURTH			6	33.33			Excluded		9	50.00		1	5.56		2	11.11								18
		TOTAL		54	8.70					372	59.90		132	21.26		63	10.14								621
	FIFTH				Excluded					6	11.11		18	33.33		30	55.56								54
		TOTAL								378	60.87		150	24.15		93	14.98								621
	SIXTH									25	26.88		68	73.12			Excluded								93
		TOTAL								403	64.90		218	35.10											621
										Elected															
																									
Wembley West                                                   																									
	FIRST			186	8.40		57	2.57		1103	49.80		628	28.35		161	7.27		42	1.90		38	1.72		2215
	SECOND			3	7.89		3	7.89		15	39.47		8	21.05		5	13.16		4	10.53			Excluded		38
		TOTAL		189	8.53		60	2.71		1118	50.47		636	28.71		166	7.49		46	2.08					2215
	THIRD			3	6.52		4	8.70		19	41.30		6	13.04		14	30.43			Excluded					46
		TOTAL		192	8.67		64	2.89		1137	51.33		642	28.98		180	8.13								2215
	FOURTH			19	29.69			Excluded		26	40.63		11	17.19		8	12.50								64
		TOTAL		211	9.53					1163	52.51		653	29.48		188	8.49								2215
	FIFTH				Excluded					53	25.12		40	18.96		118	55.92								211
		TOTAL								1216	54.90		693	31.29		306	13.81								2215
	SIXTH									95	31.05		211	68.95			Excluded								306
		TOTAL								1311	59.19		904	40.81											2215
										Elected															
																									
West Perth (Curtin)                                            																									
	FIRST			50	9.52		11	2.10		199	37.90		174	33.14		78	14.86		6	1.14		7	1.33		525
	SECOND			1	14.29		3	42.86		1	14.29		0	0.00		0	0.00		2	28.57			Excluded		7
		TOTAL		51	9.71		14	2.67		200	38.10		174	33.14		78	14.86		8	1.52					525
	THIRD			2	25.00		0	0.00		2	25.00		1	12.50		3	37.50			Excluded					8
		TOTAL		53	10.10		14	2.67		202	38.48		175	33.33		81	15.43								525
	FOURTH			4	28.57			Excluded		3	21.43		2	14.29		5	35.71								14
		TOTAL		57	10.86					205	39.05		177	33.71		86	16.38								525
	FIFTH				Excluded					13	22.81		17	29.82		27	47.37								57
		TOTAL								218	41.52		194	36.95		113	21.52								525
	SIXTH									23	20.35		90	79.65			Excluded								113
		TOTAL								241	45.90		284	54.10											525
										Elected															
																									
West Perth Central                                             																									
	FIRST			32	8.47		10	2.65		206	54.50		84	22.22		34	8.99		8	2.12		4	1.06		378
	SECOND			0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		3	75.00			Excluded		4
		TOTAL		32	8.47		11	2.91		206	54.50		84	22.22		34	8.99		11	2.91					378
	THIRD			3	27.27		0	0.00		5	45.45		0	0.00		3	27.27			Excluded					11
		TOTAL		35	9.26		11	2.91		211	55.82		84	22.22		37	9.79								378
	FOURTH			4	36.36			Excluded		5	45.45		1	9.09		1	9.09								11
		TOTAL		39	10.32					216	57.14		85	22.49		38	10.05								378
	FIFTH				Excluded					15	38.46		6	15.38		18	46.15								39
		TOTAL								231	61.11		91	24.07		56	14.81								378
	SIXTH									18	32.14		38	67.86			Excluded								56
		TOTAL								249	65.87		129	34.13											378
										Elected															
																									
Woodlands                                                      																									
	FIRST			95	4.29		59	2.66		1316	59.41		541	24.42		128	5.78		34	1.53		42	1.90		2215
	SECOND			3	7.14		4	9.52		26	61.90		1	2.38		1	2.38		7	16.67			Excluded		42
		TOTAL		98	4.42		63	2.84		1342	60.59		542	24.47		129	5.82		41	1.85					2215
	THIRD			4	9.76		3	7.32		12	29.27		4	9.76		18	43.90			Excluded					41
		TOTAL		102	4.60		66	2.98		1354	61.13		546	24.65		147	6.64								2215
	FOURTH			11	16.67			Excluded		33	50.00		9	13.64		13	19.70								66
		TOTAL		113	5.10					1387	62.62		555	25.06		160	7.22								2215
	FIFTH				Excluded					42	37.17		31	27.43		40	35.40								113
		TOTAL								1429	64.51		586	26.46		200	9.03								2215
	SIXTH									55	27.50		145	72.50			Excluded								200
		TOTAL								1484	67.00		731	33.00											2215
										Elected															
																									
Woodlands North                                                																									
	FIRST			31	3.98		35	4.49		434	55.71		193	24.78		56	7.19		18	2.31		12	1.54		779
	SECOND			0	0.00		1	8.33		7	58.33		2	16.67		0	0.00		2	16.67			Excluded		12
		TOTAL		31	3.98		36	4.62		441	56.61		195	25.03		56	7.19		20	2.57					779
	THIRD			4	20.00		1	5.00		5	25.00		4	20.00		6	30.00			Excluded					20
		TOTAL		35	4.49		37	4.75		446	57.25		199	25.55		62	7.96								779
	FOURTH			6	16.22			Excluded		20	54.05		4	10.81		7	18.92								37
		TOTAL		41	5.26					466	59.82		203	26.06		69	8.86								779
	FIFTH				Excluded					8	19.51		11	26.83		22	53.66								41
		TOTAL								474	60.85		214	27.47		91	11.68								779
	SIXTH									26	28.57		65	71.43			Excluded								91
		TOTAL								500	64.18		279	35.82											779
										Elected															
																									
Special Hospital Team 1                                        																									
	FIRST			8	7.34		1	0.92		69	63.30		24	22.02		1	0.92		4	3.67		2	1.83		109
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		1	50.00		0	0.00			Excluded		2
		TOTAL		8	7.34		1	0.92		69	63.30		25	22.94		2	1.83		4	3.67					109
	THIRD			1	25.00		0	0.00		0	0.00		0	0.00		3	75.00			Excluded					4
		TOTAL		9	8.26		1	0.92		69	63.30		25	22.94		5	4.59								109
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		1	100.00								1
		TOTAL		9	8.26					69	63.30		25	22.94		6	5.50								109
	FIFTH				Excluded					7	77.78		1	11.11		1	11.11								9
		TOTAL								76	69.72		26	23.85		7	6.42								109
	SIXTH									1	14.29		6	85.71			Excluded								7
		TOTAL								77	70.64		32	29.36											109
										Elected															
																									
Special Hospital Team 2                                        																									
	FIRST			7	4.40		1	0.63		93	58.49		51	32.08		4	2.52		2	1.26		1	0.63		159
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		1
		TOTAL		7	4.40		1	0.63		93	58.49		52	32.70		4	2.52		2	1.26					159
	THIRD			0	0.00		2	100.00		0	0.00		0	0.00		0	0.00			Excluded					2
		TOTAL		7	4.40		3	1.89		93	58.49		52	32.70		4	2.52								159
	FOURTH			2	66.67			Excluded		1	33.33		0	0.00		0	0.00								3
		TOTAL		9	5.66					94	59.12		52	32.70		4	2.52								159
	FIFTH				Excluded					3	33.33		2	22.22		4	44.44								9
		TOTAL								97	61.01		54	33.96		8	5.03								159
	SIXTH									4	50.00		4	50.00			Excluded								8
		TOTAL								101	63.52		58	36.48											159
										Elected															
																									
Special Hospital Team 3                                        																									
	FIRST			8	2.44		7	2.13		268	81.71		30	9.15		8	2.44		6	1.83		1	0.30		328
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		1
		TOTAL		8	2.44		7	2.13		268	81.71		30	9.15		8	2.44		7	2.13					328
	THIRD			1	14.29		2	28.57		2	28.57		0	0.00		2	28.57			Excluded					7
		TOTAL		9	2.74		9	2.74		270	82.32		30	9.15		10	3.05								328
	FOURTH			1	11.11			Excluded		6	66.67		0	0.00		2	22.22								9
		TOTAL		10	3.05					276	84.15		30	9.15		12	3.66								328
	FIFTH				Excluded					6	60.00		2	20.00		2	20.00								10
		TOTAL								282	85.98		32	9.76		14	4.27								328
	SIXTH									7	50.00		7	50.00			Excluded								14
		TOTAL								289	88.11		39	11.89											328
										Elected															
																									
Special Hospital Team 4                                        																									
	FIRST			6	2.14		4	1.43		196	70.00		53	18.93		9	3.21		3	1.07		9	3.21		280
	SECOND			1	11.11		2	22.22		5	55.56		0	0.00		0	0.00		1	11.11			Excluded		9
		TOTAL		7	2.50		6	2.14		201	71.79		53	18.93		9	3.21		4	1.43					280
	THIRD			0	0.00		1	25.00		1	25.00		0	0.00		2	50.00			Excluded					4
		TOTAL		7	2.50		7	2.50		202	72.14		53	18.93		11	3.93								280
	FOURTH			1	14.29			Excluded		5	71.43		1	14.29		0	0.00								7
		TOTAL		8	2.86					207	73.93		54	19.29		11	3.93								280
	FIFTH				Excluded					4	50.00		0	0.00		4	50.00								8
		TOTAL								211	75.36		54	19.29		15	5.36								280
	SIXTH									7	46.67		8	53.33			Excluded								15
		TOTAL								218	77.86		62	22.14											280
										Elected															
																									
Special Hospital Team 5                                        																									
	FIRST			5	4.27		2	1.71		72	61.54		35	29.91		0	0.00		2	1.71		1	0.85		117
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1
		TOTAL		6	5.13		2	1.71		72	61.54		35	29.91		0	0.00		2	1.71					117
	THIRD			0	0.00		0	0.00		1	50.00		1	50.00		0	0.00			Excluded					2
		TOTAL		6	5.13		2	1.71		73	62.39		36	30.77		0	0.00								117
	FOURTH			0	0.00			Excluded		2	100.00		0	0.00		0	0.00								2
		TOTAL		6	5.13					75	64.10		36	30.77		0	0.00								117
	FIFTH				Excluded					2	33.33		1	16.67		3	50.00								6
		TOTAL								77	65.81		37	31.62		3	2.56								117
	SIXTH									2	66.67		1	33.33			Excluded								3
		TOTAL								79	67.52		38	32.48											117
										Elected															
																									
Special Hospital Team 6                                        																									
	FIRST			14	4.36		10	3.12		230	71.65		59	18.38		2	0.62		4	1.25		2	0.62		321
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		2
		TOTAL		14	4.36		10	3.12		230	71.65		59	18.38		2	0.62		6	1.87					321
	THIRD			1	16.67		0	0.00		2	33.33		0	0.00		3	50.00			Excluded					6
		TOTAL		15	4.67		10	3.12		232	72.27		59	18.38		5	1.56								321
	FOURTH			1	10.00			Excluded		5	50.00		3	30.00		1	10.00								10
		TOTAL		16	4.98					237	73.83		62	19.31		6	1.87								321
	FIFTH				Excluded					8	50.00		1	6.25		7	43.75								16
		TOTAL								245	76.32		63	19.63		13	4.05								321
	SIXTH									6	46.15		7	53.85			Excluded								13
		TOTAL								251	78.19		70	21.81											321
										Elected															
																									
Special Hospital Team 7                                        																									
	FIRST			0	0.00		0	0.00		6	54.55		5	45.45		0	0.00		0	0.00		0	0.00		11
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		0	0.00		0	0.00		6	54.55		5	45.45		0	0.00		0	0.00					11
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0
		TOTAL		0	0.00		0	0.00		6	54.55		5	45.45		0	0.00								11
	FOURTH			0	0.00			Excluded		0	0.00		0	0.00		0	0.00								0
		TOTAL		0	0.00					6	54.55		5	45.45		0	0.00								11
	FIFTH				Excluded					0	0.00		0	0.00		0	0.00								0
		TOTAL								6	54.55		5	45.45		0	0.00								11
	SIXTH									0	0.00		0	0.00			Excluded								0
		TOTAL								6	54.55		5	45.45											11
										Elected															
																									
ABSENT																									
	FIRST			431	8.32		155	2.99		2454	47.37		1210	23.35		690	13.32		169	3.26		72	1.39		5181
	SECOND			12	16.67		5	6.94		23	31.94		5	6.94		14	19.44		13	18.06			Excluded		72
		TOTAL		443	8.55		160	3.09		2477	47.81		1215	23.45		704	13.59		182	3.51					5181
	THIRD			23	12.64		19	10.44		71	39.01		11	6.04		58	31.87			Excluded					182
		TOTAL		466	8.99		179	3.45		2548	49.18		1226	23.66		762	14.71								5181
	FOURTH			43	24.02			Excluded		75	41.90		24	13.41		37	20.67								179
		TOTAL		509	9.82					2623	50.63		1250	24.13		799	15.42								5181
	FIFTH				Excluded					139	27.31		131	25.74		239	46.95								509
		TOTAL								2762	53.31		1381	26.66		1038	20.03								5181
	SIXTH									314	30.25		724	69.75			Excluded								1038
		TOTAL								3076	59.37		2105	40.63											5181
										Elected															
																									
POSTAL																									
	FIRST			133	4.48		88	2.96		1811	61.02		680	22.91		158	5.32		73	2.46		25	0.84		2968
	SECOND			2	8.00		4	16.00		12	48.00		0	0.00		2	8.00		5	20.00			Excluded		25
		TOTAL		135	4.55		92	3.10		1823	61.42		680	22.91		160	5.39		78	2.63					2968
	THIRD			4	5.13		8	10.26		34	43.59		6	7.69		26	33.33			Excluded					78
		TOTAL		139	4.68		100	3.37		1857	62.57		686	23.11		186	6.27								2968
	FOURTH			19	19.00			Excluded		49	49.00		17	17.00		15	15.00								100
		TOTAL		158	5.32					1906	64.22		703	23.69		201	6.77								2968
	FIFTH				Excluded					50	31.65		30	18.99		78	49.37								158
		TOTAL								1956	65.90		733	24.70		279	9.40								2968
	SIXTH									87	31.18		192	68.82			Excluded								279
		TOTAL								2043	68.83		925	31.17											2968
										Elected															
																									
PRE POLL																									
	FIRST			269	7.25		83	2.24		2087	56.27		796	21.46		331	8.92		117	3.15		26	0.70		3709
	SECOND			2	7.69		4	15.38		5	19.23		5	19.23		4	15.38		6	23.08			Excluded		26
		TOTAL		271	7.31		87	2.35		2092	56.40		801	21.60		335	9.03		123	3.32					3709
	THIRD			6	4.88		6	4.88		61	49.59		7	5.69		43	34.96			Excluded					123
		TOTAL		277	7.47		93	2.51		2153	58.05		808	21.78		378	10.19								3709
	FOURTH			11	11.83			Excluded		40	43.01		19	20.43		23	24.73								93
		TOTAL		288	7.76					2193	59.13		827	22.30		401	10.81								3709
	FIFTH				Excluded					80	27.78		89	30.90		119	41.32								288
		TOTAL								2273	61.28		916	24.70		520	14.02								3709
	SIXTH									157	30.19		363	69.81			Excluded								520
		TOTAL								2430	65.52		1279	34.48											3709
										Elected															
																									
PROVISIONAL																									
	FIRST			57	12.00		4	0.84		223	46.95		113	23.79		61	12.84		12	2.53		5	1.05		475
	SECOND			0	0.00		0	0.00		2	40.00		0	0.00		1	20.00		2	40.00			Excluded		5
		TOTAL		57	12.00		4	0.84		225	47.37		113	23.79		62	13.05		14	2.95					475
	THIRD			0	0.00		0	0.00		3	21.43		4	28.57		7	50.00			Excluded					14
		TOTAL		57	12.00		4	0.84		228	48.00		117	24.63		69	14.53								475
	FOURTH			0	0.00			Excluded		2	50.00		0	0.00		2	50.00								4
		TOTAL		57	12.00					230	48.42		117	24.63		71	14.95								475
	FIFTH				Excluded					14	24.56		11	19.30		32	56.14								57
		TOTAL								244	51.37		128	26.95		103	21.68								475
	SIXTH									31	30.10		72	69.90			Excluded								103
		TOTAL								275	57.89		200	42.11											475
										Elected															
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
