House of Representatives - 2001 Election: Western Australia																							
Distribution of Preferences																							
By Polling Place																							
																							
Perth																							
					HEWETT			XAMON			SMITH			GILBERTHORPE			WEBB			CHILTON			
	FOURTH				Excluded		4	80.00		1	20.00					0	0.00					5	
		TOTAL					13	18.57		20	28.57					37	52.86					70	
	FIFTH							Excluded		10	76.92					3	23.08					13	
		TOTAL								30	42.86					40	57.14					70	
										Elected													
																							
Royal Perth Hospital                                           																							
	FIRST			22	8.94		10	4.07		130	52.85		8	3.25		75	30.49		1	0.41		246	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		1	
		TOTAL		22	8.94		10	4.07		130	52.85		8	3.25		76	30.89					246	
	THIRD			1	12.50		1	12.50		2	25.00			Excluded		4	50.00					8	
		TOTAL		23	9.35		11	4.47		132	53.66					80	32.52					246	
	FOURTH				Excluded		13	56.52		8	34.78					2	8.70					23	
		TOTAL					24	9.76		140	56.91					82	33.33					246	
	FIFTH							Excluded		16	66.67					8	33.33					24	
		TOTAL								156	63.41					90	36.59					246	
										Elected													
																							
West Perth (Perth)                                             																							
	FIRST			25	8.33		24	8.00		125	41.67		10	3.33		112	37.33		4	1.33		300	
	SECOND			0	0.00		3	75.00		0	0.00		1	25.00		0	0.00			Excluded		4	
		TOTAL		25	8.33		27	9.00		125	41.67		11	3.67		112	37.33					300	
	THIRD			1	9.09		3	27.27		3	27.27			Excluded		4	36.36					11	
		TOTAL		26	8.67		30	10.00		128	42.67					116	38.67					300	
	FOURTH				Excluded		16	61.54		5	19.23					5	19.23					26	
		TOTAL					46	15.33		133	44.33					121	40.33					300	
	FIFTH							Excluded		37	80.43					9	19.57					46	
		TOTAL								170	56.67					130	43.33					300	
										Elected													
																							
Special Hospital Team 1                                        																							
	FIRST			2	1.72		1	0.86		51	43.97		6	5.17		56	48.28		0	0.00		116	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		2	1.72		1	0.86		51	43.97		6	5.17		56	48.28					116	
	THIRD			1	16.67		0	0.00		0	0.00			Excluded		5	83.33					6	
		TOTAL		3	2.59		1	0.86		51	43.97					61	52.59					116	
	FOURTH				Excluded		1	33.33		1	33.33					1	33.33					3	
		TOTAL					2	1.72		52	44.83					62	53.45					116	
	FIFTH							Excluded		1	50.00					1	50.00					2	
		TOTAL								53	45.69					63	54.31					116	
										Elected													
																							
Special Hospital Team 2                                        																							
	FIRST			8	3.65		3	1.37		92	42.01		1	0.46		115	52.51		0	0.00		219	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		8	3.65		3	1.37		92	42.01		1	0.46		115	52.51					219	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		1	100.00					1	
		TOTAL		8	3.65		3	1.37		92	42.01					116	52.97					219	
	FOURTH				Excluded		5	62.50		2	25.00					1	12.50					8	
		TOTAL					8	3.65		94	42.92					117	53.42					219	
	FIFTH							Excluded		8	100.00					0	0.00					8	
		TOTAL								102	46.58					117	53.42					219	
										Elected													
																							
Special Hospital Team 3                                        																							
	FIRST			7	3.03		2	0.87		125	54.11		18	7.79		78	33.77		1	0.43		231	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		1	
		TOTAL		7	3.03		2	0.87		125	54.11		19	8.23		78	33.77					231	
	THIRD			0	0.00		1	5.26		1	5.26			Excluded		17	89.47					19	
		TOTAL		7	3.03		3	1.30		126	54.55					95	41.13					231	
	FOURTH				Excluded		4	57.14		1	14.29					2	28.57					7	
		TOTAL					7	3.03		127	54.98					97	41.99					231	
	FIFTH							Excluded		6	85.71					1	14.29					7	
		TOTAL								133	57.58					98	42.42					231	
										Elected													
																							
ABSENT																							
	FIRST			634	9.47		766	11.44		2648	39.55		361	5.39		2211	33.02		76	1.14		6696	
	SECOND			13	17.11		17	22.37		13	17.11		15	19.74		18	23.68			Excluded		76	
		TOTAL		647	9.66		783	11.69		2661	39.74		376	5.62		2229	33.29					6696	
	THIRD			56	14.89		81	21.54		98	26.06			Excluded		141	37.50					376	
		TOTAL		703	10.50		864	12.90		2759	41.20					2370	35.39					6696	
	FOURTH				Excluded		431	61.31		163	23.19					109	15.50					703	
		TOTAL					1295	19.34		2922	43.64					2479	37.02					6696	
	FIFTH							Excluded		939	72.51					356	27.49					1295	
		TOTAL								3861	57.66					2835	42.34					6696	
										Elected													
																							
POSTAL																							
	FIRST			101	4.15		106	4.36		1181	48.58		125	5.14		903	37.15		15	0.62		2431	
	SECOND			6	40.00		3	20.00		0	0.00		2	13.33		4	26.67			Excluded		15	
		TOTAL		107	4.40		109	4.48		1181	48.58		127	5.22		907	37.31					2431	
	THIRD			18	14.17		20	15.75		44	34.65			Excluded		45	35.43					127	
		TOTAL		125	5.14		129	5.31		1225	50.39					952	39.16					2431	
	FOURTH				Excluded		68	54.40		36	28.80					21	16.80					125	
		TOTAL					197	8.10		1261	51.87					973	40.02					2431	
	FIFTH							Excluded		143	72.59					54	27.41					197	
		TOTAL								1404	57.75					1027	42.25					2431	
										Elected													
																							
PRE POLL																							
	FIRST			181	7.54		215	8.96		1020	42.50		114	4.75		856	35.67		14	0.58		2400	
	SECOND			5	35.71		2	14.29		0	0.00		2	14.29		5	35.71			Excluded		14	
		TOTAL		186	7.75		217	9.04		1020	42.50		116	4.83		861	35.88					2400	
	THIRD			19	16.38		20	17.24		31	26.72			Excluded		46	39.66					116	
		TOTAL		205	8.54		237	9.88		1051	43.79					907	37.79					2400	
	FOURTH				Excluded		110	53.66		50	24.39					45	21.95					205	
		TOTAL					347	14.46		1101	45.88					952	39.67					2400	
	FIFTH							Excluded		259	74.64					88	25.36					347	
		TOTAL								1360	56.67					1040	43.33					2400	
										Elected													
																							
PROVISIONAL																							
	FIRST			48	10.98		41	9.38		214	48.97		19	4.35		107	24.49		8	1.83		437	
	SECOND			1	12.50		3	37.50		1	12.50		2	25.00		1	12.50			Excluded		8	
		TOTAL		49	11.21		44	10.07		215	49.20		21	4.81		108	24.71					437	
	THIRD			4	19.05		2	9.52		9	42.86			Excluded		6	28.57					21	
		TOTAL		53	12.13		46	10.53		224	51.26					114	26.09					437	
	FOURTH				Excluded		38	71.70		13	24.53					2	3.77					53	
		TOTAL					84	19.22		237	54.23					116	26.54					437	
	FIFTH							Excluded		66	78.57					18	21.43					84	
		TOTAL								303	69.34					134	30.66					437	
										Elected													
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
