House of Representatives - 2001 Election: Western Australia																													
Distribution of Preferences																													
By Polling Place																													
																													
Swan																													
					MAKIN			MCCUTCHEON			BRENNAN			TAPLEY			VINCIULLO			WILKIE			JEFFREYS			SMITH			
	THIRD				Excluded		11	55.00		3	15.00		1	5.00		0	0.00		5	25.00		0	0.00					20	
		TOTAL					57	5.52		314	30.40		31	3.00		51	4.94		537	51.98		43	4.16					1033	
	FOURTH						9	29.03		13	41.94			Excluded		4	12.90		3	9.68		2	6.45					31	
		TOTAL					66	6.39		327	31.66					55	5.32		540	52.27		45	4.36					1033	
	FIFTH						8	14.55		14	25.45						Excluded		16	29.09		17	30.91					55	
		TOTAL					74	7.16		341	33.01								556	53.82		62	6.00					1033	
	SIXTH						32	51.61		8	12.90								22	35.48			Excluded					62	
		TOTAL					106	10.26		349	33.79								578	55.95								1033	
	SEVENTH							Excluded		50	47.17								56	52.83								106	
		TOTAL								399	38.63								634	61.37								1033	
																			Elected										
																													
Redcliffe                                                      																													
	FIRST			15	1.31		55	4.82		400	35.06		13	1.14		100	8.76		512	44.87		43	3.77		3	0.26		1141	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		2	66.67			Excluded		3	
		TOTAL		15	1.31		55	4.82		400	35.06		13	1.14		101	8.85		512	44.87		45	3.94					1141	
	THIRD				Excluded		4	26.67		4	26.67		0	0.00		1	6.67		4	26.67		2	13.33					15	
		TOTAL					59	5.17		404	35.41		13	1.14		102	8.94		516	45.22		47	4.12					1141	
	FOURTH						3	23.08		8	61.54			Excluded		0	0.00		2	15.38		0	0.00					13	
		TOTAL					62	5.43		412	36.11					102	8.94		518	45.40		47	4.12					1141	
	FIFTH						6	5.88		57	55.88						Excluded		22	21.57		17	16.67					102	
		TOTAL					68	5.96		469	41.10								540	47.33		64	5.61					1141	
	SIXTH						32	50.00		14	21.88								18	28.13			Excluded					64	
		TOTAL					100	8.76		483	42.33								558	48.90								1141	
	SEVENTH							Excluded		42	42.00								58	58.00								100	
		TOTAL								525	46.01								616	53.99								1141	
																			Elected										
																													
Rivervale                                                      																													
	FIRST			6	0.87		37	5.34		243	35.06		9	1.30		42	6.06		312	45.02		41	5.92		3	0.43		693	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	100.00			Excluded		3	
		TOTAL		6	0.87		37	5.34		243	35.06		9	1.30		42	6.06		312	45.02		44	6.35					693	
	THIRD				Excluded		5	83.33		0	0.00		0	0.00		0	0.00		0	0.00		1	16.67					6	
		TOTAL					42	6.06		243	35.06		9	1.30		42	6.06		312	45.02		45	6.49					693	
	FOURTH						0	0.00		9	100.00			Excluded		0	0.00		0	0.00		0	0.00					9	
		TOTAL					42	6.06		252	36.36					42	6.06		312	45.02		45	6.49					693	
	FIFTH						4	9.52		28	66.67						Excluded		7	16.67		3	7.14					42	
		TOTAL					46	6.64		280	40.40								319	46.03		48	6.93					693	
	SIXTH						19	39.58		3	6.25								26	54.17			Excluded					48	
		TOTAL					65	9.38		283	40.84								345	49.78								693	
	SEVENTH							Excluded		17	26.15								48	73.85								65	
		TOTAL								300	43.29								393	56.71								693	
																			Elected										
																													
Rivervale North                                                																													
	FIRST			22	1.29		98	5.75		527	30.95		17	1.00		126	7.40		813	47.74		92	5.40		8	0.47		1703	
	SECOND			3	37.50		1	12.50		0	0.00		0	0.00		1	12.50		1	12.50		2	25.00			Excluded		8	
		TOTAL		25	1.47		99	5.81		527	30.95		17	1.00		127	7.46		814	47.80		94	5.52					1703	
	THIRD				Excluded		10	40.00		3	12.00		0	0.00		5	20.00		6	24.00		1	4.00					25	
		TOTAL					109	6.40		530	31.12		17	1.00		132	7.75		820	48.15		95	5.58					1703	
	FOURTH						1	5.88		9	52.94			Excluded		3	17.65		3	17.65		1	5.88					17	
		TOTAL					110	6.46		539	31.65					135	7.93		823	48.33		96	5.64					1703	
	FIFTH						16	11.85		65	48.15						Excluded		26	19.26		28	20.74					135	
		TOTAL					126	7.40		604	35.47								849	49.85		124	7.28					1703	
	SIXTH						63	50.81		20	16.13								41	33.06			Excluded					124	
		TOTAL					189	11.10		624	36.64								890	52.26								1703	
	SEVENTH							Excluded		90	47.62								99	52.38								189	
		TOTAL								714	41.93								989	58.07								1703	
																			Elected										
																													
Rottnest (Swan)                                                																													
	FIRST			2	2.70		8	10.81		31	41.89		2	2.70		0	0.00		26	35.14		4	5.41		1	1.35		74	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		1	
		TOTAL		2	2.70		8	10.81		31	41.89		2	2.70		0	0.00		27	36.49		4	5.41					74	
	THIRD				Excluded		1	50.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00					2	
		TOTAL					9	12.16		31	41.89		2	2.70		0	0.00		28	37.84		4	5.41					74	
	FOURTH						0	0.00		2	100.00			Excluded		0	0.00		0	0.00		0	0.00					2	
		TOTAL					9	12.16		33	44.59					0	0.00		28	37.84		4	5.41					74	
	FIFTH						0	0.00		0	0.00						Excluded		0	0.00		0	0.00					0	
		TOTAL					9	12.16		33	44.59								28	37.84		4	5.41					74	
	SIXTH						1	25.00		1	25.00								2	50.00			Excluded					4	
		TOTAL					10	13.51		34	45.95								30	40.54								74	
	SEVENTH							Excluded		7	70.00								3	30.00								10	
		TOTAL								41	55.41								33	44.59								74	
																			Elected										
																													
Rowethorpe                                                     																													
	FIRST			2	0.74		13	4.81		131	48.52		3	1.11		4	1.48		110	40.74		6	2.22		1	0.37		270	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		1	
		TOTAL		2	0.74		13	4.81		131	48.52		3	1.11		4	1.48		110	40.74		7	2.59					270	
	THIRD				Excluded		1	50.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00					2	
		TOTAL					14	5.19		131	48.52		4	1.48		4	1.48		110	40.74		7	2.59					270	
	FOURTH						1	25.00		2	50.00			Excluded		1	25.00		0	0.00		0	0.00					4	
		TOTAL					15	5.56		133	49.26					5	1.85		110	40.74		7	2.59					270	
	FIFTH						1	20.00		1	20.00						Excluded		3	60.00		0	0.00					5	
		TOTAL					16	5.93		134	49.63								113	41.85		7	2.59					270	
	SIXTH						3	42.86		1	14.29								3	42.86			Excluded					7	
		TOTAL					19	7.04		135	50.00								116	42.96								270	
	SEVENTH							Excluded		9	47.37								10	52.63								19	
		TOTAL								144	53.33								126	46.67								270	
																			Elected										
																													
South Perth                                                    																													
	FIRST			26	0.81		203	6.32		1809	56.32		16	0.50		66	2.05		873	27.18		211	6.57		8	0.25		3212	
	SECOND			1	12.50		1	12.50		0	0.00		1	12.50		2	25.00		1	12.50		2	25.00			Excluded		8	
		TOTAL		27	0.84		204	6.35		1809	56.32		17	0.53		68	2.12		874	27.21		213	6.63					3212	
	THIRD				Excluded		12	44.44		6	22.22		0	0.00		1	3.70		7	25.93		1	3.70					27	
		TOTAL					216	6.72		1815	56.51		17	0.53		69	2.15		881	27.43		214	6.66					3212	
	FOURTH						2	11.76		7	41.18			Excluded		2	11.76		4	23.53		2	11.76					17	
		TOTAL					218	6.79		1822	56.72					71	2.21		885	27.55		216	6.72					3212	
	FIFTH						8	11.27		42	59.15						Excluded		10	14.08		11	15.49					71	
		TOTAL					226	7.04		1864	58.03								895	27.86		227	7.07					3212	
	SIXTH						104	45.81		39	17.18								84	37.00			Excluded					227	
		TOTAL					330	10.27		1903	59.25								979	30.48								3212	
	SEVENTH							Excluded		123	37.27								207	62.73								330	
		TOTAL								2026	63.08								1186	36.92								3212	
																			Elected										
																													
South Perth Central                                            																													
	FIRST			14	0.84		61	3.68		910	54.92		16	0.97		39	2.35		508	30.66		104	6.28		5	0.30		1657	
	SECOND			3	60.00		1	20.00		0	0.00		0	0.00		1	20.00		0	0.00		0	0.00			Excluded		5	
		TOTAL		17	1.03		62	3.74		910	54.92		16	0.97		40	2.41		508	30.66		104	6.28					1657	
	THIRD				Excluded		8	47.06		3	17.65		2	11.76		1	5.88		3	17.65		0	0.00					17	
		TOTAL					70	4.22		913	55.10		18	1.09		41	2.47		511	30.84		104	6.28					1657	
	FOURTH						3	16.67		9	50.00			Excluded		1	5.56		2	11.11		3	16.67					18	
		TOTAL					73	4.41		922	55.64					42	2.53		513	30.96		107	6.46					1657	
	FIFTH						6	14.29		21	50.00						Excluded		10	23.81		5	11.90					42	
		TOTAL					79	4.77		943	56.91								523	31.56		112	6.76					1657	
	SIXTH						56	50.00		24	21.43								32	28.57			Excluded					112	
		TOTAL					135	8.15		967	58.36								555	33.49								1657	
	SEVENTH							Excluded		50	37.04								85	62.96								135	
		TOTAL								1017	61.38								640	38.62								1657	
																			Elected										
																													
South Perth North                                              																													
	FIRST			8	0.84		44	4.59		581	60.65		3	0.31		32	3.34		249	25.99		36	3.76		5	0.52		958	
	SECOND			2	40.00		0	0.00		0	0.00		0	0.00		0	0.00		1	20.00		2	40.00			Excluded		5	
		TOTAL		10	1.04		44	4.59		581	60.65		3	0.31		32	3.34		250	26.10		38	3.97					958	
	THIRD				Excluded		5	50.00		0	0.00		0	0.00		1	10.00		3	30.00		1	10.00					10	
		TOTAL					49	5.11		581	60.65		3	0.31		33	3.44		253	26.41		39	4.07					958	
	FOURTH						0	0.00		1	33.33			Excluded		0	0.00		2	66.67		0	0.00					3	
		TOTAL					49	5.11		582	60.75					33	3.44		255	26.62		39	4.07					958	
	FIFTH						4	12.12		21	63.64						Excluded		3	9.09		5	15.15					33	
		TOTAL					53	5.53		603	62.94								258	26.93		44	4.59					958	
	SIXTH						21	47.73		9	20.45								14	31.82			Excluded					44	
		TOTAL					74	7.72		612	63.88								272	28.39								958	
	SEVENTH							Excluded		36	48.65								38	51.35								74	
		TOTAL								648	67.64								310	32.36								958	
																			Elected										
																													
Swan Cottage Homes                                             																													
	FIRST			7	1.14		18	2.94		303	49.43		4	0.65		24	3.92		251	40.95		6	0.98		0	0.00		613	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		7	1.14		18	2.94		303	49.43		4	0.65		24	3.92		251	40.95		6	0.98					613	
	THIRD				Excluded		2	28.57		2	28.57		2	28.57		1	14.29		0	0.00		0	0.00					7	
		TOTAL					20	3.26		305	49.76		6	0.98		25	4.08		251	40.95		6	0.98					613	
	FOURTH						1	16.67		3	50.00			Excluded		0	0.00		2	33.33		0	0.00					6	
		TOTAL					21	3.43		308	50.24					25	4.08		253	41.27		6	0.98					613	
	FIFTH						1	4.00		14	56.00						Excluded		7	28.00		3	12.00					25	
		TOTAL					22	3.59		322	52.53								260	42.41		9	1.47					613	
	SIXTH						4	44.44		2	22.22								3	33.33			Excluded					9	
		TOTAL					26	4.24		324	52.85								263	42.90								613	
	SEVENTH							Excluded		12	46.15								14	53.85								26	
		TOTAL								336	54.81								277	45.19								613	
																			Elected										
																													
Victoria Park                                                  																													
	FIRST			32	1.20		207	7.76		1031	38.63		39	1.46		114	4.27		1065	39.90		176	6.59		5	0.19		2669	
	SECOND			2	40.00		0	0.00		1	20.00		1	20.00		0	0.00		0	0.00		1	20.00			Excluded		5	
		TOTAL		34	1.27		207	7.76		1032	38.67		40	1.50		114	4.27		1065	39.90		177	6.63					2669	
	THIRD				Excluded		17	50.00		4	11.76		1	2.94		1	2.94		7	20.59		4	11.76					34	
		TOTAL					224	8.39		1036	38.82		41	1.54		115	4.31		1072	40.16		181	6.78					2669	
	FOURTH						8	19.51		15	36.59			Excluded		5	12.20		5	12.20		8	19.51					41	
		TOTAL					232	8.69		1051	39.38					120	4.50		1077	40.35		189	7.08					2669	
	FIFTH						14	11.67		66	55.00						Excluded		20	16.67		20	16.67					120	
		TOTAL					246	9.22		1117	41.85								1097	41.10		209	7.83					2669	
	SIXTH						105	50.24		24	11.48								80	38.28			Excluded					209	
		TOTAL					351	13.15		1141	42.75								1177	44.10								2669	
	SEVENTH							Excluded		126	35.90								225	64.10								351	
		TOTAL								1267	47.47								1402	52.53								2669	
																			Elected										
																													
Victoria Park Central                                          																													
	FIRST			30	1.25		198	8.25		844	35.17		25	1.04		65	2.71		1014	42.25		212	8.83		12	0.50		2400	
	SECOND			2	16.67		1	8.33		1	8.33		0	0.00		1	8.33		2	16.67		5	41.67			Excluded		12	
		TOTAL		32	1.33		199	8.29		845	35.21		25	1.04		66	2.75		1016	42.33		217	9.04					2400	
	THIRD				Excluded		14	43.75		3	9.38		3	9.38		7	21.88		4	12.50		1	3.13					32	
		TOTAL					213	8.88		848	35.33		28	1.17		73	3.04		1020	42.50		218	9.08					2400	
	FOURTH						6	21.43		9	32.14			Excluded		1	3.57		7	25.00		5	17.86					28	
		TOTAL					219	9.13		857	35.71					74	3.08		1027	42.79		223	9.29					2400	
	FIFTH						10	13.51		40	54.05						Excluded		13	17.57		11	14.86					74	
		TOTAL					229	9.54		897	37.38								1040	43.33		234	9.75					2400	
	SIXTH						112	47.86		23	9.83								99	42.31			Excluded					234	
		TOTAL					341	14.21		920	38.33								1139	47.46								2400	
	SEVENTH							Excluded		109	31.96								232	68.04								341	
		TOTAL								1029	42.88								1371	57.13								2400	
																			Elected										
																													
Victoria Park East                                             																													
	FIRST			28	1.37		174	8.51		674	32.97		26	1.27		74	3.62		886	43.35		174	8.51		8	0.39		2044	
	SECOND			0	0.00		1	12.50		1	12.50		0	0.00		0	0.00		2	25.00		4	50.00			Excluded		8	
		TOTAL		28	1.37		175	8.56		675	33.02		26	1.27		74	3.62		888	43.44		178	8.71					2044	
	THIRD				Excluded		12	42.86		7	25.00		0	0.00		0	0.00		6	21.43		3	10.71					28	
		TOTAL					187	9.15		682	33.37		26	1.27		74	3.62		894	43.74		181	8.86					2044	
	FOURTH						5	19.23		10	38.46			Excluded		3	11.54		4	15.38		4	15.38					26	
		TOTAL					192	9.39		692	33.86					77	3.77		898	43.93		185	9.05					2044	
	FIFTH						12	15.58		19	24.68						Excluded		33	42.86		13	16.88					77	
		TOTAL					204	9.98		711	34.78								931	45.55		198	9.69					2044	
	SIXTH						87	43.94		26	13.13								85	42.93			Excluded					198	
		TOTAL					291	14.24		737	36.06								1016	49.71								2044	
	SEVENTH							Excluded		90	30.93								201	69.07								291	
		TOTAL								827	40.46								1217	59.54								2044	
																			Elected										
																													
Wilson                                                         																													
	FIRST			23	1.04		111	5.04		813	36.90		125	5.67		97	4.40		928	42.12		100	4.54		6	0.27		2203	
	SECOND			1	16.67		0	0.00		0	0.00		0	0.00		1	16.67		2	33.33		2	33.33			Excluded		6	
		TOTAL		24	1.09		111	5.04		813	36.90		125	5.67		98	4.45		930	42.22		102	4.63					2203	
	THIRD				Excluded		14	58.33		4	16.67		2	8.33		2	8.33		2	8.33		0	0.00					24	
		TOTAL					125	5.67		817	37.09		127	5.76		100	4.54		932	42.31		102	4.63					2203	
	FOURTH						6	4.72		104	81.89			Excluded		5	3.94		6	4.72		6	4.72					127	
		TOTAL					131	5.95		921	41.81					105	4.77		938	42.58		108	4.90					2203	
	FIFTH						9	8.57		36	34.29						Excluded		37	35.24		23	21.90					105	
		TOTAL					140	6.35		957	43.44								975	44.26		131	5.95					2203	
	SIXTH						69	52.67		13	9.92								49	37.40			Excluded					131	
		TOTAL					209	9.49		970	44.03								1024	46.48								2203	
	SEVENTH							Excluded		95	45.45								114	54.55								209	
		TOTAL								1065	48.34								1138	51.66								2203	
																			Elected										
																													
Special Hospital Team 1                                        																													
	FIRST			2	1.14		3	1.71		95	54.29		0	0.00		5	2.86		68	38.86		1	0.57		1	0.57		175	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		1	
		TOTAL		2	1.14		3	1.71		95	54.29		0	0.00		5	2.86		68	38.86		2	1.14					175	
	THIRD				Excluded		2	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					2	
		TOTAL					5	2.86		95	54.29		0	0.00		5	2.86		68	38.86		2	1.14					175	
	FOURTH						0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	
		TOTAL					5	2.86		95	54.29					5	2.86		68	38.86		2	1.14					175	
	FIFTH						1	20.00		3	60.00						Excluded		1	20.00		0	0.00					5	
		TOTAL					6	3.43		98	56.00								69	39.43		2	1.14					175	
	SIXTH						1	50.00		0	0.00								1	50.00			Excluded					2	
		TOTAL					7	4.00		98	56.00								70	40.00								175	
	SEVENTH							Excluded		5	71.43								2	28.57								7	
		TOTAL								103	58.86								72	41.14								175	
																			Elected										
																													
Special Hospital Team 2                                        																													
	FIRST			7	1.57		8	1.79		231	51.79		3	0.67		11	2.47		179	40.13		4	0.90		3	0.67		446	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		2	66.67			Excluded		3	
		TOTAL		7	1.57		8	1.79		231	51.79		3	0.67		12	2.69		179	40.13		6	1.35					446	
	THIRD				Excluded		5	71.43		0	0.00		1	14.29		0	0.00		1	14.29		0	0.00					7	
		TOTAL					13	2.91		231	51.79		4	0.90		12	2.69		180	40.36		6	1.35					446	
	FOURTH						0	0.00		3	75.00			Excluded		0	0.00		0	0.00		1	25.00					4	
		TOTAL					13	2.91		234	52.47					12	2.69		180	40.36		7	1.57					446	
	FIFTH						1	8.33		3	25.00						Excluded		4	33.33		4	33.33					12	
		TOTAL					14	3.14		237	53.14								184	41.26		11	2.47					446	
	SIXTH						4	36.36		4	36.36								3	27.27			Excluded					11	
		TOTAL					18	4.04		241	54.04								187	41.93								446	
	SEVENTH							Excluded		10	55.56								8	44.44								18	
		TOTAL								251	56.28								195	43.72								446	
																			Elected										
																													
Special Hospital Team 3                                        																													
	FIRST			0	0.00		4	2.78		65	45.14		1	0.69		1	0.69		72	50.00		1	0.69		0	0.00		144	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		4	2.78		65	45.14		1	0.69		1	0.69		72	50.00		1	0.69					144	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	
		TOTAL					4	2.78		65	45.14		1	0.69		1	0.69		72	50.00		1	0.69					144	
	FOURTH						0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00					1	
		TOTAL					4	2.78		66	45.83					1	0.69		72	50.00		1	0.69					144	
	FIFTH						0	0.00		0	0.00						Excluded		1	100.00		0	0.00					1	
		TOTAL					4	2.78		66	45.83								73	50.69		1	0.69					144	
	SIXTH						1	100.00		0	0.00								0	0.00			Excluded					1	
		TOTAL					5	3.47		66	45.83								73	50.69								144	
	SEVENTH							Excluded		2	40.00								3	60.00								5	
		TOTAL								68	47.22								76	52.78								144	
																			Elected										
																													
Prison Mobile Team 1                                           																													
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	
		TOTAL					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	
	FOURTH						0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	
		TOTAL					0	0.00		0	0.00					0	0.00		0	0.00		0	0.00					0	
	FIFTH						0	0.00		0	0.00						Excluded		0	0.00		0	0.00					0	
		TOTAL					0	0.00		0	0.00								0	0.00		0	0.00					0	
	SIXTH						0	0.00		0	0.00								0	0.00			Excluded					0	
		TOTAL					0	0.00		0	0.00								0	0.00								0	
	SEVENTH							Excluded		0	0.00								0	0.00								0	
		TOTAL								0	0.00								0	0.00								0	
																			Elected										
																													
ABSENT																													
	FIRST			244	4.07		473	7.90		2184	36.47		120	2.00		342	5.71		1987	33.18		600	10.02		38	0.63		5988	
	SECOND			2	5.26		6	15.79		6	15.79		2	5.26		3	7.89		8	21.05		11	28.95			Excluded		38	
		TOTAL		246	4.11		479	8.00		2190	36.57		122	2.04		345	5.76		1995	33.32		611	10.20					5988	
	THIRD				Excluded		106	43.09		53	21.54		8	3.25		22	8.94		44	17.89		13	5.28					246	
		TOTAL					585	9.77		2243	37.46		130	2.17		367	6.13		2039	34.05		624	10.42					5988	
	FOURTH						19	14.62		60	46.15			Excluded		19	14.62		13	10.00		19	14.62					130	
		TOTAL					604	10.09		2303	38.46					386	6.45		2052	34.27		643	10.74					5988	
	FIFTH						63	16.32		122	31.61						Excluded		104	26.94		97	25.13					386	
		TOTAL					667	11.14		2425	40.50								2156	36.01		740	12.36					5988	
	SIXTH						375	50.68		121	16.35								244	32.97			Excluded					740	
		TOTAL					1042	17.40		2546	42.52								2400	40.08								5988	
	SEVENTH							Excluded		473	45.39								569	54.61								1042	
		TOTAL								3019	50.42								2969	49.58								5988	
																			Elected										
																													
POSTAL																													
	FIRST			25	0.98		88	3.45		1057	41.47		26	1.02		157	6.16		1056	41.43		129	5.06		11	0.43		2549	
	SECOND			1	9.09		2	18.18		2	18.18		0	0.00		3	27.27		0	0.00		3	27.27			Excluded		11	
		TOTAL		26	1.02		90	3.53		1059	41.55		26	1.02		160	6.28		1056	41.43		132	5.18					2549	
	THIRD				Excluded		10	38.46		2	7.69		1	3.85		0	0.00		10	38.46		3	11.54					26	
		TOTAL					100	3.92		1061	41.62		27	1.06		160	6.28		1066	41.82		135	5.30					2549	
	FOURTH						7	25.93		12	44.44			Excluded		6	22.22		1	3.70		1	3.70					27	
		TOTAL					107	4.20		1073	42.09					166	6.51		1067	41.86		136	5.34					2549	
	FIFTH						26	15.66		64	38.55						Excluded		45	27.11		31	18.67					166	
		TOTAL					133	5.22		1137	44.61								1112	43.62		167	6.55					2549	
	SIXTH						80	47.90		28	16.77								59	35.33			Excluded					167	
		TOTAL					213	8.36		1165	45.70								1171	45.94								2549	
	SEVENTH							Excluded		99	46.48								114	53.52								213	
		TOTAL								1264	49.59								1285	50.41								2549	
																			Elected										
																													
PRE POLL																													
	FIRST			49	1.74		183	6.50		1179	41.85		51	1.81		118	4.19		1003	35.61		219	7.77		15	0.53		2817	
	SECOND			3	20.00		1	6.67		1	6.67		1	6.67		1	6.67		0	0.00		8	53.33			Excluded		15	
		TOTAL		52	1.85		184	6.53		1180	41.89		52	1.85		119	4.22		1003	35.61		227	8.06					2817	
	THIRD				Excluded		27	51.92		5	9.62		2	3.85		4	7.69		10	19.23		4	7.69					52	
		TOTAL					211	7.49		1185	42.07		54	1.92		123	4.37		1013	35.96		231	8.20					2817	
	FOURTH						8	14.81		25	46.30			Excluded		5	9.26		9	16.67		7	12.96					54	
		TOTAL					219	7.77		1210	42.95					128	4.54		1022	36.28		238	8.45					2817	
	FIFTH						22	17.19		48	37.50						Excluded		27	21.09		31	24.22					128	
		TOTAL					241	8.56		1258	44.66								1049	37.24		269	9.55					2817	
	SIXTH						128	47.58		40	14.87								101	37.55			Excluded					269	
		TOTAL					369	13.10		1298	46.08								1150	40.82								2817	
	SEVENTH							Excluded		160	43.36								209	56.64								369	
		TOTAL								1458	51.76								1359	48.24								2817	
																			Elected										
																													
PROVISIONAL																													
	FIRST			24	5.36		28	6.25		137	30.58		7	1.56		15	3.35		192	42.86		40	8.93		5	1.12		448	
	SECOND			1	20.00		0	0.00		1	20.00		1	20.00		0	0.00		1	20.00		1	20.00			Excluded		5	
		TOTAL		25	5.58		28	6.25		138	30.80		8	1.79		15	3.35		193	43.08		41	9.15					448	
	THIRD				Excluded		11	44.00		5	20.00		0	0.00		2	8.00		6	24.00		1	4.00					25	
		TOTAL					39	8.71		143	31.92		8	1.79		17	3.79		199	44.42		42	9.38					448	
	FOURTH						2	25.00		2	25.00			Excluded		2	25.00		1	12.50		1	12.50					8	
		TOTAL					41	9.15		145	32.37					19	4.24		200	44.64		43	9.60					448	
	FIFTH						4	21.05		5	26.32						Excluded		7	36.84		3	15.79					19	
		TOTAL					45	10.04		150	33.48								207	46.21		46	10.27					448	
	SIXTH						20	43.48		6	13.04								20	43.48			Excluded					46	
		TOTAL					65	14.51		156	34.82								227	50.67								448	
	SEVENTH							Excluded		32	49.23								33	50.77								65	
		TOTAL								188	41.96								260	58.04								448	
																			Elected										
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
