House of Representatives - 2001 Election: Western Australia																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
Kalgoorlie																																			
					HODDY			HAASE			BROWNING			SCOTT			MILLER			BURT			BUTSON			SMITH			PAYNE			MCCUMSTIE			
		TOTAL		169	6.35		1275	47.91		863	32.43		246	9.24		108	4.06																	2661	
	SEVENTH				Excluded		48	28.40		40	23.67		20	11.83		61	36.09																	169	
		TOTAL					1323	49.72		903	33.93		266	10.00		169	6.35																	2661	
	EIGHTH						43	25.44		83	49.11		43	25.44			Excluded																	169	
		TOTAL					1366	51.33		986	37.05		309	11.61																				2661	
	NINTH						178	57.61		131	42.39			Excluded																				309	
		TOTAL					1544	58.02		1117	41.98																							2661	
							Elected																												
																																			
Kalgoorlie East                                                																																			
	FIRST			3	1.64		44	24.04		113	61.75		8	4.37		4	2.19		1	0.55		8	4.37		1	0.55		0	0.00		1	0.55		183	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	1.64		44	24.04		113	61.75		8	4.37		4	2.19		1	0.55		8	4.37		1	0.55					1	0.55		183	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00					0	0.00		1	
		TOTAL		3	1.64		44	24.04		113	61.75		8	4.37		4	2.19					9	4.92		1	0.55					1	0.55		183	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	100.00			Excluded					0	0.00		1	
		TOTAL		3	1.64		44	24.04		113	61.75		8	4.37		4	2.19					10	5.46								1	0.55		183	
	FIFTH			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		1	
		TOTAL		3	1.64		45	24.59		113	61.75		8	4.37		4	2.19					10	5.46											183	
	SIXTH			4	40.00		0	0.00		0	0.00		2	20.00		4	40.00						Excluded											10	
		TOTAL		7	3.83		45	24.59		113	61.75		10	5.46		8	4.37																	183	
	SEVENTH				Excluded		4	57.14		1	14.29		0	0.00		2	28.57																	7	
		TOTAL					49	26.78		114	62.30		10	5.46		10	5.46																	183	
	EIGHTH						3	30.00		3	30.00		4	40.00			Excluded																	10	
		TOTAL					52	28.42		117	63.93		14	7.65																				183	
	NINTH						7	50.00		7	50.00			Excluded																				14	
		TOTAL					59	32.24		124	67.76																							183	
							Elected																												
																																			
Kalgoorlie Eastern Goldfields                                  																																			
	FIRST			22	3.01		302	41.26		271	37.02		57	7.79		22	3.01		9	1.23		34	4.64		10	1.37		2	0.27		3	0.41		732	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00		2	
		TOTAL		22	3.01		302	41.26		271	37.02		57	7.79		22	3.01		9	1.23		34	4.64		11	1.50					4	0.55		732	
	THIRD			0	0.00		0	0.00		4	44.44		0	0.00		0	0.00			Excluded		4	44.44		1	11.11					0	0.00		9	
		TOTAL		22	3.01		302	41.26		275	37.57		57	7.79		22	3.01					38	5.19		12	1.64					4	0.55		732	
	FOURTH			2	16.67		1	8.33		1	8.33		2	16.67		1	8.33					4	33.33			Excluded					1	8.33		12	
		TOTAL		24	3.28		303	41.39		276	37.70		59	8.06		23	3.14					42	5.74								5	0.68		732	
	FIFTH			2	40.00		2	40.00		0	0.00		0	0.00		0	0.00					1	20.00									Excluded		5	
		TOTAL		26	3.55		305	41.67		276	37.70		59	8.06		23	3.14					43	5.87											732	
	SIXTH			4	9.30		11	25.58		11	25.58		8	18.60		9	20.93						Excluded											43	
		TOTAL		30	4.10		316	43.17		287	39.21		67	9.15		32	4.37																	732	
	SEVENTH				Excluded		9	30.00		7	23.33		3	10.00		11	36.67																	30	
		TOTAL					325	44.40		294	40.16		70	9.56		43	5.87																	732	
	EIGHTH						9	20.93		21	48.84		13	30.23			Excluded																	43	
		TOTAL					334	45.63		315	43.03		83	11.34																				732	
	NINTH						35	42.17		48	57.83			Excluded																				83	
		TOTAL					369	50.41		363	49.59																							732	
							Elected																												
																																			
Kalgoorlie Halfway                                             																																			
	FIRST			57	3.54		647	40.19		621	38.57		131	8.14		39	2.42		11	0.68		71	4.41		17	1.06		4	0.25		12	0.75		1610	
	SECOND			1	25.00		0	0.00		1	25.00		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00			Excluded		1	25.00		4	
		TOTAL		58	3.60		647	40.19		622	38.63		131	8.14		40	2.48		11	0.68		71	4.41		17	1.06					13	0.81		1610	
	THIRD			1	9.09		1	9.09		2	18.18		2	18.18		2	18.18			Excluded		2	18.18		1	9.09					0	0.00		11	
		TOTAL		59	3.66		648	40.25		624	38.76		133	8.26		42	2.61					73	4.53		18	1.12					13	0.81		1610	
	FOURTH			2	11.11		6	33.33		1	5.56		3	16.67		0	0.00					5	27.78			Excluded					1	5.56		18	
		TOTAL		61	3.79		654	40.62		625	38.82		136	8.45		42	2.61					78	4.84								14	0.87		1610	
	FIFTH			3	21.43		5	35.71		1	7.14		1	7.14		0	0.00					4	28.57									Excluded		14	
		TOTAL		64	3.98		659	40.93		626	38.88		137	8.51		42	2.61					82	5.09											1610	
	SIXTH			17	20.73		16	19.51		14	17.07		14	17.07		21	25.61						Excluded											82	
		TOTAL		81	5.03		675	41.93		640	39.75		151	9.38		63	3.91																	1610	
	SEVENTH				Excluded		36	44.44		14	17.28		8	9.88		23	28.40																	81	
		TOTAL					711	44.16		654	40.62		159	9.88		86	5.34																	1610	
	EIGHTH						27	31.40		35	40.70		24	27.91			Excluded																	86	
		TOTAL					738	45.84		689	42.80		183	11.37																				1610	
	NINTH						93	50.82		90	49.18			Excluded																				183	
		TOTAL					831	51.61		779	48.39																							1610	
							Elected																												
																																			
Kalgoorlie Hannans                                             																																			
	FIRST			23	2.85		410	50.87		263	32.63		45	5.58		29	3.60		4	0.50		20	2.48		3	0.37		1	0.12		8	0.99		806	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		23	2.85		410	50.87		263	32.63		45	5.58		29	3.60		4	0.50		21	2.61		3	0.37					8	0.99		806	
	THIRD			0	0.00		0	0.00		1	25.00		0	0.00		1	25.00			Excluded		0	0.00		2	50.00					0	0.00		4	
		TOTAL		23	2.85		410	50.87		264	32.75		45	5.58		30	3.72					21	2.61		5	0.62					8	0.99		806	
	FOURTH			1	20.00		0	0.00		1	20.00		1	20.00		0	0.00					1	20.00			Excluded					1	20.00		5	
		TOTAL		24	2.98		410	50.87		265	32.88		46	5.71		30	3.72					22	2.73								9	1.12		806	
	FIFTH			1	11.11		6	66.67		0	0.00		0	0.00		2	22.22					0	0.00									Excluded		9	
		TOTAL		25	3.10		416	51.61		265	32.88		46	5.71		32	3.97					22	2.73											806	
	SIXTH			1	4.55		6	27.27		9	40.91		1	4.55		5	22.73						Excluded											22	
		TOTAL		26	3.23		422	52.36		274	34.00		47	5.83		37	4.59																	806	
	SEVENTH				Excluded		10	38.46		6	23.08		2	7.69		8	30.77																	26	
		TOTAL					432	53.60		280	34.74		49	6.08		45	5.58																	806	
	EIGHTH						9	20.00		24	53.33		12	26.67			Excluded																	45	
		TOTAL					441	54.71		304	37.72		61	7.57																				806	
	NINTH						36	59.02		25	40.98			Excluded																				61	
		TOTAL					477	59.18		329	40.82																							806	
							Elected																												
																																			
Kalgoorlie North                                               																																			
	FIRST			81	5.25		722	46.82		505	32.75		124	8.04		28	1.82		8	0.52		51	3.31		15	0.97		0	0.00		8	0.52		1542	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		81	5.25		722	46.82		505	32.75		124	8.04		28	1.82		8	0.52		51	3.31		15	0.97					8	0.52		1542	
	THIRD			3	37.50		1	12.50		1	12.50		0	0.00		1	12.50			Excluded		1	12.50		0	0.00					1	12.50		8	
		TOTAL		84	5.45		723	46.89		506	32.81		124	8.04		29	1.88					52	3.37		15	0.97					9	0.58		1542	
	FOURTH			0	0.00		4	26.67		3	20.00		3	20.00		1	6.67					2	13.33			Excluded					2	13.33		15	
		TOTAL		84	5.45		727	47.15		509	33.01		127	8.24		30	1.95					54	3.50								11	0.71		1542	
	FIFTH			1	9.09		3	27.27		0	0.00		2	18.18		1	9.09					4	36.36									Excluded		11	
		TOTAL		85	5.51		730	47.34		509	33.01		129	8.37		31	2.01					58	3.76											1542	
	SIXTH			10	17.24		16	27.59		10	17.24		6	10.34		16	27.59						Excluded											58	
		TOTAL		95	6.16		746	48.38		519	33.66		135	8.75		47	3.05																	1542	
	SEVENTH				Excluded		33	34.74		22	23.16		9	9.47		31	32.63																	95	
		TOTAL					779	50.52		541	35.08		144	9.34		78	5.06																	1542	
	EIGHTH						27	34.62		36	46.15		15	19.23			Excluded																	78	
		TOTAL					806	52.27		577	37.42		159	10.31																				1542	
	NINTH						96	60.38		63	39.62			Excluded																				159	
		TOTAL					902	58.50		640	41.50																							1542	
							Elected																												
																																			
Kalgoorlie Regional Hospital                                   																																			
	FIRST			32	4.76		322	47.92		205	30.51		54	8.04		19	2.83		2	0.30		29	4.32		3	0.45		1	0.15		5	0.74		672	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		32	4.76		322	47.92		205	30.51		54	8.04		20	2.98		2	0.30		29	4.32		3	0.45					5	0.74		672	
	THIRD			0	0.00		1	50.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		2	
		TOTAL		32	4.76		323	48.07		206	30.65		54	8.04		20	2.98					29	4.32		3	0.45					5	0.74		672	
	FOURTH			1	33.33		0	0.00		0	0.00		0	0.00		1	33.33					0	0.00			Excluded					1	33.33		3	
		TOTAL		33	4.91		323	48.07		206	30.65		54	8.04		21	3.13					29	4.32								6	0.89		672	
	FIFTH			1	16.67		3	50.00		0	0.00		0	0.00		0	0.00					2	33.33									Excluded		6	
		TOTAL		34	5.06		326	48.51		206	30.65		54	8.04		21	3.13					31	4.61											672	
	SIXTH			8	25.81		8	25.81		7	22.58		2	6.45		6	19.35						Excluded											31	
		TOTAL		42	6.25		334	49.70		213	31.70		56	8.33		27	4.02																	672	
	SEVENTH				Excluded		13	30.95		15	35.71		5	11.90		9	21.43																	42	
		TOTAL					347	51.64		228	33.93		61	9.08		36	5.36																	672	
	EIGHTH						12	33.33		13	36.11		11	30.56			Excluded																	36	
		TOTAL					359	53.42		241	35.86		72	10.71																				672	
	NINTH						51	70.83		21	29.17			Excluded																				72	
		TOTAL					410	61.01		262	38.99																							672	
							Elected																												
																																			
Kalgoorlie Somerville                                          																																			
	FIRST			42	5.81		328	45.37		260	35.96		43	5.95		14	1.94		3	0.41		23	3.18		5	0.69		0	0.00		5	0.69		723	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		42	5.81		328	45.37		260	35.96		43	5.95		14	1.94		3	0.41		23	3.18		5	0.69					5	0.69		723	
	THIRD			1	33.33		0	0.00		0	0.00		1	33.33		0	0.00			Excluded		1	33.33		0	0.00					0	0.00		3	
		TOTAL		43	5.95		328	45.37		260	35.96		44	6.09		14	1.94					24	3.32		5	0.69					5	0.69		723	
	FOURTH			0	0.00		0	0.00		2	40.00		0	0.00		1	20.00					1	20.00			Excluded					1	20.00		5	
		TOTAL		43	5.95		328	45.37		262	36.24		44	6.09		15	2.07					25	3.46								6	0.83		723	
	FIFTH			0	0.00		5	83.33		0	0.00		0	0.00		0	0.00					1	16.67									Excluded		6	
		TOTAL		43	5.95		333	46.06		262	36.24		44	6.09		15	2.07					26	3.60											723	
	SIXTH			6	23.08		5	19.23		3	11.54		2	7.69		10	38.46						Excluded											26	
		TOTAL		49	6.78		338	46.75		265	36.65		46	6.36		25	3.46																	723	
	SEVENTH				Excluded		17	34.69		10	20.41		2	4.08		20	40.82																	49	
		TOTAL					355	49.10		275	38.04		48	6.64		45	6.22																	723	
	EIGHTH						11	24.44		19	42.22		15	33.33			Excluded																	45	
		TOTAL					366	50.62		294	40.66		63	8.71																				723	
	NINTH						31	49.21		32	50.79			Excluded																				63	
		TOTAL					397	54.91		326	45.09																							723	
							Elected																												
																																			
Kalgoorlie Wallace Park                                        																																			
	FIRST			16	3.84		193	46.28		141	33.81		34	8.15		8	1.92		1	0.24		19	4.56		4	0.96		0	0.00		1	0.24		417	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		16	3.84		193	46.28		141	33.81		34	8.15		8	1.92		1	0.24		19	4.56		4	0.96					1	0.24		417	
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	
		TOTAL		16	3.84		193	46.28		141	33.81		35	8.39		8	1.92					19	4.56		4	0.96					1	0.24		417	
	FOURTH			1	25.00		0	0.00		1	25.00		0	0.00		0	0.00					2	50.00			Excluded					0	0.00		4	
		TOTAL		17	4.08		193	46.28		142	34.05		35	8.39		8	1.92					21	5.04								1	0.24		417	
	FIFTH			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		1	
		TOTAL		18	4.32		193	46.28		142	34.05		35	8.39		8	1.92					21	5.04											417	
	SIXTH			2	9.52		6	28.57		4	19.05		5	23.81		4	19.05						Excluded											21	
		TOTAL		20	4.80		199	47.72		146	35.01		40	9.59		12	2.88																	417	
	SEVENTH				Excluded		7	35.00		7	35.00		0	0.00		6	30.00																	20	
		TOTAL					206	49.40		153	36.69		40	9.59		18	4.32																	417	
	EIGHTH						5	27.78		7	38.89		6	33.33			Excluded																	18	
		TOTAL					211	50.60		160	38.37		46	11.03																				417	
	NINTH						27	58.70		19	41.30			Excluded																				46	
		TOTAL					238	57.07		179	42.93																							417	
							Elected																												
																																			
Kambalda                                                       																																			
	FIRST			10	2.85		98	27.92		162	46.15		52	14.81		5	1.42		2	0.57		14	3.99		6	1.71		1	0.28		1	0.28		351	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		10	2.85		98	27.92		162	46.15		52	14.81		5	1.42		2	0.57		14	3.99		7	1.99					1	0.28		351	
	THIRD			0	0.00		0	0.00		0	0.00		1	50.00		1	50.00			Excluded		0	0.00		0	0.00					0	0.00		2	
		TOTAL		10	2.85		98	27.92		162	46.15		53	15.10		6	1.71					14	3.99		7	1.99					1	0.28		351	
	FOURTH			0	0.00		1	14.29		1	14.29		1	14.29		2	28.57					2	28.57			Excluded					0	0.00		7	
		TOTAL		10	2.85		99	28.21		163	46.44		54	15.38		8	2.28					16	4.56								1	0.28		351	
	FIFTH			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		1	
		TOTAL		10	2.85		100	28.49		163	46.44		54	15.38		8	2.28					16	4.56											351	
	SIXTH			4	25.00		4	25.00		3	18.75		0	0.00		5	31.25						Excluded											16	
		TOTAL		14	3.99		104	29.63		166	47.29		54	15.38		13	3.70																	351	
	SEVENTH				Excluded		4	28.57		5	35.71		1	7.14		4	28.57																	14	
		TOTAL					108	30.77		171	48.72		55	15.67		17	4.84																	351	
	EIGHTH						5	29.41		6	35.29		6	35.29			Excluded																	17	
		TOTAL					113	32.19		177	50.43		61	17.38																				351	
	NINTH						23	37.70		38	62.30			Excluded																				61	
		TOTAL					136	38.75		215	61.25																							351	
							Elected																												
																																			
Kambalda West                                                  																																			
	FIRST			23	3.04		265	35.05		309	40.87		97	12.83		15	1.98		5	0.66		24	3.17		10	1.32		3	0.40		5	0.66		756	
	SECOND			0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		2	66.67			Excluded		0	0.00		3	
		TOTAL		23	3.04		265	35.05		310	41.01		97	12.83		15	1.98		5	0.66		24	3.17		12	1.59					5	0.66		756	
	THIRD			0	0.00		1	20.00		2	40.00		1	20.00		1	20.00			Excluded		0	0.00		0	0.00					0	0.00		5	
		TOTAL		23	3.04		266	35.19		312	41.27		98	12.96		16	2.12					24	3.17		12	1.59					5	0.66		756	
	FOURTH			1	8.33		2	16.67		0	0.00		0	0.00		0	0.00					7	58.33			Excluded					2	16.67		12	
		TOTAL		24	3.17		268	35.45		312	41.27		98	12.96		16	2.12					31	4.10								7	0.93		756	
	FIFTH			1	14.29		2	28.57		0	0.00		1	14.29		0	0.00					3	42.86									Excluded		7	
		TOTAL		25	3.31		270	35.71		312	41.27		99	13.10		16	2.12					34	4.50											756	
	SIXTH			3	8.82		4	11.76		11	32.35		7	20.59		9	26.47						Excluded											34	
		TOTAL		28	3.70		274	36.24		323	42.72		106	14.02		25	3.31																	756	
	SEVENTH				Excluded		14	50.00		8	28.57		2	7.14		4	14.29																	28	
		TOTAL					288	38.10		331	43.78		108	14.29		29	3.84																	756	
	EIGHTH						5	17.24		17	58.62		7	24.14			Excluded																	29	
		TOTAL					293	38.76		348	46.03		115	15.21																				756	
	NINTH						64	55.65		51	44.35			Excluded																				115	
		TOTAL					357	47.22		399	52.78																							756	
							Elected																												
																																			
Karratha                                                       																																			
	FIRST			53	3.76		589	41.77		525	37.23		115	8.16		48	3.40		10	0.71		52	3.69		5	0.35		2	0.14		11	0.78		1410	
	SECOND			2	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		55	3.90		589	41.77		525	37.23		115	8.16		48	3.40		10	0.71		52	3.69		5	0.35					11	0.78		1410	
	THIRD			1	10.00		0	0.00		3	30.00		2	20.00		2	20.00			Excluded		0	0.00		1	10.00					1	10.00		10	
		TOTAL		56	3.97		589	41.77		528	37.45		117	8.30		50	3.55					52	3.69		6	0.43					12	0.85		1410	
	FOURTH			0	0.00		1	16.67		1	16.67		0	0.00		0	0.00					2	33.33			Excluded					2	33.33		6	
		TOTAL		56	3.97		590	41.84		529	37.52		117	8.30		50	3.55					54	3.83								14	0.99		1410	
	FIFTH			1	7.14		4	28.57		0	0.00		2	14.29		3	21.43					4	28.57									Excluded		14	
		TOTAL		57	4.04		594	42.13		529	37.52		119	8.44		53	3.76					58	4.11											1410	
	SIXTH			4	6.90		12	20.69		18	31.03		9	15.52		15	25.86						Excluded											58	
		TOTAL		61	4.33		606	42.98		547	38.79		128	9.08		68	4.82																	1410	
	SEVENTH				Excluded		17	27.87		18	29.51		2	3.28		24	39.34																	61	
		TOTAL					623	44.18		565	40.07		130	9.22		92	6.52																	1410	
	EIGHTH						16	17.39		49	53.26		27	29.35			Excluded																	92	
		TOTAL					639	45.32		614	43.55		157	11.13																				1410	
	NINTH						80	50.96		77	49.04			Excluded																				157	
		TOTAL					719	50.99		691	49.01																							1410	
							Elected																												
																																			
Karratha West                                                  																																			
	FIRST			77	2.89		1273	47.71		885	33.17		179	6.71		120	4.50		13	0.49		78	2.92		15	0.56		4	0.15		24	0.90		2668	
	SECOND			0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		0	0.00		2	50.00		1	25.00			Excluded		0	0.00		4	
		TOTAL		77	2.89		1274	47.75		885	33.17		179	6.71		120	4.50		13	0.49		80	3.00		16	0.60					24	0.90		2668	
	THIRD			0	0.00		0	0.00		4	30.77		1	7.69		4	30.77			Excluded		1	7.69		2	15.38					1	7.69		13	
		TOTAL		77	2.89		1274	47.75		889	33.32		180	6.75		124	4.65					81	3.04		18	0.67					25	0.94		2668	
	FOURTH			1	5.56		3	16.67		1	5.56		1	5.56		0	0.00					10	55.56			Excluded					2	11.11		18	
		TOTAL		78	2.92		1277	47.86		890	33.36		181	6.78		124	4.65					91	3.41								27	1.01		2668	
	FIFTH			1	3.70		11	40.74		3	11.11		1	3.70		4	14.81					7	25.93									Excluded		27	
		TOTAL		79	2.96		1288	48.28		893	33.47		182	6.82		128	4.80					98	3.67											2668	
	SIXTH			14	14.29		21	21.43		25	25.51		11	11.22		27	27.55						Excluded											98	
		TOTAL		93	3.49		1309	49.06		918	34.41		193	7.23		155	5.81																	2668	
	SEVENTH				Excluded		31	33.33		27	29.03		9	9.68		26	27.96																	93	
		TOTAL					1340	50.22		945	35.42		202	7.57		181	6.78																	2668	
	EIGHTH						46	25.41		84	46.41		51	28.18			Excluded																	181	
		TOTAL					1386	51.95		1029	38.57		253	9.48																				2668	
	NINTH						131	51.78		122	48.22			Excluded																				253	
		TOTAL					1517	56.86		1151	43.14																							2668	
							Elected																												
																																			
Kununurra                                                      																																			
	FIRST			64	4.29		740	49.60		446	29.89		103	6.90		60	4.02		4	0.27		22	1.47		3	0.20		2	0.13		48	3.22		1492	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00		2	
		TOTAL		64	4.29		740	49.60		446	29.89		103	6.90		60	4.02		4	0.27		22	1.47		4	0.27					49	3.28		1492	
	THIRD			1	25.00		1	25.00		1	25.00		1	25.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		4	
		TOTAL		65	4.36		741	49.66		447	29.96		104	6.97		60	4.02					22	1.47		4	0.27					49	3.28		1492	
	FOURTH			0	0.00		1	25.00		0	0.00		0	0.00		0	0.00					2	50.00			Excluded					1	25.00		4	
		TOTAL		65	4.36		742	49.73		447	29.96		104	6.97		60	4.02					24	1.61								50	3.35		1492	
	FIFTH			6	12.00		28	56.00		4	8.00		2	4.00		2	4.00					8	16.00									Excluded		50	
		TOTAL		71	4.76		770	51.61		451	30.23		106	7.10		62	4.16					32	2.14											1492	
	SIXTH			4	12.50		10	31.25		5	15.63		2	6.25		11	34.38						Excluded											32	
		TOTAL		75	5.03		780	52.28		456	30.56		108	7.24		73	4.89																	1492	
	SEVENTH				Excluded		28	37.33		19	25.33		3	4.00		25	33.33																	75	
		TOTAL					808	54.16		475	31.84		111	7.44		98	6.57																	1492	
	EIGHTH						27	27.55		49	50.00		22	22.45			Excluded																	98	
		TOTAL					835	55.97		524	35.12		133	8.91																				1492	
	NINTH						94	70.68		39	29.32			Excluded																				133	
		TOTAL					929	62.27		563	37.73																							1492	
							Elected																												
																																			
Laverton                                                       																																			
	FIRST			5	2.39		84	40.19		74	35.41		27	12.92		12	5.74		2	0.96		3	1.44		2	0.96		0	0.00		0	0.00		209	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		5	2.39		84	40.19		74	35.41		27	12.92		12	5.74		2	0.96		3	1.44		2	0.96					0	0.00		209	
	THIRD			1	50.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		2	
		TOTAL		6	2.87		84	40.19		75	35.89		27	12.92		12	5.74					3	1.44		2	0.96					0	0.00		209	
	FOURTH			0	0.00		1	50.00		0	0.00		1	50.00		0	0.00					0	0.00			Excluded					0	0.00		2	
		TOTAL		6	2.87		85	40.67		75	35.89		28	13.40		12	5.74					3	1.44								0	0.00		209	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00									Excluded		0	
		TOTAL		6	2.87		85	40.67		75	35.89		28	13.40		12	5.74					3	1.44											209	
	SIXTH			0	0.00		0	0.00		1	33.33		2	66.67		0	0.00						Excluded											3	
		TOTAL		6	2.87		85	40.67		76	36.36		30	14.35		12	5.74																	209	
	SEVENTH				Excluded		2	33.33		2	33.33		1	16.67		1	16.67																	6	
		TOTAL					87	41.63		78	37.32		31	14.83		13	6.22																	209	
	EIGHTH						3	23.08		9	69.23		1	7.69			Excluded																	13	
		TOTAL					90	43.06		87	41.63		32	15.31																				209	
	NINTH						23	71.88		9	28.13			Excluded																				32	
		TOTAL					113	54.07		96	45.93																							209	
							Elected																												
																																			
Leinster                                                       																																			
	FIRST			8	3.28		130	53.28		60	24.59		24	9.84		6	2.46		0	0.00		13	5.33		1	0.41		0	0.00		2	0.82		244	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		8	3.28		130	53.28		60	24.59		24	9.84		6	2.46		0	0.00		13	5.33		1	0.41					2	0.82		244	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL		8	3.28		130	53.28		60	24.59		24	9.84		6	2.46					13	5.33		1	0.41					2	0.82		244	
	FOURTH			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		1	
		TOTAL		8	3.28		130	53.28		61	25.00		24	9.84		6	2.46					13	5.33								2	0.82		244	
	FIFTH			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00					1	50.00									Excluded		2	
		TOTAL		8	3.28		131	53.69		61	25.00		24	9.84		6	2.46					14	5.74											244	
	SIXTH			2	14.29		4	28.57		2	14.29		3	21.43		3	21.43						Excluded											14	
		TOTAL		10	4.10		135	55.33		63	25.82		27	11.07		9	3.69																	244	
	SEVENTH				Excluded		5	50.00		1	10.00		2	20.00		2	20.00																	10	
		TOTAL					140	57.38		64	26.23		29	11.89		11	4.51																	244	
	EIGHTH						2	18.18		6	54.55		3	27.27			Excluded																	11	
		TOTAL					142	58.20		70	28.69		32	13.11																				244	
	NINTH						15	46.88		17	53.13			Excluded																				32	
		TOTAL					157	64.34		87	35.66																							244	
							Elected																												
																																			
Leonora                                                        																																			
	FIRST			11	3.09		165	46.35		110	30.90		26	7.30		7	1.97		4	1.12		26	7.30		4	1.12		2	0.56		1	0.28		356	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		12	3.37		165	46.35		110	30.90		26	7.30		7	1.97		5	1.40		26	7.30		4	1.12					1	0.28		356	
	THIRD			0	0.00		0	0.00		1	20.00		2	40.00		1	20.00			Excluded		1	20.00		0	0.00					0	0.00		5	
		TOTAL		12	3.37		165	46.35		111	31.18		28	7.87		8	2.25					27	7.58		4	1.12					1	0.28		356	
	FOURTH			2	50.00		2	50.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded					0	0.00		4	
		TOTAL		14	3.93		167	46.91		111	31.18		28	7.87		8	2.25					27	7.58								1	0.28		356	
	FIFTH			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00					0	0.00									Excluded		1	
		TOTAL		14	3.93		167	46.91		112	31.46		28	7.87		8	2.25					27	7.58											356	
	SIXTH			4	14.81		5	18.52		8	29.63		5	18.52		5	18.52						Excluded											27	
		TOTAL		18	5.06		172	48.31		120	33.71		33	9.27		13	3.65																	356	
	SEVENTH				Excluded		10	55.56		1	5.56		1	5.56		6	33.33																	18	
		TOTAL					182	51.12		121	33.99		34	9.55		19	5.34																	356	
	EIGHTH						6	31.58		9	47.37		4	21.05			Excluded																	19	
		TOTAL					188	52.81		130	36.52		38	10.67																				356	
	NINTH						28	73.68		10	26.32			Excluded																				38	
		TOTAL					216	60.67		140	39.33																							356	
							Elected																												
																																			
Looma                                                          																																			
	FIRST			7	4.67		59	39.33		63	42.00		0	0.00		2	1.33		2	1.33		2	1.33		0	0.00		0	0.00		15	10.00		150	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		7	4.67		59	39.33		63	42.00		0	0.00		2	1.33		2	1.33		2	1.33		0	0.00					15	10.00		150	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		0	0.00					0	0.00		2	
