House of Representatives - 2001 Election: Western Australia																												
Distribution of Preferences 																												
By Polling Place																												
																												
Forrest																												
					GIORGI			HARVEY			CALDWELL			PROSSER			WYLIE			LLEWELLYN			KIRWAN			SMITH		
	SECOND			0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		49	7.54					4	0.62		343	52.77		20	3.08		27	4.15		3	0.46		204	31.38		650
	THIRD			0	0.00					0	0.00		0	0.00		1	33.33		1	33.33			Excluded		1	33.33		3
		TOTAL		49	7.54					4	0.62		343	52.77		21	3.23		28	4.31					205	31.54		650
	FOURTH			1	25.00						Excluded		3	75.00		0	0.00		0	0.00					0	0.00		4
		TOTAL		50	7.69								346	53.23		21	3.23		28	4.31					205	31.54		650
	FIFTH			2	9.52								4	19.05			Excluded		11	52.38					4	19.05		21
		TOTAL		52	8.00								350	53.85					39	6.00					209	32.15		650
	SIXTH			7	17.95								5	12.82						Excluded					27	69.23		39
		TOTAL		59	9.08								355	54.62											236	36.31		650
	SEVENTH				Excluded								40	67.80											19	32.20		59
		TOTAL											395	60.77											255	39.23		650
													Elected															
																												
Collie                                                         																												
	FIRST			127	15.34		5	0.60		15	1.81		184	22.22		11	1.33		19	2.29		6	0.72		461	55.68		828
	SECOND			1	20.00			Excluded		2	40.00		0	0.00		1	20.00		1	20.00		0	0.00		0	0.00		5
		TOTAL		128	15.46					17	2.05		184	22.22		12	1.45		20	2.42		6	0.72		461	55.68		828
	THIRD			2	33.33					0	0.00		0	0.00		1	16.67		0	0.00			Excluded		3	50.00		6
		TOTAL		130	15.70					17	2.05		184	22.22		13	1.57		20	2.42					464	56.04		828
	FOURTH			3	17.65						Excluded		8	47.06		2	11.76		2	11.76					2	11.76		17
		TOTAL		133	16.06								192	23.19		15	1.81		22	2.66					466	56.28		828
	FIFTH			1	6.67								4	26.67			Excluded		8	53.33					2	13.33		15
		TOTAL		134	16.18								196	23.67					30	3.62					468	56.52		828
	SIXTH			7	23.33								5	16.67						Excluded					18	60.00		30
		TOTAL		141	17.03								201	24.28											486	58.70		828
	SEVENTH				Excluded								96	68.09											45	31.91		141
		TOTAL											297	35.87											531	64.13		828
													Elected															
																												
Collie Central                                                 																												
	FIRST			217	14.23		7	0.46		17	1.11		326	21.38		32	2.10		38	2.49		14	0.92		874	57.31		1525
	SECOND			2	28.57			Excluded		1	14.29		1	14.29		0	0.00		2	28.57		0	0.00		1	14.29		7
		TOTAL		219	14.36					18	1.18		327	21.44		32	2.10		40	2.62		14	0.92		875	57.38		1525
	THIRD			2	14.29					2	14.29		0	0.00		1	7.14		1	7.14			Excluded		8	57.14		14
		TOTAL		221	14.49					20	1.31		327	21.44		33	2.16		41	2.69					883	57.90		1525
	FOURTH			4	20.00						Excluded		8	40.00		1	5.00		3	15.00					4	20.00		20
		TOTAL		225	14.75								335	21.97		34	2.23		44	2.89					887	58.16		1525
	FIFTH			5	14.71								5	14.71			Excluded		14	41.18					10	29.41		34
		TOTAL		230	15.08								340	22.30					58	3.80					897	58.82		1525
	SIXTH			11	18.97								16	27.59						Excluded					31	53.45		58
		TOTAL		241	15.80								356	23.34											928	60.85		1525
	SEVENTH				Excluded								139	57.68											102	42.32		241
		TOTAL											495	32.46											1030	67.54		1525
													Elected															
																												
Collie East                                                    																												
	FIRST			96	14.31		2	0.30		9	1.34		161	23.99		14	2.09		21	3.13		12	1.79		356	53.06		671
	SECOND			1	50.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		97	14.46					9	1.34		162	24.14		14	2.09		21	3.13		12	1.79		356	53.06		671
	THIRD			4	33.33					0	0.00		2	16.67		0	0.00		1	8.33			Excluded		5	41.67		12
		TOTAL		101	15.05					9	1.34		164	24.44		14	2.09		22	3.28					361	53.80		671
	FOURTH			2	22.22						Excluded		5	55.56		1	11.11		0	0.00					1	11.11		9
		TOTAL		103	15.35								169	25.19		15	2.24		22	3.28					362	53.95		671
	FIFTH			3	20.00								1	6.67			Excluded		4	26.67					7	46.67		15
		TOTAL		106	15.80								170	25.34					26	3.87					369	54.99		671
	SIXTH			9	34.62								7	26.92						Excluded					10	38.46		26
		TOTAL		115	17.14								177	26.38											379	56.48		671
	SEVENTH				Excluded								58	50.43											57	49.57		115
		TOTAL											235	35.02											436	64.98		671
													Elected															
																												
Collie North                                                   																												
	FIRST			97	11.05		8	0.91		11	1.25		201	22.89		16	1.82		15	1.71		5	0.57		525	59.79		878
	SECOND			4	50.00			Excluded		0	0.00		3	37.50		1	12.50		0	0.00		0	0.00		0	0.00		8
		TOTAL		101	11.50					11	1.25		204	23.23		17	1.94		15	1.71		5	0.57		525	59.79		878
	THIRD			0	0.00					0	0.00		0	0.00		2	40.00		2	40.00			Excluded		1	20.00		5
		TOTAL		101	11.50					11	1.25		204	23.23		19	2.16		17	1.94					526	59.91		878
	FOURTH			4	36.36						Excluded		5	45.45		1	9.09		1	9.09					0	0.00		11
		TOTAL		105	11.96								209	23.80		20	2.28		18	2.05					526	59.91		878
	FIFTH			3	15.00								3	15.00			Excluded		9	45.00					5	25.00		20
		TOTAL		108	12.30								212	24.15					27	3.08					531	60.48		878
	SIXTH			10	37.04								4	14.81						Excluded					13	48.15		27
		TOTAL		118	13.44								216	24.60											544	61.96		878
	SEVENTH				Excluded								79	66.95											39	33.05		118
		TOTAL											295	33.60											583	66.40		878
													Elected															
																												
Coral Park                                                     																												
	FIRST			178	9.52		9	0.48		32	1.71		747	39.95		59	3.16		104	5.56		14	0.75		727	38.88		1870
	SECOND			2	22.22			Excluded		2	22.22		1	11.11		1	11.11		0	0.00		1	11.11		2	22.22		9
		TOTAL		180	9.63					34	1.82		748	40.00		60	3.21		104	5.56		15	0.80		729	38.98		1870
	THIRD			0	0.00					0	0.00		2	13.33		2	13.33		4	26.67			Excluded		7	46.67		15
		TOTAL		180	9.63					34	1.82		750	40.11		62	3.32		108	5.78					736	39.36		1870
	FOURTH			5	14.71						Excluded		17	50.00		5	14.71		5	14.71					2	5.88		34
		TOTAL		185	9.89								767	41.02		67	3.58		113	6.04					738	39.47		1870
	FIFTH			8	11.94								11	16.42			Excluded		37	55.22					11	16.42		67
		TOTAL		193	10.32								778	41.60					150	8.02					749	40.05		1870
	SIXTH			24	16.00								28	18.67						Excluded					98	65.33		150
		TOTAL		217	11.60								806	43.10											847	45.29		1870
	SEVENTH				Excluded								128	58.99											89	41.01		217
		TOTAL											934	49.95											936	50.05		1870
													Elected															
																												
Cowaramup                                                      																												
	FIRST			29	4.18		0	0.00		25	3.60		363	52.31		33	4.76		95	13.69		0	0.00		149	21.47		694
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		29	4.18					25	3.60		363	52.31		33	4.76		95	13.69		0	0.00		149	21.47		694
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		29	4.18					25	3.60		363	52.31		33	4.76		95	13.69					149	21.47		694
	FOURTH			1	4.00						Excluded		17	68.00		2	8.00		3	12.00					2	8.00		25
		TOTAL		30	4.32								380	54.76		35	5.04		98	14.12					151	21.76		694
	FIFTH			1	2.86								6	17.14			Excluded		23	65.71					5	14.29		35
		TOTAL		31	4.47								386	55.62					121	17.44					156	22.48		694
	SIXTH			6	4.96								35	28.93						Excluded					80	66.12		121
		TOTAL		37	5.33								421	60.66											236	34.01		694
	SEVENTH				Excluded								26	70.27											11	29.73		37
		TOTAL											447	64.41											247	35.59		694
													Elected															
																												
Dardanup                                                       																												
	FIRST			77	10.20		1	0.13		46	6.09		410	54.30		18	2.38		39	5.17		4	0.53		160	21.19		755
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		78	10.33					46	6.09		410	54.30		18	2.38		39	5.17		4	0.53		160	21.19		755
	THIRD			0	0.00					0	0.00		0	0.00		1	25.00		2	50.00			Excluded		1	25.00		4
		TOTAL		78	10.33					46	6.09		410	54.30		19	2.52		41	5.43					161	21.32		755
	FOURTH			5	10.87						Excluded		30	65.22		4	8.70		2	4.35					5	10.87		46
		TOTAL		83	10.99								440	58.28		23	3.05		43	5.70					166	21.99		755
	FIFTH			1	4.35								6	26.09			Excluded		10	43.48					6	26.09		23
		TOTAL		84	11.13								446	59.07					53	7.02					172	22.78		755
	SIXTH			9	16.98								15	28.30						Excluded					29	54.72		53
		TOTAL		93	12.32								461	61.06											201	26.62		755
	SEVENTH				Excluded								60	64.52											33	35.48		93
		TOTAL											521	69.01											234	30.99		755
													Elected															
																												
Deanmill                                                       																												
	FIRST			43	20.77		0	0.00		3	1.45		111	53.62		3	1.45		1	0.48		0	0.00		46	22.22		207
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		43	20.77					3	1.45		111	53.62		3	1.45		1	0.48		0	0.00		46	22.22		207
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		43	20.77					3	1.45		111	53.62		3	1.45		1	0.48					46	22.22		207
	FOURTH			2	66.67						Excluded		1	33.33		0	0.00		0	0.00					0	0.00		3
		TOTAL		45	21.74								112	54.11		3	1.45		1	0.48					46	22.22		207
	FIFTH			2	66.67								0	0.00			Excluded		1	33.33					0	0.00		3
		TOTAL		47	22.71								112	54.11					2	0.97					46	22.22		207
	SIXTH			2	100.00								0	0.00						Excluded					0	0.00		2
		TOTAL		49	23.67								112	54.11											46	22.22		207
	SEVENTH				Excluded								37	75.51											12	24.49		49
		TOTAL											149	71.98											58	28.02		207
													Elected															
																												
Donnybrook                                                     																												
	FIRST			172	12.40		4	0.29		62	4.47		666	48.02		39	2.81		115	8.29		6	0.43		323	23.29		1387
	SECOND			1	25.00			Excluded		1	25.00		0	0.00		1	25.00		0	0.00		1	25.00		0	0.00		4
		TOTAL		173	12.47					63	4.54		666	48.02		40	2.88		115	8.29		7	0.50		323	23.29		1387
	THIRD			3	42.86					0	0.00		0	0.00		0	0.00		1	14.29			Excluded		3	42.86		7
		TOTAL		176	12.69					63	4.54		666	48.02		40	2.88		116	8.36					326	23.50		1387
	FOURTH			2	3.17						Excluded		51	80.95		5	7.94		2	3.17					3	4.76		63
		TOTAL		178	12.83								717	51.69		45	3.24		118	8.51					329	23.72		1387
	FIFTH			4	8.89								15	33.33			Excluded		16	35.56					10	22.22		45
		TOTAL		182	13.12								732	52.78					134	9.66					339	24.44		1387
	SIXTH			22	16.42								20	14.93						Excluded					92	68.66		134
		TOTAL		204	14.71								752	54.22											431	31.07		1387
	SEVENTH				Excluded								133	65.20											71	34.80		204
		TOTAL											885	63.81											502	36.19		1387
													Elected															
																												
Dunsborough                                                    																												
	FIRST			103	5.53		4	0.21		30	1.61		999	53.59		114	6.12		204	10.94		4	0.21		406	21.78		1864
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	25.00		2	50.00		1	25.00		4
		TOTAL		103	5.53					30	1.61		999	53.59		114	6.12		205	11.00		6	0.32		407	21.83		1864
	THIRD			2	33.33					1	16.67		0	0.00		1	16.67		2	33.33			Excluded		0	0.00		6
		TOTAL		105	5.63					31	1.66		999	53.59		115	6.17		207	11.11					407	21.83		1864
	FOURTH			1	3.23						Excluded		23	74.19		2	6.45		2	6.45					3	9.68		31
		TOTAL		106	5.69								1022	54.83		117	6.28		209	11.21					410	22.00		1864
	FIFTH			4	3.42								18	15.38			Excluded		68	58.12					27	23.08		117
		TOTAL		110	5.90								1040	55.79					277	14.86					437	23.44		1864
	SIXTH			22	7.94								77	27.80						Excluded					178	64.26		277
		TOTAL		132	7.08								1117	59.92											615	32.99		1864
	SEVENTH				Excluded								92	69.70											40	30.30		132
		TOTAL											1209	64.86											655	35.14		1864
													Elected															
																												
Eaton                                                          																												
	FIRST			278	9.80		12	0.42		69	2.43		1321	46.55		72	2.54		124	4.37		12	0.42		950	33.47		2838
	SECOND			2	16.67			Excluded		0	0.00		4	33.33		1	8.33		4	33.33		1	8.33		0	0.00		12
		TOTAL		280	9.87					69	2.43		1325	46.69		73	2.57		128	4.51		13	0.46		950	33.47		2838
	THIRD			1	7.69					2	15.38		1	7.69		0	0.00		2	15.38			Excluded		7	53.85		13
		TOTAL		281	9.90					71	2.50		1326	46.72		73	2.57		130	4.58					957	33.72		2838
	FOURTH			10	14.08						Excluded		41	57.75		9	12.68		4	5.63					7	9.86		71
		TOTAL		291	10.25								1367	48.17		82	2.89		134	4.72					964	33.97		2838
	FIFTH			17	20.73								12	14.63			Excluded		27	32.93					26	31.71		82
		TOTAL		308	10.85								1379	48.59					161	5.67					990	34.88		2838
	SIXTH			30	18.63								41	25.47						Excluded					90	55.90		161
		TOTAL		338	11.91								1420	50.04											1080	38.05		2838
	SEVENTH				Excluded								183	54.14											155	45.86		338
		TOTAL											1603	56.48											1235	43.52		2838
													Elected															
																												
Eaton East                                                     																												
	FIRST			41	7.28		3	0.53		3	0.53		252	44.76		16	2.84		33	5.86		0	0.00		215	38.19		563
	SECOND			0	0.00			Excluded		1	33.33		1	33.33		1	33.33		0	0.00		0	0.00		0	0.00		3
		TOTAL		41	7.28					4	0.71		253	44.94		17	3.02		33	5.86		0	0.00		215	38.19		563
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		41	7.28					4	0.71		253	44.94		17	3.02		33	5.86					215	38.19		563
	FOURTH			1	25.00						Excluded		1	25.00		1	25.00		1	25.00					0	0.00		4
		TOTAL		42	7.46								254	45.12		18	3.20		34	6.04					215	38.19		563
	FIFTH			2	11.11								3	16.67			Excluded		8	44.44					5	27.78		18
		TOTAL		44	7.82								257	45.65					42	7.46					220	39.08		563
	SIXTH			6	14.29								14	33.33						Excluded					22	52.38		42
		TOTAL		50	8.88								271	48.13											242	42.98		563
	SEVENTH				Excluded								27	54.00											23	46.00		50
		TOTAL											298	52.93											265	47.07		563
													Elected															
																												
Elgin                                                          																												
	FIRST			13	8.07		0	0.00		8	4.97		102	63.35		7	4.35		4	2.48		0	0.00		27	16.77		161
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		13	8.07					8	4.97		102	63.35		7	4.35		4	2.48		0	0.00		27	16.77		161
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		13	8.07					8	4.97		102	63.35		7	4.35		4	2.48					27	16.77		161
	FOURTH			0	0.00						Excluded		8	100.00		0	0.00		0	0.00					0	0.00		8
		TOTAL		13	8.07								110	68.32		7	4.35		4	2.48					27	16.77		161
	FIFTH			0	0.00								1	14.29			Excluded		4	57.14					2	28.57		7
		TOTAL		13	8.07								111	68.94					8	4.97					29	18.01		161
	SIXTH			1	12.50								1	12.50						Excluded					6	75.00		8
		TOTAL		14	8.70								112	69.57											35	21.74		161
	SEVENTH				Excluded								9	64.29											5	35.71		14
		TOTAL											121	75.16											40	24.84		161
													Elected															
																												
Ferguson                                                       																												
	FIRST			11	7.14		0	0.00		14	9.09		83	53.90		4	2.60		2	1.30		0	0.00		40	25.97		154
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		11	7.14					14	9.09		83	53.90		4	2.60		2	1.30		0	0.00		40	25.97		154
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		11	7.14					14	9.09		83	53.90		4	2.60		2	1.30					40	25.97		154
	FOURTH			2	14.29						Excluded		11	78.57		0	0.00		1	7.14					0	0.00		14
		TOTAL		13	8.44								94	61.04		4	2.60		3	1.95					40	25.97		154
	FIFTH			0	0.00								2	50.00			Excluded		2	50.00					0	0.00		4
		TOTAL		13	8.44								96	62.34					5	3.25					40	25.97		154
	SIXTH			0	0.00								4	80.00						Excluded					1	20.00		5
		TOTAL		13	8.44								100	64.94											41	26.62		154
	SEVENTH				Excluded								7	53.85											6	46.15		13
		TOTAL											107	69.48											47	30.52		154
													Elected															
																												
Gelorup                                                        																												
	FIRST			102	9.47		4	0.37		15	1.39		560	52.00		37	3.44		62	5.76		5	0.46		292	27.11		1077
	SECOND			0	0.00			Excluded		2	50.00		0	0.00		1	25.00		0	0.00		0	0.00		1	25.00		4
		TOTAL		102	9.47					17	1.58		560	52.00		38	3.53		62	5.76		5	0.46		293	27.21		1077
	THIRD			1	20.00					0	0.00		0	0.00		0	0.00		1	20.00			Excluded		3	60.00		5
		TOTAL		103	9.56					17	1.58		560	52.00		38	3.53		63	5.85					296	27.48		1077
	FOURTH			2	11.76						Excluded		13	76.47		2	11.76		0	0.00					0	0.00		17
		TOTAL		105	9.75								573	53.20		40	3.71		63	5.85					296	27.48		1077
	FIFTH			7	17.50								6	15.00			Excluded		17	42.50					10	25.00		40
		TOTAL		112	10.40								579	53.76					80	7.43					306	28.41		1077
	SIXTH			10	12.50								19	23.75						Excluded					51	63.75		80
		TOTAL		122	11.33								598	55.52											357	33.15		1077
	SEVENTH				Excluded								80	65.57											42	34.43		122
		TOTAL											678	62.95											399	37.05		1077
													Elected															
																												
Greenbushes                                                    																												
	FIRST			58	14.76		0	0.00		7	1.78		193	49.11		1	0.25		20	5.09		1	0.25		113	28.75		393
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		58	14.76					7	1.78		193	49.11		1	0.25		20	5.09		1	0.25		113	28.75		393
	THIRD			1	100.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1
		TOTAL		59	15.01					7	1.78		193	49.11		1	0.25		20	5.09					113	28.75		393
	FOURTH			3	42.86						Excluded		3	42.86		0	0.00		0	0.00					1	14.29		7
		TOTAL		62	15.78								196	49.87		1	0.25		20	5.09					114	29.01		393
	FIFTH			0	0.00								0	0.00			Excluded		1	100.00					0	0.00		1
		TOTAL		62	15.78								196	49.87					21	5.34					114	29.01		393
	SIXTH			1	4.76								0	0.00						Excluded					20	95.24		21
		TOTAL		63	16.03								196	49.87											134	34.10		393
	SEVENTH				Excluded								36	57.14											27	42.86		63
		TOTAL											232	59.03											161	40.97		393
													Elected															
																												
Harvey                                                         																												
	FIRST			231	11.56		32	1.60		22	1.10		909	45.50		47	2.35		83	4.15		14	0.70		660	33.03		1998
	SECOND			9	28.13			Excluded		8	25.00		5	15.63		3	9.38		2	6.25		4	12.50		1	3.13		32
		TOTAL		240	12.01					30	1.50		914	45.75		50	2.50		85	4.25		18	0.90		661	33.08		1998
	THIRD			4	22.22					0	0.00		4	22.22		3	16.67		1	5.56			Excluded		6	33.33		18
		TOTAL		244	12.21					30	1.50		918	45.95		53	2.65		86	4.30					667	33.38		1998
	FOURTH			8	26.67						Excluded		16	53.33		4	13.33		0	0.00					2	6.67		30
		TOTAL		252	12.61								934	46.75		57	2.85		86	4.30					669	33.48		1998
	FIFTH			8	14.04								14	24.56			Excluded		21	36.84					14	24.56		57
		TOTAL		260	13.01								948	47.45					107	5.36					683	34.18		1998
	SIXTH			18	16.82								26	24.30						Excluded					63	58.88		107
		TOTAL		278	13.91								974	48.75											746	37.34		1998
	SEVENTH				Excluded								190	68.35											88	31.65		278
		TOTAL											1164	58.26											834	41.74		1998
													Elected															
																												
Karridale                                                      																												
	FIRST			5	2.45		1	0.49		5	2.45		95	46.57		5	2.45		46	22.55		2	0.98		45	22.06		204
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		1
		TOTAL		5	2.45					5	2.45		95	46.57		5	2.45		46	22.55		3	1.47		45	22.06		204
	THIRD			2	66.67					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	33.33		3
		TOTAL		7	3.43					5	2.45		95	46.57		5	2.45		46	22.55					46	22.55		204
	FOURTH			0	0.00						Excluded		5	100.00		0	0.00		0	0.00					0	0.00		5
		TOTAL		7	3.43								100	49.02		5	2.45		46	22.55					46	22.55		204
	FIFTH			1	20.00								1	20.00			Excluded		3	60.00					0	0.00		5
		TOTAL		8	3.92								101	49.51					49	24.02					46	22.55		204
	SIXTH			7	14.29								8	16.33						Excluded					34	69.39		49
		TOTAL		15	7.35								109	53.43											80	39.22		204
	SEVENTH				Excluded								4	26.67											11	73.33		15
		TOTAL											113	55.39											91	44.61		204
													Elected															
																												
Kirup                                                          																												
	FIRST			45	19.07		0	0.00		4	1.69		118	50.00		3	1.27		19	8.05		0	0.00		47	19.92		236
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		45	19.07					4	1.69		118	50.00		3	1.27		19	8.05		0	0.00		47	19.92		236
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		45	19.07					4	1.69		118	50.00		3	1.27		19	8.05					47	19.92		236
	FOURTH			0	0.00						Excluded		3	75.00		0	0.00		0	0.00					1	25.00		4
		TOTAL		45	19.07								121	51.27		3	1.27		19	8.05					48	20.34		236
	FIFTH			0	0.00								0	0.00			Excluded		2	66.67					1	33.33		3
		TOTAL		45	19.07								121	51.27					21	8.90					49	20.76		236
	SIXTH			1	4.76								4	19.05						Excluded					16	76.19		21
		TOTAL		46	19.49								125	52.97											65	27.54		236
	SEVENTH				Excluded								32	69.57											14	30.43		46
		TOTAL											157	66.53											79	33.47		236
													Elected															
																												
Kudardup                                                       																												
	FIRST			33	17.65		0	0.00		1	0.53		84	44.92		2	1.07		8	4.28		0	0.00		59	31.55		187
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		33	17.65					1	0.53		84	44.92		2	1.07		8	4.28		0	0.00		59	31.55		187
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		33	17.65					1	0.53		84	44.92		2	1.07		8	4.28					59	31.55		187
	FOURTH			0	0.00						Excluded		0	0.00		0	0.00		1	100.00					0	0.00		1
		TOTAL		33	17.65								84	44.92		2	1.07		9	4.81					59	31.55		187
	FIFTH			0	0.00								0	0.00			Excluded		1	50.00					1	50.00		2
		TOTAL		33	17.65								84	44.92					10	5.35					60	32.09		187
	SIXTH			3	30.00								1	10.00						Excluded					6	60.00		10
		TOTAL		36	19.25								85	45.45											66	35.29		187
	SEVENTH				Excluded								28	77.78											8	22.22		36
		TOTAL											113	60.43											74	39.57		187
													Elected															
																												
Leschenault                                                    																												
	FIRST			82	10.19		3	0.37		7	0.87		366	45.47		41	5.09		46	5.71		4	0.50		256	31.80		805
	SECOND			2	66.67			Excluded		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		84	10.43					8	0.99		366	45.47		41	5.09		46	5.71		4	0.50		256	31.80		805
	THIRD			1	25.00					0	0.00		0	0.00		1	25.00		0	0.00			Excluded		2	50.00		4
		TOTAL		85	10.56					8	0.99		366	45.47		42	5.22		46	5.71					258	32.05		805
	FOURTH			1	12.50						Excluded		4	50.00		2	25.00		1	12.50					0	0.00		8
		TOTAL		86	10.68								370	45.96		44	5.47		47	5.84					258	32.05		805
	FIFTH			3	6.82								7	15.91			Excluded		20	45.45					14	31.82		44
		TOTAL		89	11.06								377	46.83					67	8.32					272	33.79		805
	SIXTH			9	13.43								15	22.39						Excluded					43	64.18		67
		TOTAL		98	12.17								392	48.70											315	39.13		805
	SEVENTH				Excluded								58	59.18											40	40.82		98
		TOTAL											450	55.90											355	44.10		805
													Elected															
																												
Lowden                                                         																												
	FIRST			23	11.68		0	0.00		7	3.55		107	54.31		9	4.57		11	5.58		1	0.51		39	19.80		197
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		23	11.68					7	3.55		107	54.31		9	4.57		11	5.58		1	0.51		39	19.80		197
	THIRD			0	0.00					0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1
		TOTAL		23	11.68					7	3.55		108	54.82		9	4.57		11	5.58					39	19.80		197
	FOURTH			2	28.57						Excluded		3	42.86		1	14.29		1	14.29					0	0.00		7
		TOTAL		25	12.69								111	56.35		10	5.08		12	6.09					39	19.80		197
	FIFTH			0	0.00								2	20.00			Excluded		5	50.00					3	30.00		10
		TOTAL		25	12.69								113	57.36					17	8.63					42	21.32		197
	SIXTH			2	11.76								3	17.65						Excluded					12	70.59		17
		TOTAL		27	13.71								116	58.88											54	27.41		197
	SEVENTH				Excluded								20	74.07											7	25.93		27
		TOTAL											136	69.04											61	30.96		197
													Elected															
																												
Manjimup                                                       																												
	FIRST			378	16.95		13	0.58		50	2.24		1222	54.80		63	2.83		61	2.74		15	0.67		428	19.19		2230
	SECOND			5	38.46			Excluded		3	23.08		0	0.00		1	7.69		1	7.69		3	23.08		0	0.00		13
		TOTAL		383	17.17					53	2.38		1222	54.80		64	2.87		62	2.78		18	0.81		428	19.19		2230
	THIRD			2	11.11					0	0.00		1	5.56		1	5.56		1	5.56			Excluded		13	72.22		18
		TOTAL		385	17.26					53	2.38		1223	54.84		65	2.91		63	2.83					441	19.78		2230
	FOURTH			7	13.21						Excluded		27	50.94		8	15.09		1	1.89					10	18.87		53
		TOTAL		392	17.58								1250	56.05		73	3.27		64	2.87					451	20.22		2230
	FIFTH			12	16.44								16	21.92			Excluded		23	31.51					22	30.14		73
		TOTAL		404	18.12								1266	56.77					87	3.90					473	21.21		2230
	SIXTH			14	16.09								9	10.34						Excluded					64	73.56		87
		TOTAL		418	18.74								1275	57.17											537	24.08		2230
	SEVENTH				Excluded								290	69.38											128	30.62		418
		TOTAL											1565	70.18											665	29.82		2230
													Elected															
																												
Manjimup East                                                  																												
	FIRST			95	11.69		3	0.37		18	2.21		486	59.78		16	1.97		24	2.95		5	0.62		166	20.42		813
	SECOND			1	33.33			Excluded		0	0.00		1	33.33		0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL		96	11.81					18	2.21		487	59.90		16	1.97		25	3.08		5	0.62		166	20.42		813
	THIRD			0	0.00					0	0.00		0	0.00		0	0.00		3	60.00			Excluded		2	40.00		5
		TOTAL		96	11.81					18	2.21		487	59.90		16	1.97		28	3.44					168	20.66		813
	FOURTH			1	5.56						Excluded		16	88.89		0	0.00		0	0.00					1	5.56		18
		TOTAL		97	11.93								503	61.87		16	1.97		28	3.44					169	20.79		813
	FIFTH			5	31.25								5	31.25			Excluded		1	6.25					5	31.25		16
		TOTAL		102	12.55								508	62.48					29	3.57					174	21.40		813
	SIXTH			3	10.34								4	13.79						Excluded					22	75.86		29
		TOTAL		105	12.92								512	62.98											196	24.11		813
	SEVENTH				Excluded								78	74.29											27	25.71		105
		TOTAL											590	72.57											223	27.43		813
													Elected															
																												
Margaret River                                                 																												
	FIRST			161	6.35		2	0.08		27	1.06		1018	40.13		132	5.20		528	20.81		13	0.51		656	25.86		2537
	SECOND			0	0.00			Excluded		0	0.00		2	100.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		161	6.35					27	1.06		1020	40.20		132	5.20		528	20.81		13	0.51		656	25.86		2537
	THIRD			1	7.69					0	0.00		0	0.00		1	7.69		2	15.38			Excluded		9	69.23		13
		TOTAL		162	6.39					27	1.06		1020	40.20		133	5.24		530	20.89					665	26.21		2537
	FOURTH			1	3.70						Excluded		21	77.78		0	0.00		1	3.70					4	14.81		27
		TOTAL		163	6.42								1041	41.03		133	5.24		531	20.93					669	26.37		2537
	FIFTH			4	3.01								12	9.02			Excluded		96	72.18					21	15.79		133
		TOTAL		167	6.58								1053	41.51					627	24.71					690	27.20		2537
