House of Representatives - 2001 Election: Tasmania																									
Distribution of Preferences																									
By Polling Place																									
																									
Fremantle																									
					REYNOLDS			SHAVE			HARRIS			SMYTH			DELVES			SWIFT			LAWRENCE		
	FOURTH			11	9.02								7	5.74		65	53.28			Excluded		39	31.97		122
		TOTAL		238	7.99								702	23.57		276	9.27					1762	59.17		2978
	FIFTH				Excluded								142	59.66		44	18.49					52	21.85		238
		TOTAL											844	28.34		320	10.75					1814	60.91		2978
	SIXTH												98	30.63			Excluded					222	69.38		320
		TOTAL											942	31.63								2036	68.37		2978
																						Elected			
																									
Wattleup                                                       																									
	FIRST			53	10.66		5	1.01		4	0.80		108	21.73		29	5.84		14	2.82		284	57.14		497
	SECOND			2	50.00		0	0.00			Excluded		1	25.00		1	25.00		0	0.00		0	0.00		4
		TOTAL		55	11.07		5	1.01					109	21.93		30	6.04		14	2.82		284	57.14		497
	THIRD			1	20.00			Excluded					3	60.00		1	20.00		0	0.00		0	0.00		5
		TOTAL		56	11.27								112	22.54		31	6.24		14	2.82		284	57.14		497
	FOURTH			1	7.14								0	0.00		12	85.71			Excluded		1	7.14		14
		TOTAL		57	11.47								112	22.54		43	8.65					285	57.34		497
	FIFTH				Excluded								24	42.11		20	35.09					13	22.81		57
		TOTAL											136	27.36		63	12.68					298	59.96		497
	SIXTH												25	39.68			Excluded					38	60.32		63
		TOTAL											161	32.39								336	67.61		497
																						Elected			
																									
White Gum Valley                                               																									
	FIRST			68	4.03		12	0.71		6	0.36		363	21.53		278	16.49		96	5.69		863	51.19		1686
	SECOND			1	16.67		0	0.00			Excluded		0	0.00		2	33.33		2	33.33		1	16.67		6
		TOTAL		69	4.09		12	0.71					363	21.53		280	16.61		98	5.81		864	51.25		1686
	THIRD			2	16.67			Excluded					5	41.67		0	0.00		4	33.33		1	8.33		12
		TOTAL		71	4.21								368	21.83		280	16.61		102	6.05		865	51.30		1686
	FOURTH			4	3.92								5	4.90		58	56.86			Excluded		35	34.31		102
		TOTAL		75	4.45								373	22.12		338	20.05					900	53.38		1686
	FIFTH				Excluded								43	57.33		16	21.33					16	21.33		75
		TOTAL											416	24.67		354	21.00					916	54.33		1686
	SIXTH												47	13.28			Excluded					307	86.72		354
		TOTAL											463	27.46								1223	72.54		1686
																						Elected			
																									
Willagee                                                       																									
	FIRST			73	5.36		27	1.98		8	0.59		313	22.96		96	7.04		55	4.04		791	58.03		1363
	SECOND			1	12.50		1	12.50			Excluded		2	25.00		0	0.00		3	37.50		1	12.50		8
		TOTAL		74	5.43		28	2.05					315	23.11		96	7.04		58	4.26		792	58.11		1363
	THIRD			6	21.43			Excluded					12	42.86		2	7.14		3	10.71		5	17.86		28
		TOTAL		80	5.87								327	23.99		98	7.19		61	4.48		797	58.47		1363
	FOURTH			2	3.28								6	9.84		31	50.82			Excluded		22	36.07		61
		TOTAL		82	6.02								333	24.43		129	9.46					819	60.09		1363
	FIFTH				Excluded								39	47.56		24	29.27					19	23.17		82
		TOTAL											372	27.29		153	11.23					838	61.48		1363
	SIXTH												51	33.33			Excluded					102	66.67		153
		TOTAL											423	31.03								940	68.97		1363
																						Elected			
																									
Willagee East                                                  																									
	FIRST			88	5.51		20	1.25		9	0.56		579	36.28		112	7.02		71	4.45		717	44.92		1596
	SECOND			1	11.11		1	11.11			Excluded		2	22.22		2	22.22		2	22.22		1	11.11		9
		TOTAL		89	5.58		21	1.32					581	36.40		114	7.14		73	4.57		718	44.99		1596
	THIRD			7	33.33			Excluded					8	38.10		4	19.05		0	0.00		2	9.52		21
		TOTAL		96	6.02								589	36.90		118	7.39		73	4.57		720	45.11		1596
	FOURTH			6	8.22								9	12.33		35	47.95			Excluded		23	31.51		73
		TOTAL		102	6.39								598	37.47		153	9.59					743	46.55		1596
	FIFTH				Excluded								54	52.94		31	30.39					17	16.67		102
		TOTAL											652	40.85		184	11.53					760	47.62		1596
	SIXTH												63	34.24			Excluded					121	65.76		184
		TOTAL											715	44.80								881	55.20		1596
																						Elected			
																									
Yangebup                                                       																									
	FIRST			234	8.61		64	2.35		24	0.88		711	26.16		159	5.85		149	5.48		1377	50.66		2718
	SECOND			2	8.33		7	29.17			Excluded		4	16.67		3	12.50		3	12.50		5	20.83		24
		TOTAL		236	8.68		71	2.61					715	26.31		162	5.96		152	5.59		1382	50.85		2718
	THIRD			12	16.90			Excluded					34	47.89		6	8.45		8	11.27		11	15.49		71
		TOTAL		248	9.12								749	27.56		168	6.18		160	5.89		1393	51.25		2718
	FOURTH			15	9.38								14	8.75		91	56.88			Excluded		40	25.00		160
		TOTAL		263	9.68								763	28.07		259	9.53					1433	52.72		2718
	FIFTH				Excluded								112	42.59		69	26.24					82	31.18		263
		TOTAL											875	32.19		328	12.07					1515	55.74		2718
	SIXTH												116	35.37			Excluded					212	64.63		328
		TOTAL											991	36.46								1727	63.54		2718
																						Elected			
																									
Yangebup South                                                 																									
	FIRST			45	8.40		6	1.12		7	1.31		164	30.60		29	5.41		33	6.16		252	47.01		536
	SECOND			1	14.29		0	0.00			Excluded		2	28.57		3	42.86		1	14.29		0	0.00		7
		TOTAL		46	8.58		6	1.12					166	30.97		32	5.97		34	6.34		252	47.01		536
	THIRD			0	0.00			Excluded					3	50.00		0	0.00		1	16.67		2	33.33		6
		TOTAL		46	8.58								169	31.53		32	5.97		35	6.53		254	47.39		536
	FOURTH			4	11.43								3	8.57		19	54.29			Excluded		9	25.71		35
		TOTAL		50	9.33								172	32.09		51	9.51					263	49.07		536
	FIFTH				Excluded								23	46.00		17	34.00					10	20.00		50
		TOTAL											195	36.38		68	12.69					273	50.93		536
	SIXTH												15	22.06			Excluded					53	77.94		68
		TOTAL											210	39.18								326	60.82		536
																						Elected			
																									
Special Hospital Team 1                                        																									
	FIRST			5	4.03		3	2.42		1	0.81		57	45.97		2	1.61		0	0.00		56	45.16		124
	SECOND			0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		5	4.03		3	2.42					58	46.77		2	1.61		0	0.00		56	45.16		124
	THIRD			1	33.33			Excluded					1	33.33		0	0.00		1	33.33		0	0.00		3
		TOTAL		6	4.84								59	47.58		2	1.61		1	0.81		56	45.16		124
	FOURTH			0	0.00								0	0.00		1	100.00			Excluded		0	0.00		1
		TOTAL		6	4.84								59	47.58		3	2.42					56	45.16		124
	FIFTH				Excluded								3	50.00		0	0.00					3	50.00		6
		TOTAL											62	50.00		3	2.42					59	47.58		124
	SIXTH												2	66.67			Excluded					1	33.33		3
		TOTAL											64	51.61								60	48.39		124
																						Elected			
																									
Special Hospital Team 2                                        																									
	FIRST			5	5.95		1	1.19		0	0.00		22	26.19		1	1.19		1	1.19		54	64.29		84
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		5	5.95		1	1.19					22	26.19		1	1.19		1	1.19		54	64.29		84
	THIRD			0	0.00			Excluded					1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		5	5.95								23	27.38		1	1.19		1	1.19		54	64.29		84
	FOURTH			0	0.00								0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		5	5.95								23	27.38		1	1.19					55	65.48		84
	FIFTH				Excluded								3	60.00		2	40.00					0	0.00		5
		TOTAL											26	30.95		3	3.57					55	65.48		84
	SIXTH												1	33.33			Excluded					2	66.67		3
		TOTAL											27	32.14								57	67.86		84
																						Elected			
																									
Special Hospital Team 3                                        																									
	FIRST			6	7.06		1	1.18		0	0.00		21	24.71		2	2.35		4	4.71		51	60.00		85
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		6	7.06		1	1.18					21	24.71		2	2.35		4	4.71		51	60.00		85
	THIRD			0	0.00			Excluded					0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL		6	7.06								21	24.71		3	3.53		4	4.71		51	60.00		85
	FOURTH			0	0.00								2	50.00		1	25.00			Excluded		1	25.00		4
		TOTAL		6	7.06								23	27.06		4	4.71					52	61.18		85
	FIFTH				Excluded								5	83.33		1	16.67					0	0.00		6
		TOTAL											28	32.94		5	5.88					52	61.18		85
	SIXTH												2	40.00			Excluded					3	60.00		5
		TOTAL											30	35.29								55	64.71		85
																						Elected			
																									
Special Hospital Team 4                                        																									
	FIRST			7	15.56		1	2.22		0	0.00		16	35.56		0	0.00		0	0.00		21	46.67		45
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		7	15.56		1	2.22					16	35.56		0	0.00		0	0.00		21	46.67		45
	THIRD			0	0.00			Excluded					1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		7	15.56								17	37.78		0	0.00		0	0.00		21	46.67		45
	FOURTH			0	0.00								0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		7	15.56								17	37.78		0	0.00					21	46.67		45
	FIFTH				Excluded								6	85.71		0	0.00					1	14.29		7
		TOTAL											23	51.11		0	0.00					22	48.89		45
	SIXTH												0	0.00			Excluded					0	0.00		0
		TOTAL											23	51.11								22	48.89		45
																						Elected			
																									
Special Hospital Team 5                                        																									
	FIRST			0	0.00		0	0.00		0	0.00		5	20.83		4	16.67		1	4.17		14	58.33		24
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		0	0.00					5	20.83		4	16.67		1	4.17		14	58.33		24
	THIRD			0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00								5	20.83		4	16.67		1	4.17		14	58.33		24
	FOURTH			0	0.00								0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		0	0.00								5	20.83		4	16.67					15	62.50		24
	FIFTH				Excluded								0	0.00		0	0.00					0	0.00		0
		TOTAL											5	20.83		4	16.67					15	62.50		24
	SIXTH												0	0.00			Excluded					4	100.00		4
		TOTAL											5	20.83								19	79.17		24
																						Elected			
																									
Special Hospital Team 6                                        																									
	FIRST			3	13.04		0	0.00		1	4.35		2	8.70		1	4.35		1	4.35		15	65.22		23
	SECOND			0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		3	13.04		0	0.00					3	13.04		1	4.35		1	4.35		15	65.22		23
	THIRD			0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		3	13.04								3	13.04		1	4.35		1	4.35		15	65.22		23
	FOURTH			1	100.00								0	0.00		0	0.00			Excluded		0	0.00		1
		TOTAL		4	17.39								3	13.04		1	4.35					15	65.22		23
	FIFTH				Excluded								4	100.00		0	0.00					0	0.00		4
		TOTAL											7	30.43		1	4.35					15	65.22		23
	SIXTH												0	0.00			Excluded					1	100.00		1
		TOTAL											7	30.43								16	69.57		23
																						Elected			
																									
Special Hospital Team 7                                        																									
	FIRST			2	9.52		0	0.00		0	0.00		4	19.05		0	0.00		0	0.00		15	71.43		21
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	9.52		0	0.00					4	19.05		0	0.00		0	0.00		15	71.43		21
	THIRD			0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	9.52								4	19.05		0	0.00		0	0.00		15	71.43		21
	FOURTH			0	0.00								0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		2	9.52								4	19.05		0	0.00					15	71.43		21
	FIFTH				Excluded								0	0.00		1	50.00					1	50.00		2
		TOTAL											4	19.05		1	4.76					16	76.19		21
	SIXTH												0	0.00			Excluded					1	100.00		1
		TOTAL											4	19.05								17	80.95		21
																						Elected			
																									
ABSENT																									
	FIRST			355	6.77		108	2.06		78	1.49		1704	32.52		693	13.23		353	6.74		1949	37.19		5240
	SECOND			7	8.97		22	28.21			Excluded		10	12.82		23	29.49		6	7.69		10	12.82		78
		TOTAL		362	6.91		130	2.48					1714	32.71		716	13.66		359	6.85		1959	37.39		5240
	THIRD			28	21.54			Excluded					54	41.54		18	13.85		9	6.92		21	16.15		130
		TOTAL		390	7.44								1768	33.74		734	14.01		368	7.02		1980	37.79		5240
	FOURTH			28	7.61								52	14.13		190	51.63			Excluded		98	26.63		368
		TOTAL		418	7.98								1820	34.73		924	17.63					2078	39.66		5240
	FIFTH				Excluded								188	44.98		131	31.34					99	23.68		418
		TOTAL											2008	38.32		1055	20.13					2177	41.55		5240
	SIXTH												322	30.52			Excluded					733	69.48		1055
		TOTAL											2330	44.47								2910	55.53		5240
																						Elected			
																									
POSTAL																									
	FIRST			125	6.72		19	1.02		12	0.65		548	29.48		117	6.29		80	4.30		958	51.53		1859
	SECOND			1	8.33		1	8.33			Excluded		1	8.33		3	25.00		2	16.67		4	33.33		12
		TOTAL		126	6.78		20	1.08					549	29.53		120	6.46		82	4.41		962	51.75		1859
	THIRD			7	35.00			Excluded					6	30.00		0	0.00		5	25.00		2	10.00		20
		TOTAL		133	7.15								555	29.85		120	6.46		87	4.68		964	51.86		1859
	FOURTH			6	6.90								24	27.59		34	39.08			Excluded		23	26.44		87
		TOTAL		139	7.48								579	31.15		154	8.28					987	53.09		1859
	FIFTH				Excluded								63	45.32		36	25.90					40	28.78		139
		TOTAL											642	34.53		190	10.22					1027	55.24		1859
	SIXTH												73	38.42			Excluded					117	61.58		190
		TOTAL											715	38.46								1144	61.54		1859
																						Elected			
																									
PRE POLL																									
	FIRST			166	6.03		27	0.98		25	0.91		887	32.23		312	11.34		161	5.85		1174	42.66		2752
	SECOND			4	16.00		2	8.00			Excluded		7	28.00		7	28.00		2	8.00		3	12.00		25
		TOTAL		170	6.18		29	1.05					894	32.49		319	11.59		163	5.92		1177	42.77		2752
	THIRD			9	31.03			Excluded					7	24.14		6	20.69		5	17.24		2	6.90		29
		TOTAL		179	6.50								901	32.74		325	11.81		168	6.10		1179	42.84		2752
	FOURTH			10	5.95								24	14.29		90	53.57			Excluded		44	26.19		168
		TOTAL		189	6.87								925	33.61		415	15.08					1223	44.44		2752
	FIFTH				Excluded								87	46.03		54	28.57					48	25.40		189
		TOTAL											1012	36.77		469	17.04					1271	46.18		2752
	SIXTH												139	29.64			Excluded					330	70.36		469
		TOTAL											1151	41.82								1601	58.18		2752
																						Elected			
																									
PROVISIONAL																									
	FIRST			28	7.73		7	1.93		4	1.10		92	25.41		34	9.39		20	5.52		177	48.90		362
	SECOND			0	0.00		1	25.00			Excluded		1	25.00		2	50.00		0	0.00		0	0.00		4
		TOTAL		28	7.73		8	2.21					93	25.69		36	9.94		20	5.52		177	48.90		362
	THIRD			4	50.00			Excluded					1	12.50		1	12.50		1	12.50		1	12.50		8
		TOTAL		32	8.84								94	25.97		37	10.22		21	5.80		178	49.17		362
	FOURTH			0	0.00								5	23.81		9	42.86			Excluded		7	33.33		21
		TOTAL		32	8.84								99	27.35		46	12.71					185	51.10		362
	FIFTH				Excluded								17	53.13		7	21.88					8	25.00		32
		TOTAL											116	32.04		53	14.64					193	53.31		362
	SIXTH												14	26.42			Excluded					39	73.58		53
		TOTAL											130	35.91								232	64.09		362
																						Elected			
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
