House of Representatives - 2001 Election: Western Australia																													
Distribution of Preferences																													
By Polling Place																													
																													
Tangney																													
					GOWEGATI			GRAHAM			STANWIX			INGRAM			LUMSDAINE			WILLIAMS			LUCAS			WATSON			
		TOTAL		696	33.85		27	1.31		116	5.64		85	4.13		85	4.13		1001	48.69					46	2.24		2056	
	THIRD			8	17.39		6	13.04		1	2.17		1	2.17		3	6.52		27	58.70						Excluded		46	
		TOTAL		704	34.24		33	1.61		117	5.69		86	4.18		88	4.28		1028	50.00								2056	
	FOURTH			6	18.18			Excluded		10	30.30		4	12.12		6	18.18		7	21.21								33	
		TOTAL		710	34.53					127	6.18		90	4.38		94	4.57		1035	50.34								2056	
	FIFTH			21	22.34					20	21.28		15	15.96			Excluded		38	40.43								94	
		TOTAL		731	35.55					147	7.15		105	5.11					1073	52.19								2056	
	SIXTH			30	28.57					62	59.05			Excluded					13	12.38								105	
		TOTAL		761	37.01					209	10.17								1086	52.82								2056	
	SEVENTH			144	68.90						Excluded								65	31.10								209	
		TOTAL		905	44.02														1151	55.98								2056	
																			Elected										
																													
Rossmoyne                                                      																													
	FIRST			498	25.64		32	1.65		99	5.10		86	4.43		45	2.32		1123	57.83		25	1.29		34	1.75		1942	
	SECOND			4	16.00		1	4.00		4	16.00		4	16.00		1	4.00		6	24.00			Excluded		5	20.00		25	
		TOTAL		502	25.85		33	1.70		103	5.30		90	4.63		46	2.37		1129	58.14					39	2.01		1942	
	THIRD			9	23.08		3	7.69		3	7.69		0	0.00		5	12.82		19	48.72						Excluded		39	
		TOTAL		511	26.31		36	1.85		106	5.46		90	4.63		51	2.63		1148	59.11								1942	
	FOURTH			5	13.89			Excluded		9	25.00		7	19.44		5	13.89		10	27.78								36	
		TOTAL		516	26.57					115	5.92		97	4.99		56	2.88		1158	59.63								1942	
	FIFTH			15	26.79					7	12.50		9	16.07			Excluded		25	44.64								56	
		TOTAL		531	27.34					122	6.28		106	5.46					1183	60.92								1942	
	SIXTH			25	23.58					62	58.49			Excluded					19	17.92								106	
		TOTAL		556	28.63					184	9.47								1202	61.89								1942	
	SEVENTH			129	70.11						Excluded								55	29.89								184	
		TOTAL		685	35.27														1257	64.73								1942	
																			Elected										
																													
Rottnest (Tangney)                                             																													
	FIRST			42	25.15		3	1.80		8	4.79		6	3.59		1	0.60		100	59.88		5	2.99		2	1.20		167	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	100.00			Excluded		0	0.00		5	
		TOTAL		42	25.15		3	1.80		8	4.79		6	3.59		1	0.60		105	62.87					2	1.20		167	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00						Excluded		2	
		TOTAL		42	25.15		3	1.80		8	4.79		6	3.59		1	0.60		107	64.07								167	
	FOURTH			1	33.33			Excluded		1	33.33		0	0.00		1	33.33		0	0.00								3	
		TOTAL		43	25.75					9	5.39		6	3.59		2	1.20		107	64.07								167	
	FIFTH			0	0.00					1	50.00		0	0.00			Excluded		1	50.00								2	
		TOTAL		43	25.75					10	5.99		6	3.59					108	64.67								167	
	SIXTH			3	50.00					3	50.00			Excluded					0	0.00								6	
		TOTAL		46	27.54					13	7.78								108	64.67								167	
	SEVENTH			8	61.54						Excluded								5	38.46								13	
		TOTAL		54	32.34														113	67.66								167	
																			Elected										
																													
Shelley                                                        																													
	FIRST			385	24.58		44	2.81		66	4.21		89	5.68		55	3.51		902	57.60		9	0.57		16	1.02		1566	
	SECOND			0	0.00		1	11.11		0	0.00		1	11.11		1	11.11		4	44.44			Excluded		2	22.22		9	
		TOTAL		385	24.58		45	2.87		66	4.21		90	5.75		56	3.58		906	57.85					18	1.15		1566	
	THIRD			2	11.11		6	33.33		0	0.00		2	11.11		2	11.11		6	33.33						Excluded		18	
		TOTAL		387	24.71		51	3.26		66	4.21		92	5.87		58	3.70		912	58.24								1566	
	FOURTH			11	21.57			Excluded		12	23.53		13	25.49		9	17.65		6	11.76								51	
		TOTAL		398	25.42					78	4.98		105	6.70		67	4.28		918	58.62								1566	
	FIFTH			17	25.37					16	23.88		4	5.97			Excluded		30	44.78								67	
		TOTAL		415	26.50					94	6.00		109	6.96					948	60.54								1566	
	SIXTH			30	27.52					61	55.96			Excluded					18	16.51								109	
		TOTAL		445	28.42					155	9.90								966	61.69								1566	
	SEVENTH			94	60.65						Excluded								61	39.35								155	
		TOTAL		539	34.42														1027	65.58								1566	
																			Elected										
																													
Willetton                                                      																													
	FIRST			906	32.50		63	2.26		139	4.99		164	5.88		77	2.76		1351	48.46		24	0.86		64	2.30		2788	
	SECOND			3	12.50		0	0.00		8	33.33		1	4.17		0	0.00		9	37.50			Excluded		3	12.50		24	
		TOTAL		909	32.60		63	2.26		147	5.27		165	5.92		77	2.76		1360	48.78					67	2.40		2788	
	THIRD			6	8.96		3	4.48		5	7.46		5	7.46		22	32.84		26	38.81						Excluded		67	
		TOTAL		915	32.82		66	2.37		152	5.45		170	6.10		99	3.55		1386	49.71								2788	
	FOURTH			11	16.67			Excluded		23	34.85		12	18.18		10	15.15		10	15.15								66	
		TOTAL		926	33.21					175	6.28		182	6.53		109	3.91		1396	50.07								2788	
	FIFTH			19	17.43					20	18.35		10	9.17			Excluded		60	55.05								109	
		TOTAL		945	33.90					195	6.99		192	6.89					1456	52.22								2788	
	SIXTH			42	21.88					111	57.81			Excluded					39	20.31								192	
		TOTAL		987	35.40					306	10.98								1495	53.62								2788	
	SEVENTH			190	62.09						Excluded								116	37.91								306	
		TOTAL		1177	42.22														1611	57.78								2788	
																			Elected										
																													
Willetton East                                                 																													
	FIRST			1319	39.87		59	1.78		133	4.02		209	6.32		105	3.17		1382	41.78		19	0.57		82	2.48		3308	
	SECOND			3	15.79		1	5.26		3	15.79		0	0.00		3	15.79		8	42.11			Excluded		1	5.26		19	
		TOTAL		1322	39.96		60	1.81		136	4.11		209	6.32		108	3.26		1390	42.02					83	2.51		3308	
	THIRD			8	9.64		9	10.84		1	1.20		6	7.23		28	33.73		31	37.35						Excluded		83	
		TOTAL		1330	40.21		69	2.09		137	4.14		215	6.50		136	4.11		1421	42.96								3308	
	FOURTH			16	23.19			Excluded		16	23.19		16	23.19		9	13.04		12	17.39								69	
		TOTAL		1346	40.69					153	4.63		231	6.98		145	4.38		1433	43.32								3308	
	FIFTH			35	24.14					26	17.93		17	11.72			Excluded		67	46.21								145	
		TOTAL		1381	41.75					179	5.41		248	7.50					1500	45.34								3308	
	SIXTH			59	23.79					145	58.47			Excluded					44	17.74								248	
		TOTAL		1440	43.53					324	9.79								1544	46.67								3308	
	SEVENTH			205	63.27						Excluded								119	36.73								324	
		TOTAL		1645	49.73														1663	50.27								3308	
																			Elected										
																													
Willetton North                                                																													
	FIRST			483	35.54		21	1.55		42	3.09		62	4.56		60	4.42		652	47.98		16	1.18		23	1.69		1359	
	SECOND			1	6.25		2	12.50		3	18.75		0	0.00		2	12.50		6	37.50			Excluded		2	12.50		16	
		TOTAL		484	35.61		23	1.69		45	3.31		62	4.56		62	4.56		658	48.42					25	1.84		1359	
	THIRD			1	4.00		1	4.00		2	8.00		0	0.00		3	12.00		18	72.00						Excluded		25	
		TOTAL		485	35.69		24	1.77		47	3.46		62	4.56		65	4.78		676	49.74								1359	
	FOURTH			9	37.50			Excluded		6	25.00		2	8.33		5	20.83		2	8.33								24	
		TOTAL		494	36.35					53	3.90		64	4.71		70	5.15		678	49.89								1359	
	FIFTH			16	22.86					14	20.00		9	12.86			Excluded		31	44.29								70	
		TOTAL		510	37.53					67	4.93		73	5.37					709	52.17								1359	
	SIXTH			18	24.66					47	64.38			Excluded					8	10.96								73	
		TOTAL		528	38.85					114	8.39								717	52.76								1359	
	SEVENTH			78	68.42						Excluded								36	31.58								114	
		TOTAL		606	44.59														753	55.41								1359	
																			Elected										
																													
Willetton South                                                																													
	FIRST			1128	35.90		50	1.59		155	4.93		193	6.14		97	3.09		1428	45.45		30	0.95		61	1.94		3142	
	SECOND			2	6.67		0	0.00		6	20.00		2	6.67		3	10.00		15	50.00			Excluded		2	6.67		30	
		TOTAL		1130	35.96		50	1.59		161	5.12		195	6.21		100	3.18		1443	45.93					63	2.01		3142	
	THIRD			8	12.70		3	4.76		5	7.94		6	9.52		13	20.63		28	44.44						Excluded		63	
		TOTAL		1138	36.22		53	1.69		166	5.28		201	6.40		113	3.60		1471	46.82								3142	
	FOURTH			13	24.53			Excluded		12	22.64		12	22.64		7	13.21		9	16.98								53	
		TOTAL		1151	36.63					178	5.67		213	6.78		120	3.82		1480	47.10								3142	
	FIFTH			20	16.67					35	29.17		12	10.00			Excluded		53	44.17								120	
		TOTAL		1171	37.27					213	6.78		225	7.16					1533	48.79								3142	
	SIXTH			58	25.78					128	56.89			Excluded					39	17.33								225	
		TOTAL		1229	39.12					341	10.85								1572	50.03								3142	
	SEVENTH			244	71.55						Excluded								97	28.45								341	
		TOTAL		1473	46.88														1669	53.12								3142	
																			Elected										
																													
Winthrop                                                       																													
	FIRST			1184	31.21		80	2.11		169	4.45		184	4.85		57	1.50		2006	52.87		48	1.27		66	1.74		3794	
	SECOND			8	16.67		2	4.17		6	12.50		3	6.25		2	4.17		25	52.08			Excluded		2	4.17		48	
		TOTAL		1192	31.42		82	2.16		175	4.61		187	4.93		59	1.56		2031	53.53					68	1.79		3794	
	THIRD			9	13.24		5	7.35		6	8.82		11	16.18		1	1.47		36	52.94						Excluded		68	
		TOTAL		1201	31.66		87	2.29		181	4.77		198	5.22		60	1.58		2067	54.48								3794	
	FOURTH			27	31.03			Excluded		20	22.99		19	21.84		2	2.30		19	21.84								87	
		TOTAL		1228	32.37					201	5.30		217	5.72		62	1.63		2086	54.98								3794	
	FIFTH			15	24.19					15	24.19		6	9.68			Excluded		26	41.94								62	
		TOTAL		1243	32.76					216	5.69		223	5.88					2112	55.67								3794	
	SIXTH			54	24.22					115	51.57			Excluded					54	24.22								223	
		TOTAL		1297	34.19					331	8.72								2166	57.09								3794	
	SEVENTH			227	68.58						Excluded								104	31.42								331	
		TOTAL		1524	40.17														2270	59.83								3794	
																			Elected										
																													
Special Hospital Team 1                                        																													
	FIRST			70	21.81		3	0.93		3	0.93		8	2.49		11	3.43		223	69.47		2	0.62		1	0.31		321	
	SECOND			1	50.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		71	22.12		3	0.93		3	0.93		9	2.80		11	3.43		223	69.47					1	0.31		321	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00						Excluded		1	
		TOTAL		71	22.12		3	0.93		3	0.93		9	2.80		11	3.43		224	69.78								321	
	FOURTH			1	33.33			Excluded		1	33.33		1	33.33		0	0.00		0	0.00								3	
		TOTAL		72	22.43					4	1.25		10	3.12		11	3.43		224	69.78								321	
	FIFTH			4	36.36					4	36.36		1	9.09			Excluded		2	18.18								11	
		TOTAL		76	23.68					8	2.49		11	3.43					226	70.40								321	
	SIXTH			2	18.18					6	54.55			Excluded					3	27.27								11	
		TOTAL		78	24.30					14	4.36								229	71.34								321	
	SEVENTH			6	42.86						Excluded								8	57.14								14	
		TOTAL		84	26.17														237	73.83								321	
																			Elected										
																													
Special Hospital Team 2                                        																													
	FIRST			70	29.54		2	0.84		5	2.11		5	2.11		7	2.95		144	60.76		2	0.84		2	0.84		237	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		2	
		TOTAL		70	29.54		2	0.84		5	2.11		5	2.11		7	2.95		146	61.60					2	0.84		237	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		2	100.00		0	0.00						Excluded		2	
		TOTAL		70	29.54		2	0.84		5	2.11		5	2.11		9	3.80		146	61.60								237	
	FOURTH			2	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00								2	
		TOTAL		72	30.38					5	2.11		5	2.11		9	3.80		146	61.60								237	
	FIFTH			3	33.33					2	22.22		0	0.00			Excluded		4	44.44								9	
		TOTAL		75	31.65					7	2.95		5	2.11					150	63.29								237	
	SIXTH			1	20.00					2	40.00			Excluded					2	40.00								5	
		TOTAL		76	32.07					9	3.80								152	64.14								237	
	SEVENTH			5	55.56						Excluded								4	44.44								9	
		TOTAL		81	34.18														156	65.82								237	
																			Elected										
																													
ABSENT																													
	FIRST			1634	29.41		138	2.48		472	8.50		366	6.59		270	4.86		2408	43.35		159	2.86		108	1.94		5555	
	SECOND			9	5.66		11	6.92		23	14.47		16	10.06		12	7.55		74	46.54			Excluded		14	8.81		159	
		TOTAL		1643	29.58		149	2.68		495	8.91		382	6.88		282	5.08		2482	44.68					122	2.20		5555	
	THIRD			11	9.02		9	7.38		10	8.20		8	6.56		18	14.75		66	54.10						Excluded		122	
		TOTAL		1654	29.77		158	2.84		505	9.09		390	7.02		300	5.40		2548	45.87								5555	
	FOURTH			33	20.89			Excluded		53	33.54		27	17.09		17	10.76		28	17.72								158	
		TOTAL		1687	30.37					558	10.05		417	7.51		317	5.71		2576	46.37								5555	
	FIFTH			76	23.97					76	23.97		44	13.88			Excluded		121	38.17								317	
		TOTAL		1763	31.74					634	11.41		461	8.30					2697	48.55								5555	
	SIXTH			132	28.63					237	51.41			Excluded					92	19.96								461	
		TOTAL		1895	34.11					871	15.68								2789	50.21								5555	
	SEVENTH			546	62.69						Excluded								325	37.31								871	
		TOTAL		2441	43.94														3114	56.06								5555	
																			Elected										
																													
POSTAL																													
	FIRST			579	27.03		28	1.31		75	3.50		72	3.36		104	4.86		1229	57.38		28	1.31		27	1.26		2142	
	SECOND			0	0.00		2	7.14		7	25.00		3	10.71		2	7.14		11	39.29			Excluded		3	10.71		28	
		TOTAL		579	27.03		30	1.40		82	3.83		75	3.50		106	4.95		1240	57.89					30	1.40		2142	
	THIRD			2	6.67		1	3.33		3	10.00		3	10.00		4	13.33		17	56.67						Excluded		30	
		TOTAL		581	27.12		31	1.45		85	3.97		78	3.64		110	5.14		1257	58.68								2142	
	FOURTH			6	19.35			Excluded		13	41.94		6	19.35		4	12.90		2	6.45								31	
		TOTAL		587	27.40					98	4.58		84	3.92		114	5.32		1259	58.78								2142	
	FIFTH			24	21.05					24	21.05		8	7.02			Excluded		58	50.88								114	
		TOTAL		611	28.52					122	5.70		92	4.30					1317	61.48								2142	
	SIXTH			28	30.43					48	52.17			Excluded					16	17.39								92	
		TOTAL		639	29.83					170	7.94								1333	62.23								2142	
	SEVENTH			121	71.18						Excluded								49	28.82								170	
		TOTAL		760	35.48														1382	64.52								2142	
																			Elected										
																													
PRE POLL																													
	FIRST			994	30.41		57	1.74		169	5.17		177	5.41		137	4.19		1619	49.53		73	2.23		43	1.32		3269	
	SECOND			8	10.96		0	0.00		15	20.55		5	6.85		6	8.22		34	46.58			Excluded		5	6.85		73	
		TOTAL		1002	30.65		57	1.74		184	5.63		182	5.57		143	4.37		1653	50.57					48	1.47		3269	
	THIRD			5	10.42		5	10.42		2	4.17		4	8.33		9	18.75		23	47.92						Excluded		48	
		TOTAL		1007	30.80		62	1.90		186	5.69		186	5.69		152	4.65		1676	51.27								3269	
	FOURTH			19	30.65			Excluded		20	32.26		4	6.45		5	8.06		14	22.58								62	
		TOTAL		1026	31.39					206	6.30		190	5.81		157	4.80		1690	51.70								3269	
	FIFTH			35	22.29					25	15.92		28	17.83			Excluded		69	43.95								157	
		TOTAL		1061	32.46					231	7.07		218	6.67					1759	53.81								3269	
	SIXTH			60	27.52					111	50.92			Excluded					47	21.56								218	
		TOTAL		1121	34.29					342	10.46								1806	55.25								3269	
	SEVENTH			225	65.79						Excluded								117	34.21								342	
		TOTAL		1346	41.17														1923	58.83								3269	
																			Elected										
																													
PROVISIONAL																													
	FIRST			121	38.17		3	0.95		22	6.94		18	5.68		17	5.36		122	38.49		9	2.84		5	1.58		317	
	SECOND			1	11.11		0	0.00		0	0.00		0	0.00		0	0.00		8	88.89			Excluded		0	0.00		9	
		TOTAL		122	38.49		3	0.95		22	6.94		18	5.68		17	5.36		130	41.01					5	1.58		317	
	THIRD			0	0.00		0	0.00		1	20.00		0	0.00		0	0.00		4	80.00						Excluded		5	
		TOTAL		122	38.49		3	0.95		23	7.26		18	5.68		17	5.36		134	42.27								317	
	FOURTH			1	33.33			Excluded		0	0.00		0	0.00		1	33.33		1	33.33								3	
		TOTAL		123	38.80					23	7.26		18	5.68		18	5.68		135	42.59								317	
	FIFTH			5	27.78					6	33.33		1	5.56			Excluded		6	33.33								18	
		TOTAL		128	40.38					29	9.15		19	5.99					141	44.48								317	
	SIXTH			5	26.32					10	52.63			Excluded					4	21.05								19	
		TOTAL		133	41.96					39	12.30								145	45.74								317	
	SEVENTH			25	64.10						Excluded								14	35.90								39	
		TOTAL		158	49.84														159	50.16								317	
																			Elected										
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
