House of Representatives - 2001 Election: Western Australia																									
Distribution of Preferences 																									
By Polling Place																									
																									
Canning																									
					MACDONALD			BROWN			GERICK			DACHEFF			RANDALL			KENNEDY			READ		
	SIXTH									108	55.96			Excluded		85	44.04								193
		TOTAL								731	47.90					795	52.10								1526
																Elected									
																									
Roleystone                                                     																									
	FIRST			20	0.65		171	5.59		1030	33.69		169	5.53		1380	45.14		34	1.11		253	8.28		3057
	SECOND				Excluded		9	45.00		5	25.00		2	10.00		0	0.00		0	0.00		4	20.00		20
		TOTAL					180	5.89		1035	33.86		171	5.59		1380	45.14		34	1.11		257	8.41		3057
	THIRD						2	5.88		3	8.82		7	20.59		18	52.94			Excluded		4	11.76		34
		TOTAL					182	5.95		1038	33.95		178	5.82		1398	45.73					261	8.54		3057
	FOURTH							Excluded		37	20.33		8	4.40		37	20.33					100	54.95		182
		TOTAL								1075	35.17		186	6.08		1435	46.94					361	11.81		3057
	FIFTH									257	71.19		35	9.70		69	19.11						Excluded		361
		TOTAL								1332	43.57		221	7.23		1504	49.20								3057
	SIXTH									128	57.92			Excluded		93	42.08								221
		TOTAL								1460	47.76					1597	52.24								3057
																Elected									
																									
Rottnest (Canning)                                             																									
	FIRST			0	0.00		1	2.22		18	40.00		4	8.89		18	40.00		0	0.00		4	8.89		45
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL					1	2.22		18	40.00		4	8.89		18	40.00		0	0.00		4	8.89		45
	THIRD						0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL					1	2.22		18	40.00		4	8.89		18	40.00					4	8.89		45
	FOURTH							Excluded		0	0.00		0	0.00		1	100.00					0	0.00		1
		TOTAL								18	40.00		4	8.89		19	42.22					4	8.89		45
	FIFTH									1	25.00		0	0.00		3	75.00						Excluded		4
		TOTAL								19	42.22		4	8.89		22	48.89								45
	SIXTH									2	50.00			Excluded		2	50.00								4
		TOTAL								21	46.67					24	53.33								45
																Elected									
																									
Serpentine                                                     																									
	FIRST			8	0.76		34	3.25		301	28.75		107	10.22		532	50.81		18	1.72		47	4.49		1047
	SECOND				Excluded		4	50.00		2	25.00		2	25.00		0	0.00		0	0.00		0	0.00		8
		TOTAL					38	3.63		303	28.94		109	10.41		532	50.81		18	1.72		47	4.49		1047
	THIRD						0	0.00		1	5.56		1	5.56		13	72.22			Excluded		3	16.67		18
		TOTAL					38	3.63		304	29.04		110	10.51		545	52.05					50	4.78		1047
	FOURTH							Excluded		17	44.74		6	15.79		7	18.42					8	21.05		38
		TOTAL								321	30.66		116	11.08		552	52.72					58	5.54		1047
	FIFTH									40	68.97		9	15.52		9	15.52						Excluded		58
		TOTAL								361	34.48		125	11.94		561	53.58								1047
	SIXTH									67	53.60			Excluded		58	46.40								125
		TOTAL								428	40.88					619	59.12								1047
																Elected									
																									
Strawberry Fields                                              																									
	FIRST			26	1.08		116	4.81		1196	49.63		234	9.71		648	26.89		86	3.57		104	4.32		2410
	SECOND				Excluded		6	23.08		7	26.92		4	15.38		3	11.54		1	3.85		5	19.23		26
		TOTAL					122	5.06		1203	49.92		238	9.88		651	27.01		87	3.61		109	4.52		2410
	THIRD						1	1.15		5	5.75		9	10.34		64	73.56			Excluded		8	9.20		87
		TOTAL					123	5.10		1208	50.12		247	10.25		715	29.67					117	4.85		2410
	FOURTH							Excluded		46	37.40		12	9.76		14	11.38					51	41.46		123
		TOTAL								1254	52.03		259	10.75		729	30.25					168	6.97		2410
	FIFTH									88	52.38		39	23.21		41	24.40						Excluded		168
		TOTAL								1342	55.68		298	12.37		770	31.95								2410
	SIXTH									184	61.74			Excluded		114	38.26								298
		TOTAL								1526	63.32					884	36.68								2410
																Elected									
																									
Thornlie (Canning)                                             																									
	FIRST			5	0.73		49	7.11		312	45.28		25	3.63		250	36.28		21	3.05		27	3.92		689
	SECOND				Excluded		3	60.00		1	20.00		1	20.00		0	0.00		0	0.00		0	0.00		5
		TOTAL					52	7.55		313	45.43		26	3.77		250	36.28		21	3.05		27	3.92		689
	THIRD						1	4.76		3	14.29		1	4.76		14	66.67			Excluded		2	9.52		21
		TOTAL					53	7.69		316	45.86		27	3.92		264	38.32					29	4.21		689
	FOURTH							Excluded		24	45.28		3	5.66		10	18.87					16	30.19		53
		TOTAL								340	49.35		30	4.35		274	39.77					45	6.53		689
	FIFTH									18	40.00		13	28.89		14	31.11						Excluded		45
		TOTAL								358	51.96		43	6.24		288	41.80								689
	SIXTH									25	58.14			Excluded		18	41.86								43
		TOTAL								383	55.59					306	44.41								689
																Elected									
																									
Thornlie South (Canning)                                       																									
	FIRST			12	0.48		114	4.60		1061	42.83		128	5.17		1033	41.70		49	1.98		80	3.23		2477
	SECOND				Excluded		9	75.00		1	8.33		1	8.33		0	0.00		0	0.00		1	8.33		12
		TOTAL					123	4.97		1062	42.87		129	5.21		1033	41.70		49	1.98		81	3.27		2477
	THIRD						3	6.12		6	12.24		3	6.12		31	63.27			Excluded		6	12.24		49
		TOTAL					126	5.09		1068	43.12		132	5.33		1064	42.96					87	3.51		2477
	FOURTH							Excluded		35	27.78		11	8.73		28	22.22					52	41.27		126
		TOTAL								1103	44.53		143	5.77		1092	44.09					139	5.61		2477
	FIFTH									65	46.76		20	14.39		54	38.85						Excluded		139
		TOTAL								1168	47.15		163	6.58		1146	46.27								2477
	SIXTH									94	57.67			Excluded		69	42.33								163
		TOTAL								1262	50.95					1215	49.05								2477
																Elected									
																									
Waroona                                                        																									
	FIRST			16	1.15		33	2.37		424	30.42		122	8.75		717	51.43		20	1.43		62	4.45		1394
	SECOND				Excluded		12	75.00		2	12.50		1	6.25		0	0.00		0	0.00		1	6.25		16
		TOTAL					45	3.23		426	30.56		123	8.82		717	51.43		20	1.43		63	4.52		1394
	THIRD						0	0.00		0	0.00		2	10.00		18	90.00			Excluded		0	0.00		20
		TOTAL					45	3.23		426	30.56		125	8.97		735	52.73					63	4.52		1394
	FOURTH							Excluded		16	35.56		9	20.00		8	17.78					12	26.67		45
		TOTAL								442	31.71		134	9.61		743	53.30					75	5.38		1394
	FIFTH									46	61.33		13	17.33		16	21.33						Excluded		75
		TOTAL								488	35.01		147	10.55		759	54.45								1394
	SIXTH									84	57.14			Excluded		63	42.86								147
		TOTAL								572	41.03					822	58.97								1394
																Elected									
																									
Westfield                                                      																									
	FIRST			11	0.85		43	3.34		655	50.81		102	7.91		380	29.48		38	2.95		60	4.65		1289
	SECOND				Excluded		7	63.64		1	9.09		0	0.00		1	9.09		1	9.09		1	9.09		11
		TOTAL					50	3.88		656	50.89		102	7.91		381	29.56		39	3.03		61	4.73		1289
	THIRD						3	7.69		4	10.26		2	5.13		26	66.67			Excluded		4	10.26		39
		TOTAL					53	4.11		660	51.20		104	8.07		407	31.57					65	5.04		1289
	FOURTH							Excluded		17	32.08		7	13.21		4	7.55					25	47.17		53
		TOTAL								677	52.52		111	8.61		411	31.89					90	6.98		1289
	FIFTH									42	46.67		17	18.89		31	34.44						Excluded		90
		TOTAL								719	55.78		128	9.93		442	34.29								1289
	SIXTH									74	57.81			Excluded		54	42.19								128
		TOTAL								793	61.52					496	38.48								1289
																Elected									
																									
Westfield South                                                																									
	FIRST			17	1.03		67	4.07		840	50.97		155	9.41		438	26.58		53	3.22		78	4.73		1648
	SECOND				Excluded		9	52.94		1	5.88		0	0.00		1	5.88		2	11.76		4	23.53		17
		TOTAL					76	4.61		841	51.03		155	9.41		439	26.64		55	3.34		82	4.98		1648
	THIRD						2	3.64		9	16.36		0	0.00		36	65.45			Excluded		8	14.55		55
		TOTAL					78	4.73		850	51.58		155	9.41		475	28.82					90	5.46		1648
	FOURTH							Excluded		22	28.21		6	7.69		12	15.38					38	48.72		78
		TOTAL								872	52.91		161	9.77		487	29.55					128	7.77		1648
	FIFTH									67	52.34		30	23.44		31	24.22						Excluded		128
		TOTAL								939	56.98		191	11.59		518	31.43								1648
	SIXTH									121	63.35			Excluded		70	36.65								191
		TOTAL								1060	64.32					588	35.68								1648
																Elected									
																									
Yunderup                                                       																									
	FIRST			4	0.44		14	1.54		273	30.10		82	9.04		503	55.46		2	0.22		29	3.20		907
	SECOND				Excluded		3	75.00		0	0.00		0	0.00		0	0.00		0	0.00		1	25.00		4
		TOTAL					17	1.87		273	30.10		82	9.04		503	55.46		2	0.22		30	3.31		907
	THIRD						0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		2
		TOTAL					17	1.87		273	30.10		83	9.15		503	55.46					31	3.42		907
	FOURTH							Excluded		8	47.06		3	17.65		1	5.88					5	29.41		17
		TOTAL								281	30.98		86	9.48		504	55.57					36	3.97		907
	FIFTH									20	55.56		3	8.33		13	36.11						Excluded		36
		TOTAL								301	33.19		89	9.81		517	57.00								907
	SIXTH									48	53.93			Excluded		41	46.07								89
		TOTAL								349	38.48					558	61.52								907
																Elected									
																									
Yunderup North                                                 																									
	FIRST			2	0.58		4	1.17		106	30.90		38	11.08		164	47.81		2	0.58		27	7.87		343
	SECOND				Excluded		0	0.00		2	100.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL					4	1.17		108	31.49		38	11.08		164	47.81		2	0.58		27	7.87		343
	THIRD						0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00		2
		TOTAL					4	1.17		108	31.49		38	11.08		165	48.10					28	8.16		343
	FOURTH							Excluded		1	25.00		1	25.00		1	25.00					1	25.00		4
		TOTAL								109	31.78		39	11.37		166	48.40					29	8.45		343
	FIFTH									18	62.07		4	13.79		7	24.14						Excluded		29
		TOTAL								127	37.03		43	12.54		173	50.44								343
	SIXTH									29	67.44			Excluded		14	32.56								43
		TOTAL								156	45.48					187	54.52								343
																Elected									
																									
Special Hospital Team 1                                        																									
	FIRST			5	5.00		0	0.00		58	58.00		4	4.00		25	25.00		2	2.00		6	6.00		100
	SECOND				Excluded		1	20.00		2	40.00		1	20.00		0	0.00		1	20.00		0	0.00		5
		TOTAL					1	1.00		60	60.00		5	5.00		25	25.00		3	3.00		6	6.00		100
	THIRD						0	0.00		0	0.00		0	0.00		2	66.67			Excluded		1	33.33		3
		TOTAL					1	1.00		60	60.00		5	5.00		27	27.00					7	7.00		100
	FOURTH							Excluded		1	100.00		0	0.00		0	0.00					0	0.00		1
		TOTAL								61	61.00		5	5.00		27	27.00					7	7.00		100
	FIFTH									4	57.14		1	14.29		2	28.57						Excluded		7
		TOTAL								65	65.00		6	6.00		29	29.00								100
	SIXTH									3	50.00			Excluded		3	50.00								6
		TOTAL								68	68.00					32	32.00								100
																Elected									
																									
Special Hospital Team 2                                        																									
	FIRST			0	0.00		1	1.23		31	38.27		3	3.70		45	55.56		1	1.23		0	0.00		81
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL					1	1.23		31	38.27		3	3.70		45	55.56		1	1.23		0	0.00		81
	THIRD						0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL					1	1.23		31	38.27		3	3.70		45	55.56					1	1.23		81
	FOURTH							Excluded		0	0.00		0	0.00		0	0.00					1	100.00		1
		TOTAL								31	38.27		3	3.70		45	55.56					2	2.47		81
	FIFTH									1	50.00		0	0.00		1	50.00						Excluded		2
		TOTAL								32	39.51		3	3.70		46	56.79								81
	SIXTH									2	66.67			Excluded		1	33.33								3
		TOTAL								34	41.98					47	58.02								81
																Elected									
																									
Prison Mobile Team 1                                           																									
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
	THIRD						0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL					0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0
	FOURTH							Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0
		TOTAL								0	0.00		0	0.00		0	0.00					0	0.00		0
	FIFTH									0	0.00		0	0.00		0	0.00						Excluded		0
		TOTAL								0	0.00		0	0.00		0	0.00								0
	SIXTH									0	0.00			Excluded		0	0.00								0
		TOTAL								0	0.00					0	0.00								0
																Elected									
																									
ABSENT																									
	FIRST			108	1.83		339	5.75		2109	35.79		498	8.45		2182	37.03		126	2.14		531	9.01		5893
	SECOND				Excluded		53	49.07		19	17.59		10	9.26		12	11.11		3	2.78		11	10.19		108
		TOTAL					392	6.65		2128	36.11		508	8.62		2194	37.23		129	2.19		542	9.20		5893
	THIRD						13	10.08		13	10.08		15	11.63		69	53.49			Excluded		19	14.73		129
		TOTAL					405	6.87		2141	36.33		523	8.87		2263	38.40					561	9.52		5893
	FOURTH							Excluded		179	44.20		42	10.37		57	14.07					127	31.36		405
		TOTAL								2320	39.37		565	9.59		2320	39.37					688	11.67		5893
	FIFTH									353	51.31		121	17.59		214	31.10						Excluded		688
		TOTAL								2673	45.36		686	11.64		2534	43.00								5893
	SIXTH									375	54.66			Excluded		311	45.34								686
		TOTAL								3048	51.72					2845	48.28								5893
																Elected									
																									
POSTAL																									
	FIRST			9	0.46		54	2.78		669	34.48		165	8.51		931	47.99		33	1.70		79	4.07		1940
	SECOND				Excluded		4	44.44		1	11.11		1	11.11		2	22.22		1	11.11		0	0.00		9
		TOTAL					58	2.99		670	34.54		166	8.56		933	48.09		34	1.75		79	4.07		1940
	THIRD						3	8.82		1	2.94		4	11.76		22	64.71			Excluded		4	11.76		34
		TOTAL					61	3.14		671	34.59		170	8.76		955	49.23					83	4.28		1940
	FOURTH							Excluded		21	34.43		5	8.20		12	19.67					23	37.70		61
		TOTAL								692	35.67		175	9.02		967	49.85					106	5.46		1940
	FIFTH									53	50.00		16	15.09		37	34.91						Excluded		106
		TOTAL								745	38.40		191	9.85		1004	51.75								1940
	SIXTH									85	44.50			Excluded		106	55.50								191
		TOTAL								830	42.78					1110	57.22								1940
																Elected									
																									
PRE POLL																									
	FIRST			26	1.18		96	4.37		830	37.80		166	7.56		937	42.67		36	1.64		105	4.78		2196
	SECOND				Excluded		16	61.54		4	15.38		3	11.54		3	11.54		0	0.00		0	0.00		26
		TOTAL					112	5.10		834	37.98		169	7.70		940	42.81		36	1.64		105	4.78		2196
	THIRD						2	5.56		4	11.11		3	8.33		17	47.22			Excluded		10	27.78		36
		TOTAL					114	5.19		838	38.16		172	7.83		957	43.58					115	5.24		2196
	FOURTH							Excluded		48	42.11		9	7.89		16	14.04					41	35.96		114
		TOTAL								886	40.35		181	8.24		973	44.31					156	7.10		2196
	FIFTH									59	37.82		40	25.64		57	36.54						Excluded		156
		TOTAL								945	43.03		221	10.06		1030	46.90								2196
	SIXTH									124	56.11			Excluded		97	43.89								221
		TOTAL								1069	48.68					1127	51.32								2196
																Elected									
																									
PROVISIONAL																									
	FIRST			13	2.66		14	2.87		202	41.39		49	10.04		175	35.86		10	2.05		25	5.12		488
	SECOND				Excluded		7	53.85		3	23.08		0	0.00		3	23.08		0	0.00		0	0.00		13
		TOTAL					21	4.30		205	42.01		49	10.04		178	36.48		10	2.05		25	5.12		488
	THIRD						0	0.00		1	10.00		1	10.00		8	80.00			Excluded		0	0.00		10
		TOTAL					21	4.30		206	42.21		50	10.25		186	38.11					25	5.12		488
	FOURTH							Excluded		12	57.14		1	4.76		3	14.29					5	23.81		21
		TOTAL								218	44.67		51	10.45		189	38.73					30	6.15		488
	FIFTH									14	46.67		7	23.33		9	30.00						Excluded		30
		TOTAL								232	47.54		58	11.89		198	40.57								488
	SIXTH									30	51.72			Excluded		28	48.28								58
		TOTAL								262	53.69					226	46.31								488
																Elected									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
