House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Pearce																													
					NELSON			FOX			HILL			MOYLAN			COSTELLO			COLLINS			SMITH			MILLER			
	FIFTH							Excluded					1	33.33		2	66.67		0	0.00					0	0.00		3	
		TOTAL											87	72.50		23	19.17		6	5.00					4	3.33		120	
	SIXTH												4	66.67		1	16.67			Excluded					1	16.67		6	
		TOTAL											91	75.83		24	20.00								5	4.17		120	
	SEVENTH												3	60.00		2	40.00									Excluded		5	
		TOTAL											94	78.33		26	21.67											120	
													Elected																
																													
Lower Chittering                                               																													
	FIRST			3	1.38		5	2.30		2	0.92		123	56.68		53	24.42		19	8.76		1	0.46		11	5.07		217	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		3	1.38		5	2.30		2	0.92		123	56.68		53	24.42		20	9.22					11	5.07		217	
	THIRD			0	0.00		1	50.00			Excluded		0	0.00		0	0.00		1	50.00					0	0.00		2	
		TOTAL		3	1.38		6	2.76					123	56.68		53	24.42		21	9.68					11	5.07		217	
	FOURTH				Excluded		2	66.67					1	33.33		0	0.00		0	0.00					0	0.00		3	
		TOTAL					8	3.69					124	57.14		53	24.42		21	9.68					11	5.07		217	
	FIFTH							Excluded					5	62.50		0	0.00		2	25.00					1	12.50		8	
		TOTAL											129	59.45		53	24.42		23	10.60					12	5.53		217	
	SIXTH												13	56.52		5	21.74			Excluded					5	21.74		23	
		TOTAL											142	65.44		58	26.73								17	7.83		217	
	SEVENTH												6	35.29		11	64.71									Excluded		17	
		TOTAL											148	68.20		69	31.80											217	
													Elected																
																													
Mahogany Creek                                                 																													
	FIRST			4	0.68		23	3.89		6	1.01		279	47.13		177	29.90		36	6.08		0	0.00		67	11.32		592	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	0.68		23	3.89		6	1.01		279	47.13		177	29.90		36	6.08					67	11.32		592	
	THIRD			0	0.00		0	0.00			Excluded		2	33.33		0	0.00		1	16.67					3	50.00		6	
		TOTAL		4	0.68		23	3.89					281	47.47		177	29.90		37	6.25					70	11.82		592	
	FOURTH				Excluded		2	50.00					1	25.00		1	25.00		0	0.00					0	0.00		4	
		TOTAL					25	4.22					282	47.64		178	30.07		37	6.25					70	11.82		592	
	FIFTH							Excluded					4	16.00		7	28.00		2	8.00					12	48.00		25	
		TOTAL											286	48.31		185	31.25		39	6.59					82	13.85		592	
	SIXTH												15	38.46		9	23.08			Excluded					15	38.46		39	
		TOTAL											301	50.84		194	32.77								97	16.39		592	
	SEVENTH												29	29.90		68	70.10									Excluded		97	
		TOTAL											330	55.74		262	44.26											592	
													Elected																
																													
Merriwa                                                        																													
	FIRST			31	1.21		104	4.06		28	1.09		1041	40.63		1037	40.48		177	6.91		7	0.27		137	5.35		2562	
	SECOND			0	0.00		1	14.29		0	0.00		0	0.00		2	28.57		0	0.00			Excluded		4	57.14		7	
		TOTAL		31	1.21		105	4.10		28	1.09		1041	40.63		1039	40.55		177	6.91					141	5.50		2562	
	THIRD			0	0.00		4	14.29			Excluded		11	39.29		4	14.29		3	10.71					6	21.43		28	
		TOTAL		31	1.21		109	4.25					1052	41.06		1043	40.71		180	7.03					147	5.74		2562	
	FOURTH				Excluded		18	58.06					5	16.13		4	12.90		1	3.23					3	9.68		31	
		TOTAL					127	4.96					1057	41.26		1047	40.87		181	7.06					150	5.85		2562	
	FIFTH							Excluded					40	31.50		38	29.92		2	1.57					47	37.01		127	
		TOTAL											1097	42.82		1085	42.35		183	7.14					197	7.69		2562	
	SIXTH												57	31.15		74	40.44			Excluded					52	28.42		183	
		TOTAL											1154	45.04		1159	45.24								249	9.72		2562	
	SEVENTH												95	38.15		154	61.85									Excluded		249	
		TOTAL											1249	48.75		1313	51.25											2562	
													Elected																
																													
Midland (Pearce)                                               																													
	FIRST			10	2.36		22	5.19		10	2.36		165	38.92		155	36.56		24	5.66		2	0.47		36	8.49		424	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2	
		TOTAL		10	2.36		22	5.19		10	2.36		165	38.92		155	36.56		24	5.66					38	8.96		424	
	THIRD			1	10.00		1	10.00			Excluded		0	0.00		2	20.00		4	40.00					2	20.00		10	
		TOTAL		11	2.59		23	5.42					165	38.92		157	37.03		28	6.60					40	9.43		424	
	FOURTH				Excluded		6	54.55					3	27.27		1	9.09		1	9.09					0	0.00		11	
		TOTAL					29	6.84					168	39.62		158	37.26		29	6.84					40	9.43		424	
	FIFTH							Excluded					7	24.14		11	37.93		6	20.69					5	17.24		29	
		TOTAL											175	41.27		169	39.86		35	8.25					45	10.61		424	
	SIXTH												12	34.29		8	22.86			Excluded					15	42.86		35	
		TOTAL											187	44.10		177	41.75								60	14.15		424	
	SEVENTH												30	50.00		30	50.00									Excluded		60	
		TOTAL											217	51.18		207	48.82											424	
													Elected																
																													
Mindarie                                                       																													
	FIRST			11	0.56		61	3.08		19	0.96		1053	53.18		637	32.17		94	4.75		2	0.10		103	5.20		1980	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00		2	
		TOTAL		11	0.56		61	3.08		19	0.96		1053	53.18		637	32.17		95	4.80					104	5.25		1980	
	THIRD			3	15.79		4	21.05			Excluded		6	31.58		0	0.00		3	15.79					3	15.79		19	
		TOTAL		14	0.71		65	3.28					1059	53.48		637	32.17		98	4.95					107	5.40		1980	
	FOURTH				Excluded		7	50.00					3	21.43		3	21.43		0	0.00					1	7.14		14	
		TOTAL					72	3.64					1062	53.64		640	32.32		98	4.95					108	5.45		1980	
	FIFTH							Excluded					23	31.94		24	33.33		3	4.17					22	30.56		72	
		TOTAL											1085	54.80		664	33.54		101	5.10					130	6.57		1980	
	SIXTH												43	42.57		29	28.71			Excluded					29	28.71		101	
		TOTAL											1128	56.97		693	35.00								159	8.03		1980	
	SEVENTH												65	40.88		94	59.12									Excluded		159	
		TOTAL											1193	60.25		787	39.75											1980	
													Elected																
																													
Mount Helena                                                   																													
	FIRST			18	1.39		73	5.63		23	1.77		565	43.60		362	27.93		97	7.48		3	0.23		155	11.96		1296	
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		2	66.67			Excluded		0	0.00		3	
		TOTAL		18	1.39		74	5.71		23	1.77		565	43.60		362	27.93		99	7.64					155	11.96		1296	
	THIRD			0	0.00		4	17.39			Excluded		10	43.48		5	21.74		3	13.04					1	4.35		23	
		TOTAL		18	1.39		78	6.02					575	44.37		367	28.32		102	7.87					156	12.04		1296	
	FOURTH				Excluded		5	27.78					7	38.89		2	11.11		2	11.11					2	11.11		18	
		TOTAL					83	6.40					582	44.91		369	28.47		104	8.02					158	12.19		1296	
	FIFTH							Excluded					12	14.46		19	22.89		9	10.84					43	51.81		83	
		TOTAL											594	45.83		388	29.94		113	8.72					201	15.51		1296	
	SIXTH												48	42.48		33	29.20			Excluded					32	28.32		113	
		TOTAL											642	49.54		421	32.48								233	17.98		1296	
	SEVENTH												72	30.90		161	69.10									Excluded		233	
		TOTAL											714	55.09		582	44.91											1296	
													Elected																
																													
Muchea                                                         																													
	FIRST			3	0.86		10	2.86		4	1.14		172	49.14		79	22.57		66	18.86		3	0.86		13	3.71		350	
	SECOND			1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	66.67		3	
		TOTAL		4	1.14		10	2.86		4	1.14		172	49.14		79	22.57		66	18.86					15	4.29		350	
	THIRD			1	25.00		1	25.00			Excluded		2	50.00		0	0.00		0	0.00					0	0.00		4	
		TOTAL		5	1.43		11	3.14					174	49.71		79	22.57		66	18.86					15	4.29		350	
	FOURTH				Excluded		0	0.00					2	40.00		0	0.00		2	40.00					1	20.00		5	
		TOTAL					11	3.14					176	50.29		79	22.57		68	19.43					16	4.57		350	
	FIFTH							Excluded					4	36.36		4	36.36		0	0.00					3	27.27		11	
		TOTAL											180	51.43		83	23.71		68	19.43					19	5.43		350	
	SIXTH												23	33.82		29	42.65			Excluded					16	23.53		68	
		TOTAL											203	58.00		112	32.00								35	10.00		350	
	SEVENTH												18	51.43		17	48.57									Excluded		35	
		TOTAL											221	63.14		129	36.86											350	
													Elected																
																													
Mundaring                                                      																													
	FIRST			22	1.06		140	6.78		28	1.36		893	43.22		638	30.88		144	6.97		2	0.10		199	9.63		2066	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		22	1.06		140	6.78		28	1.36		894	43.27		638	30.88		145	7.02					199	9.63		2066	
	THIRD			1	3.57		2	7.14			Excluded		15	53.57		1	3.57		7	25.00					2	7.14		28	
		TOTAL		23	1.11		142	6.87					909	44.00		639	30.93		152	7.36					201	9.73		2066	
	FOURTH				Excluded		10	43.48					6	26.09		2	8.70		2	8.70					3	13.04		23	
		TOTAL					152	7.36					915	44.29		641	31.03		154	7.45					204	9.87		2066	
	FIFTH							Excluded					29	19.08		27	17.76		8	5.26					88	57.89		152	
		TOTAL											944	45.69		668	32.33		162	7.84					292	14.13		2066	
	SIXTH												55	33.95		46	28.40			Excluded					61	37.65		162	
		TOTAL											999	48.35		714	34.56								353	17.09		2066	
	SEVENTH												117	33.14		236	66.86									Excluded		353	
		TOTAL											1116	54.02		950	45.98											2066	
													Elected																
																													
Narrogin                                                       																													
	FIRST			248	12.12		47	2.30		25	1.22		923	45.09		475	23.20		225	10.99		15	0.73		89	4.35		2047	
	SECOND			2	13.33		2	13.33		4	26.67		0	0.00		3	20.00		1	6.67			Excluded		3	20.00		15	
		TOTAL		250	12.21		49	2.39		29	1.42		923	45.09		478	23.35		226	11.04					92	4.49		2047	
	THIRD			8	27.59		3	10.34			Excluded		7	24.14		2	6.90		7	24.14					2	6.90		29	
		TOTAL		258	12.60		52	2.54					930	45.43		480	23.45		233	11.38					94	4.59		2047	
	FOURTH				Excluded		28	10.85					171	66.28		16	6.20		15	5.81					28	10.85		258	
		TOTAL					80	3.91					1101	53.79		496	24.23		248	12.12					122	5.96		2047	
	FIFTH							Excluded					35	43.75		9	11.25		7	8.75					29	36.25		80	
		TOTAL											1136	55.50		505	24.67		255	12.46					151	7.38		2047	
	SIXTH												93	36.47		79	30.98			Excluded					83	32.55		255	
		TOTAL											1229	60.04		584	28.53								234	11.43		2047	
	SEVENTH												97	41.45		137	58.55									Excluded		234	
		TOTAL											1326	64.78		721	35.22											2047	
													Elected																
																													
Narrogin Regional Hospital                                     																													
	FIRST			37	12.94		4	1.40		7	2.45		112	39.16		81	28.32		27	9.44		4	1.40		14	4.90		286	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	75.00			Excluded		1	25.00		4	
		TOTAL		37	12.94		4	1.40		7	2.45		112	39.16		81	28.32		30	10.49					15	5.24		286	
	THIRD			1	14.29		0	0.00			Excluded		3	42.86		0	0.00		2	28.57					1	14.29		7	
		TOTAL		38	13.29		4	1.40					115	40.21		81	28.32		32	11.19					16	5.59		286	
	FOURTH				Excluded		3	7.89					28	73.68		2	5.26		3	7.89					2	5.26		38	
		TOTAL					7	2.45					143	50.00		83	29.02		35	12.24					18	6.29		286	
	FIFTH							Excluded					1	14.29		0	0.00		1	14.29					5	71.43		7	
		TOTAL											144	50.35		83	29.02		36	12.59					23	8.04		286	
	SIXTH												17	47.22		10	27.78			Excluded					9	25.00		36	
		TOTAL											161	56.29		93	32.52								32	11.19		286	
	SEVENTH												14	43.75		18	56.25									Excluded		32	
		TOTAL											175	61.19		111	38.81											286	
													Elected																
																													
Northam                                                        																													
	FIRST			81	4.45		43	2.36		16	0.88		811	44.56		594	32.64		198	10.88		11	0.60		66	3.63		1820	
	SECOND			1	9.09		0	0.00		2	18.18		1	9.09		1	9.09		6	54.55			Excluded		0	0.00		11	
		TOTAL		82	4.51		43	2.36		18	0.99		812	44.62		595	32.69		204	11.21					66	3.63		1820	
	THIRD			4	22.22		2	11.11			Excluded		6	33.33		1	5.56		2	11.11					3	16.67		18	
		TOTAL		86	4.73		45	2.47					818	44.95		596	32.75		206	11.32					69	3.79		1820	
	FOURTH				Excluded		24	27.91					49	56.98		2	2.33		5	5.81					6	6.98		86	
		TOTAL					69	3.79					867	47.64		598	32.86		211	11.59					75	4.12		1820	
	FIFTH							Excluded					25	36.23		13	18.84		7	10.14					24	34.78		69	
		TOTAL											892	49.01		611	33.57		218	11.98					99	5.44		1820	
	SIXTH												66	30.28		82	37.61			Excluded					70	32.11		218	
		TOTAL											958	52.64		693	38.08								169	9.29		1820	
	SEVENTH												61	36.09		108	63.91									Excluded		169	
		TOTAL											1019	55.99		801	44.01											1820	
													Elected																
																													
Northam East                                                   																													
	FIRST			38	4.09		25	2.69		8	0.86		389	41.83		307	33.01		119	12.80		2	0.22		42	4.52		930	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		2	
		TOTAL		38	4.09		25	2.69		8	0.86		389	41.83		307	33.01		121	13.01					42	4.52		930	
	THIRD			2	25.00		0	0.00			Excluded		3	37.50		1	12.50		1	12.50					1	12.50		8	
		TOTAL		40	4.30		25	2.69					392	42.15		308	33.12		122	13.12					43	4.62		930	
	FOURTH				Excluded		10	25.00					24	60.00		1	2.50		3	7.50					2	5.00		40	
		TOTAL					35	3.76					416	44.73		309	33.23		125	13.44					45	4.84		930	
	FIFTH							Excluded					22	62.86		6	17.14		1	2.86					6	17.14		35	
		TOTAL											438	47.10		315	33.87		126	13.55					51	5.48		930	
	SIXTH												30	23.81		49	38.89			Excluded					47	37.30		126	
		TOTAL											468	50.32		364	39.14								98	10.54		930	
	SEVENTH												45	45.92		53	54.08									Excluded		98	
		TOTAL											513	55.16		417	44.84											930	
													Elected																
																													
Northam North                                                  																													
	FIRST			24	4.05		12	2.02		7	1.18		168	28.33		284	47.89		70	11.80		2	0.34		26	4.38		593	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		24	4.05		13	2.19		7	1.18		168	28.33		285	48.06		70	11.80					26	4.38		593	
	THIRD			0	0.00		1	14.29			Excluded		3	42.86		2	28.57		0	0.00					1	14.29		7	
		TOTAL		24	4.05		14	2.36					171	28.84		287	48.40		70	11.80					27	4.55		593	
	FOURTH				Excluded		6	25.00					14	58.33		1	4.17		2	8.33					1	4.17		24	
		TOTAL					20	3.37					185	31.20		288	48.57		72	12.14					28	4.72		593	
	FIFTH							Excluded					8	40.00		5	25.00		0	0.00					7	35.00		20	
		TOTAL											193	32.55		293	49.41		72	12.14					35	5.90		593	
	SIXTH												17	23.61		34	47.22			Excluded					21	29.17		72	
		TOTAL											210	35.41		327	55.14								56	9.44		593	
	SEVENTH												21	37.50		35	62.50									Excluded		56	
		TOTAL											231	38.95		362	61.05											593	
													Elected																
																													
Parkerville                                                    																													
	FIRST			8	0.82		64	6.54		14	1.43		454	46.37		248	25.33		61	6.23		1	0.10		129	13.18		979	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		8	0.82		65	6.64		14	1.43		454	46.37		248	25.33		61	6.23					129	13.18		979	
	THIRD			0	0.00		3	21.43			Excluded		10	71.43		0	0.00		0	0.00					1	7.14		14	
		TOTAL		8	0.82		68	6.95					464	47.40		248	25.33		61	6.23					130	13.28		979	
	FOURTH				Excluded		2	25.00					3	37.50		1	12.50		1	12.50					1	12.50		8	
		TOTAL					70	7.15					467	47.70		249	25.43		62	6.33					131	13.38		979	
	FIFTH							Excluded					14	20.00		14	20.00		6	8.57					36	51.43		70	
		TOTAL											481	49.13		263	26.86		68	6.95					167	17.06		979	
	SIXTH												27	39.71		21	30.88			Excluded					20	29.41		68	
		TOTAL											508	51.89		284	29.01								187	19.10		979	
	SEVENTH												60	32.09		127	67.91									Excluded		187	
		TOTAL											568	58.02		411	41.98											979	
													Elected																
																													
Perth (Pearce)                                                 																													
	FIRST			3	2.86		8	7.62		4	3.81		33	31.43		28	26.67		8	7.62		1	0.95		20	19.05		105	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		3	2.86		8	7.62		4	3.81		33	31.43		28	26.67		8	7.62					21	20.00		105	
	THIRD			0	0.00		1	25.00			Excluded		1	25.00		2	50.00		0	0.00					0	0.00		4	
		TOTAL		3	2.86		9	8.57					34	32.38		30	28.57		8	7.62					21	20.00		105	
	FOURTH				Excluded		0	0.00					3	100.00		0	0.00		0	0.00					0	0.00		3	
		TOTAL					9	8.57					37	35.24		30	28.57		8	7.62					21	20.00		105	
	FIFTH							Excluded					1	11.11		2	22.22		1	11.11					5	55.56		9	
		TOTAL											38	36.19		32	30.48		9	8.57					26	24.76		105	
	SIXTH												2	22.22		4	44.44			Excluded					3	33.33		9	
		TOTAL											40	38.10		36	34.29								29	27.62		105	
	SEVENTH												13	44.83		16	55.17									Excluded		29	
		TOTAL											53	50.48		52	49.52											105	
													Elected																
																													
Pickering Brook                                                																													
	FIRST			9	2.75		13	3.98		3	0.92		182	55.66		72	22.02		21	6.42		1	0.31		26	7.95		327	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		9	2.75		13	3.98		3	0.92		182	55.66		72	22.02		21	6.42					27	8.26		327	
	THIRD			0	0.00		0	0.00			Excluded		2	66.67		0	0.00		0	0.00					1	33.33		3	
		TOTAL		9	2.75		13	3.98					184	56.27		72	22.02		21	6.42					28	8.56		327	
	FOURTH				Excluded		3	33.33					4	44.44		1	11.11		0	0.00					1	11.11		9	
		TOTAL					16	4.89					188	57.49		73	22.32		21	6.42					29	8.87		327	
	FIFTH							Excluded					8	50.00		1	6.25		1	6.25					6	37.50		16	
		TOTAL											196	59.94		74	22.63		22	6.73					35	10.70		327	
	SIXTH												12	54.55		5	22.73			Excluded					5	22.73		22	
		TOTAL											208	63.61		79	24.16								40	12.23		327	
	SEVENTH												14	35.00		26	65.00									Excluded		40	
		TOTAL											222	67.89		105	32.11											327	
													Elected																
																													
Pingelly                                                       																													
	FIRST			83	13.79		8	1.33		4	0.66		279	46.35		128	21.26		58	9.63		29	4.82		13	2.16		602	
	SECOND			1	3.45		1	3.45		1	3.45		6	20.69		5	17.24		8	27.59			Excluded		7	24.14		29	
		TOTAL		84	13.95		9	1.50		5	0.83		285	47.34		133	22.09		66	10.96					20	3.32		602	
	THIRD			1	20.00		2	40.00			Excluded		0	0.00		1	20.00		0	0.00					1	20.00		5	
		TOTAL		85	14.12		11	1.83					285	47.34		134	22.26		66	10.96					21	3.49		602	
	FOURTH				Excluded		2	2.35					70	82.35		0	0.00		9	10.59					4	4.71		85	
		TOTAL					13	2.16					355	58.97		134	22.26		75	12.46					25	4.15		602	
	FIFTH							Excluded					4	30.77		3	23.08		2	15.38					4	30.77		13	
		TOTAL											359	59.63		137	22.76		77	12.79					29	4.82		602	
	SIXTH												37	48.05		25	32.47			Excluded					15	19.48		77	
		TOTAL											396	65.78		162	26.91								44	7.31		602	
	SEVENTH												23	52.27		21	47.73									Excluded		44	
		TOTAL											419	69.60		183	30.40											602	
													Elected																
																													
Popanyinning                                                   																													
	FIRST			15	12.20		1	0.81		1	0.81		69	56.10		24	19.51		11	8.94		2	1.63		0	0.00		123	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		15	12.20		1	0.81		1	0.81		69	56.10		25	20.33		11	8.94					1	0.81		123	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00					0	0.00		1	
		TOTAL		15	12.20		1	0.81					69	56.10		25	20.33		12	9.76					1	0.81		123	
	FOURTH				Excluded		1	6.67					11	73.33		1	6.67		2	13.33					0	0.00		15	
		TOTAL					2	1.63					80	65.04		26	21.14		14	11.38					1	0.81		123	
	FIFTH							Excluded					1	50.00		0	0.00		0	0.00					1	50.00		2	
		TOTAL											81	65.85		26	21.14		14	11.38					2	1.63		123	
	SIXTH												4	28.57		4	28.57			Excluded					6	42.86		14	
		TOTAL											85	69.11		30	24.39								8	6.50		123	
	SEVENTH												5	62.50		3	37.50									Excluded		8	
		TOTAL											90	73.17		33	26.83											123	
													Elected																
																													
Quindanning                                                    																													
	FIRST			10	10.10		4	4.04		0	0.00		54	54.55		11	11.11		15	15.15		0	0.00		5	5.05		99	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		10	10.10		4	4.04		0	0.00		54	54.55		11	11.11		15	15.15					5	5.05		99	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		10	10.10		4	4.04					54	54.55		11	11.11		15	15.15					5	5.05		99	
	FOURTH				Excluded		2	20.00					6	60.00		0	0.00		2	20.00					0	0.00		10	
		TOTAL					6	6.06					60	60.61		11	11.11		17	17.17					5	5.05		99	
	FIFTH							Excluded					2	33.33		2	33.33		1	16.67					1	16.67		6	
		TOTAL											62	62.63		13	13.13		18	18.18					6	6.06		99	
	SIXTH												9	50.00		3	16.67			Excluded					6	33.33		18	
		TOTAL											71	71.72		16	16.16								12	12.12		99	
	SEVENTH												3	25.00		9	75.00									Excluded		12	
		TOTAL											74	74.75		25	25.25											99	
													Elected																
																													
Quinns Rock                                                    																													
	FIRST			19	0.70		120	4.44		32	1.19		1154	42.74		958	35.48		192	7.11		10	0.37		215	7.96		2700	
	SECOND			1	10.00		0	0.00		1	10.00		1	10.00		1	10.00		0	0.00			Excluded		6	60.00		10	
		TOTAL		20	0.74		120	4.44		33	1.22		1155	42.78		959	35.52		192	7.11					221	8.19		2700	
	THIRD			4	12.12		2	6.06			Excluded		17	51.52		6	18.18		2	6.06					2	6.06		33	
		TOTAL		24	0.89		122	4.52					1172	43.41		965	35.74		194	7.19					223	8.26		2700	
	FOURTH				Excluded		15	62.50					5	20.83		3	12.50		1	4.17					0	0.00		24	
		TOTAL					137	5.07					1177	43.59		968	35.85		195	7.22					223	8.26		2700	
	FIFTH							Excluded					37	27.01		35	25.55		9	6.57					56	40.88		137	
		TOTAL											1214	44.96		1003	37.15		204	7.56					279	10.33		2700	
	SIXTH												47	23.04		86	42.16			Excluded					71	34.80		204	
		TOTAL											1261	46.70		1089	40.33								350	12.96		2700	
	SEVENTH												126	36.00		224	64.00									Excluded		350	
		TOTAL											1387	51.37		1313	48.63											2700	
													Elected																
																													
Rottnest (Pearce)                                              																													
	FIRST			1	2.78		0	0.00		1	2.78		19	52.78		8	22.22		1	2.78		0	0.00		6	16.67		36	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	2.78		0	0.00		1	2.78		19	52.78		8	22.22		1	2.78					6	16.67		36	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					1	100.00		1	
		TOTAL		1	2.78		0	0.00					19	52.78		8	22.22		1	2.78					7	19.44		36	
	FOURTH				Excluded		0	0.00					0	0.00		0	0.00		1	100.00					0	0.00		1	
		TOTAL					0	0.00					19	52.78		8	22.22		2	5.56					7	19.44		36	
	FIFTH							Excluded					0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL											19	52.78		8	22.22		2	5.56					7	19.44		36	
	SIXTH												1	50.00		0	0.00			Excluded					1	50.00		2	
		TOTAL											20	55.56		8	22.22								8	22.22		36	
	SEVENTH												5	62.50		3	37.50									Excluded		8	
		TOTAL											25	69.44		11	30.56											36	
													Elected																
																													
Sawyers Valley                                                 																													
	FIRST			3	0.60		23	4.58		7	1.39		219	43.63		165	32.87		35	6.97		3	0.60		47	9.36		502	
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		2	66.67			Excluded		0	0.00		3	
		TOTAL		3	0.60		23	4.58		7	1.39		220	43.82		165	32.87		37	7.37					47	9.36		502	
	THIRD			3	42.86		0	0.00			Excluded		2	28.57		1	14.29		1	14.29					0	0.00		7	
		TOTAL		6	1.20		23	4.58					222	44.22		166	33.07		38	7.57					47	9.36		502	
	FOURTH				Excluded		3	50.00					3	50.00		0	0.00		0	0.00					0	0.00		6	
		TOTAL					26	5.18					225	44.82		166	33.07		38	7.57					47	9.36		502	
	FIFTH							Excluded					8	30.77		3	11.54		1	3.85					14	53.85		26	
		TOTAL											233	46.41		169	33.67		39	7.77					61	12.15		502	
	SIXTH												15	38.46		9	23.08			Excluded					15	38.46		39	
		TOTAL											248	49.40		178	35.46								76	15.14		502	
	SEVENTH												30	39.47		46	60.53									Excluded		76	
		TOTAL											278	55.38		224	44.62											502	
													Elected																
																													
Seabird                                                        																													
	FIRST			1	1.43		1	1.43		0	0.00		36	51.43		18	25.71		10	14.29		0	0.00		4	5.71		70	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	1.43		1	1.43		0	0.00		36	51.43		18	25.71		10	14.29					4	5.71		70	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	1.43		1	1.43					36	51.43		18	25.71		10	14.29					4	5.71		70	
	FOURTH				Excluded		1	100.00					0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					2	2.86					36	51.43		18	25.71		10	14.29					4	5.71		70	
	FIFTH							Excluded					1	50.00		1	50.00		0	0.00					0	0.00		2	
		TOTAL											37	52.86		19	27.14		10	14.29					4	5.71		70	
	SIXTH												5	50.00		3	30.00			Excluded					2	20.00		10	
		TOTAL											42	60.00		22	31.43								6	8.57		70	
	SEVENTH												2	33.33		4	66.67									Excluded		6	
		TOTAL											44	62.86		26	37.14											70	
													Elected																
																													
Stoneville                                                     																													
	FIRST			7	0.72		52	5.37		24	2.48		448	46.28		243	25.10		107	11.05		4	0.41		83	8.57		968	
	SECOND			0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		3	75.00		4	
		TOTAL		7	0.72		53	5.48		24	2.48		448	46.28		243	25.10		107	11.05					86	8.88		968	
	THIRD			3	12.50		5	20.83			Excluded		12	50.00		0	0.00		3	12.50					1	4.17		24	
		TOTAL		10	1.03		58	5.99					460	47.52		243	25.10		110	11.36					87	8.99		968	
	FOURTH				Excluded		5	50.00					4	40.00		0	0.00		0	0.00					1	10.00		10	
		TOTAL					63	6.51					464	47.93		243	25.10		110	11.36					88	9.09		968	
	FIFTH							Excluded					15	23.81		10	15.87		0	0.00					38	60.32		63	
		TOTAL											479	49.48		253	26.14		110	11.36					126	13.02		968	
	SIXTH												44	40.00		37	33.64			Excluded					29	26.36		110	
		TOTAL											523	54.03		290	29.96								155	16.01		968	
	SEVENTH												62	40.00		93	60.00									Excluded		155	
		TOTAL											585	60.43		383	39.57											968	
													Elected																
																													
Stratton                                                       																													
	FIRST			27	1.29		145	6.92		24	1.15		726	34.67		881	42.07		147	7.02		6	0.29		138	6.59		2094	
	SECOND			0	0.00		0	0.00		1	16.67		0	0.00		0	0.00		2	33.33			Excluded		3	50.00		6	
		TOTAL		27	1.29		145	6.92		25	1.19		726	34.67		881	42.07		149	7.12					141	6.73		2094	
	THIRD			2	8.00		4	16.00			Excluded		5	20.00		4	16.00		5	20.00					5	20.00		25	
		TOTAL		29	1.38		149	7.12					731	34.91		885	42.26		154	7.35					146	6.97		2094	
	FOURTH				Excluded		17	58.62					6	20.69		3	10.34		1	3.45					2	6.90		29	
		TOTAL					166	7.93					737	35.20		888	42.41		155	7.40					148	7.07		2094	
