House of Representatives - 2001 Election: Western Australia																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
O'Connor																																			
					TUCKEY			MCNABB			PESTANA			GYORGY			BROWN			DAVIS			ITURBIDE			MCLEAN			SELBY			PENDLEBURY			
		TOTAL		52	61.18		0	0.00								17	20.00		0	0.00					4	4.71					12	14.12		85	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		52	61.18											17	20.00		0	0.00					4	4.71					12	14.12		85	
	SEVENTH			0	0.00											0	0.00			Excluded					0	0.00					0	0.00		0	
		TOTAL		52	61.18											17	20.00								4	4.71					12	14.12		85	
	EIGHTH			13	76.47												Excluded								2	11.76					2	11.76		17	
		TOTAL		65	76.47																				6	7.06					14	16.47		85	
	NINTH			4	66.67																					Excluded					2	33.33		6	
		TOTAL		69	81.18																										16	18.82		85	
				Elected																															
																																			
Dowerin                                                        																																			
	FIRST			267	62.82		7	1.65		7	1.65		2	0.47		52	12.24		10	2.35		0	0.00		34	8.00		3	0.71		43	10.12		425	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		267	62.82		7	1.65		7	1.65		2	0.47		52	12.24		10	2.35					34	8.00		3	0.71		43	10.12		425	
	THIRD			1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		2	
		TOTAL		268	63.06		7	1.65		8	1.88					52	12.24		10	2.35					34	8.00		3	0.71		43	10.12		425	
	FOURTH			1	33.33		0	0.00		0	0.00					1	33.33		0	0.00					0	0.00			Excluded		1	33.33		3	
		TOTAL		269	63.29		7	1.65		8	1.88					53	12.47		10	2.35					34	8.00					44	10.35		425	
	FIFTH			1	12.50		0	0.00			Excluded					2	25.00		4	50.00					0	0.00					1	12.50		8	
		TOTAL		270	63.53		7	1.65								55	12.94		14	3.29					34	8.00					45	10.59		425	
	SIXTH			4	57.14			Excluded								3	42.86		0	0.00					0	0.00					0	0.00		7	
		TOTAL		274	64.47											58	13.65		14	3.29					34	8.00					45	10.59		425	
	SEVENTH			5	35.71											3	21.43			Excluded					2	14.29					4	28.57		14	
		TOTAL		279	65.65											61	14.35								36	8.47					49	11.53		425	
	EIGHTH			51	83.61												Excluded								2	3.28					8	13.11		61	
		TOTAL		330	77.65																				38	8.94					57	13.41		425	
	NINTH			27	71.05																					Excluded					11	28.95		38	
		TOTAL		357	84.00																										68	16.00		425	
				Elected																															
																																			
Dudinin                                                        																																			
	FIRST			43	55.84		0	0.00		0	0.00		0	0.00		20	25.97		0	0.00		0	0.00		11	14.29		0	0.00		3	3.90		77	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		43	55.84		0	0.00		0	0.00		0	0.00		20	25.97		0	0.00					11	14.29		0	0.00		3	3.90		77	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		43	55.84		0	0.00		0	0.00					20	25.97		0	0.00					11	14.29		0	0.00		3	3.90		77	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		43	55.84		0	0.00		0	0.00					20	25.97		0	0.00					11	14.29					3	3.90		77	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		43	55.84		0	0.00								20	25.97		0	0.00					11	14.29					3	3.90		77	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		43	55.84											20	25.97		0	0.00					11	14.29					3	3.90		77	
	SEVENTH			0	0.00											0	0.00			Excluded					0	0.00					0	0.00		0	
		TOTAL		43	55.84											20	25.97								11	14.29					3	3.90		77	
	EIGHTH			19	95.00												Excluded								1	5.00					0	0.00		20	
		TOTAL		62	80.52																				12	15.58					3	3.90		77	
	NINTH			10	83.33																					Excluded					2	16.67		12	
		TOTAL		72	93.51																										5	6.49		77	
				Elected																															
																																			
Dumbleyung                                                     																																			
	FIRST			113	48.09		0	0.00		3	1.28		3	1.28		58	24.68		6	2.55		1	0.43		32	13.62		3	1.28		16	6.81		235	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		114	48.51		0	0.00		3	1.28		3	1.28		58	24.68		6	2.55					32	13.62		3	1.28		16	6.81		235	
	THIRD			0	0.00		1	33.33		0	0.00			Excluded		0	0.00		1	33.33					0	0.00		0	0.00		1	33.33		3	
		TOTAL		114	48.51		1	0.43		3	1.28					58	24.68		7	2.98					32	13.62		3	1.28		17	7.23		235	
	FOURTH			0	0.00		0	0.00		0	0.00					2	66.67		1	33.33					0	0.00			Excluded		0	0.00		3	
		TOTAL		114	48.51		1	0.43		3	1.28					60	25.53		8	3.40					32	13.62					17	7.23		235	
	FIFTH			0	0.00		0	0.00			Excluded					2	66.67		0	0.00					0	0.00					1	33.33		3	
		TOTAL		114	48.51		1	0.43								62	26.38		8	3.40					32	13.62					18	7.66		235	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					1	100.00					0	0.00		1	
		TOTAL		114	48.51											62	26.38		8	3.40					33	14.04					18	7.66		235	
	SEVENTH			0	0.00											1	12.50			Excluded					2	25.00					5	62.50		8	
		TOTAL		114	48.51											63	26.81								35	14.89					23	9.79		235	
	EIGHTH			51	80.95												Excluded								8	12.70					4	6.35		63	
		TOTAL		165	70.21																				43	18.30					27	11.49		235	
	NINTH			30	69.77																					Excluded					13	30.23		43	
		TOTAL		195	82.98																										40	17.02		235	
				Elected																															
																																			
Duranillin                                                     																																			
	FIRST			93	59.62		3	1.92		0	0.00		1	0.64		16	10.26		5	3.21		0	0.00		26	16.67		0	0.00		12	7.69		156	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		93	59.62		3	1.92		0	0.00		1	0.64		16	10.26		5	3.21					26	16.67		0	0.00		12	7.69		156	
	THIRD			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL		93	59.62		3	1.92		1	0.64					16	10.26		5	3.21					26	16.67		0	0.00		12	7.69		156	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		93	59.62		3	1.92		1	0.64					16	10.26		5	3.21					26	16.67					12	7.69		156	
	FIFTH			0	0.00		1	100.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		1	
		TOTAL		93	59.62		4	2.56								16	10.26		5	3.21					26	16.67					12	7.69		156	
	SIXTH			1	25.00			Excluded								3	75.00		0	0.00					0	0.00					0	0.00		4	
		TOTAL		94	60.26											19	12.18		5	3.21					26	16.67					12	7.69		156	
	SEVENTH			1	20.00											1	20.00			Excluded					3	60.00					0	0.00		5	
		TOTAL		95	60.90											20	12.82								29	18.59					12	7.69		156	
	EIGHTH			17	85.00												Excluded								2	10.00					1	5.00		20	
		TOTAL		112	71.79																				31	19.87					13	8.33		156	
	NINTH			26	83.87																					Excluded					5	16.13		31	
		TOTAL		138	88.46																										18	11.54		156	
				Elected																															
																																			
Elleker                                                        																																			
	FIRST			100	26.18		28	7.33		8	2.09		5	1.31		18	4.71		37	9.69		3	0.79		64	16.75		11	2.88		108	28.27		382	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		1	33.33		1	33.33		0	0.00		3	
		TOTAL		100	26.18		28	7.33		8	2.09		5	1.31		18	4.71		38	9.95					65	17.02		12	3.14		108	28.27		382	
	THIRD			1	20.00		1	20.00		1	20.00			Excluded		0	0.00		0	0.00					2	40.00		0	0.00		0	0.00		5	
		TOTAL		101	26.44		29	7.59		9	2.36					18	4.71		38	9.95					67	17.54		12	3.14		108	28.27		382	
	FOURTH			1	8.33		1	8.33		1	8.33					1	8.33		4	33.33					1	8.33			Excluded		3	25.00		12	
		TOTAL		102	26.70		30	7.85		10	2.62					19	4.97		42	10.99					68	17.80					111	29.06		382	
	FIFTH			1	10.00		0	0.00			Excluded					3	30.00		5	50.00					0	0.00					1	10.00		10	
		TOTAL		103	26.96		30	7.85								22	5.76		47	12.30					68	17.80					112	29.32		382	
	SIXTH			20	66.67			Excluded								2	6.67		1	3.33					4	13.33					3	10.00		30	
		TOTAL		123	32.20											24	6.28		48	12.57					72	18.85					115	30.10		382	
	SEVENTH			4	8.33											10	20.83			Excluded					3	6.25					31	64.58		48	
		TOTAL		127	33.25											34	8.90								75	19.63					146	38.22		382	
	EIGHTH			15	44.12												Excluded								9	26.47					10	29.41		34	
		TOTAL		142	37.17																				84	21.99					156	40.84		382	
	NINTH			62	73.81																					Excluded					22	26.19		84	
		TOTAL		204	53.40																										178	46.60		382	
				Elected																															
																																			
Emu Point                                                      																																			
	FIRST			196	52.41		5	1.34		3	0.80		0	0.00		11	2.94		23	6.15		4	1.07		66	17.65		9	2.41		57	15.24		374	
	SECOND			1	25.00		2	50.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	25.00		0	0.00		0	0.00		4	
		TOTAL		197	52.67		7	1.87		3	0.80		0	0.00		11	2.94		23	6.15					67	17.91		9	2.41		57	15.24		374	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		197	52.67		7	1.87		3	0.80					11	2.94		23	6.15					67	17.91		9	2.41		57	15.24		374	
	FOURTH			3	33.33		0	0.00		0	0.00					1	11.11		3	33.33					0	0.00			Excluded		2	22.22		9	
		TOTAL		200	53.48		7	1.87		3	0.80					12	3.21		26	6.95					67	17.91					59	15.78		374	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		2	66.67					0	0.00					1	33.33		3	
		TOTAL		200	53.48		7	1.87								12	3.21		28	7.49					67	17.91					60	16.04		374	
	SIXTH			3	42.86			Excluded								1	14.29		1	14.29					2	28.57					0	0.00		7	
		TOTAL		203	54.28											13	3.48		29	7.75					69	18.45					60	16.04		374	
	SEVENTH			4	13.79											9	31.03			Excluded					3	10.34					13	44.83		29	
		TOTAL		207	55.35											22	5.88								72	19.25					73	19.52		374	
	EIGHTH			7	31.82												Excluded								9	40.91					6	27.27		22	
		TOTAL		214	57.22																				81	21.66					79	21.12		374	
	NINTH			62	76.54																					Excluded					19	23.46		81	
		TOTAL		276	73.80																										98	26.20		374	
				Elected																															
																																			
Eneabba                                                        																																			
	FIRST			92	49.73		1	0.54		4	2.16		2	1.08		9	4.86		6	3.24		0	0.00		35	18.92		3	1.62		33	17.84		185	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		92	49.73		1	0.54		4	2.16		2	1.08		9	4.86		6	3.24					35	18.92		3	1.62		33	17.84		185	
	THIRD			0	0.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		1	50.00		2	
		TOTAL		92	49.73		1	0.54		5	2.70					9	4.86		6	3.24					35	18.92		3	1.62		34	18.38		185	
	FOURTH			2	66.67		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		1	33.33		3	
		TOTAL		94	50.81		1	0.54		5	2.70					9	4.86		6	3.24					35	18.92					35	18.92		185	
	FIFTH			0	0.00		1	20.00			Excluded					3	60.00		1	20.00					0	0.00					0	0.00		5	
		TOTAL		94	50.81		2	1.08								12	6.49		7	3.78					35	18.92					35	18.92		185	
	SIXTH			2	100.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		2	
		TOTAL		96	51.89											12	6.49		7	3.78					35	18.92					35	18.92		185	
	SEVENTH			1	14.29											2	28.57			Excluded					2	28.57					2	28.57		7	
		TOTAL		97	52.43											14	7.57								37	20.00					37	20.00		185	
	EIGHTH			10	71.43												Excluded								4	28.57					0	0.00		14	
		TOTAL		107	57.84																				41	22.16					37	20.00		185	
	NINTH			27	65.85																					Excluded					14	34.15		41	
		TOTAL		134	72.43																										51	27.57		185	
				Elected																															
																																			
Fitzgerald                                                     																																			
	FIRST			25	62.50		0	0.00		0	0.00		0	0.00		5	12.50		1	2.50		0	0.00		6	15.00		1	2.50		2	5.00		40	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		25	62.50		0	0.00		0	0.00		0	0.00		5	12.50		1	2.50					6	15.00		1	2.50		2	5.00		40	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		25	62.50		0	0.00		0	0.00					5	12.50		1	2.50					6	15.00		1	2.50		2	5.00		40	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		1	100.00		1	
		TOTAL		25	62.50		0	0.00		0	0.00					5	12.50		1	2.50					6	15.00					3	7.50		40	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		25	62.50		0	0.00								5	12.50		1	2.50					6	15.00					3	7.50		40	
	SIXTH			0	0.00			Excluded								0	0.00		0	0.00					0	0.00					0	0.00		0	
		TOTAL		25	62.50											5	12.50		1	2.50					6	15.00					3	7.50		40	
	SEVENTH			0	0.00											1	100.00			Excluded					0	0.00					0	0.00		1	
		TOTAL		25	62.50											6	15.00								6	15.00					3	7.50		40	
	EIGHTH			6	100.00												Excluded								0	0.00					0	0.00		6	
		TOTAL		31	77.50																				6	15.00					3	7.50		40	
	NINTH			5	83.33																					Excluded					1	16.67		6	
		TOTAL		36	90.00																										4	10.00		40	
				Elected																															
																																			
Forest Hill                                                    																																			
	FIRST			60	57.14		1	0.95		4	3.81		1	0.95		14	13.33		3	2.86		0	0.00		14	13.33		0	0.00		8	7.62		105	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		60	57.14		1	0.95		4	3.81		1	0.95		14	13.33		3	2.86					14	13.33		0	0.00		8	7.62		105	
	THIRD			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	
		TOTAL		60	57.14		2	1.90		4	3.81					14	13.33		3	2.86					14	13.33		0	0.00		8	7.62		105	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		60	57.14		2	1.90		4	3.81					14	13.33		3	2.86					14	13.33					8	7.62		105	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					1	25.00					3	75.00		4	
		TOTAL		60	57.14		2	1.90								14	13.33		3	2.86					15	14.29					11	10.48		105	
	SIXTH			0	0.00			Excluded								2	100.00		0	0.00					0	0.00					0	0.00		2	
		TOTAL		60	57.14											16	15.24		3	2.86					15	14.29					11	10.48		105	
	SEVENTH			0	0.00											2	66.67			Excluded					1	33.33					0	0.00		3	
		TOTAL		60	57.14											18	17.14								16	15.24					11	10.48		105	
	EIGHTH			14	77.78												Excluded								0	0.00					4	22.22		18	
		TOTAL		74	70.48																				16	15.24					15	14.29		105	
	NINTH			9	56.25																					Excluded					7	43.75		16	
		TOTAL		83	79.05																										22	20.95		105	
				Elected																															
																																			
Frankland                                                      																																			
	FIRST			109	53.96		8	3.96		2	0.99		0	0.00		38	18.81		7	3.47		0	0.00		18	8.91		2	0.99		18	8.91		202	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		109	53.96		8	3.96		2	0.99		0	0.00		38	18.81		7	3.47					18	8.91		2	0.99		18	8.91		202	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		109	53.96		8	3.96		2	0.99					38	18.81		7	3.47					18	8.91		2	0.99		18	8.91		202	
	FOURTH			0	0.00		0	0.00		1	50.00					1	50.00		0	0.00					0	0.00			Excluded		0	0.00		2	
		TOTAL		109	53.96		8	3.96		3	1.49					39	19.31		7	3.47					18	8.91					18	8.91		202	
	FIFTH			0	0.00		1	33.33			Excluded					0	0.00		1	33.33					0	0.00					1	33.33		3	
		TOTAL		109	53.96		9	4.46								39	19.31		8	3.96					18	8.91					19	9.41		202	
	SIXTH			3	33.33			Excluded								4	44.44		0	0.00					2	22.22					0	0.00		9	
		TOTAL		112	55.45											43	21.29		8	3.96					20	9.90					19	9.41		202	
	SEVENTH			1	12.50											4	50.00			Excluded					2	25.00					1	12.50		8	
		TOTAL		113	55.94											47	23.27								22	10.89					20	9.90		202	
	EIGHTH			37	78.72												Excluded								5	10.64					5	10.64		47	
		TOTAL		150	74.26																				27	13.37					25	12.38		202	
	NINTH			12	44.44																					Excluded					15	55.56		27	
		TOTAL		162	80.20																										40	19.80		202	
				Elected																															
																																			
Gairdner River                                                 																																			
	FIRST			39	61.90		3	4.76		1	1.59		0	0.00		13	20.63		0	0.00		0	0.00		7	11.11		0	0.00		0	0.00		63	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		39	61.90		3	4.76		1	1.59		0	0.00		13	20.63		0	0.00					7	11.11		0	0.00		0	0.00		63	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	
		TOTAL		39	61.90		3	4.76		1	1.59					13	20.63		0	0.00					7	11.11		0	0.00		0	0.00		63	
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	
		TOTAL		39	61.90		3	4.76		1	1.59					13	20.63		0	0.00					7	11.11					0	0.00		63	
	FIFTH			0	0.00		0	0.00			Excluded					0	0.00		0	0.00					1	100.00					0	0.00		1	
		TOTAL		39	61.90		3	4.76								13	20.63		0	0.00					8	12.70					0	0.00		63	
	SIXTH			1	33.33			Excluded								1	33.33		0	0.00					1	33.33					0	0.00		3	
		TOTAL		40	63.49											14	22.22		0	0.00					9	14.29					0	0.00		63	
	SEVENTH			0	0.00											0	0.00			Excluded					0	0.00					0	0.00		0	
		TOTAL		40	63.49											14	22.22								9	14.29					0	0.00		63	
	EIGHTH			12	85.71												Excluded								1	7.14					1	7.14		14	
		TOTAL		52	82.54																				10	15.87					1	1.59		63	
	NINTH			6	60.00																					Excluded					4	40.00		10	
		TOTAL		58	92.06																										5	7.94		63	
				Elected																															
																																			
Geraldton                                                      																																			
	FIRST			959	51.56		32	1.72		52	2.80		15	0.81		50	2.69		96	5.16		2	0.11		188	10.11		37	1.99		429	23.06		1860	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00		0	0.00		0	0.00		2	
		TOTAL		959	51.56		32	1.72		52	2.80		15	0.81		50	2.69		97	5.22					189	10.16		37	1.99		429	23.06		1860	
	THIRD			2	13.33		0	0.00		6	40.00			Excluded		3	20.00		1	6.67					2	13.33		0	0.00		1	6.67		15	
		TOTAL		961	51.67		32	1.72		58	3.12					53	2.85		98	5.27					191	10.27		37	1.99		430	23.12		1860	
	FOURTH			9	24.32		1	2.70		2	5.41					7	18.92		6	16.22					6	16.22			Excluded		6	16.22		37	
		TOTAL		970	52.15		33	1.77		60	3.23					60	3.23		104	5.59					197	10.59					436	23.44		1860	
	FIFTH			8	13.33		4	6.67			Excluded					11	18.33		24	40.00					3	5.00					10	16.67		60	
		TOTAL		978	52.58		37	1.99								71	3.82		128	6.88					200	10.75					446	23.98		1860	
	SIXTH			21	56.76			Excluded								4	10.81		4	10.81					4	10.81					4	10.81		37	
		TOTAL		999	53.71											75	4.03		132	7.10					204	10.97					450	24.19		1860	
	SEVENTH			30	22.73											41	31.06			Excluded					17	12.88					44	33.33		132	
		TOTAL		1029	55.32											116	6.24								221	11.88					494	26.56		1860	
	EIGHTH			65	56.03												Excluded								29	25.00					22	18.97		116	
		TOTAL		1094	58.82																				250	13.44					516	27.74		1860	
	NINTH			151	60.40																					Excluded					99	39.60		250	
		TOTAL		1245	66.94																										615	33.06		1860	
				Elected																															
																																			
Geraldton Central                                              																																			
	FIRST			460	44.10		31	2.97		39	3.74		6	0.58		11	1.05		60	5.75		0	0.00		117	11.22		15	1.44		304	29.15		1043	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		460	44.10		31	2.97		39	3.74		6	0.58		11	1.05		60	5.75					117	11.22		15	1.44		304	29.15		1043	
	THIRD			2	33.33		0	0.00		0	0.00			Excluded		1	16.67		1	16.67					1	16.67		0	0.00		1	16.67		6	
		TOTAL		462	44.30		31	2.97		39	3.74					12	1.15		61	5.85					118	11.31		15	1.44		305	29.24		1043	
	FOURTH			2	13.33		0	0.00		2	13.33					3	20.00		6	40.00					1	6.67			Excluded		1	6.67		15	
		TOTAL		464	44.49		31	2.97		41	3.93					15	1.44		67	6.42					119	11.41					306	29.34		1043	
	FIFTH			2	4.88		2	4.88			Excluded					2	4.88		32	78.05					1	2.44					2	4.88		41	
		TOTAL		466	44.68		33	3.16								17	1.63		99	9.49					120	11.51					308	29.53		1043	
	SIXTH			19	57.58			Excluded								4	12.12		1	3.03					8	24.24					1	3.03		33	
		TOTAL		485	46.50											21	2.01		100	9.59					128	12.27					309	29.63		1043	
	SEVENTH			20	20.00											25	25.00			Excluded					15	15.00					40	40.00		100	
		TOTAL		505	48.42											46	4.41								143	13.71					349	33.46		1043	
	EIGHTH			17	36.96												Excluded								14	30.43					15	32.61		46	
		TOTAL		522	50.05																				157	15.05					364	34.90		1043	
	NINTH			80	50.96																					Excluded					77	49.04		157	
		TOTAL		602	57.72																										441	42.28		1043	
				Elected																															
																																			
Geraldton Regional Hospital                                    																																			
	FIRST			90	45.45		8	4.04		4	2.02		4	2.02		2	1.01		11	5.56		0	0.00		27	13.64		2	1.01		50	25.25		198	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		90	45.45		8	4.04		4	2.02		4	2.02		2	1.01		11	5.56					27	13.64		2	1.01		50	25.25		198	
	THIRD			2	50.00		0	0.00		1	25.00			Excluded		0	0.00		0	0.00					1	25.00		0	0.00		0	0.00		4	
		TOTAL		92	46.46		8	4.04		5	2.53					2	1.01		11	5.56					28	14.14		2	1.01		50	25.25		198	
	FOURTH			0	0.00		0	0.00		0	0.00					1	50.00		0	0.00					0	0.00			Excluded		1	50.00		2	
		TOTAL		92	46.46		8	4.04		5	2.53					3	1.52		11	5.56					28	14.14					51	25.76		198	
	FIFTH			0	0.00		1	20.00			Excluded					1	20.00		2	40.00					0	0.00					1	20.00		5	
		TOTAL		92	46.46		9	4.55								4	2.02		13	6.57					28	14.14					52	26.26		198	
	SIXTH			3	33.33			Excluded								1	11.11		1	11.11					3	33.33					1	11.11		9	
		TOTAL		95	47.98											5	2.53		14	7.07					31	15.66					53	26.77		198	
	SEVENTH			2	14.29											3	21.43			Excluded					2	14.29					7	50.00		14	
		TOTAL		97	48.99											8	4.04								33	16.67					60	30.30		198	
	EIGHTH			6	75.00												Excluded								0	0.00					2	25.00		8	
		TOTAL		103	52.02																				33	16.67					62	31.31		198	
	NINTH			21	63.64																					Excluded					12	36.36		33	
		TOTAL		124	62.63																										74	37.37		198	
				Elected																															
																																			
Geraldton St John of God Hospital                              																																			
	FIRST			267	58.30		6	1.31		9	1.97		5	1.09		7	1.53		5	1.09		0	0.00		55	12.01		5	1.09		99	21.62		458	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		267	58.30		6	1.31		9	1.97		5	1.09		7	1.53		5	1.09					55	12.01		5	1.09		99	21.62		458	
	THIRD			0	0.00		2	40.00		0	0.00			Excluded		0	0.00		2	40.00					0	0.00		0	0.00		1	20.00		5	
		TOTAL		267	58.30		8	1.75		9	1.97					7	1.53		7	1.53					55	12.01		5	1.09		100	21.83		458	
	FOURTH			1	20.00		0	0.00		1	20.00					1	20.00		1	20.00					0	0.00			Excluded		1	20.00		5	
		TOTAL		268	58.52		8	1.75		10	2.18					8	1.75		8	1.75					55	12.01					101	22.05		458	
	FIFTH			0	0.00		1	10.00			Excluded					2	20.00		3	30.00					1	10.00					3	30.00		10	
		TOTAL		268	58.52		9	1.97								10	2.18		11	2.40					56	12.23					104	22.71		458	
	SIXTH			5	55.56			Excluded								2	22.22		1	11.11					1	11.11					0	0.00		9	
		TOTAL		273	59.61											12	2.62		12	2.62					57	12.45					104	22.71		458	
	SEVENTH			1	8.33											6	50.00			Excluded					0	0.00					5	41.67		12	
		TOTAL		274	59.83											18	3.93								57	12.45					109	23.80		458	
	EIGHTH			10	55.56												Excluded								5	27.78					3	16.67		18	
		TOTAL		284	62.01																				62	13.54					112	24.45		458	
	NINTH			36	58.06																					Excluded					26	41.94		62	
		TOTAL		320	69.87																										138	30.13		458	
				Elected																															
																																			
Gnowangerup                                                    																																			
	FIRST			187	46.06		27	6.65		7	1.72		2	0.49		57	14.04		3	0.74		1	0.25		39	9.61		4	0.99		79	19.46		406	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		187	46.06		27	6.65		7	1.72		2	0.49		58	14.29		3	0.74					39	9.61		4	0.99		79	19.46		406	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		1	50.00		0	0.00					0	0.00		1	50.00		0	0.00		2	
		TOTAL		187	46.06		27	6.65		7	1.72					59	14.53		3	0.74					39	9.61		5	1.23		79	19.46		406	
	FOURTH			3	60.00		0	0.00		0	0.00					0	0.00		2	40.00					0	0.00			Excluded		0	0.00		5	
		TOTAL		190	46.80		27	6.65		7	1.72					59	14.53		5	1.23					39	9.61					79	19.46		406	
	FIFTH			0	0.00		0	0.00			Excluded					2	28.57		4	57.14					0	0.00					1	14.29		7	
		TOTAL		190	46.80		27	6.65								61	15.02		9	2.22					39	9.61					80	19.70		406	
	SIXTH			22	81.48			Excluded								4	14.81		0	0.00					1	3.70					0	0.00		27	
		TOTAL		212	52.22											65	16.01		9	2.22					40	9.85					80	19.70		406	
	SEVENTH			2	22.22											3	33.33			Excluded					1	11.11					3	33.33		9	
		TOTAL		214	52.71											68	16.75								41	10.10					83	20.44		406	
	EIGHTH			52	76.47												Excluded								8	11.76					8	11.76		68	
		TOTAL		266	65.52																				49	12.07					91	22.41		406	
	NINTH			31	63.27																					Excluded					18	36.73		49	
		TOTAL		297	73.15																										109	26.85		406	
				Elected																															
																																			
Goomalling                                                     																																			
	FIRST			223	54.39		5	1.22		9	2.20		2	0.49		45	10.98		9	2.20		0	0.00		49	11.95		0	0.00		68	16.59		410	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		223	54.39		5	1.22		9	2.20		2	0.49		45	10.98		9	2.20					49	11.95		0	0.00		68	16.59		410	
	THIRD			0	0.00		0	0.00		1	50.00			Excluded		1	50.00		0	0.00					0	0.00		0	0.00		0	0.00		2	
		TOTAL		223	54.39		5	1.22		10	2.44					46	11.22		9	2.20					49	11.95		0	0.00		68	16.59		410	
