House of Representatives - 2001 Election: Western Australia																										
Distribution of Preferences																										
By Polling Place																										
																										
Stirling																										
					OLVER			AQUILINA			JASPER			CRONIN			MCENCROE			MCFARLANE			THOROGOOD			
	FIFTH				Excluded		5	83.33					0	0.00					1	16.67					6	
		TOTAL					18	15.38					63	53.85					36	30.77					117	
	SIXTH							Excluded					9	50.00					9	50.00					18	
		TOTAL											72	61.54					45	38.46					117	
																			Elected							
																										
Scarborough                                                    																										
	FIRST			67	5.96		95	8.45		20	1.78		536	47.69		13	1.16		359	31.94		34	3.02		1124	
	SECOND			1	7.69		3	23.08		0	0.00		6	46.15			Excluded		2	15.38		1	7.69		13	
		TOTAL		68	6.05		98	8.72		20	1.78		542	48.22					361	32.12		35	3.11		1124	
	THIRD			3	15.00		4	20.00			Excluded		12	60.00					0	0.00		1	5.00		20	
		TOTAL		71	6.32		102	9.07					554	49.29					361	32.12		36	3.20		1124	
	FOURTH			4	11.11		6	16.67					16	44.44					10	27.78			Excluded		36	
		TOTAL		75	6.67		108	9.61					570	50.71					371	33.01					1124	
	FIFTH				Excluded		51	68.00					13	17.33					11	14.67					75	
		TOTAL					159	14.15					583	51.87					382	33.99					1124	
	SIXTH							Excluded					49	30.82					110	69.18					159	
		TOTAL											632	56.23					492	43.77					1124	
																			Elected							
																										
Scarborough Central                                            																										
	FIRST			103	6.88		128	8.55		31	2.07		683	45.62		14	0.94		486	32.46		52	3.47		1497	
	SECOND			0	0.00		5	35.71		1	7.14		7	50.00			Excluded		1	7.14		0	0.00		14	
		TOTAL		103	6.88		133	8.88		32	2.14		690	46.09					487	32.53		52	3.47		1497	
	THIRD			4	12.50		10	31.25			Excluded		14	43.75					2	6.25		2	6.25		32	
		TOTAL		107	7.15		143	9.55					704	47.03					489	32.67		54	3.61		1497	
	FOURTH			2	3.70		16	29.63					20	37.04					16	29.63			Excluded		54	
		TOTAL		109	7.28		159	10.62					724	48.36					505	33.73					1497	
	FIFTH				Excluded		62	56.88					21	19.27					26	23.85					109	
		TOTAL					221	14.76					745	49.77					531	35.47					1497	
	SIXTH							Excluded					81	36.65					140	63.35					221	
		TOTAL											826	55.18					671	44.82					1497	
																			Elected							
																										
Trigg                                                          																										
	FIRST			39	4.65		87	10.37		19	2.26		437	52.09		12	1.43		225	26.82		20	2.38		839	
	SECOND			3	25.00		0	0.00		0	0.00		8	66.67			Excluded		1	8.33		0	0.00		12	
		TOTAL		42	5.01		87	10.37		19	2.26		445	53.04					226	26.94		20	2.38		839	
	THIRD			1	5.26		5	26.32			Excluded		12	63.16					1	5.26		0	0.00		19	
		TOTAL		43	5.13		92	10.97					457	54.47					227	27.06		20	2.38		839	
	FOURTH			0	0.00		4	20.00					9	45.00					7	35.00			Excluded		20	
		TOTAL		43	5.13		96	11.44					466	55.54					234	27.89					839	
	FIFTH				Excluded		33	76.74					3	6.98					7	16.28					43	
		TOTAL					129	15.38					469	55.90					241	28.72					839	
	SIXTH							Excluded					42	32.56					87	67.44					129	
		TOTAL											511	60.91					328	39.09					839	
																			Elected							
																										
Tuart Hill (Stirling)                                          																										
	FIRST			140	6.49		125	5.80		28	1.30		768	35.61		27	1.25		1021	47.33		48	2.23		2157	
	SECOND			5	18.52		3	11.11		2	7.41		14	51.85			Excluded		0	0.00		3	11.11		27	
		TOTAL		145	6.72		128	5.93		30	1.39		782	36.25					1021	47.33		51	2.36		2157	
	THIRD			2	6.67		9	30.00			Excluded		15	50.00					1	3.33		3	10.00		30	
		TOTAL		147	6.82		137	6.35					797	36.95					1022	47.38		54	2.50		2157	
	FOURTH			7	12.96		12	22.22					14	25.93					21	38.89			Excluded		54	
		TOTAL		154	7.14		149	6.91					811	37.60					1043	48.35					2157	
	FIFTH				Excluded		92	59.74					24	15.58					38	24.68					154	
		TOTAL					241	11.17					835	38.71					1081	50.12					2157	
	SIXTH							Excluded					98	40.66					143	59.34					241	
		TOTAL											933	43.25					1224	56.75					2157	
																			Elected							
																										
Westminster                                                    																										
	FIRST			100	5.33		86	4.58		15	0.80		494	26.32		37	1.97		1039	55.35		106	5.65		1877	
	SECOND			4	10.81		4	10.81		3	8.11		7	18.92			Excluded		18	48.65		1	2.70		37	
		TOTAL		104	5.54		90	4.79		18	0.96		501	26.69					1057	56.31		107	5.70		1877	
	THIRD			8	44.44		7	38.89			Excluded		2	11.11					0	0.00		1	5.56		18	
		TOTAL		112	5.97		97	5.17					503	26.80					1057	56.31		108	5.75		1877	
	FOURTH			13	12.04		22	20.37					25	23.15					48	44.44			Excluded		108	
		TOTAL		125	6.66		119	6.34					528	28.13					1105	58.87					1877	
	FIFTH				Excluded		81	64.80					18	14.40					26	20.80					125	
		TOTAL					200	10.66					546	29.09					1131	60.26					1877	
	SIXTH							Excluded					93	46.50					107	53.50					200	
		TOTAL											639	34.04					1238	65.96					1877	
																			Elected							
																										
Yokine                                                         																										
	FIRST			98	6.67		60	4.08		21	1.43		616	41.93		9	0.61		608	41.39		57	3.88		1469	
	SECOND			2	22.22		1	11.11		1	11.11		3	33.33			Excluded		2	22.22		0	0.00		9	
		TOTAL		100	6.81		61	4.15		22	1.50		619	42.14					610	41.52		57	3.88		1469	
	THIRD			4	18.18		3	13.64			Excluded		14	63.64					0	0.00		1	4.55		22	
		TOTAL		104	7.08		64	4.36					633	43.09					610	41.52		58	3.95		1469	
	FOURTH			2	3.45		11	18.97					22	37.93					23	39.66			Excluded		58	
		TOTAL		106	7.22		75	5.11					655	44.59					633	43.09					1469	
	FIFTH				Excluded		79	74.53					11	10.38					16	15.09					106	
		TOTAL					154	10.48					666	45.34					649	44.18					1469	
	SIXTH							Excluded					49	31.82					105	68.18					154	
		TOTAL											715	48.67					754	51.33					1469	
																			Elected							
																										
Yokine North                                                   																										
	FIRST			90	5.36		69	4.11		12	0.71		770	45.86		22	1.31		661	39.37		55	3.28		1679	
	SECOND			4	18.18		5	22.73		0	0.00		9	40.91			Excluded		4	18.18		0	0.00		22	
		TOTAL		94	5.60		74	4.41		12	0.71		779	46.40					665	39.61		55	3.28		1679	
	THIRD			1	8.33		4	33.33			Excluded		7	58.33					0	0.00		0	0.00		12	
		TOTAL		95	5.66		78	4.65					786	46.81					665	39.61		55	3.28		1679	
	FOURTH			4	7.27		6	10.91					18	32.73					27	49.09			Excluded		55	
		TOTAL		99	5.90		84	5.00					804	47.89					692	41.22					1679	
	FIFTH				Excluded		56	56.57					16	16.16					27	27.27					99	
		TOTAL					140	8.34					820	48.84					719	42.82					1679	
	SIXTH							Excluded					52	37.14					88	62.86					140	
		TOTAL											872	51.94					807	48.06					1679	
																			Elected							
																										
Yokine West                                                    																										
	FIRST			74	5.91		92	7.34		19	1.52		499	39.82		16	1.28		516	41.18		37	2.95		1253	
	SECOND			3	18.75		3	18.75		1	6.25		5	31.25			Excluded		3	18.75		1	6.25		16	
		TOTAL		77	6.15		95	7.58		20	1.60		504	40.22					519	41.42		38	3.03		1253	
	THIRD			2	10.00		6	30.00			Excluded		12	60.00					0	0.00		0	0.00		20	
		TOTAL		79	6.30		101	8.06					516	41.18					519	41.42		38	3.03		1253	
	FOURTH			7	18.42		8	21.05					13	34.21					10	26.32			Excluded		38	
		TOTAL		86	6.86		109	8.70					529	42.22					529	42.22					1253	
	FIFTH				Excluded		62	72.09					9	10.47					15	17.44					86	
		TOTAL					171	13.65					538	42.94					544	43.42					1253	
	SIXTH							Excluded					59	34.50					112	65.50					171	
		TOTAL											597	47.65					656	52.35					1253	
																			Elected							
																										
Special Hospital Team 1                                        																										
	FIRST			9	2.00		5	1.11		9	2.00		246	54.55		4	0.89		175	38.80		3	0.67		451	
	SECOND			1	25.00		0	0.00		0	0.00		3	75.00			Excluded		0	0.00		0	0.00		4	
		TOTAL		10	2.22		5	1.11		9	2.00		249	55.21					175	38.80		3	0.67		451	
	THIRD			1	11.11		3	33.33			Excluded		5	55.56					0	0.00		0	0.00		9	
		TOTAL		11	2.44		8	1.77					254	56.32					175	38.80		3	0.67		451	
	FOURTH			0	0.00		0	0.00					2	66.67					1	33.33			Excluded		3	
		TOTAL		11	2.44		8	1.77					256	56.76					176	39.02					451	
	FIFTH				Excluded		8	72.73					3	27.27					0	0.00					11	
		TOTAL					16	3.55					259	57.43					176	39.02					451	
	SIXTH							Excluded					12	75.00					4	25.00					16	
		TOTAL											271	60.09					180	39.91					451	
																			Elected							
																										
ABSENT																										
	FIRST			544	7.92		676	9.85		191	2.78		2571	37.45		125	1.82		2412	35.13		347	5.05		6866	
	SECOND			18	14.40		16	12.80		12	9.60		42	33.60			Excluded		24	19.20		13	10.40		125	
		TOTAL		562	8.19		692	10.08		203	2.96		2613	38.06					2436	35.48		360	5.24		6866	
	THIRD			15	7.39		61	30.05			Excluded		94	46.31					13	6.40		20	9.85		203	
		TOTAL		577	8.40		753	10.97					2707	39.43					2449	35.67		380	5.53		6866	
	FOURTH			54	14.21		85	22.37					126	33.16					115	30.26			Excluded		380	
		TOTAL		631	9.19		838	12.21					2833	41.26					2564	37.34					6866	
	FIFTH				Excluded		378	59.90					115	18.23					138	21.87					631	
		TOTAL					1216	17.71					2948	42.94					2702	39.35					6866	
	SIXTH							Excluded					510	41.94					706	58.06					1216	
		TOTAL											3458	50.36					3408	49.64					6866	
																			Elected							
																										
POSTAL																										
	FIRST			133	4.65		96	3.36		37	1.29		1334	46.63		30	1.05		1104	38.59		127	4.44		2861	
	SECOND			2	6.67		1	3.33		2	6.67		16	53.33			Excluded		3	10.00		6	20.00		30	
		TOTAL		135	4.72		97	3.39		39	1.36		1350	47.19					1107	38.69		133	4.65		2861	
	THIRD			6	15.38		11	28.21			Excluded		18	46.15					2	5.13		2	5.13		39	
		TOTAL		141	4.93		108	3.77					1368	47.82					1109	38.76		135	4.72		2861	
	FOURTH			17	12.59		27	20.00					53	39.26					38	28.15			Excluded		135	
		TOTAL		158	5.52		135	4.72					1421	49.67					1147	40.09					2861	
	FIFTH				Excluded		97	61.39					23	14.56					38	24.05					158	
		TOTAL					232	8.11					1444	50.47					1185	41.42					2861	
	SIXTH							Excluded					120	51.72					112	48.28					232	
		TOTAL											1564	54.67					1297	45.33					2861	
																			Elected							
																										
PRE POLL																										
	FIRST			203	7.04		214	7.42		73	2.53		1319	45.72		34	1.18		926	32.10		116	4.02		2885	
	SECOND			4	11.76		3	8.82		1	2.94		17	50.00			Excluded		3	8.82		6	17.65		34	
		TOTAL		207	7.18		217	7.52		74	2.56		1336	46.31					929	32.20		122	4.23		2885	
	THIRD			6	8.11		21	28.38			Excluded		41	55.41					3	4.05		3	4.05		74	
		TOTAL		213	7.38		238	8.25					1377	47.73					932	32.31		125	4.33		2885	
	FOURTH			17	13.60		27	21.60					45	36.00					36	28.80			Excluded		125	
		TOTAL		230	7.97		265	9.19					1422	49.29					968	33.55					2885	
	FIFTH				Excluded		124	53.91					48	20.87					58	25.22					230	
		TOTAL					389	13.48					1470	50.95					1026	35.56					2885	
	SIXTH							Excluded					150	38.56					239	61.44					389	
		TOTAL											1620	56.15					1265	43.85					2885	
																			Elected							
																										
PROVISIONAL																										
	FIRST			35	7.09		37	7.49		7	1.42		152	30.77		5	1.01		235	47.57		23	4.66		494	
	SECOND			2	40.00		0	0.00		0	0.00		2	40.00			Excluded		1	20.00		0	0.00		5	
		TOTAL		37	7.49		37	7.49		7	1.42		154	31.17					236	47.77		23	4.66		494	
	THIRD			3	42.86		2	28.57			Excluded		2	28.57					0	0.00		0	0.00		7	
		TOTAL		40	8.10		39	7.89					156	31.58					236	47.77		23	4.66		494	
	FOURTH			4	17.39		5	21.74					4	17.39					10	43.48			Excluded		23	
		TOTAL		44	8.91		44	8.91					160	32.39					246	49.80					494	
	FIFTH				Excluded		34	77.27					5	11.36					5	11.36					44	
		TOTAL					78	15.79					165	33.40					251	50.81					494	
	SIXTH							Excluded					30	38.46					48	61.54					78	
		TOTAL											195	39.47					299	60.53					494	
																			Elected							
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
