House of Representatives - 2001 Election: Western Australia																												
Distribution of Preferences																												
By Polling Place																												
																												
Brand																												
					BEAZLEY			ROBBIE			DAVIS			MCCARTHY			IREDALE			HUBBARD			THOMAS			WOOLLARD		
	SIXTH			96	31.07			Excluded														143	46.28		70	22.65		309
		TOTAL		1989	51.49																	1129	29.23		745	19.29		3863
	SEVENTH			124	16.64																	621	83.36			Excluded		745
		TOTAL		2113	54.70																	1750	45.30					3863
				Elected																								
																												
Safety Bay Central                                             																												
	FIRST			1446	48.36		175	5.85		115	3.85		3	0.10		21	0.70		64	2.14		751	25.12		415	13.88		2990
	SECOND			0	0.00		0	0.00		1	33.33			Excluded		1	33.33		0	0.00		1	33.33		0	0.00		3
		TOTAL		1446	48.36		175	5.85		116	3.88					22	0.74		64	2.14		752	25.15		415	13.88		2990
	THIRD			7	31.82		1	4.55		1	4.55						Excluded		1	4.55		7	31.82		5	22.73		22
		TOTAL		1453	48.60		176	5.89		117	3.91								65	2.17		759	25.38		420	14.05		2990
	FOURTH			14	21.54		3	4.62		29	44.62									Excluded		11	16.92		8	12.31		65
		TOTAL		1467	49.06		179	5.99		146	4.88											770	25.75		428	14.31		2990
	FIFTH			78	53.42		19	13.01			Excluded											17	11.64		32	21.92		146
		TOTAL		1545	51.67		198	6.62														787	26.32		460	15.38		2990
	SIXTH			66	33.33			Excluded														94	47.47		38	19.19		198
		TOTAL		1611	53.88																	881	29.46		498	16.66		2990
	SEVENTH			92	18.47																	406	81.53			Excluded		498
		TOTAL		1703	56.96																	1287	43.04					2990
				Elected																								
																												
Secret Harbour                                                 																												
	FIRST			480	41.74		43	3.74		28	2.43		1	0.09		13	1.13		27	2.35		388	33.74		170	14.78		1150
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL		480	41.74		43	3.74		28	2.43					13	1.13		28	2.43		388	33.74		170	14.78		1150
	THIRD			1	7.69		1	7.69		0	0.00						Excluded		3	23.08		4	30.77		4	30.77		13
		TOTAL		481	41.83		44	3.83		28	2.43								31	2.70		392	34.09		174	15.13		1150
	FOURTH			8	25.81		2	6.45		6	19.35									Excluded		7	22.58		8	25.81		31
		TOTAL		489	42.52		46	4.00		34	2.96											399	34.70		182	15.83		1150
	FIFTH			12	35.29		4	11.76			Excluded											6	17.65		12	35.29		34
		TOTAL		501	43.57		50	4.35														405	35.22		194	16.87		1150
	SIXTH			10	20.00			Excluded														24	48.00		16	32.00		50
		TOTAL		511	44.43																	429	37.30		210	18.26		1150
	SEVENTH			39	18.57																	171	81.43			Excluded		210
		TOTAL		550	47.83																	600	52.17					1150
				Elected																								
																												
Singleton                                                      																												
	FIRST			451	45.60		47	4.75		42	4.25		1	0.10		14	1.42		23	2.33		276	27.91		135	13.65		989
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		451	45.60		47	4.75		42	4.25					15	1.52		23	2.33		276	27.91		135	13.65		989
	THIRD			5	33.33		4	26.67		2	13.33						Excluded		0	0.00		4	26.67		0	0.00		15
		TOTAL		456	46.11		51	5.16		44	4.45								23	2.33		280	28.31		135	13.65		989
	FOURTH			7	30.43		3	13.04		6	26.09									Excluded		2	8.70		5	21.74		23
		TOTAL		463	46.81		54	5.46		50	5.06											282	28.51		140	14.16		989
	FIFTH			21	42.00		11	22.00			Excluded											7	14.00		11	22.00		50
		TOTAL		484	48.94		65	6.57														289	29.22		151	15.27		989
	SIXTH			21	32.31			Excluded														21	32.31		23	35.38		65
		TOTAL		505	51.06																	310	31.34		174	17.59		989
	SEVENTH			25	14.37																	149	85.63			Excluded		174
		TOTAL		530	53.59																	459	46.41					989
				Elected																								
																												
Waikiki                                                        																												
	FIRST			1959	49.82		224	5.70		130	3.31		3	0.08		46	1.17		110	2.80		984	25.03		476	12.11		3932
	SECOND			0	0.00		0	0.00		2	66.67			Excluded		0	0.00		0	0.00		1	33.33		0	0.00		3
		TOTAL		1959	49.82		224	5.70		132	3.36					46	1.17		110	2.80		985	25.05		476	12.11		3932
	THIRD			11	23.91		7	15.22		2	4.35						Excluded		3	6.52		17	36.96		6	13.04		46
		TOTAL		1970	50.10		231	5.87		134	3.41								113	2.87		1002	25.48		482	12.26		3932
	FOURTH			26	23.01		8	7.08		52	46.02									Excluded		11	9.73		16	14.16		113
		TOTAL		1996	50.76		239	6.08		186	4.73											1013	25.76		498	12.67		3932
	FIFTH			90	48.39		24	12.90			Excluded											19	10.22		53	28.49		186
		TOTAL		2086	53.05		263	6.69														1032	26.25		551	14.01		3932
	SIXTH			81	30.80			Excluded														118	44.87		64	24.33		263
		TOTAL		2167	55.11																	1150	29.25		615	15.64		3932
	SEVENTH			112	18.21																	503	81.79			Excluded		615
		TOTAL		2279	57.96																	1653	42.04					3932
				Elected																								
																												
Warnbro                                                        																												
	FIRST			1490	52.78		163	5.77		128	4.53		7	0.25		16	0.57		70	2.48		628	22.25		321	11.37		2823
	SECOND			1	14.29		0	0.00		1	14.29			Excluded		2	28.57		0	0.00		0	0.00		3	42.86		7
		TOTAL		1491	52.82		163	5.77		129	4.57					18	0.64		70	2.48		628	22.25		324	11.48		2823
	THIRD			2	11.11		3	16.67		2	11.11						Excluded		2	11.11		5	27.78		4	22.22		18
		TOTAL		1493	52.89		166	5.88		131	4.64								72	2.55		633	22.42		328	11.62		2823
	FOURTH			21	29.17		6	8.33		35	48.61									Excluded		3	4.17		7	9.72		72
		TOTAL		1514	53.63		172	6.09		166	5.88											636	22.53		335	11.87		2823
	FIFTH			62	37.35		27	16.27			Excluded											17	10.24		60	36.14		166
		TOTAL		1576	55.83		199	7.05														653	23.13		395	13.99		2823
	SIXTH			67	33.67			Excluded														79	39.70		53	26.63		199
		TOTAL		1643	58.20																	732	25.93		448	15.87		2823
	SEVENTH			97	21.65																	351	78.35			Excluded		448
		TOTAL		1740	61.64																	1083	38.36					2823
				Elected																								
																												
Warnbro East                                                   																												
	FIRST			1405	60.27		115	4.93		61	2.62		5	0.21		16	0.69		65	2.79		382	16.39		282	12.10		2331
	SECOND			1	20.00		1	20.00		0	0.00			Excluded		3	60.00		0	0.00		0	0.00		0	0.00		5
		TOTAL		1406	60.32		116	4.98		61	2.62					19	0.82		65	2.79		382	16.39		282	12.10		2331
	THIRD			0	0.00		0	0.00		2	10.53						Excluded		6	31.58		7	36.84		4	21.05		19
		TOTAL		1406	60.32		116	4.98		63	2.70								71	3.05		389	16.69		286	12.27		2331
	FOURTH			29	40.85		2	2.82		28	39.44									Excluded		7	9.86		5	7.04		71
		TOTAL		1435	61.56		118	5.06		91	3.90											396	16.99		291	12.48		2331
	FIFTH			44	48.35		9	9.89			Excluded											11	12.09		27	29.67		91
		TOTAL		1479	63.45		127	5.45														407	17.46		318	13.64		2331
	SIXTH			48	37.80			Excluded														42	33.07		37	29.13		127
		TOTAL		1527	65.51																	449	19.26		355	15.23		2331
	SEVENTH			58	16.34																	297	83.66			Excluded		355
		TOTAL		1585	68.00																	746	32.00					2331
				Elected																								
																												
Wellard                                                        																												
	FIRST			245	45.37		37	6.85		9	1.67		0	0.00		12	2.22		10	1.85		156	28.89		71	13.15		540
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		245	45.37		37	6.85		9	1.67					12	2.22		10	1.85		156	28.89		71	13.15		540
	THIRD			0	0.00		5	41.67		0	0.00						Excluded		0	0.00		5	41.67		2	16.67		12
		TOTAL		245	45.37		42	7.78		9	1.67								10	1.85		161	29.81		73	13.52		540
	FOURTH			1	10.00		1	10.00		6	60.00									Excluded		1	10.00		1	10.00		10
		TOTAL		246	45.56		43	7.96		15	2.78											162	30.00		74	13.70		540
	FIFTH			6	40.00		5	33.33			Excluded											0	0.00		4	26.67		15
		TOTAL		252	46.67		48	8.89														162	30.00		78	14.44		540
	SIXTH			16	33.33			Excluded														15	31.25		17	35.42		48
		TOTAL		268	49.63																	177	32.78		95	17.59		540
	SEVENTH			14	14.74																	81	85.26			Excluded		95
		TOTAL		282	52.22																	258	47.78					540
				Elected																								
																												
Special Hospital Team 1                                        																												
	FIRST			105	57.69		5	2.75		0	0.00		2	1.10		1	0.55		4	2.20		52	28.57		13	7.14		182
	SECOND			1	50.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		106	58.24		5	2.75		0	0.00					1	0.55		5	2.75		52	28.57		13	7.14		182
	THIRD			0	0.00		0	0.00		0	0.00						Excluded		1	100.00		0	0.00		0	0.00		1
		TOTAL		106	58.24		5	2.75		0	0.00								6	3.30		52	28.57		13	7.14		182
	FOURTH			2	33.33		1	16.67		1	16.67									Excluded		1	16.67		1	16.67		6
		TOTAL		108	59.34		6	3.30		1	0.55											53	29.12		14	7.69		182
	FIFTH			1	100.00		0	0.00			Excluded											0	0.00		0	0.00		1
		TOTAL		109	59.89		6	3.30														53	29.12		14	7.69		182
	SIXTH			4	66.67			Excluded														1	16.67		1	16.67		6
		TOTAL		113	62.09																	54	29.67		15	8.24		182
	SEVENTH			5	33.33																	10	66.67			Excluded		15
		TOTAL		118	64.84																	64	35.16					182
				Elected																								
																												
Special Hospital Team 2                                        																												
	FIRST			98	52.41		7	3.74		3	1.60		1	0.53		0	0.00		1	0.53		65	34.76		12	6.42		187
	SECOND			1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		99	52.94		7	3.74		3	1.60					0	0.00		1	0.53		65	34.76		12	6.42		187
	THIRD			0	0.00		0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		99	52.94		7	3.74		3	1.60								1	0.53		65	34.76		12	6.42		187
	FOURTH			0	0.00		0	0.00		0	0.00									Excluded		1	100.00		0	0.00		1
		TOTAL		99	52.94		7	3.74		3	1.60											66	35.29		12	6.42		187
	FIFTH			1	33.33		0	0.00			Excluded											1	33.33		1	33.33		3
		TOTAL		100	53.48		7	3.74														67	35.83		13	6.95		187
	SIXTH			2	28.57			Excluded														5	71.43		0	0.00		7
		TOTAL		102	54.55																	72	38.50		13	6.95		187
	SEVENTH			0	0.00																	13	100.00			Excluded		13
		TOTAL		102	54.55																	85	45.45					187
				Elected																								
																												
Prison Mobile Team 1                                           																												
	FIRST			2	66.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		3
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	66.67		0	0.00		0	0.00					0	0.00		0	0.00		1	33.33		0	0.00		3
	THIRD			0	0.00		0	0.00		0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	66.67		0	0.00		0	0.00								0	0.00		1	33.33		0	0.00		3
	FOURTH			0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0
		TOTAL		2	66.67		0	0.00		0	0.00											1	33.33		0	0.00		3
	FIFTH			0	0.00		0	0.00			Excluded											0	0.00		0	0.00		0
		TOTAL		2	66.67		0	0.00														1	33.33		0	0.00		3
	SIXTH			0	0.00			Excluded														0	0.00		0	0.00		0
		TOTAL		2	66.67																	1	33.33		0	0.00		3
	SEVENTH			0	0.00																	0	0.00			Excluded		0
		TOTAL		2	66.67																	1	33.33					3
				Elected																								
																												
ABSENT																												
	FIRST			2269	49.01		337	7.28		283	6.11		20	0.43		51	1.10		158	3.41		1163	25.12		349	7.54		4630
	SECOND			1	5.00		4	20.00		7	35.00			Excluded		2	10.00		2	10.00		4	20.00		0	0.00		20
		TOTAL		2270	49.03		341	7.37		290	6.26					53	1.14		160	3.46		1167	25.21		349	7.54		4630
	THIRD			8	15.09		8	15.09		8	15.09						Excluded		4	7.55		19	35.85		6	11.32		53
		TOTAL		2278	49.20		349	7.54		298	6.44								164	3.54		1186	25.62		355	7.67		4630
	FOURTH			41	25.00		11	6.71		60	36.59									Excluded		31	18.90		21	12.80		164
		TOTAL		2319	50.09		360	7.78		358	7.73											1217	26.29		376	8.12		4630
	FIFTH			140	39.11		77	21.51			Excluded											39	10.89		102	28.49		358
		TOTAL		2459	53.11		437	9.44														1256	27.13		478	10.32		4630
	SIXTH			178	40.73			Excluded														148	33.87		111	25.40		437
		TOTAL		2637	56.95																	1404	30.32		589	12.72		4630
	SEVENTH			141	23.94																	448	76.06			Excluded		589
		TOTAL		2778	60.00																	1852	40.00					4630
				Elected																								
																												
POSTAL																												
	FIRST			981	51.31		140	7.32		49	2.56		4	0.21		6	0.31		44	2.30		513	26.83		175	9.15		1912
	SECOND			1	25.00		0	0.00		2	50.00			Excluded		1	25.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		982	51.36		140	7.32		51	2.67					7	0.37		44	2.30		513	26.83		175	9.15		1912
	THIRD			2	28.57		0	0.00		0	0.00						Excluded		2	28.57		1	14.29		2	28.57		7
		TOTAL		984	51.46		140	7.32		51	2.67								46	2.41		514	26.88		177	9.26		1912
	FOURTH			15	32.61		6	13.04		10	21.74									Excluded		13	28.26		2	4.35		46
		TOTAL		999	52.25		146	7.64		61	3.19											527	27.56		179	9.36		1912
	FIFTH			27	44.26		6	9.84			Excluded											4	6.56		24	39.34		61
		TOTAL		1026	53.66		152	7.95														531	27.77		203	10.62		1912
	SIXTH			49	32.24			Excluded														51	33.55		52	34.21		152
		TOTAL		1075	56.22																	582	30.44		255	13.34		1912
	SEVENTH			43	16.86																	212	83.14			Excluded		255
		TOTAL		1118	58.47																	794	41.53					1912
				Elected																								
																												
PRE POLL																												
	FIRST			2149	48.50		317	7.15		124	2.80		15	0.34		26	0.59		105	2.37		1322	29.84		373	8.42		4431
	SECOND			2	13.33		2	13.33		3	20.00			Excluded		3	20.00		2	13.33		2	13.33		1	6.67		15
		TOTAL		2151	48.54		319	7.20		127	2.87					29	0.65		107	2.41		1324	29.88		374	8.44		4431
	THIRD			3	10.34		2	6.90		5	17.24						Excluded		5	17.24		10	34.48		4	13.79		29
		TOTAL		2154	48.61		321	7.24		132	2.98								112	2.53		1334	30.11		378	8.53		4431
	FOURTH			30	26.79		7	6.25		38	33.93									Excluded		23	20.54		14	12.50		112
		TOTAL		2184	49.29		328	7.40		170	3.84											1357	30.63		392	8.85		4431
	FIFTH			62	36.47		26	15.29			Excluded											28	16.47		54	31.76		170
		TOTAL		2246	50.69		354	7.99														1385	31.26		446	10.07		4431
	SIXTH			129	36.44			Excluded														127	35.88		98	27.68		354
		TOTAL		2375	53.60																	1512	34.12		544	12.28		4431
	SEVENTH			132	24.26																	412	75.74			Excluded		544
		TOTAL		2507	56.58																	1924	43.42					4431
				Elected																								
																												
PROVISIONAL																												
	FIRST			425	60.54		47	6.70		24	3.42		2	0.28		9	1.28		20	2.85		130	18.52		45	6.41		702
	SECOND			0	0.00		1	50.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		425	60.54		48	6.84		24	3.42					10	1.42		20	2.85		130	18.52		45	6.41		702
	THIRD			2	20.00		0	0.00		3	30.00						Excluded		0	0.00		4	40.00		1	10.00		10
		TOTAL		427	60.83		48	6.84		27	3.85								20	2.85		134	19.09		46	6.55		702
	FOURTH			4	20.00		0	0.00		7	35.00									Excluded		2	10.00		7	35.00		20
		TOTAL		431	61.40		48	6.84		34	4.84											136	19.37		53	7.55		702
	FIFTH			19	55.88		4	11.76			Excluded											2	5.88		9	26.47		34
		TOTAL		450	64.10		52	7.41														138	19.66		62	8.83		702
	SIXTH			18	34.62			Excluded														22	42.31		12	23.08		52
		TOTAL		468	66.67																	160	22.79		74	10.54		702
	SEVENTH			14	18.92																	60	81.08			Excluded		74
		TOTAL		482	68.66																	220	31.34					702
				Elected																								
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
