House of Representatives - 2001 Election: Western Australia																									
Distribution of Preferences																									
By Polling Place																									
																									
Cowan																									
					HOLT			METCALF			CHALONER			FORT			SHANNON			SALMON			EDWARDS		
		TOTAL		106	5.21					80	3.93		99	4.87		986	48.48					763	37.51		2034
	FOURTH			12	12.12					49	49.49			Excluded		12	12.12					26	26.26		99
		TOTAL		118	5.80					129	6.34					998	49.07					789	38.79		2034
	FIFTH			13	10.08						Excluded					37	28.68					79	61.24		129
		TOTAL		131	6.44											1035	50.88					868	42.67		2034
	SIXTH				Excluded											91	69.47					40	30.53		131
		TOTAL														1126	55.36					908	44.64		2034
																						Elected			
																									
Woodvale North                                                 																									
	FIRST			130	3.93		18	0.54		175	5.30		112	3.39		1552	46.96		26	0.79		1292	39.09		3305
	SECOND			3	16.67			Excluded		3	16.67		2	11.11		9	50.00		1	5.56		0	0.00		18
		TOTAL		133	4.02					178	5.39		114	3.45		1561	47.23		27	0.82		1292	39.09		3305
	THIRD			3	11.11					6	22.22		2	7.41		11	40.74			Excluded		5	18.52		27
		TOTAL		136	4.11					184	5.57		116	3.51		1572	47.56					1297	39.24		3305
	FOURTH			15	12.93					51	43.97			Excluded		21	18.10					29	25.00		116
		TOTAL		151	4.57					235	7.11					1593	48.20					1326	40.12		3305
	FIFTH			38	16.17						Excluded					88	37.45					109	46.38		235
		TOTAL		189	5.72											1681	50.86					1435	43.42		3305
	SIXTH				Excluded											116	61.38					73	38.62		189
		TOTAL														1797	54.37					1508	45.63		3305
																						Elected			
																									
Special Hospital Team 1                                        																									
	FIRST			9	2.74		7	2.13		3	0.91		5	1.52		178	54.10		3	0.91		124	37.69		329
	SECOND			3	42.86			Excluded		0	0.00		2	28.57		1	14.29		0	0.00		1	14.29		7
		TOTAL		12	3.65					3	0.91		7	2.13		179	54.41		3	0.91		125	37.99		329
	THIRD			0	0.00					1	33.33		0	0.00		1	33.33			Excluded		1	33.33		3
		TOTAL		12	3.65					4	1.22		7	2.13		180	54.71					126	38.30		329
	FOURTH			0	0.00					2	28.57			Excluded		3	42.86					2	28.57		7
		TOTAL		12	3.65					6	1.82					183	55.62					128	38.91		329
	FIFTH			1	16.67						Excluded					2	33.33					3	50.00		6
		TOTAL		13	3.95											185	56.23					131	39.82		329
	SIXTH				Excluded											9	69.23					4	30.77		13
		TOTAL														194	58.97					135	41.03		329
																						Elected			
																									
ABSENT																									
	FIRST			403	7.02		62	1.08		328	5.71		418	7.28		1965	34.22		146	2.54		2421	42.16		5743
	SECOND			11	17.74			Excluded		17	27.42		10	16.13		15	24.19		2	3.23		7	11.29		62
		TOTAL		414	7.21					345	6.01		428	7.45		1980	34.48		148	2.58		2428	42.28		5743
	THIRD			39	26.35					15	10.14		13	8.78		62	41.89			Excluded		19	12.84		148
		TOTAL		453	7.89					360	6.27		441	7.68		2042	35.56					2447	42.61		5743
	FOURTH			68	15.42					171	38.78			Excluded		85	19.27					117	26.53		441
		TOTAL		521	9.07					531	9.25					2127	37.04					2564	44.65		5743
	FIFTH			98	18.46						Excluded					163	30.70					270	50.85		531
		TOTAL		619	10.78											2290	39.87					2834	49.35		5743
	SIXTH				Excluded											370	59.77					249	40.23		619
		TOTAL														2660	46.32					3083	53.68		5743
																						Elected			
																									
POSTAL																									
	FIRST			121	6.78		9	0.50		52	2.91		40	2.24		762	42.69		16	0.90		785	43.98		1785
	SECOND			1	11.11			Excluded		1	11.11		3	33.33		2	22.22		0	0.00		2	22.22		9
		TOTAL		122	6.83					53	2.97		43	2.41		764	42.80		16	0.90		787	44.09		1785
	THIRD			6	37.50					1	6.25		3	18.75		5	31.25			Excluded		1	6.25		16
		TOTAL		128	7.17					54	3.03		46	2.58		769	43.08					788	44.15		1785
	FOURTH			3	6.52					19	41.30			Excluded		10	21.74					14	30.43		46
		TOTAL		131	7.34					73	4.09					779	43.64					802	44.93		1785
	FIFTH			12	16.44						Excluded					24	32.88					37	50.68		73
		TOTAL		143	8.01											803	44.99					839	47.00		1785
	SIXTH				Excluded											82	57.34					61	42.66		143
		TOTAL														885	49.58					900	50.42		1785
																						Elected			
																									
PRE POLL																									
	FIRST			147	6.43		19	0.83		104	4.55		96	4.20		947	41.44		30	1.31		942	41.23		2285
	SECOND			3	15.79			Excluded		3	15.79		3	15.79		8	42.11		1	5.26		1	5.26		19
		TOTAL		150	6.56					107	4.68		99	4.33		955	41.79		31	1.36		943	41.27		2285
	THIRD			3	9.68					4	12.90		3	9.68		13	41.94			Excluded		8	25.81		31
		TOTAL		153	6.70					111	4.86		102	4.46		968	42.36					951	41.62		2285
	FOURTH			6	5.88					39	38.24			Excluded		20	19.61					37	36.27		102
		TOTAL		159	6.96					150	6.56					988	43.24					988	43.24		2285
	FIFTH			19	12.67						Excluded					50	33.33					81	54.00		150
		TOTAL		178	7.79											1038	45.43					1069	46.78		2285
	SIXTH				Excluded											98	55.06					80	44.94		178
		TOTAL														1136	49.72					1149	50.28		2285
																						Elected			
																									
PROVISIONAL																									
	FIRST			21	6.38		6	1.82		14	4.26		20	6.08		72	21.88		9	2.74		187	56.84		329
	SECOND			1	16.67			Excluded		2	33.33		1	16.67		0	0.00		1	16.67		1	16.67		6
		TOTAL		22	6.69					16	4.86		21	6.38		72	21.88		10	3.04		188	57.14		329
	THIRD			3	30.00					1	10.00		1	10.00		3	30.00			Excluded		2	20.00		10
		TOTAL		25	7.60					17	5.17		22	6.69		75	22.80					190	57.75		329
	FOURTH			5	22.73					11	50.00			Excluded		1	4.55					5	22.73		22
		TOTAL		30	9.12					28	8.51					76	23.10					195	59.27		329
	FIFTH			8	28.57						Excluded					7	25.00					13	46.43		28
		TOTAL		38	11.55											83	25.23					208	63.22		329
	SIXTH				Excluded											29	76.32					9	23.68		38
		TOTAL														112	34.04					217	65.96		329
																						Elected			
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
