House of Representatives - 2001 Election: Western Australia																																
Distribution of Preferences																																
By Polling Place																																
Hasluck																																
				MCLEAN			JACKSON			DANIELS			RYAN			EDMONDS			MARKHAM			HOPKINSON			HEGARTY			CHAN				
		TOTAL					774	26.32								188	6.39		167	5.68		181	6.15					1631	55.46		2941	
	SIXTH						40	23.95								80	47.90			Excluded		8	4.79					39	23.35		167	
		TOTAL					814	27.68								268	9.11					189	6.43					1670	56.78		2941	
	SEVENTH						75	39.68								45	23.81						Excluded					69	36.51		189	
		TOTAL					889	30.23								313	10.64											1739	59.13		2941	
	EIGHTH						216	69.01									Excluded											97	30.99		313	
		TOTAL					1105	37.57																				1836	62.43		2941	
							Elected																									
																																
Maddington                                                     																																
	FIRST			44	1.65		1300	48.65		11	0.41		68	2.54		135	5.05		98	3.67		204	7.63		10	0.37		802	30.01		2672	
	SECOND			0	0.00		1	10.00		0	0.00		1	10.00		1	10.00		2	20.00		1	10.00			Excluded		4	40.00		10	
		TOTAL		44	1.65		1301	48.69		11	0.41		69	2.58		136	5.09		100	3.74		205	7.67					806	30.16		2672	
	THIRD			0	0.00		8	72.73			Excluded		1	9.09		0	0.00		0	0.00		0	0.00					2	18.18		11	
		TOTAL		44	1.65		1309	48.99					70	2.62		136	5.09		100	3.74		205	7.67					808	30.24		2672	
	FOURTH				Excluded		29	65.91					5	11.36		5	11.36		2	4.55		3	6.82					0	0.00		44	
		TOTAL					1338	50.07					75	2.81		141	5.28		102	3.82		208	7.78					808	30.24		2672	
	FIFTH						12	16.00						Excluded		9	12.00		8	10.67		7	9.33					39	52.00		75	
		TOTAL					1350	50.52								150	5.61		110	4.12		215	8.05					847	31.70		2672	
	SIXTH						29	26.36								43	39.09			Excluded		16	14.55					22	20.00		110	
		TOTAL					1379	51.61								193	7.22					231	8.65					869	32.52		2672	
	SEVENTH						78	33.77								75	32.47						Excluded					78	33.77		231	
		TOTAL					1457	54.53								268	10.03											947	35.44		2672	
	EIGHTH						177	66.04									Excluded											91	33.96		268	
		TOTAL					1634	61.15																				1038	38.85		2672	
							Elected																									
																																
Maddington East                                                																																
	FIRST			11	1.20		433	47.37		4	0.44		20	2.19		44	4.81		51	5.58		82	8.97		3	0.33		266	29.10		914	
	SECOND			0	0.00		1	33.33		1	33.33		0	0.00		1	33.33		0	0.00		0	0.00			Excluded		0	0.00		3	
		TOTAL		11	1.20		434	47.48		5	0.55		20	2.19		45	4.92		51	5.58		82	8.97					266	29.10		914	
	THIRD			0	0.00		4	80.00			Excluded		0	0.00		0	0.00		1	20.00		0	0.00					0	0.00		5	
		TOTAL		11	1.20		438	47.92					20	2.19		45	4.92		52	5.69		82	8.97					266	29.10		914	
	FOURTH				Excluded		7	63.64					0	0.00		0	0.00		0	0.00		2	18.18					2	18.18		11	
		TOTAL					445	48.69					20	2.19		45	4.92		52	5.69		84	9.19					268	29.32		914	
	FIFTH						1	5.00						Excluded		0	0.00		2	10.00		0	0.00					17	85.00		20	
		TOTAL					446	48.80								45	4.92		54	5.91		84	9.19					285	31.18		914	
	SIXTH						17	31.48								22	40.74			Excluded		5	9.26					10	18.52		54	
		TOTAL					463	50.66								67	7.33					89	9.74					295	32.28		914	
	SEVENTH						36	40.45								23	25.84						Excluded					30	33.71		89	
		TOTAL					499	54.60								90	9.85											325	35.56		914	
	EIGHTH						57	63.33									Excluded											33	36.67		90	
		TOTAL					556	60.83																				358	39.17		914	
							Elected																									
																																
Maddington North                                               																																
	FIRST			10	1.59		285	45.45		2	0.32		2	0.32		24	3.83		16	2.55		44	7.02		2	0.32		242	38.60		627	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		10	1.59		286	45.61		2	0.32		2	0.32		24	3.83		17	2.71		44	7.02					242	38.60		627	
	THIRD			0	0.00		1	50.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		10	1.59		287	45.77					2	0.32		25	3.99		17	2.71		44	7.02					242	38.60		627	
	FOURTH				Excluded		5	50.00					2	20.00		1	10.00		1	10.00		1	10.00					0	0.00		10	
		TOTAL					292	46.57					4	0.64		26	4.15		18	2.87		45	7.18					242	38.60		627	
	FIFTH						2	50.00						Excluded		0	0.00		0	0.00		0	0.00					2	50.00		4	
		TOTAL					294	46.89								26	4.15		18	2.87		45	7.18					244	38.92		627	
	SIXTH						8	44.44								6	33.33			Excluded		2	11.11					2	11.11		18	
		TOTAL					302	48.17								32	5.10					47	7.50					246	39.23		627	
	SEVENTH						27	57.45								9	19.15						Excluded					11	23.40		47	
		TOTAL					329	52.47								41	6.54											257	40.99		627	
	EIGHTH						28	68.29									Excluded											13	31.71		41	
		TOTAL					357	56.94																				270	43.06		627	
							Elected																									
																																
Maida Vale                                                     																																
	FIRST			14	0.58		637	26.56		6	0.25		31	1.29		115	4.80		117	4.88		139	5.80		20	0.83		1319	55.00		2398	
	SECOND			0	0.00		2	10.00		0	0.00		0	0.00		2	10.00		2	10.00		2	10.00			Excluded		12	60.00		20	
		TOTAL		14	0.58		639	26.65		6	0.25		31	1.29		117	4.88		119	4.96		141	5.88					1331	55.50		2398	
	THIRD			1	16.67		3	50.00			Excluded		1	16.67		1	16.67		0	0.00		0	0.00					0	0.00		6	
		TOTAL		15	0.63		642	26.77					32	1.33		118	4.92		119	4.96		141	5.88					1331	55.50		2398	
	FOURTH				Excluded		10	66.67					1	6.67		1	6.67		1	6.67		1	6.67					1	6.67		15	
		TOTAL					652	27.19					33	1.38		119	4.96		120	5.00		142	5.92					1332	55.55		2398	
	FIFTH						4	12.12						Excluded		4	12.12		0	0.00		3	9.09					22	66.67		33	
		TOTAL					656	27.36								123	5.13		120	5.00		145	6.05					1354	56.46		2398	
	SIXTH						28	23.33								64	53.33			Excluded		11	9.17					17	14.17		120	
		TOTAL					684	28.52								187	7.80					156	6.51					1371	57.17		2398	
	SEVENTH						34	21.79								60	38.46						Excluded					62	39.74		156	
		TOTAL					718	29.94								247	10.30											1433	59.76		2398	
	EIGHTH						166	67.21									Excluded											81	32.79		247	
		TOTAL					884	36.86																				1514	63.14		2398	
							Elected																									
																																
Middle Swan                                                    																																
	FIRST			27	1.63		838	50.73		14	0.85		18	1.09		73	4.42		78	4.72		102	6.17		6	0.36		496	30.02		1652	
	SECOND			0	0.00		1	16.67		0	0.00		0	0.00		0	0.00		1	16.67		2	33.33			Excluded		2	33.33		6	
		TOTAL		27	1.63		839	50.79		14	0.85		18	1.09		73	4.42		79	4.78		104	6.30					498	30.15		1652	
	THIRD			2	14.29		3	21.43			Excluded		1	7.14		2	14.29		5	35.71		1	7.14					0	0.00		14	
		TOTAL		29	1.76		842	50.97					19	1.15		75	4.54		84	5.08		105	6.36					498	30.15		1652	
	FOURTH				Excluded		22	75.86					2	6.90		1	3.45		0	0.00		2	6.90					2	6.90		29	
		TOTAL					864	52.30					21	1.27		76	4.60		84	5.08		107	6.48					500	30.27		1652	
	FIFTH						7	33.33						Excluded		4	19.05		5	23.81		0	0.00					5	23.81		21	
		TOTAL					871	52.72								80	4.84		89	5.39		107	6.48					505	30.57		1652	
	SIXTH						17	19.10								45	50.56			Excluded		15	16.85					12	13.48		89	
		TOTAL					888	53.75								125	7.57					122	7.38					517	31.30		1652	
	SEVENTH						35	28.69								40	32.79						Excluded					47	38.52		122	
		TOTAL					923	55.87								165	9.99											564	34.14		1652	
	EIGHTH						126	76.36									Excluded											39	23.64		165	
		TOTAL					1049	63.50																				603	36.50		1652	
							Elected																									
																																
Midland (Hasluck)                                              																																
	FIRST			33	1.62		992	48.63		13	0.64		29	1.42		135	6.62		112	5.49		121	5.93		8	0.39		597	29.26		2040	
	SECOND			1	12.50		0	0.00		0	0.00		2	25.00		0	0.00		0	0.00		4	50.00			Excluded		1	12.50		8	
		TOTAL		34	1.67		992	48.63		13	0.64		31	1.52		135	6.62		112	5.49		125	6.13					598	29.31		2040	
	THIRD			1	7.69		6	46.15			Excluded		1	7.69		4	30.77		1	7.69		0	0.00					0	0.00		13	
		TOTAL		35	1.72		998	48.92					32	1.57		139	6.81		113	5.54		125	6.13					598	29.31		2040	
	FOURTH				Excluded		29	82.86					3	8.57		1	2.86		0	0.00		1	2.86					1	2.86		35	
		TOTAL					1027	50.34					35	1.72		140	6.86		113	5.54		126	6.18					599	29.36		2040	
	FIFTH						12	34.29						Excluded		6	17.14		4	11.43		3	8.57					10	28.57		35	
		TOTAL					1039	50.93								146	7.16		117	5.74		129	6.32					609	29.85		2040	
	SIXTH						24	20.51								70	59.83			Excluded		11	9.40					12	10.26		117	
		TOTAL					1063	52.11								216	10.59					140	6.86					621	30.44		2040	
	SEVENTH						52	37.14								47	33.57						Excluded					41	29.29		140	
		TOTAL					1115	54.66								263	12.89											662	32.45		2040	
	EIGHTH						194	73.76									Excluded											69	26.24		263	
		TOTAL					1309	64.17																				731	35.83		2040	
							Elected																									
																																
Perth (Hasluck)                                                																																
	FIRST			1	0.89		34	30.36		3	2.68		1	0.89		20	17.86		11	9.82		6	5.36		1	0.89		35	31.25		112	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		1	0.89		34	30.36		3	2.68		1	0.89		20	17.86		12	10.71		6	5.36					35	31.25		112	
	THIRD			0	0.00		1	33.33			Excluded		1	33.33		0	0.00		1	33.33		0	0.00					0	0.00		3	
		TOTAL		1	0.89		35	31.25					2	1.79		20	17.86		13	11.61		6	5.36					35	31.25		112	
	FOURTH				Excluded		1	100.00					0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					36	32.14					2	1.79		20	17.86		13	11.61		6	5.36					35	31.25		112	
	FIFTH						1	50.00						Excluded		1	50.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL					37	33.04								21	18.75		13	11.61		6	5.36					35	31.25		112	
	SIXTH						3	23.08								7	53.85			Excluded		1	7.69					2	15.38		13	
		TOTAL					40	35.71								28	25.00					7	6.25					37	33.04		112	
	SEVENTH						0	0.00								2	28.57						Excluded					5	71.43		7	
		TOTAL					40	35.71								30	26.79											42	37.50		112	
	EIGHTH						23	76.67									Excluded											7	23.33		30	
		TOTAL					63	56.25																				49	43.75		112	
							Elected																									
																																
Rottnest (Hasluck)                                             																																
	FIRST			0	0.00		6	15.38		0	0.00		3	7.69		5	12.82		0	0.00		2	5.13		0	0.00		23	58.97		39	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		6	15.38		0	0.00		3	7.69		5	12.82		0	0.00		2	5.13					23	58.97		39	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		6	15.38					3	7.69		5	12.82		0	0.00		2	5.13					23	58.97		39	
	FOURTH				Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					6	15.38					3	7.69		5	12.82		0	0.00		2	5.13					23	58.97		39	
	FIFTH						0	0.00						Excluded		0	0.00		1	33.33		1	33.33					1	33.33		3	
		TOTAL					6	15.38								5	12.82		1	2.56		3	7.69					24	61.54		39	
	SIXTH						0	0.00								1	100.00			Excluded		0	0.00					0	0.00		1	
		TOTAL					6	15.38								6	15.38					3	7.69					24	61.54		39	
	SEVENTH						1	33.33								1	33.33						Excluded					1	33.33		3	
		TOTAL					7	17.95								7	17.95											25	64.10		39	
	EIGHTH						4	57.14									Excluded											3	42.86		7	
		TOTAL					11	28.21																				28	71.79		39	
							Elected																									
																																
Swan View (Hasluck)                                            																																
	FIRST			3	1.08		111	39.93		5	1.80		5	1.80		24	8.63		22	7.91		21	7.55		3	1.08		84	30.22		278	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	66.67		0	0.00			Excluded		1	33.33		3	
		TOTAL		3	1.08		111	39.93		5	1.80		5	1.80		24	8.63		24	8.63		21	7.55					85	30.58		278	
	THIRD			1	20.00		3	60.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					1	20.00		5	
		TOTAL		4	1.44		114	41.01					5	1.80		24	8.63		24	8.63		21	7.55					86	30.94		278	
	FOURTH				Excluded		1	25.00					2	50.00		1	25.00		0	0.00		0	0.00					0	0.00		4	
		TOTAL					115	41.37					7	2.52		25	8.99		24	8.63		21	7.55					86	30.94		278	
	FIFTH						2	28.57						Excluded		1	14.29		1	14.29		1	14.29					2	28.57		7	
		TOTAL					117	42.09								26	9.35		25	8.99		22	7.91					88	31.65		278	
	SIXTH						5	20.00								11	44.00			Excluded		5	20.00					4	16.00		25	
		TOTAL					122	43.88								37	13.31					27	9.71					92	33.09		278	
	SEVENTH						13	48.15								9	33.33						Excluded					5	18.52		27	
		TOTAL					135	48.56								46	16.55											97	34.89		278	
	EIGHTH						29	63.04									Excluded											17	36.96		46	
		TOTAL					164	58.99																				114	41.01		278	
							Elected																									
																																
Thornlie (Hasluck)                                             																																
	FIRST			35	1.12		1243	39.70		18	0.57		90	2.87		118	3.77		167	5.33		185	5.91		13	0.42		1262	40.31		3131	
	SECOND			3	23.08		0	0.00		0	0.00		1	7.69		2	15.38		1	7.69		2	15.38			Excluded		4	30.77		13	
		TOTAL		38	1.21		1243	39.70		18	0.57		91	2.91		120	3.83		168	5.37		187	5.97					1266	40.43		3131	
	THIRD			0	0.00		8	44.44			Excluded		3	16.67		1	5.56		3	16.67		1	5.56					2	11.11		18	
		TOTAL		38	1.21		1251	39.96					94	3.00		121	3.86		171	5.46		188	6.00					1268	40.50		3131	
	FOURTH				Excluded		25	65.79					1	2.63		3	7.89		2	5.26		2	5.26					5	13.16		38	
		TOTAL					1276	40.75					95	3.03		124	3.96		173	5.53		190	6.07					1273	40.66		3131	
	FIFTH						10	10.53						Excluded		12	12.63		8	8.42		7	7.37					58	61.05		95	
		TOTAL					1286	41.07								136	4.34		181	5.78		197	6.29					1331	42.51		3131	
	SIXTH						35	19.34								96	53.04			Excluded		18	9.94					32	17.68		181	
		TOTAL					1321	42.19								232	7.41					215	6.87					1363	43.53		3131	
	SEVENTH						87	40.47								59	27.44						Excluded					69	32.09		215	
		TOTAL					1408	44.97								291	9.29											1432	45.74		3131	
	EIGHTH						203	69.76									Excluded											88	30.24		291	
		TOTAL					1611	51.45																				1520	48.55		3131	
							Elected																									
																																
Thornlie East                                                  																																
	FIRST			24	0.80		1203	40.05		26	0.87		86	2.86		124	4.13		127	4.23		236	7.86		14	0.47		1164	38.75		3004	
	SECOND			1	7.14		1	7.14		0	0.00		0	0.00		2	14.29		0	0.00		7	50.00			Excluded		3	21.43		14	
		TOTAL		25	0.83		1204	40.08		26	0.87		86	2.86		126	4.19		127	4.23		243	8.09					1167	38.85		3004	
	THIRD			4	15.38		12	46.15			Excluded		1	3.85		3	11.54		1	3.85		2	7.69					3	11.54		26	
		TOTAL		29	0.97		1216	40.48					87	2.90		129	4.29		128	4.26		245	8.16					1170	38.95		3004	
	FOURTH				Excluded		19	65.52					2	6.90		3	10.34		1	3.45		1	3.45					3	10.34		29	
		TOTAL					1235	41.11					89	2.96		132	4.39		129	4.29		246	8.19					1173	39.05		3004	
	FIFTH						10	11.24						Excluded		10	11.24		10	11.24		7	7.87					52	58.43		89	
		TOTAL					1245	41.44								142	4.73		139	4.63		253	8.42					1225	40.78		3004	
	SIXTH						38	27.34								72	51.80			Excluded		9	6.47					20	14.39		139	
		TOTAL					1283	42.71								214	7.12					262	8.72					1245	41.44		3004	
	SEVENTH						98	37.40								81	30.92						Excluded					83	31.68		262	
		TOTAL					1381	45.97								295	9.82											1328	44.21		3004	
	EIGHTH						196	66.44									Excluded											99	33.56		295	
		TOTAL					1577	52.50																				1427	47.50		3004	
							Elected																									
																																
Thornlie South (Hasluck)                                       																																
	FIRST			2	1.05		79	41.58		7	3.68		5	2.63		7	3.68		5	2.63		13	6.84		0	0.00		72	37.89		190	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	1.05		79	41.58		7	3.68		5	2.63		7	3.68		5	2.63		13	6.84					72	37.89		190	
	THIRD			1	14.29		6	85.71			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		7	
		TOTAL		3	1.58		85	44.74					5	2.63		7	3.68		5	2.63		13	6.84					72	37.89		190	
	FOURTH				Excluded		2	66.67					0	0.00		0	0.00		0	0.00		0	0.00					1	33.33		3	
		TOTAL					87	45.79					5	2.63		7	3.68		5	2.63		13	6.84					73	38.42		190	
	FIFTH						1	20.00						Excluded		1	20.00		0	0.00		0	0.00					3	60.00		5	
		TOTAL					88	46.32								8	4.21		5	2.63		13	6.84					76	40.00		190	
	SIXTH						2	40.00								2	40.00			Excluded		0	0.00					1	20.00		5	
		TOTAL					90	47.37								10	5.26					13	6.84					77	40.53		190	
	SEVENTH						6	46.15								3	23.08						Excluded					4	30.77		13	
		TOTAL					96	50.53								13	6.84											81	42.63		190	
	EIGHTH						6	46.15									Excluded											7	53.85		13	
		TOTAL					102	53.68																				88	46.32		190	
							Elected																									
																																
Thornlie West                                                  																																
	FIRST			22	0.95		1057	45.54		17	0.73		68	2.93		106	4.57		96	4.14		146	6.29		7	0.30		802	34.55		2321	
	SECOND			0	0.00		2	28.57		1	14.29		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		4	57.14		7	
		TOTAL		22	0.95		1059	45.63		18	0.78		68	2.93		106	4.57		96	4.14		146	6.29					806	34.73		2321	
	THIRD			3	16.67		5	27.78			Excluded		3	16.67		5	27.78		0	0.00		2	11.11					0	0.00		18	
		TOTAL		25	1.08		1064	45.84					71	3.06		111	4.78		96	4.14		148	6.38					806	34.73		2321	
	FOURTH				Excluded		17	68.00					4	16.00		2	8.00		2	8.00		0	0.00					0	0.00		25	
		TOTAL					1081	46.57					75	3.23		113	4.87		98	4.22		148	6.38					806	34.73		2321	
	FIFTH						14	18.67						Excluded		8	10.67		3	4.00		6	8.00					44	58.67		75	
		TOTAL					1095	47.18								121	5.21		101	4.35		154	6.64					850	36.62		2321	
	SIXTH						37	36.63								28	27.72			Excluded		7	6.93					29	28.71		101	
		TOTAL					1132	48.77								149	6.42					161	6.94					879	37.87		2321	
	SEVENTH						39	24.22								59	36.65						Excluded					63	39.13		161	
		TOTAL					1171	50.45								208	8.96											942	40.59		2321	
	EIGHTH						147	70.67									Excluded											61	29.33		208	
		TOTAL					1318	56.79																				1003	43.21		2321	
							Elected																									
																																
Walliston (Hasluck)                                            																																
	FIRST			10	0.81		347	28.14		4	0.32		36	2.92		61	4.95		61	4.95		84	6.81		11	0.89		619	50.20		1233	
	SECOND			0	0.00		2	18.18		0	0.00		0	0.00		2	18.18		1	9.09		2	18.18			Excluded		4	36.36		11	
		TOTAL		10	0.81		349	28.30		4	0.32		36	2.92		63	5.11		62	5.03		86	6.97					623	50.53		1233	
	THIRD			1	25.00		3	75.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		4	
		TOTAL		11	0.89		352	28.55					36	2.92		63	5.11		62	5.03		86	6.97					623	50.53		1233	
	FOURTH				Excluded		7	63.64					1	9.09		2	18.18		0	0.00		0	0.00					1	9.09		11	
		TOTAL					359	29.12					37	3.00		65	5.27		62	5.03		86	6.97					624	50.61		1233	
	FIFTH						5	13.51						Excluded		3	8.11		2	5.41		2	5.41					25	67.57		37	
		TOTAL					364	29.52								68	5.52		64	5.19		88	7.14					649	52.64		1233	
	SIXTH						16	25.00								27	42.19			Excluded		8	12.50					13	20.31		64	
		TOTAL					380	30.82								95	7.70					96	7.79					662	53.69		1233	
	SEVENTH						32	33.33								20	20.83						Excluded					44	45.83		96	
		TOTAL					412	33.41								115	9.33											706	57.26		1233	
	EIGHTH						72	62.61									Excluded											43	37.39		115	
		TOTAL					484	39.25																				749	60.75		1233	
							Elected																									
																																
Wattle Grove                                                   																																
	FIRST			5	0.56		219	24.55		6	0.67		15	1.68		56	6.28		44	4.93		58	6.50		12	1.35		477	53.48		892	
	SECOND			0	0.00		0	0.00		1	8.33		0	0.00		1	8.33		1	8.33		1	8.33			Excluded		8	66.67		12	
		TOTAL		5	0.56		219	24.55		7	0.78		15	1.68		57	6.39		45	5.04		59	6.61					485	54.37		892	
	THIRD			1	14.29		1	14.29			Excluded		0	0.00		0	0.00		2	28.57		1	14.29					2	28.57		7	
		TOTAL		6	0.67		220	24.66					15	1.68		57	6.39		47	5.27		60	6.73					487	54.60		892	
	FOURTH				Excluded		3	50.00					0	0.00		1	16.67		0	0.00		1	16.67					1	16.67		6	
		TOTAL					223	25.00					15	1.68		58	6.50		47	5.27		61	6.84					488	54.71		892	
	FIFTH						2	13.33						Excluded		0	0.00		2	13.33		1	6.67					10	66.67		15	
		TOTAL					225	25.22								58	6.50		49	5.49		62	6.95					498	55.83		892	
	SIXTH						13	26.53								25	51.02			Excluded		3	6.12					8	16.33		49	
		TOTAL					238	26.68								83	9.30					65	7.29					506	56.73		892	
	SEVENTH						14	21.54								29	44.62						Excluded					22	33.85		65	
		TOTAL					252	28.25								112	12.56											528	59.19		892	
	EIGHTH						78	69.64									Excluded											34	30.36		112	
		TOTAL					330	37.00																				562	63.00		892	
							Elected																									
																																
Special Hospital Team 1                                        																																
	FIRST			4	3.70		36	33.33		0	0.00		0	0.00		3	2.78		3	2.78		3	2.78		0	0.00		59	54.63		108	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	3.70		36	33.33		0	0.00		0	0.00		3	2.78		3	2.78		3	2.78					59	54.63		108	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		4	3.70		36	33.33					0	0.00		3	2.78		3	2.78		3	2.78					59	54.63		108	
	FOURTH				Excluded		3	75.00					0	0.00		1	25.00		0	0.00		0	0.00					0	0.00		4	
		TOTAL					39	36.11					0	0.00		4	3.70		3	2.78		3	2.78					59	54.63		108	
	FIFTH						0	0.00						Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					39	36.11								4	3.70		3	2.78		3	2.78					59	54.63		108	
	SIXTH						1	33.33								1	33.33			Excluded		1	33.33					0	0.00		3	
		TOTAL					40	37.04								5	4.63					4	3.70					59	54.63		108	
	SEVENTH						1	25.00								0	0.00						Excluded					3	75.00		4	
		TOTAL					41	37.96								5	4.63											62	57.41		108	
	EIGHTH						3	60.00									Excluded											2	40.00		5	
		TOTAL					44	40.74																				64	59.26		108	
							Elected																									
																																
Special Hospital Team 2                                        																																
	FIRST			6	2.55		109	46.38		1	0.43		1	0.43		1	0.43		1	0.43		10	4.26		0	0.00		106	45.11		235	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		6	2.55		109	46.38		1	0.43		1	0.43		1	0.43		1	0.43		10	4.26					106	45.11		235	
	THIRD			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		6	2.55		110	46.81					1	0.43		1	0.43		1	0.43		10	4.26					106	45.11		235	
	FOURTH				Excluded		4	66.67					0	0.00		1	16.67		0	0.00		1	16.67					0	0.00		6	
		TOTAL					114	48.51					1	0.43		2	0.85		1	0.43		11	4.68					106	45.11		235	
	FIFTH						0	0.00						Excluded		1	100.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					114	48.51								3	1.28		1	0.43		11	4.68					106	45.11		235	
	SIXTH						0	0.00								1	100.00			Excluded		0	0.00					0	0.00		1	
		TOTAL					114	48.51								4	1.70					11	4.68					106	45.11		235	
	SEVENTH						5	45.45								2	18.18						Excluded					4	36.36		11	
		TOTAL					119	50.64								6	2.55											110	46.81		235	
	EIGHTH						6	100.00									Excluded											0	0.00		6	
		TOTAL					125	53.19																				110	46.81		235	
							Elected																									
																																
Special Hospital Team 3                                        																																
	FIRST			3	8.57		12	34.29		1	2.86		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		19	54.29		35	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	8.57		12	34.29		1	2.86		0	0.00		0	0.00		0	0.00		0	0.00					19	54.29		35	
	THIRD			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		3	8.57		13	37.14					0	0.00		0	0.00		0	0.00		0	0.00					19	54.29		35	
	FOURTH				Excluded		2	66.67					0	0.00		1	33.33		0	0.00		0	0.00					0	0.00		3	
		TOTAL					15	42.86					0	0.00		1	2.86		0	0.00		0	0.00					19	54.29		35	
	FIFTH						0	0.00						Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					15	42.86								1	2.86		0	0.00		0	0.00					19	54.29		35	
	SIXTH						0	0.00								0	0.00			Excluded		0	0.00					0	0.00		0	
		TOTAL					15	42.86								1	2.86					0	0.00					19	54.29		35	
	SEVENTH						0	0.00								0	0.00						Excluded					0	0.00		0	
		TOTAL					15	42.86								1	2.86											19	54.29		35	
	EIGHTH						1	100.00									Excluded											0	0.00		1	
		TOTAL					16	45.71																				19	54.29		35	
							Elected																									
																																
ABSENT																																
	FIRST			126	2.24		1910	34.00		93	1.66		144	2.56		490	8.72		372	6.62		460	8.19		54	0.96		1968	35.04		5617	
	SECOND			2	3.70		2	3.70		2	3.70		1	1.85		8	14.81		9	16.67		4	7.41			Excluded		26	48.15		54	
		TOTAL		128	2.28		1912	34.04		95	1.69		145	2.58		498	8.87		381	6.78		464	8.26					1994	35.50		5617	
	THIRD			7	7.37		52	54.74			Excluded		12	12.63		11	11.58		6	6.32		3	3.16					4	4.21		95	
		TOTAL		135	2.40		1964	34.97					157	2.80		509	9.06		387	6.89		467	8.31					1998	35.57		5617	
	FOURTH				Excluded		93	68.89					17	12.59		11	8.15		5	3.70		5	3.70					4	2.96		135	
		TOTAL					2057	36.62					174	3.10		520	9.26		392	6.98		472	8.40					2002	35.64		5617	
	FIFTH						44	25.29						Excluded		24	13.79		27	15.52		21	12.07					58	33.33		174	
		TOTAL					2101	37.40								544	9.68		419	7.46		493	8.78					2060	36.67		5617	
	SIXTH						124	29.59								191	45.58			Excluded		48	11.46					56	13.37		419	
		TOTAL					2225	39.61								735	13.09					541	9.63					2116	37.67		5617	
	SEVENTH						148	27.36								206	38.08						Excluded					187	34.57		541	
		TOTAL					2373	42.25								941	16.75											2303	41.00		5617	
	EIGHTH						622	66.10									Excluded											319	33.90		941	
		TOTAL					2995	53.32																				2622	46.68		5617	
							Elected																									
																																
POSTAL																																
	FIRST			8	0.38		714	33.54		8	0.38		45	2.11		76	3.57		90	4.23		158	7.42		16	0.75		1014	47.63		2129	
	SECOND			1	6.25		0	0.00		0	0.00		1	6.25		1	6.25		3	18.75		0	0.00			Excluded		10	62.50		16	
		TOTAL		9	0.42		714	33.54		8	0.38		46	2.16		77	3.62		93	4.37		158	7.42					1024	48.10		2129	
	THIRD			0	0.00		5	62.50			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					3	37.50		8	
		TOTAL		9	0.42		719	33.77					46	2.16		77	3.62		93	4.37		158	7.42					1027	48.24		2129	
	FOURTH				Excluded		6	66.67					1	11.11		0	0.00		0	0.00		0	0.00					2	22.22		9	
		TOTAL					725	34.05					47	2.21		77	3.62		93	4.37		158	7.42					1029	48.33		2129	
	FIFTH						6	12.77						Excluded		10	21.28		4	8.51		9	19.15					18	38.30		47	
		TOTAL					731	34.34								87	4.09		97	4.56		167	7.84					1047	49.18		2129	
